"ple0040","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2004","35-65 y.","East Germany","2500","0.869226310569055","0.856828668489772","0.881623952648339","2"
"No","2004","66 and older","East Germany","790","0.807336392202315","0.782414118337198","0.832258666067431","2"
"Yes","2004","16-34 y.","West Germany","94","0.0248234046960212","0.0201230466990523","0.0295237626929901","1"
"Yes","2004","35-65 y.","West Germany","1101","0.136157081095971","0.129216686277241","0.1430974759147","1"
"Yes","2004","35-65 y.","East Germany","341","0.130773689430945","0.118376047351661","0.143171331510228","1"
"Yes","2004","16-34 y.","East Germany","37","0.0353180478401668","0.025744466989601","0.0448916286907326","1"
"Yes","2004","66 and older","West Germany","794","0.293485835504553","0.276685281778618","0.310286389230488","1"
"Yes","2004","66 and older","East Germany","172","0.192663607797685","0.167741333932569","0.217585881662802","1"
"No","2005","16-34 y.","West Germany","3882","0.973111834086212","0.968080133337567","0.978143534834856","2"
"No","2005","16-34 y.","East Germany","1320","0.979424044371701","0.971834532497652","0.98701355624575","2"
"No","2005","35-65 y.","West Germany","7816","0.869574585066382","0.862568128360277","0.876581041772487","2"
"No","2005","66 and older","West Germany","2026","0.710620453730962","0.693862692722704","0.72737821473922","2"
"No","2005","35-65 y.","East Germany","2375","0.862333080934604","0.849372767817333","0.875293394051874","2"
"No","2005","66 and older","East Germany","783","0.79012957389204","0.764450207215073","0.815808940569007","2"
"Yes","2005","16-34 y.","West Germany","88","0.0268881659137881","0.0218564651651437","0.0319198666624326","1"
"Yes","2005","16-34 y.","East Germany","24","","","","1"
"Yes","2005","35-65 y.","West Germany","1059","0.130425414933618","0.123418958227513","0.137431871639723","1"
"Yes","2005","35-65 y.","East Germany","340","0.137666919065396","0.124706605948126","0.150627232182667","1"
"Yes","2005","66 and older","West Germany","787","0.289379546269038","0.27262178526078","0.306137307277296","1"
"Yes","2005","66 and older","East Germany","183","0.20987042610796","0.184191059430993","0.235549792784927","1"
"No","2006","16-34 y.","West Germany","3772","0.974281450100808","0.969279349133025","0.979283551068592","2"
"No","2006","16-34 y.","East Germany","1260","0.96666419073529","0.956864441808646","0.976463939661934","2"
"No","2006","35-65 y.","West Germany","8427","0.871013947003054","0.864292509986055","0.877735384020052","2"
"No","2006","35-65 y.","East Germany","2505","0.860039685666107","0.847322157333947","0.872757213998268","2"
"No","2006","66 and older","West Germany","2389","0.702606218815017","0.687075971625514","0.718136466004521","2"
"No","2006","66 and older","East Germany","914","0.782101569106169","0.758085120330048","0.80611801788229","2"
"Yes","2006","16-34 y.","West Germany","75","0.0257185498991914","0.0207164489314076","0.0307206508669752","1"
"Yes","2006","16-34 y.","East Germany","29","","","","1"
"Yes","2006","35-65 y.","West Germany","1126","0.128986052996946","0.122264615979948","0.135707490013945","1"
"Yes","2006","35-65 y.","East Germany","354","0.139960314333893","0.127242786001732","0.152677842666053","1"
"Yes","2006","66 and older","West Germany","939","0.297393781184983","0.281863533995479","0.312924028374486","1"
"Yes","2006","66 and older","East Germany","221","0.217898430893831","0.19388198211771","0.241914879669951","1"
"No","2007","16-34 y.","West Germany","3424","0.97659722047302","0.971581574896498","0.981612866049542","2"
"No","2007","16-34 y.","East Germany","1195","0.971433171264199","0.962100738660938","0.980765603867459","2"
"No","2007","35-65 y.","West Germany","7738","0.867801982969936","0.860721681651597","0.874882284288275","2"
"No","2007","35-65 y.","East Germany","2326","0.864455256574428","0.85142737113888","0.877483142009975","2"
"No","2007","66 and older","West Germany","2337","0.710896047453452","0.695276303912167","0.726515790994736","2"
"No","2007","66 and older","East Germany","920","0.794200555929893","0.770649408584109","0.817751703275678","2"
