"plh0184","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Often","2011","66 and older","Urban Area","280","0.0877689198213188","0.0782183976486452","0.0973194419939923"
"Rarely","2011","16-34 y.","Rural Area","284","0.222173343037067","0.20028007517372","0.244066610900414"
"Rarely","2011","16-34 y.","Urban Area","645","0.227978732932861","0.212730739726955","0.243226726138766"
"Rarely","2011","35-65 y.","Rural Area","1080","0.249697409555183","0.23640135522068","0.262993463889687"
"Rarely","2011","35-65 y.","Urban Area","1663","0.221496735927326","0.211937505612837","0.231055966241814"
"Rarely","2011","66 and older","Rural Area","607","0.326820910904881","0.305012470757266","0.348629351052496"
"Rarely","2011","66 and older","Urban Area","1059","0.315140312725711","0.299459914411267","0.330820711040155"
"Sometimes","2011","16-34 y.","Rural Area","602","0.431279261801084","0.405196593132146","0.457361930470022"
"Sometimes","2011","16-34 y.","Urban Area","1199","0.413638374366048","0.395738743644567","0.43153800508753"
"Sometimes","2011","35-65 y.","Rural Area","1664","0.415462303576659","0.400324264774744","0.430600342378574"
"Sometimes","2011","35-65 y.","Urban Area","3200","0.450904539086781","0.439450061901055","0.462359016272508"
"Sometimes","2011","66 and older","Rural Area","600","0.367450106270544","0.34503447575741","0.389865736783677"
"Sometimes","2011","66 and older","Urban Area","1231","0.350189974320796","0.334089103483957","0.366290845157635"
"Very often","2011","16-34 y.","Rural Area","88","0.0560612154777291","0.0439461330173761","0.0681762979380821"
"Very often","2011","16-34 y.","Urban Area","165","0.0513816347859172","0.0433574556961584","0.0594058138756761"
"Very often","2011","35-65 y.","Rural Area","169","0.0413166552210855","0.03520304552563","0.047430264916541"
"Very often","2011","35-65 y.","Urban Area","348","0.0474286196683351","0.042535587753881","0.0523216515827891"
"Very often","2011","66 and older","Rural Area","25","","",""
"Very often","2011","66 and older","Urban Area","58","0.0195363634800078","0.0148650187600029","0.0242077082000127"
"Very rare","2011","16-34 y.","Rural Area","94","0.0674805051411911","0.0542693337536495","0.0806916765287327"
"Very rare","2011","16-34 y.","Urban Area","206","0.0740719310132115","0.0645534784892594","0.0835903835371635"
"Very rare","2011","35-65 y.","Rural Area","406","0.107905884236237","0.0983751701516328","0.11743659832084"
"Very rare","2011","35-65 y.","Urban Area","699","0.0958064804685226","0.0890310455296967","0.102581915407348"
"Very rare","2011","66 and older","Rural Area","383","0.202135423105235","0.183463451294967","0.220807394915502"
"Very rare","2011","66 and older","Urban Area","744","0.227364429652167","0.213217802153901","0.241511057150432"
"Often","2012","16-34 y.","Rural Area","286","0.228884663395476","0.206221050557648","0.251548276233304"
"Often","2012","16-34 y.","Urban Area","612","0.213998743284931","0.198875111445144","0.229122375124717"
"Often","2012","35-65 y.","Rural Area","740","0.188312015783445","0.176382658281382","0.200241373285508"
"Often","2012","35-65 y.","Urban Area","1287","0.171922774220928","0.163114588538186","0.18073095990367"
"Often","2012","66 and older","Rural Area","145","0.0774796767973222","0.0652605802073018","0.0896987733873427"
"Often","2012","66 and older","Urban Area","261","0.0800372882145277","0.0708853336388363","0.0891892427902192"
"Rarely","2012","16-34 y.","Rural Area","314","0.240657579116789","0.217596494543825","0.263718663689754"
"Rarely","2012","16-34 y.","Urban Area","700","0.273357078479796","0.256922273661165","0.289791883298427"
"Rarely","2012","35-65 y.","Rural Area","1050","0.262608397398555","0.249181153501474","0.276035641295636"
"Rarely","2012","35-65 y.","Urban Area","1799","0.252344142552286","0.242204285794134","0.262483999310438"
