"m11124","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Disabled","2006","Mecklenburg-Western Pomerania","59","0.116403473317545","0.0896252190352364","0.143181727599853"
"Disabled","2006","Saxony","148","0.119601691049226","0.103606463749334","0.135596918349119"
"Disabled","2006","Saxony-Anhalt","89","0.111727931876135","0.0912933109774948","0.132162552774775"
"Disabled","2006","Thuringia","99","0.123157917314424","0.102294112977681","0.144021721651168"
"Not disabled","2007","Schleswig-Holstein","527","0.851200404255031","0.823050255657856","0.879350552852206"
"Not disabled","2007","Hamburg","258","0.833436118376062","0.790990896242521","0.875881340509603"
"Not disabled","2007","Lower Saxony","1644","0.883197593520411","0.86851806658243","0.897877120458392"
"Not disabled","2007","Bremen","129","0.831239462960487","0.770898010567573","0.891580915353402"
"Not disabled","2007","North Rhine-Westphalia","3661","0.853283498861873","0.842601919885915","0.863965077837831"
"Not disabled","2007","Hesse","1212","0.862539638584714","0.844489822658715","0.880589454510714"
"Not disabled","2007","Rhineland-Palatinate,Saarland","1037","0.871958320267886","0.852869310329083","0.89104733020669"
"Not disabled","2007","Baden-Württemberg","2213","0.876411357627224","0.863515574595546","0.889307140658902"
"Not disabled","2007","Bavaria","2625","0.875492530036765","0.863608611428106","0.887376448645423"
"Not disabled","2007","Berlin","661","0.854035312433541","0.828833937641623","0.87923668722546"
"Not disabled","2007","Brandenburg","751","0.869511419708464","0.84706412877377","0.891958710643158"
"Not disabled","2007","Mecklenburg-Western Pomerania","452","0.876554324211981","0.84803330770511","0.905075340718853"
"Not disabled","2007","Saxony","1380","0.897309265317031","0.882013707021981","0.91260482361208"
"Not disabled","2007","Saxony-Anhalt","789","0.893197145928106","0.872697094946632","0.91369719690958"
"Not disabled","2007","Thuringia","822","0.893248031761264","0.873239670348821","0.913256393173707"
"Disabled","2007","Schleswig-Holstein","87","0.148799595744969","0.120649447147794","0.176949744342144"
"Disabled","2007","Hamburg","38","0.166563881623938","0.124118659490397","0.20900910375748"
"Disabled","2007","Lower Saxony","195","0.116802406479589","0.102122879541608","0.13148193341757"
"Disabled","2007","Bremen","19","","",""
"Disabled","2007","North Rhine-Westphalia","554","0.146716501138127","0.136034922162169","0.157398080114085"
"Disabled","2007","Hesse","186","0.137460361415286","0.119410545489286","0.155510177341285"
"Disabled","2007","Rhineland-Palatinate,Saarland","140","0.128041679732114","0.10895266979331","0.147130689670917"
"Disabled","2007","Baden-Württemberg","289","0.123588642372776","0.110692859341098","0.136484425404454"
"Disabled","2007","Bavaria","340","0.124507469963235","0.112623551354577","0.136391388571894"
"Disabled","2007","Berlin","93","0.145964687566459","0.12076331277454","0.171166062358377"
"Disabled","2007","Brandenburg","114","0.130488580291536","0.108041289356842","0.15293587122623"
"Disabled","2007","Mecklenburg-Western Pomerania","59","0.123445675788019","0.0949246592811474","0.15196669229489"
"Disabled","2007","Saxony","133","0.102690734682969","0.0873951763879199","0.117986292978019"
