"pli0091_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","1986","Full Time","inadequately","240","0.560672055529688","0.50911691657459","0.612227194484786","5"
"Never","1986","Full Time","general elemantary","434","0.37084376727125","0.341024802031349","0.400662732511151","5"
"Never","1986","Full Time","middle vocational","795","0.303299876663429","0.285233574944884","0.321366178381975","5"
"Never","1986","Full Time","vocational + Abi","50","0.293209051462755","0.221075626786531","0.365342476138979","5"
"Never","1986","Full Time","higher vocational","97","0.32431497713935","0.272619986264998","0.376009968013702","5"
"Never","1986","Full Time","higher education","121","0.271806853691398","0.231585872844529","0.312027834538268","5"
"Never","1986","Part Time","in school","","","","","5"
"Never","1986","Part Time","inadequately","75","0.514150173307017","0.419449684314807","0.608850662299227","5"
"Never","1986","Part Time","general elemantary","217","0.401778748456852","0.359882067630853","0.44367542928285","5"
"Never","1986","Part Time","middle vocational","289","0.320503976461753","0.289635797894086","0.35137215502942","5"
"Never","1986","Part Time","vocational + Abi","14","","","","5"
"Never","1986","Part Time","higher vocational","26","","","","5"
"Never","1986","Part Time","higher education","37","0.300647797454052","0.222126145108466","0.379169449799638","5"
"Never","1986","Not Working","in school","10","","","","5"
"Never","1986","Not Working","inadequately","240","0.723352696069007","0.674416089777175","0.772289302360839","5"
"Never","1986","Not Working","general elemantary","887","0.735105934465019","0.711662021131292","0.758549847798746","5"
"Never","1986","Not Working","middle vocational","956","0.652675441239567","0.629476123426995","0.67587475905214","5"
"Never","1986","Not Working","vocational + Abi","35","0.569075818784439","0.454691275801147","0.68346036176773","5"
"Rarely","1986","Part Time","in school","1","","","","4"
"Rarely","1986","Part Time","higher education","47","0.338056884471624","0.257050794429904","0.419062974513344","4"
"Rarely","1986","Not Working","in school","44","0.235664291964648","0.174004598247241","0.297323985682056","4"
"Rarely","1986","Full Time","in school","","","","","4"
"Rarely","1986","Full Time","inadequately","78","0.269390175254608","0.223305479736481","0.315474870772735","4"
"Rarely","1986","Full Time","middle vocational","985","0.413233103615687","0.393880448680549","0.432585758550826","4"
"Rarely","1986","Full Time","vocational + Abi","58","0.397416569741708","0.31987511338499","0.474958026098427","4"
"Rarely","1986","Full Time","higher vocational","145","0.42183513787503","0.367298289438621","0.47637198631144","4"
"Rarely","1986","Part Time","inadequately","19","","","","4"
"Rarely","1986","Part Time","general elemantary","153","0.304284518947283","0.264964747811708","0.343604290082858","4"
"Rarely","1986","Part Time","middle vocational","339","0.393067879561252","0.360760281434238","0.425375477688266","4"
"Rarely","1986","Part Time","vocational + Abi","22","","","","4"
"Rarely","1986","Not Working","inadequately","47","0.162396995843631","0.122050698626582","0.202743293060681","4"
"Rarely","1986","Not Working","higher vocational","42","0.223911988513782","0.159719421291252","0.288104555736312","4"
"Rarely","1986","Not Working","higher education","39","0.229116765073265","0.160235231589093","0.297998298557438","4"
"Rarely","1986","Not Working","general elemantary","254","0.148870192312124","0.129958917604677","0.167781467019572","4"
"Rarely","1986","Not Working","middle vocational","413","0.219954879030427","0.199771889509114","0.24013786855174","4"
"Rarely","1986","Full Time","general elemantary","304","0.31554339422285","0.286854069177053","0.344232719268646","4"
"Rarely","1986","Full Time","higher education","225","0.476368332855348","0.431215650490472","0.521521015220225","4"
"Rarely","1986","Part Time","higher vocational","51","0.485397986824756","0.386447079909489","0.584348893740023","4"
"Rarely","1986","Not Working","vocational + Abi","21","","","","4"
"Daily","1987","Part Time","higher education","","","","","1"
"Daily","1987","Not Working","in school","","","","","1"
"Daily","1987","Not Working","inadequately","","","","","1"
"Daily","1987","Full Time","in school","","","","","1"
"Daily","1987","Full Time","inadequately","","","","","1"
"Daily","1987","Full Time","general elemantary","","","","","1"
"Daily","1987","Full Time","middle vocational","","","","","1"
"Daily","1987","Full Time","vocational + Abi","","","","","1"
"Daily","1987","Full Time","higher vocational","","","","","1"
"Daily","1987","Full Time","higher education","","","","","1"
"Daily","1987","Part Time","in school","","","","","1"
"Daily","1987","Part Time","inadequately","","","","","1"
"Daily","1987","Part Time","general elemantary","","","","","1"
"Daily","1987","Part Time","middle vocational","","","","","1"
"Daily","1987","Part Time","vocational + Abi","","","","","1"
"Daily","1987","Part Time","higher vocational","","","","","1"
"Daily","1987","Not Working","general elemantary","","","","","1"
"Daily","1987","Not Working","middle vocational","","","","","1"
"Daily","1987","Not Working","vocational + Abi","","","","","1"
"Daily","1987","Not Working","higher vocational","","","","","1"
"Daily","1987","Not Working","higher education","","","","","1"
"Min 1x per month","1987","Part Time","general elemantary","","","","","3"
"Min 1x per month","1987","Part Time","middle vocational","","","","","3"
"Min 1x per month","1987","Not Working","in school","","","","","3"
"Min 1x per month","1987","Not Working","higher vocational","","","","","3"
"Min 1x per month","1987","Not Working","middle vocational","","","","","3"
"Min 1x per month","1987","Not Working","higher education","","","","","3"
"Min 1x per month","1987","Part Time","in school","","","","","3"
"Min 1x per month","1987","Part Time","inadequately","","","","","3"
"Min 1x per month","1987","Part Time","vocational + Abi","","","","","3"
"Min 1x per month","1987","Part Time","higher vocational","","","","","3"
"Min 1x per month","1987","Part Time","higher education","","","","","3"
"Min 1x per month","1987","Not Working","inadequately","","","","","3"
"Min 1x per month","1987","Not Working","general elemantary","","","","","3"
"Min 1x per month","1987","Not Working","vocational + Abi","","","","","3"
"Min 1x per month","1987","Full Time","in school","","","","","3"
"Min 1x per month","1987","Full Time","inadequately","","","","","3"
"Min 1x per month","1987","Full Time","general elemantary","","","","","3"
"Min 1x per month","1987","Full Time","middle vocational","","","","","3"
"Min 1x per month","1987","Full Time","vocational + Abi","","","","","3"
"Min 1x per month","1987","Full Time","higher vocational","","","","","3"
"Min 1x per month","1987","Full Time","higher education","","","","","3"
"Min 1x per week","1987","Not Working","higher education","","","","","2"
"Min 1x per week","1987","Not Working","higher vocational","","","","","2"
"Min 1x per week","1987","Full Time","in school","","","","","2"
"Min 1x per week","1987","Part Time","higher education","","","","","2"
"Min 1x per week","1987","Not Working","general elemantary","","","","","2"
"Min 1x per week","1987","Full Time","vocational + Abi","","","","","2"
"Min 1x per week","1987","Part Time","in school","","","","","2"
"Min 1x per week","1987","Full Time","inadequately","","","","","2"
"Min 1x per week","1987","Full Time","general elemantary","","","","","2"
"Min 1x per week","1987","Full Time","middle vocational","","","","","2"
"Min 1x per week","1987","Part Time","inadequately","","","","","2"
"Min 1x per week","1987","Part Time","general elemantary","","","","","2"
"Min 1x per week","1987","Part Time","middle vocational","","","","","2"
"Min 1x per week","1987","Part Time","vocational + Abi","","","","","2"
"Min 1x per week","1987","Part Time","higher vocational","","","","","2"
"Min 1x per week","1987","Not Working","in school","","","","","2"
"Min 1x per week","1987","Not Working","inadequately","","","","","2"
"Min 1x per week","1987","Not Working","middle vocational","","","","","2"
"Min 1x per week","1987","Not Working","vocational + Abi","","","","","2"
"Min 1x per week","1987","Full Time","higher vocational","","","","","2"
"Min 1x per week","1987","Full Time","higher education","","","","","2"
"Never","1987","Not Working","higher education","","","","","5"
"Never","1987","Not Working","higher vocational","","","","","5"
"Never","1987","Full Time","in school","","","","","5"
"Never","1987","Full Time","inadequately","","","","","5"
"Never","1987","Full Time","general elemantary","","","","","5"
"Never","1987","Full Time","middle vocational","","","","","5"
"Never","1987","Full Time","vocational + Abi","","","","","5"
"Never","1987","Full Time","higher vocational","","","","","5"
"Never","1987","Full Time","higher education","","","","","5"
"Never","1987","Part Time","in school","","","","","5"
"Never","1987","Part Time","inadequately","","","","","5"
"Never","1987","Part Time","general elemantary","","","","","5"
"Never","1987","Part Time","middle vocational","","","","","5"
"Never","1987","Part Time","vocational + Abi","","","","","5"
"Never","1987","Part Time","higher vocational","","","","","5"
"Never","1987","Part Time","higher education","","","","","5"
"Never","1987","Not Working","in school","","","","","5"
"Never","1987","Not Working","inadequately","","","","","5"
"Never","1987","Not Working","general elemantary","","","","","5"
"Never","1987","Not Working","middle vocational","","","","","5"
"Never","1987","Not Working","vocational + Abi","","","","","5"
"Rarely","1987","Part Time","in school","","","","","4"
"Rarely","1987","Part Time","higher education","","","","","4"
"Rarely","1987","Not Working","in school","","","","","4"
"Rarely","1987","Full Time","in school","","","","","4"
"Rarely","1987","Full Time","inadequately","","","","","4"
"Rarely","1987","Full Time","general elemantary","","","","","4"
"Rarely","1987","Full Time","middle vocational","","","","","4"
"Rarely","1987","Full Time","vocational + Abi","","","","","4"
"Rarely","1987","Full Time","higher vocational","","","","","4"
"Rarely","1987","Part Time","inadequately","","","","","4"
"Rarely","1987","Part Time","general elemantary","","","","","4"
"Rarely","1987","Part Time","middle vocational","","","","","4"
"Rarely","1987","Part Time","vocational + Abi","","","","","4"
"Rarely","1987","Not Working","inadequately","","","","","4"
"Rarely","1987","Not Working","general elemantary","","","","","4"
"Rarely","1987","Not Working","middle vocational","","","","","4"
"Rarely","1987","Not Working","higher vocational","","","","","4"
"Rarely","1987","Not Working","higher education","","","","","4"
"Rarely","1987","Full Time","higher education","","","","","4"
"Rarely","1987","Part Time","higher vocational","","","","","4"
"Rarely","1987","Not Working","vocational + Abi","","","","","4"
"Daily","1988","Part Time","higher education","","","","","1"
"Daily","1988","Not Working","in school","","","","","1"
"Daily","1988","Not Working","inadequately","","","","","1"
"Daily","1988","Full Time","in school","","","","","1"
"Daily","1988","Full Time","inadequately","","","","","1"
"Daily","1988","Full Time","general elemantary","","","","","1"
"Daily","1988","Full Time","middle vocational","","","","","1"
"Daily","1988","Full Time","vocational + Abi","","","","","1"
"Daily","1988","Full Time","higher vocational","","","","","1"
"Daily","1988","Full Time","higher education","","","","","1"
"Daily","1988","Part Time","in school","","","","","1"
"Daily","1988","Part Time","inadequately","","","","","1"
"Daily","1988","Part Time","general elemantary","","","","","1"
"Daily","1988","Part Time","middle vocational","","","","","1"
"Daily","1988","Part Time","vocational + Abi","","","","","1"
"Daily","1988","Part Time","higher vocational","","","","","1"
"Daily","1988","Not Working","general elemantary","","","","","1"
"Daily","1988","Not Working","middle vocational","","","","","1"
"Daily","1988","Not Working","vocational + Abi","","","","","1"
