"pli0091_h","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Rarely","1986","(1b) general elementary school","Male","238","0.282281589287485","0.251986761697719","0.312576416877252"
"Rarely","1986","(1b) general elementary school","Female","372","0.19676923578938","0.177367987496347","0.216170484082412"
"Rarely","1986","(1c) basic vocational qualification","Male","721","0.333738061931162","0.313684283764131","0.353791840098193"
"Rarely","1986","(1c) basic vocational qualification","Female","530","0.327759125878359","0.303828683449983","0.351689568306735"
"Rarely","1986","(2b) intermediate general qualification","Male","38","0.198708309930225","0.139923544164224","0.257493075696227"
"Rarely","1986","(2b) intermediate general qualification","Female","71","0.226602151994666","0.177999590811917","0.275204713177415"
"Rarely","1986","(2a) intermediate vocational","Male","227","0.37892578232152","0.338853625153082","0.418997939489958"
"Rarely","1986","(2a) intermediate vocational","Female","310","0.379070582932368","0.344209346802546","0.41393181906219"
"Rarely","1986","(2c_gen) general maturity certificate","Male","57","0.244855905492985","0.189643033645637","0.300068777340332"
"Rarely","1986","(2c_gen) general maturity certificate","Female","47","0.256751614148629","0.191467510410378","0.322035717886879"
"Rarely","1986","(2c_voc) vocational maturity certificate","Male","85","0.359182611494026","0.298358757314025","0.420006465674026"
"Rarely","1986","(2c_voc) vocational maturity certificate","Female","68","0.360485197082057","0.288309223809325","0.432661170354789"
"Rarely","1986","(3a) lower tertiary education","Male","79","0.427551422854542","0.354253530847743","0.500849314861342"
"Rarely","1986","(3a) lower tertiary education","Female","26","","",""
"Rarely","1986","(3b) higher tertiary education","Male","130","0.389517396950069","0.336501454476943","0.442533339423195"
"Rarely","1986","(3b) higher tertiary education","Female","76","0.415429997549977","0.342208154507079","0.488651840592875"
"Never","1986","(0) in school","Male","5","","",""
"Never","1986","(0) in school","Female","5","","",""
"Never","1986","(1a) inadequately completed","Male","232","0.569715362594956","0.519266182253801","0.620164542936111"
"Never","1986","(1a) inadequately completed","Female","367","0.707790207481937","0.666849195064049","0.748731219899825"
"Never","1986","(1b) general elementary school","Male","387","0.480486634270094","0.446859552245779","0.514113716294409"
"Never","1986","(1b) general elementary school","Female","1074","0.719240126277656","0.697310290430562","0.741169962124751"
"Never","1986","(1c) basic vocational qualification","Male","935","0.466984005382413","0.445766615423111","0.488201395341716"
"Never","1986","(1c) basic vocational qualification","Female","744","0.545400601992636","0.520015254739478","0.570785949245794"
"Never","1986","(2b) intermediate general qualification","Male","10","","",""
"Never","1986","(2b) intermediate general qualification","Female","80","0.340528813252757","0.28551135708474","0.395546269420774"
"Never","1986","(2a) intermediate vocational","Male","158","0.315946365997144","0.277545090202987","0.3543476417913"
"Never","1986","(2a) intermediate vocational","Female","256","0.399756240999083","0.364557828532587","0.434954653465579"
"Never","1986","(2c_gen) general maturity certificate","Male","29","","",""
"Never","1986","(2c_gen) general maturity certificate","Female","30","0.151626708860751","0.0980266563067765","0.205226761414726"
"Never","1986","(2c_voc) vocational maturity certificate","Male","90","0.386202521973864","0.324476364407111","0.447928679540617"
"Never","1986","(2c_voc) vocational maturity certificate","Female","54","0.326864484051383","0.256353179439564","0.397375788663202"
"Never","1986","(3a) lower tertiary education","Male","60","0.363690347260545","0.292416662855184","0.434964031665905"
"Never","1986","(3a) lower tertiary education","Female","26","","",""
"Never","1986","(3b) higher tertiary education","Male","97","0.329385469543089","0.278288504142712","0.380482434943466"
"Never","1986","(3b) higher tertiary education","Female","49","0.344822449672445","0.274198705671673","0.415446193673217"
"Daily","1987","(0) in school","Male","","","",""
"Daily","1987","(0) in school","Female","","","",""
"Daily","1987","(1a) inadequately completed","Male","","","",""
"Daily","1987","(1a) inadequately completed","Female","","","",""
"Daily","1987","(1b) general elementary school","Male","","","",""
"Daily","1987","(1b) general elementary school","Female","","","",""
"Daily","1987","(1c) basic vocational qualification","Male","","","",""
"Daily","1987","(1c) basic vocational qualification","Female","","","",""
"Daily","1987","(2b) intermediate general qualification","Male","","","",""
"Daily","1987","(2b) intermediate general qualification","Female","","","",""
"Daily","1987","(2a) intermediate vocational","Male","","","",""
"Daily","1987","(2a) intermediate vocational","Female","","","",""
"Daily","1987","(2c_gen) general maturity certificate","Male","","","",""
"Daily","1987","(2c_gen) general maturity certificate","Female","","","",""
"Daily","1987","(2c_voc) vocational maturity certificate","Male","","","",""
"Daily","1987","(2c_voc) vocational maturity certificate","Female","","","",""
"Daily","1987","(3a) lower tertiary education","Male","","","",""
"Daily","1987","(3a) lower tertiary education","Female","","","",""
"Daily","1987","(3b) higher tertiary education","Male","","","",""
"Daily","1987","(3b) higher tertiary education","Female","","","",""
"Min 1x per week","1987","(0) in school","Male","","","",""
"Min 1x per week","1987","(0) in school","Female","","","",""
"Min 1x per week","1987","(1a) inadequately completed","Male","","","",""
"Min 1x per week","1987","(1a) inadequately completed","Female","","","",""
"Min 1x per week","1987","(1b) general elementary school","Male","","","",""
"Min 1x per week","1987","(1b) general elementary school","Female","","","",""
"Min 1x per week","1987","(1c) basic vocational qualification","Male","","","",""
