"ple0182","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"No","2018","Bavaria","Male","1769","0.973894680675877","0.966565226171399","0.981224135180356"
"No","2018","Bavaria","Female","1966","0.916111583779764","0.904461108431564","0.927762059127964"
"No","2018","Berlin","Male","437","0.91803110388907","0.89366776245723","0.942394445320911"
"No","2018","Berlin","Female","417","0.809139868078367","0.775133612188708","0.843146123968026"
"No","2018","Brandenburg","Male","471","0.98146998267303","0.969418180995834","0.993521784350226"
"No","2018","Brandenburg","Female","531","0.977656688163144","0.965349462327848","0.989963913998439"
"No","2018","Mecklenburg-Western Pomerania","Male","265","0.985960194929691","0.971847736021844","1.00007265383754"
"No","2018","Mecklenburg-Western Pomerania","Female","317","0.953129646161691","0.930359847039375","0.975899445284007"
"No","2018","Saxony","Male","745","0.941725625914523","0.925189951785778","0.958261300043269"
"No","2018","Saxony","Female","815","0.94476998880575","0.929485354327786","0.960054623283714"
"No","2018","Saxony-Anhalt","Male","397","0.988814436672759","0.978559246032274","0.999069627313244"
"No","2018","Saxony-Anhalt","Female","487","0.967258109828063","0.951782801934402","0.982733417721725"
"No","2018","Thuringia","Male","423","0.985891087659811","0.974743648746497","0.997038526573126"
"No","2018","Thuringia","Female","483","0.952327192495447","0.933906965044168","0.970747419946726"
