"pgnation","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"37","1984","Not Working","indirect migration background","","","",""
"38","1984","Full Time","no migration background","","","",""
"38","1984","Full Time","direct migration background","1","","",""
"38","1984","Full Time","indirect migration background","","","",""
"38","1984","Part Time","no migration background","","","",""
"38","1984","Part Time","direct migration background","","","",""
"38","1984","Part Time","indirect migration background","","","",""
"38","1984","Not Working","no migration background","","","",""
"38","1984","Not Working","direct migration background","1","","",""
"38","1984","Not Working","indirect migration background","","","",""
"39","1984","Full Time","no migration background","","","",""
"39","1984","Full Time","direct migration background","1","","",""
"39","1984","Full Time","indirect migration background","","","",""
"39","1984","Part Time","no migration background","","","",""
"39","1984","Part Time","direct migration background","","","",""
"39","1984","Part Time","indirect migration background","","","",""
"39","1984","Not Working","no migration background","","","",""
"39","1984","Not Working","direct migration background","","","",""
"39","1984","Not Working","indirect migration background","","","",""
"40","1984","Full Time","no migration background","","","",""
"40","1984","Full Time","direct migration background","","","",""
"40","1984","Full Time","indirect migration background","","","",""
"40","1984","Part Time","no migration background","","","",""
"40","1984","Part Time","direct migration background","","","",""
"40","1984","Part Time","indirect migration background","","","",""
"40","1984","Not Working","no migration background","","","",""
"40","1984","Not Working","direct migration background","1","","",""
"40","1984","Not Working","indirect migration background","","","",""
"41","1984","Full Time","no migration background","","","",""
"41","1984","Full Time","direct migration background","","","",""
"41","1984","Full Time","indirect migration background","","","",""
"41","1984","Part Time","no migration background","","","",""
"41","1984","Part Time","direct migration background","","","",""
"41","1984","Part Time","indirect migration background","","","",""
"41","1984","Not Working","no migration background","","","",""
"41","1984","Not Working","direct migration background","1","","",""
"41","1984","Not Working","indirect migration background","","","",""
"42","1984","Full Time","no migration background","","","",""
"42","1984","Full Time","direct migration background","1","","",""
"42","1984","Full Time","indirect migration background","","","",""
"42","1984","Part Time","no migration background","","","",""
"42","1984","Part Time","direct migration background","","","",""
"42","1984","Part Time","indirect migration background","","","",""
"42","1984","Not Working","no migration background","","","",""
"42","1984","Not Working","direct migration background","","","",""
"42","1984","Not Working","indirect migration background","","","",""
"43","1984","Full Time","no migration background","","","",""
"43","1984","Full Time","direct migration background","1","","",""
"43","1984","Full Time","indirect migration background","","","",""
"43","1984","Part Time","no migration background","","","",""
"43","1984","Part Time","direct migration background","","","",""
"43","1984","Part Time","indirect migration background","","","",""
"43","1984","Not Working","no migration background","","","",""
"43","1984","Not Working","direct migration background","1","","",""
"43","1984","Not Working","indirect migration background","","","",""
"44","1984","Full Time","no migration background","","","",""
"44","1984","Full Time","direct migration background","","","",""
"44","1984","Full Time","indirect migration background","","","",""
"44","1984","Part Time","no migration background","","","",""
"44","1984","Part Time","direct migration background","","","",""
"44","1984","Part Time","indirect migration background","","","",""
"44","1984","Not Working","no migration background","","","",""
"44","1984","Not Working","direct migration background","","","",""
"44","1984","Not Working","indirect migration background","","","",""
"45","1984","Full Time","no migration background","","","",""
"45","1984","Full Time","direct migration background","","","",""
"45","1984","Full Time","indirect migration background","","","",""
"45","1984","Part Time","no migration background","","","",""
"45","1984","Part Time","direct migration background","","","",""
"45","1984","Part Time","indirect migration background","","","",""
"45","1984","Not Working","no migration background","","","",""
"45","1984","Not Working","direct migration background","","","",""
"45","1984","Not Working","indirect migration background","","","",""
"46","1984","Full Time","no migration background","","","",""
"46","1984","Full Time","direct migration background","","","",""
"46","1984","Full Time","indirect migration background","","","",""
"46","1984","Part Time","no migration background","","","",""
"46","1984","Part Time","direct migration background","","","",""
"46","1984","Part Time","indirect migration background","","","",""
"46","1984","Not Working","no migration background","","","",""
"46","1984","Not Working","direct migration background","","","",""
"46","1984","Not Working","indirect migration background","","","",""
"47","1984","Full Time","no migration background","","","",""
"47","1984","Full Time","direct migration background","","","",""
"47","1984","Full Time","indirect migration background","","","",""
"47","1984","Part Time","no migration background","","","",""
"47","1984","Part Time","direct migration background","","","",""
"47","1984","Part Time","indirect migration background","","","",""
"47","1984","Not Working","no migration background","","","",""
"47","1984","Not Working","direct migration background","","","",""
"47","1984","Not Working","indirect migration background","","","",""
"48","1984","Full Time","no migration background","","","",""
"48","1984","Full Time","direct migration background","","","",""
"48","1984","Full Time","indirect migration background","","","",""
"48","1984","Part Time","no migration background","","","",""
"48","1984","Part Time","direct migration background","","","",""
"48","1984","Part Time","indirect migration background","","","",""
"48","1984","Not Working","no migration background","","","",""
"48","1984","Not Working","direct migration background","","","",""
"48","1984","Not Working","indirect migration background","","","",""
"49","1984","Full Time","no migration background","","","",""
"49","1984","Full Time","direct migration background","","","",""
"49","1984","Full Time","indirect migration background","","","",""
"49","1984","Part Time","no migration background","","","",""
"49","1984","Part Time","direct migration background","","","",""
"49","1984","Part Time","indirect migration background","","","",""
"49","1984","Not Working","no migration background","","","",""
"49","1984","Not Working","direct migration background","","","",""
"49","1984","Not Working","indirect migration background","","","",""
"50","1984","Full Time","no migration background","","","",""
"50","1984","Full Time","direct migration background","","","",""
"50","1984","Full Time","indirect migration background","","","",""
"50","1984","Part Time","no migration background","","","",""
"50","1984","Part Time","direct migration background","","","",""
"50","1984","Part Time","indirect migration background","","","",""
"50","1984","Not Working","no migration background","","","",""
"50","1984","Not Working","direct migration background","","","",""
"50","1984","Not Working","indirect migration background","","","",""
"51","1984","Full Time","no migration background","","","",""
"51","1984","Full Time","direct migration background","","","",""
"51","1984","Full Time","indirect migration background","","","",""
"51","1984","Part Time","no migration background","","","",""
"51","1984","Part Time","direct migration background","","","",""
"51","1984","Part Time","indirect migration background","","","",""
"51","1984","Not Working","no migration background","","","",""
"51","1984","Not Working","direct migration background","","","",""
"51","1984","Not Working","indirect migration background","","","",""
"52","1984","Full Time","no migration background","","","",""
"52","1984","Full Time","direct migration background","","","",""
"52","1984","Full Time","indirect migration background","","","",""
"52","1984","Part Time","no migration background","","","",""
"52","1984","Part Time","direct migration background","","","",""
"52","1984","Part Time","indirect migration background","","","",""
"52","1984","Not Working","no migration background","","","",""
"52","1984","Not Working","direct migration background","","","",""
"52","1984","Not Working","indirect migration background","","","",""
"53","1984","Full Time","no migration background","","","",""
"53","1984","Full Time","direct migration background","","","",""
"53","1984","Full Time","indirect migration background","","","",""
"53","1984","Part Time","no migration background","","","",""
"53","1984","Part Time","direct migration background","","","",""
"53","1984","Part Time","indirect migration background","","","",""
"53","1984","Not Working","no migration background","","","",""
"53","1984","Not Working","direct migration background","","","",""
"53","1984","Not Working","indirect migration background","","","",""
"54","1984","Full Time","no migration background","","","",""
"54","1984","Full Time","direct migration background","","","",""
"54","1984","Full Time","indirect migration background","","","",""
"54","1984","Part Time","no migration background","","","",""
"54","1984","Part Time","direct migration background","","","",""
"54","1984","Part Time","indirect migration background","","","",""
"54","1984","Not Working","no migration background","","","",""
"54","1984","Not Working","direct migration background","","","",""
"54","1984","Not Working","indirect migration background","","","",""
"55","1984","Full Time","no migration background","","","",""
"55","1984","Full Time","direct migration background","","","",""
"55","1984","Full Time","indirect migration background","","","",""
"55","1984","Part Time","no migration background","","","",""
"55","1984","Part Time","direct migration background","","","",""
"55","1984","Part Time","indirect migration background","","","",""
"55","1984","Not Working","no migration background","","","",""
"55","1984","Not Working","direct migration background","","","",""
"55","1984","Not Working","indirect migration background","","","",""
"56","1984","Full Time","no migration background","","","",""
"56","1984","Full Time","direct migration background","","","",""
"56","1984","Full Time","indirect migration background","","","",""
"56","1984","Part Time","no migration background","","","",""
"56","1984","Part Time","direct migration background","","","",""
"56","1984","Part Time","indirect migration background","","","",""
"56","1984","Not Working","no migration background","","","",""
"56","1984","Not Working","direct migration background","","","",""
"56","1984","Not Working","indirect migration background","","","",""
"59","1984","Full Time","no migration background","","","",""
"59","1984","Full Time","direct migration background","","","",""
"59","1984","Full Time","indirect migration background","","","",""
"59","1984","Part Time","no migration background","","","",""
"59","1984","Part Time","direct migration background","","","",""
"59","1984","Part Time","indirect migration background","","","",""
"59","1984","Not Working","no migration background","","","",""
"59","1984","Not Working","direct migration background","","","",""
"59","1984","Not Working","indirect migration background","","","",""
"60","1984","Full Time","no migration background","","","",""
"60","1984","Full Time","direct migration background","","","",""
"60","1984","Full Time","indirect migration background","","","",""
"60","1984","Part Time","no migration background","","","",""
"60","1984","Part Time","direct migration background","","","",""
"60","1984","Part Time","indirect migration background","","","",""
"60","1984","Not Working","no migration background","","","",""
"60","1984","Not Working","direct migration background","","","",""
"60","1984","Not Working","indirect migration background","","","",""
"61","1984","Full Time","no migration background","","","",""
"61","1984","Full Time","direct migration background","","","",""
"61","1984","Full Time","indirect migration background","","","",""
"61","1984","Part Time","no migration background","","","",""
"61","1984","Part Time","direct migration background","","","",""
"61","1984","Part Time","indirect migration background","","","",""
"61","1984","Not Working","no migration background","","","",""
"61","1984","Not Working","direct migration background","","","",""
"61","1984","Not Working","indirect migration background","","","",""
"64","1984","Full Time","no migration background","","","",""
"64","1984","Full Time","direct migration background","","","",""
"64","1984","Full Time","indirect migration background","","","",""
"64","1984","Part Time","no migration background","","","",""
"64","1984","Part Time","direct migration background","","","",""
"64","1984","Part Time","indirect migration background","","","",""
"64","1984","Not Working","no migration background","","","",""
"64","1984","Not Working","direct migration background","","","",""
"64","1984","Not Working","indirect migration background","","","",""
"65","1984","Full Time","no migration background","","","",""
"65","1984","Full Time","direct migration background","","","",""
"65","1984","Full Time","indirect migration background","","","",""
"65","1984","Part Time","no migration background","","","",""
"65","1984","Part Time","direct migration background","","","",""
"65","1984","Part Time","indirect migration background","","","",""
"65","1984","Not Working","no migration background","","","",""
"65","1984","Not Working","direct migration background","","","",""
"65","1984","Not Working","indirect migration background","","","",""
"66","1984","Full Time","no migration background","","","",""
"66","1984","Full Time","direct migration background","","","",""
"66","1984","Full Time","indirect migration background","","","",""
"66","1984","Part Time","no migration background","","","",""
"66","1984","Part Time","direct migration background","","","",""
"66","1984","Part Time","indirect migration background","","","",""
"66","1984","Not Working","no migration background","","","",""
"66","1984","Not Working","direct migration background","","","",""
"66","1984","Not Working","indirect migration background","","","",""
"67","1984","Full Time","no migration background","","","",""
"67","1984","Full Time","direct migration background","","","",""
"67","1984","Full Time","indirect migration background","","","",""
"67","1984","Part Time","no migration background","","","",""
"67","1984","Part Time","direct migration background","","","",""
"67","1984","Part Time","indirect migration background","","","",""
"67","1984","Not Working","no migration background","","","",""
"67","1984","Not Working","direct migration background","","","",""
"67","1984","Not Working","indirect migration background","","","",""
"68","1984","Full Time","no migration background","","","",""
"68","1984","Full Time","direct migration background","","","",""
"68","1984","Full Time","indirect migration background","","","",""
"68","1984","Part Time","no migration background","","","",""
"68","1984","Part Time","direct migration background","","","",""
"68","1984","Part Time","indirect migration background","","","",""
"68","1984","Not Working","no migration background","","","",""
"68","1984","Not Working","direct migration background","","","",""
"68","1984","Not Working","indirect migration background","","","",""
"71","1984","Full Time","no migration background","","","",""
"71","1984","Full Time","direct migration background","","","",""
"71","1984","Full Time","indirect migration background","","","",""
"71","1984","Part Time","no migration background","","","",""
"71","1984","Part Time","direct migration background","","","",""
"71","1984","Part Time","indirect migration background","","","",""
"71","1984","Not Working","no migration background","","","",""
"71","1984","Not Working","direct migration background","","","",""
"71","1984","Not Working","indirect migration background","","","",""
"72","1984","Full Time","no migration background","","","",""
"72","1984","Full Time","direct migration background","","","",""
"72","1984","Full Time","indirect migration background","","","",""
"72","1984","Part Time","no migration background","","","",""
"72","1984","Part Time","direct migration background","","","",""
"72","1984","Part Time","indirect migration background","","","",""
"72","1984","Not Working","no migration background","","","",""
"72","1984","Not Working","direct migration background","","","",""
"72","1984","Not Working","indirect migration background","","","",""
"73","1984","Full Time","no migration background","","","",""
"73","1984","Full Time","direct migration background","","","",""
"73","1984","Full Time","indirect migration background","","","",""
"73","1984","Part Time","no migration background","","","",""
"73","1984","Part Time","direct migration background","","","",""
"73","1984","Part Time","indirect migration background","","","",""
"73","1984","Not Working","no migration background","","","",""
"73","1984","Not Working","direct migration background","","","",""
"73","1984","Not Working","indirect migration background","","","",""
"74","1984","Full Time","no migration background","","","",""
"74","1984","Full Time","direct migration background","","","",""
"74","1984","Full Time","indirect migration background","","","",""
"74","1984","Part Time","no migration background","","","",""
"74","1984","Part Time","direct migration background","","","",""
"74","1984","Part Time","indirect migration background","","","",""
"74","1984","Not Working","no migration background","","","",""
"74","1984","Not Working","direct migration background","","","",""
"74","1984","Not Working","indirect migration background","","","",""
"75","1984","Full Time","no migration background","","","",""
"75","1984","Full Time","direct migration background","","","",""
"75","1984","Full Time","indirect migration background","","","",""
"75","1984","Part Time","no migration background","","","",""
"75","1984","Part Time","direct migration background","","","",""
"75","1984","Part Time","indirect migration background","","","",""
"75","1984","Not Working","no migration background","","","",""
"75","1984","Not Working","direct migration background","","","",""
"75","1984","Not Working","indirect migration background","","","",""
"76","1984","Full Time","no migration background","","","",""
"76","1984","Full Time","direct migration background","","","",""
"76","1984","Full Time","indirect migration background","","","",""
"76","1984","Part Time","no migration background","","","",""
"76","1984","Part Time","direct migration background","","","",""
"76","1984","Part Time","indirect migration background","","","",""
"76","1984","Not Working","no migration background","","","",""
"76","1984","Not Working","direct migration background","","","",""
"76","1984","Not Working","indirect migration background","","","",""
"77","1984","Full Time","no migration background","","","",""
"77","1984","Full Time","direct migration background","","","",""
"77","1984","Full Time","indirect migration background","","","",""
"77","1984","Part Time","no migration background","","","",""
