"year","bula_h","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1993","Lower Saxony","31189.94","28126","984","228","6211","44414","61051","184724","29310.48","33069.4","0","269239","28888","30989"
"1993","Mecklenburg-Western Pomerania","21468.86","19787","406","206","7033","29508","40545","64911","19240.21","23697.51","0","217736","21034","25959"
"1993","North Rhine-Westphalia","32357.77","29863","2518","178.95","8519","46741","66717","121395","31340.04","33375.5","0","222539","31676","34043"
"1993","Rhineland-Palatinate,Saarland","28980.35","27170.92","642","307","6033","43145","60483","121125","27176.82","30783.88","0","125740","29206","32999"
"1993","Saxony","19077.98","16097","1121","200","6783","28298","38255","75480","18119.67","20036.29","0","110225","19038","21591"
"1993","Saxony-Anhalt","19541.66","17522","744","153","6795","28399","41098","63171","18321.49","20761.83","0","84618","20586","24741"
"1993","Schleswig-Holstein","29584.26","26873.95","287","229","7103","42991","63140","98961","26795.68","32372.84","0","119732","25946","31033"
"1993","Thuringia","17714.82","15712","663","169","5275","28223","37530","52742","16675.74","18753.9","0","57980","19095","22836"
"1994","Baden-Württemberg","35145.36","33311","1744","973","12300","51583","69896","99420","33958.76","36331.96","0","153472","35681","38156"
"1994","Bavaria","33917.48","31936.58","1596","819","11986","50738","66596","104741","32629.98","35204.98","0","235202","34702","37525"
"1994","Berlin","28816.16","25657","556","88","6217","45117","57929","121929","26553.94","31078.38","0","241131","26000","32467"
"1994","Brandenburg","23496.35","20458.21","609","239","8128","36136","49919","75381","21854.87","25137.83","0","188359","21109","25079"
"1994","Bremen","18301.33","10676.67","89","0","460","30647","49405","72757","14097.96","22504.7","0","72757","4386","28624"
"1994","Hamburg","25821.63","23727.76","143","21","3254","42468","63419","85938","22185.97","29457.29","0","85938","20630","29348"
"1994","Hesse","33361.46","30889","926","179","5097","49397","68287","119881","31445.93","35276.99","0","335606","34341","38167"
"1994","Lower Saxony","31411.44","29014","973","186","7317","44534","60701","121467","29426.99","33395.89","0","352605","31158","34704"
"1994","Mecklenburg-Western Pomerania","23580.93","19767.1","413","221","8072","34742","48823","81239","21389","25772.86","0","178997","22957","28586"
