"year","education","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","college entrance qualification","middle vocational","31648.08","29649.5","282","3997","12794","43569","61526","116613","28549.79","34746.37","0","186025","28123","33675"
"1990","college entrance qualification","vocational + Abi","30920.11","28648.1","217","1392","13147","42732","59856","147705","27689.97","34150.25","0","154089","28843","34271"
"1990","lower secondary degree","general elemantary","18074.6","15354.7","1598","46","291","30293","43473","76426","17135.24","19013.96","0","102026","20559","22870"
"1990","lower secondary degree","higher education","","","","","","","","","","","","","",""
"1990","lower secondary degree","higher vocational","30276.16","29176.29","225","159","7039","46529","57766","101764","27048.55","33503.77","0","147705","29220","36036"
"1990","lower secondary degree","in school","","","","","","","","","","","","","",""
"1990","lower secondary degree","inadequately","","","","","","","","","","","","","",""
"1990","lower secondary degree","middle vocational","25959.62","24561.78","2710","158","8022","37375","50357","92918","25115.47","26803.77","0","473661","26717","28680"
"1990","lower secondary degree","vocational + Abi","","","","","","","","","","","","","",""
"1990","no degree/no degree yet","general elemantary","","","","","","","","","","","","","",""
"1990","no degree/no degree yet","higher education","","","","","","","","","","","","","",""
"1990","no degree/no degree yet","higher vocational","","","","","","","","","","","","","",""
"1990","no degree/no degree yet","in school","42895.6","37707.99","162","6044","27364","50170","68370","169991","38104.82","47686.38","0","186025","34286","40868"
"1990","no degree/no degree yet","inadequately","24100.05","22612.32","604","149","11760","34154","46223","77205","22690.19","25509.91","0","106472","26830","29928"
"1990","no degree/no degree yet","middle vocational","21929.04","23037.95","75","2033","2896","32588","42004","70561","17431.8","26426.28","0","106472","24829","33148"
"1990","no degree/no degree yet","vocational + Abi","","","","","","","","","","","","","",""
"1990","Other degree","general elemantary","27445.08","24641","530","10737","17725","35183","46223","76102","25983.04","28907.12","0","117188","28020","30367"
"1990","Other degree","higher education","37118.29","38360.89","31","460","24247","52460","62722","101323","29211.06","45025.52","460","101323","25694","45929"
"1990","Other degree","higher vocational","","","","","","","","","","","","","",""
"1990","Other degree","in school","","","","","","","","","","","","","",""
"1990","Other degree","inadequately","","","","","","","","","","","","","",""
"1990","Other degree","middle vocational","29434.05","27663","348","7805","18966","38360","50537","76886","27643.74","31224.36","0","106472","28020","32406"
"1990","Other degree","vocational + Abi","24003.54","20650.19","72","81","15061","33426","42341","82030","19512.51","28494.57","0","101323","21212","31656"
"1990","secondary school degree","general elemantary","28635.98","28410.29","360","409","11051","42630","53622","122537","26513.2","30758.76","0","129106","29560","34491"
"1990","secondary school degree","higher education","43690.68","36246.11","55","1717","22385","51612","74817","211096","31875.7","55505.66","10","211096","32025","45053"
"1990","secondary school degree","higher vocational","36138.92","32225.93","165","931","18022","46411","57976","271817","29420.35","42857.49","0","473661","30502","37003"
