"transab_cat","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Complete transfer dependency","1989","Couple + C. LE and GT 16","6","","",""
"No transfer dependency","1990","1-pers.-HH","881","0.861587983561128","0.840457417806521","0.882718549315736"
"No transfer dependency","1990","(Married) couple without C. ","1983","0.88470870659225","0.871582136341048","0.897835276843452"
"No transfer dependency","1990","Single parent ","159","0.36940049736496","0.324906192776356","0.413894801953564"
"No transfer dependency","1990","Couple + C. LE 16 ","35","0.0169990765608796","0.0112922535105072","0.022705899611252"
"No transfer dependency","1990","Couple + C. GT 16 ","753","0.447800903571832","0.424641405702606","0.470960401441058"
"No transfer dependency","1990","Couple + C. LE and GT 16","18","","",""
"Very low transfer dependency","1990","1-pers.-HH","92","0.0966840951797925","0.0786010420733014","0.114767148286284"
"Very low transfer dependency","1990","(Married) couple without C. ","223","0.0894503804586391","0.0777204411377673","0.101180319779511"
"Very low transfer dependency","1990","Single parent ","236","0.488293133347126","0.4422112941035","0.534374972590752"
"Very low transfer dependency","1990","Couple + C. LE 16 ","1828","0.933091431236043","0.922060612464317","0.94412225000777"
"Very low transfer dependency","1990","Couple + C. GT 16 ","942","0.520132827517993","0.496864966382161","0.543400688653825"
"Very low transfer dependency","1990","Couple + C. LE and GT 16","735","0.908244716258885","0.888437657363801","0.928051775153968"
"Low transfer dependency","1990","1-pers.-HH","23","","",""
"Low transfer dependency","1990","(Married) couple without C. ","30","0.0119602826324298","0.00749230712733397","0.0164282581375257"
"Low transfer dependency","1990","Single parent ","30","0.0724107826771132","0.0485184617163822","0.0963031036378442"
"Low transfer dependency","1990","Couple + C. LE 16 ","68","0.0270549370813388","0.0198923122772669","0.0342175618854107"
"Low transfer dependency","1990","Couple + C. GT 16 ","49","0.0238556261621013","0.0167485454368188","0.0309627068873839"
"Low transfer dependency","1990","Couple + C. LE and GT 16","35","0.0424615548837483","0.0286265579162928","0.0562965518512038"
"High transfer dependency","1990","1-pers.-HH","12","","",""
"High transfer dependency","1990","(Married) couple without C. ","17","","",""
"High transfer dependency","1990","Single parent ","16","","",""
"High transfer dependency","1990","Couple + C. LE 16 ","16","","",""
"High transfer dependency","1990","Couple + C. GT 16 ","15","","",""
"High transfer dependency","1990","Couple + C. LE and GT 16","17","","",""
"Very high transfer dependency","1990","1-pers.-HH","7","","",""
"Very high transfer dependency","1990","(Married) couple without C. ","9","","",""
"Very high transfer dependency","1990","Single parent ","6","","",""
"Very high transfer dependency","1990","Couple + C. LE 16 ","10","","",""
"Very high transfer dependency","1990","Couple + C. GT 16 ","6","","",""
"Very high transfer dependency","1990","Couple + C. LE and GT 16","8","","",""
"Complete transfer dependency","1990","1-pers.-HH","11","","",""
"Complete transfer dependency","1990","(Married) couple without C. ","12","","",""
"Complete transfer dependency","1990","Single parent ","5","","",""
"Complete transfer dependency","1990","Couple + C. LE 16 ","14","","",""
"Complete transfer dependency","1990","Couple + C. GT 16 ","6","","",""
"Complete transfer dependency","1990","Couple + C. LE and GT 16","3","","",""
"No transfer dependency","1991","1-pers.-HH","877","0.847698957411066","0.82588238628806","0.869515528534072"
"No transfer dependency","1991","(Married) couple without C. ","2022","0.905525402294183","0.89352230592417","0.917528498664197"
"No transfer dependency","1991","Single parent ","171","0.363755972264228","0.320170466480518","0.407341478047938"
"No transfer dependency","1991","Couple + C. LE 16 ","41","0.0189524155293799","0.0129002875018482","0.0250045435569116"
"No transfer dependency","1991","Couple + C. GT 16 ","780","0.478876686922401","0.455052649378168","0.502700724466634"
"No transfer dependency","1991","Couple + C. LE and GT 16","13","","",""
"Very low transfer dependency","1991","1-pers.-HH","100","0.0943261950677605","0.076579548795494","0.112072841340027"
"Very low transfer dependency","1991","(Married) couple without C. ","201","0.0711695448755373","0.0606183713361502","0.0817207184149244"
"Very low transfer dependency","1991","Single parent ","230","0.501030966994023","0.455731379674106","0.546330554313941"
"Very low transfer dependency","1991","Couple + C. LE 16 ","1800","0.930284598356924","0.918981355268492","0.941587841445356"
"Very low transfer dependency","1991","Couple + C. GT 16 ","845","0.498387965705283","0.474542763289682","0.522233168120884"
"Very low transfer dependency","1991","Couple + C. LE and GT 16","709","0.889494326169763","0.867714448466784","0.911274203872741"
"Low transfer dependency","1991","1-pers.-HH","22","","",""
"Low transfer dependency","1991","(Married) couple without C. ","36","0.0132190365287589","0.00853202813725125","0.0179060449202666"
"Low transfer dependency","1991","Single parent ","46","0.0834228223635728","0.0583702616354541","0.108475383091691"
"Low transfer dependency","1991","Couple + C. LE 16 ","65","0.0320488350545638","0.0242314116854573","0.0398662584236703"
"Low transfer dependency","1991","Couple + C. GT 16 ","37","0.0176724689976112","0.0113888471880113","0.0239560908072111"
"Low transfer dependency","1991","Couple + C. LE and GT 16","60","0.0743717531576108","0.0561448088593948","0.0925986974558268"
"High transfer dependency","1991","1-pers.-HH","15","","",""
"High transfer dependency","1991","(Married) couple without C. ","10","","",""
"High transfer dependency","1991","Single parent ","13","","",""
"High transfer dependency","1991","Couple + C. LE 16 ","22","","",""
"High transfer dependency","1991","Couple + C. GT 16 ","12","","",""
"High transfer dependency","1991","Couple + C. LE and GT 16","8","","",""
"Very high transfer dependency","1991","1-pers.-HH","12","","",""
"Very high transfer dependency","1991","(Married) couple without C. ","6","","",""
"Very high transfer dependency","1991","Single parent ","5","","",""
"Very high transfer dependency","1991","Couple + C. LE 16 ","12","","",""
"Very high transfer dependency","1991","Couple + C. GT 16 ","2","","",""
"Very high transfer dependency","1991","Couple + C. LE and GT 16","","","",""
"Complete transfer dependency","1991","1-pers.-HH","16","","",""
"Complete transfer dependency","1991","(Married) couple without C. ","6","","",""
"Complete transfer dependency","1991","Single parent ","3","","",""
"Complete transfer dependency","1991","Couple + C. LE 16 ","10","","",""
"Complete transfer dependency","1991","Couple + C. GT 16 ","13","","",""
"Complete transfer dependency","1991","Couple + C. LE and GT 16","6","","",""
"No transfer dependency","1992","1-pers.-HH","1018","0.793688056462914","0.771841776567355","0.815534336358474"
"No transfer dependency","1992","(Married) couple without C. ","2640","0.846212926906799","0.833731536265887","0.858694317547711"
"No transfer dependency","1992","Single parent ","196","0.357861644981753","0.319820370714393","0.395902919249112"
"No transfer dependency","1992","Couple + C. LE 16 ","49","0.0188218917265168","0.0140303595201847","0.023613423932849"
"No transfer dependency","1992","Couple + C. GT 16 ","1021","0.469164162352086","0.4493016238328","0.489026700871373"
"No transfer dependency","1992","Couple + C. LE and GT 16","20","","",""
"Very low transfer dependency","1992","1-pers.-HH","225","0.154483679946668","0.134972088830618","0.173995271062719"
"Very low transfer dependency","1992","(Married) couple without C. ","417","0.117110899598032","0.105985516653669","0.128236282542395"
"Very low transfer dependency","1992","Single parent ","322","0.486794009271734","0.447129540270447","0.526458478273021"
"Very low transfer dependency","1992","Couple + C. LE 16 ","2728","0.895596260504233","0.88481466549676","0.906377855511706"
"Very low transfer dependency","1992","Couple + C. GT 16 ","1259","0.498157234705475","0.478256950705953","0.518057518704996"
"Very low transfer dependency","1992","Couple + C. LE and GT 16","936","0.91009802234557","0.892780085253652","0.927415959437488"
"Low transfer dependency","1992","1-pers.-HH","26","","",""
"Low transfer dependency","1992","(Married) couple without C. ","84","0.0198863740453574","0.0150560168418228","0.0247167312488919"
"Low transfer dependency","1992","Single parent ","47","0.0556001387114666","0.0374157348420921","0.073784542580841"
"Low transfer dependency","1992","Couple + C. LE 16 ","237","0.0602549530743028","0.0518647929314918","0.0686451132171137"
"Low transfer dependency","1992","Couple + C. GT 16 ","113","0.0274669393411907","0.0209619057932035","0.0339719728891778"
"Low transfer dependency","1992","Couple + C. LE and GT 16","70","0.0591986637727368","0.0449106334092023","0.0734866941362713"
"High transfer dependency","1992","1-pers.-HH","16","","",""
"High transfer dependency","1992","(Married) couple without C. ","42","0.0105528145186036","0.0070173727080997","0.0140882563291076"
"High transfer dependency","1992","Single parent ","24","","",""
"High transfer dependency","1992","Couple + C. LE 16 ","54","0.017307142635233","0.0127089153149469","0.021905369955519"
"High transfer dependency","1992","Couple + C. GT 16 ","13","","",""
"High transfer dependency","1992","Couple + C. LE and GT 16","15","","",""
"Very high transfer dependency","1992","1-pers.-HH","15","","",""
"Very high transfer dependency","1992","(Married) couple without C. ","14","","",""
"Very high transfer dependency","1992","Single parent ","13","","",""
"Very high transfer dependency","1992","Couple + C. LE 16 ","13","","",""
"Very high transfer dependency","1992","Couple + C. GT 16 ","16","","",""
"Very high transfer dependency","1992","Couple + C. LE and GT 16","7","","",""
"Complete transfer dependency","1992","1-pers.-HH","18","","",""
"Complete transfer dependency","1992","(Married) couple without C. ","12","","",""
"Complete transfer dependency","1992","Single parent ","8","","",""
"Complete transfer dependency","1992","Couple + C. LE 16 ","9","","",""
"Complete transfer dependency","1992","Couple + C. GT 16 ","3","","",""
"Complete transfer dependency","1992","Couple + C. LE and GT 16","","","",""
"No transfer dependency","1993","1-pers.-HH","1048","0.778649599790823","0.756910567306558","0.800388632275088"
"No transfer dependency","1993","(Married) couple without C. ","2707","0.857332886273154","0.845384181548758","0.86928159099755"
"No transfer dependency","1993","Single parent ","212","0.392423928508734","0.353385805668591","0.431462051348876"
"No transfer dependency","1993","Couple + C. LE 16 ","46","0.0144867312128305","0.0101967400448096","0.0187767223808514"
"No transfer dependency","1993","Couple + C. GT 16 ","935","0.452313835566438","0.432380446052053","0.472247225080824"
"No transfer dependency","1993","Couple + C. LE and GT 16","10","","",""
"Very low transfer dependency","1993","1-pers.-HH","251","0.159000254756452","0.139852146878297","0.178148362634608"
"Very low transfer dependency","1993","(Married) couple without C. ","389","0.0984571606064147","0.0882782573303402","0.108636063882489"
"Very low transfer dependency","1993","Single parent ","274","0.426370879139395","0.386832376529233","0.465909381749558"
"Very low transfer dependency","1993","Couple + C. LE 16 ","2564","0.889626583051879","0.878375972833696","0.900877193270062"
"Very low transfer dependency","1993","Couple + C. GT 16 ","1284","0.501416671455265","0.481392083276128","0.521441259634402"
"Very low transfer dependency","1993","Couple + C. LE and GT 16","984","0.909589856435648","0.892727337698513","0.926452375172782"
