"transab_cat","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","2003","no migration background","West Germany","6037","0.524172342690229","0.515736294342656","0.532608391037801"
"No transfer dependency","2003","no migration background","East Germany","1793","0.410353710743114","0.396889174498925","0.423818246987302"
"No transfer dependency","2003","direct migration background","West Germany","767","0.321544081802766","0.303169042346273","0.339919121259258"
"No transfer dependency","2003","direct migration background","East Germany","71","0.762126295515782","0.679496877044485","0.844755713987079"
"No transfer dependency","2003","indirect migration background","West Germany","192","0.308768086809834","0.275369159757345","0.342167013862324"
"No transfer dependency","2003","indirect migration background","East Germany","6","","",""
"Very low transfer dependency","2003","no migration background","West Germany","6604","0.405182828670231","0.396890157725506","0.413475499614956"
"Very low transfer dependency","2003","no migration background","East Germany","2368","0.387989281766528","0.374650818088141","0.401327745444914"
"Very low transfer dependency","2003","direct migration background","West Germany","1270","0.4738743729857","0.454230661720124","0.493518084251276"
"Very low transfer dependency","2003","direct migration background","East Germany","16","","",""
"Very low transfer dependency","2003","indirect migration background","West Germany","430","0.531806107218532","0.495732136047107","0.567880078389957"
"Very low transfer dependency","2003","indirect migration background","East Germany","12","","",""
"Low transfer dependency","2003","no migration background","West Germany","490","0.0375067438259296","0.0342972932151164","0.0407161944367428"
"Low transfer dependency","2003","no migration background","East Germany","569","0.111589751234995","0.10297117818537","0.120208324284621"
"Low transfer dependency","2003","direct migration background","West Germany","268","0.107010335596407","0.0948489437574154","0.119171727435398"
"Low transfer dependency","2003","direct migration background","East Germany","7","","",""
"Low transfer dependency","2003","indirect migration background","West Germany","68","0.0907501475850537","0.0699833413327786","0.111516953837329"
"Low transfer dependency","2003","indirect migration background","East Germany","3","","",""
"High transfer dependency","2003","no migration background","West Germany","165","0.014591919995856","0.0125663770874622","0.0166174629042499"
"High transfer dependency","2003","no migration background","East Germany","179","0.0363237175166109","0.0312024535385852","0.0414449814946367"
"High transfer dependency","2003","direct migration background","West Germany","65","0.0296220038955386","0.0229520183948815","0.0362919893961958"
"High transfer dependency","2003","direct migration background","East Germany","2","","",""
"High transfer dependency","2003","indirect migration background","West Germany","20","","",""
"High transfer dependency","2003","indirect migration background","East Germany","7","","",""
"Very high transfer dependency","2003","no migration background","West Germany","95","0.00989349410752347","0.00822166079369772","0.0115653274213492"
"Very high transfer dependency","2003","no migration background","East Germany","134","0.0328446166552032","0.0279660004083427","0.0377232329020637"
"Very high transfer dependency","2003","direct migration background","West Germany","46","0.0265190221632468","0.0201979653986824","0.0328400789278114"
"Very high transfer dependency","2003","direct migration background","East Germany","6","","",""
"Very high transfer dependency","2003","indirect migration background","West Germany","9","","",""
"Very high transfer dependency","2003","indirect migration background","East Germany","2","","",""
"Complete transfer dependency","2003","no migration background","West Germany","72","0.0086526707102308","0.00708820814128263","0.010217133279179"
"Complete transfer dependency","2003","no migration background","East Germany","84","0.0208989220835494","0.0169833778000656","0.0248144663670332"
"Complete transfer dependency","2003","direct migration background","West Germany","66","0.0414301835563414","0.0335901575004804","0.0492702096122024"
"Complete transfer dependency","2003","direct migration background","East Germany","","","",""
"Complete transfer dependency","2003","indirect migration background","West Germany","16","","",""
"Complete transfer dependency","2003","indirect migration background","East Germany","","","",""
"No transfer dependency","2004","no migration background","West Germany","5865","0.521462711835762","0.512899959711315","0.530025463960208"
"No transfer dependency","2004","no migration background","East Germany","1786","0.422079061898102","0.408387983996472","0.435770139799731"
"No transfer dependency","2004","direct migration background","West Germany","694","0.309544352625197","0.29099831155758","0.328090393692815"
"No transfer dependency","2004","direct migration background","East Germany","70","0.754445744971845","0.670085888957324","0.838805600986365"
"No transfer dependency","2004","indirect migration background","West Germany","163","0.232042189917316","0.202030292496567","0.262054087338066"
"No transfer dependency","2004","indirect migration background","East Germany","5","","",""
"Very low transfer dependency","2004","no migration background","West Germany","6361","0.401847381834242","0.39344349053672","0.410251273131763"
"Very low transfer dependency","2004","no migration background","East Germany","2280","0.372677902844972","0.359274389936459","0.386081415753486"
"Very low transfer dependency","2004","direct migration background","West Germany","1244","0.493187844966404","0.473131509974087","0.513244179958721"
"Very low transfer dependency","2004","direct migration background","East Germany","16","","",""
"Very low transfer dependency","2004","indirect migration background","West Germany","482","0.579969179042884","0.544879101185619","0.615059256900149"
"Very low transfer dependency","2004","indirect migration background","East Germany","13","","",""
"Low transfer dependency","2004","no migration background","West Germany","517","0.0437806524012581","0.0402734265908637","0.0472878782116524"
"Low transfer dependency","2004","no migration background","East Germany","530","0.104655721106882","0.0961701116213811","0.113141330592383"
"Low transfer dependency","2004","direct migration background","West Germany","270","0.107080111099787","0.0946755176172738","0.119484704582301"
"Low transfer dependency","2004","direct migration background","East Germany","9","","",""
"Low transfer dependency","2004","indirect migration background","West Germany","58","0.0960019447853708","0.0750576829566683","0.116946206614073"
"Low transfer dependency","2004","indirect migration background","East Germany","4","","",""
"High transfer dependency","2004","no migration background","West Germany","165","0.015091469072251","0.0130016554329237","0.0171812827115783"
"High transfer dependency","2004","no migration background","East Germany","172","0.0408403785090057","0.0353538600372572","0.0463268969807542"
"High transfer dependency","2004","direct migration background","West Germany","67","0.0261058327833525","0.0197092718714638","0.0325023936952411"
"High transfer dependency","2004","direct migration background","East Germany","3","","",""
"High transfer dependency","2004","indirect migration background","West Germany","31","0.0449812679753827","0.0302458287119625","0.0597167072388028"
"High transfer dependency","2004","indirect migration background","East Germany","2","","",""
"Very high transfer dependency","2004","no migration background","West Germany","93","0.0096620754056583","0.0079853159380097","0.0113388348733069"
"Very high transfer dependency","2004","no migration background","East Germany","162","0.0377164467980368","0.0324353583621729","0.0429975352339006"
"Very high transfer dependency","2004","direct migration background","West Germany","55","0.0358787215640394","0.0284175642761449","0.043339878851934"
"Very high transfer dependency","2004","direct migration background","East Germany","2","","",""
"Very high transfer dependency","2004","indirect migration background","West Germany","13","","",""
"Very high transfer dependency","2004","indirect migration background","East Germany","8","","",""
"Complete transfer dependency","2004","no migration background","West Germany","73","0.00815570945082959","0.00661402152072993","0.00969739738092924"
"Complete transfer dependency","2004","no migration background","East Germany","69","0.0220304888430012","0.0179615492030485","0.0260994284829539"
"Complete transfer dependency","2004","direct migration background","West Germany","57","0.0282031369612195","0.0215617568669365","0.0348445170555026"
"Complete transfer dependency","2004","direct migration background","East Germany","","","",""
"Complete transfer dependency","2004","indirect migration background","West Germany","13","","",""
"Complete transfer dependency","2004","indirect migration background","East Germany","3","","",""
"No transfer dependency","2005","no migration background","West Germany","5720","0.512338532610962","0.503577728422362","0.521099336799561"
"No transfer dependency","2005","no migration background","East Germany","1768","0.414770009519828","0.400853929880859","0.428686089158796"
"No transfer dependency","2005","direct migration background","West Germany","656","0.306278487446946","0.28715995477808","0.325397020115812"
"No transfer dependency","2005","direct migration background","East Germany","66","0.638856718685788","0.544713380407813","0.733000056963763"
"No transfer dependency","2005","indirect migration background","West Germany","168","0.207548193063665","0.179105646192202","0.235990739935128"
"No transfer dependency","2005","indirect migration background","East Germany","5","","",""
"Very low transfer dependency","2005","no migration background","West Germany","5914","0.405219922745346","0.396615339427868","0.413824506062823"
"Very low transfer dependency","2005","no migration background","East Germany","2118","0.366572505756241","0.352961872105267","0.380183139407215"
"Very low transfer dependency","2005","direct migration background","West Germany","1117","0.472735479056525","0.452028006101461","0.493442952011589"
"Very low transfer dependency","2005","direct migration background","East Germany","13","","",""
"Very low transfer dependency","2005","indirect migration background","West Germany","487","0.636050311109719","0.602306899855643","0.669793722363794"
"Very low transfer dependency","2005","indirect migration background","East Germany","13","","",""
"Low transfer dependency","2005","no migration background","West Germany","534","0.0457562184366079","0.0420938589213506","0.0494185779518653"
"Low transfer dependency","2005","no migration background","East Germany","519","0.114927390330083","0.105918917597487","0.123935863062679"
"Low transfer dependency","2005","direct migration background","West Germany","260","0.118284654111571","0.104889980629888","0.131679327593254"
"Low transfer dependency","2005","direct migration background","East Germany","10","","",""
"Low transfer dependency","2005","indirect migration background","West Germany","64","0.0745879972786556","0.0561622711695607","0.0930137233877505"
"Low transfer dependency","2005","indirect migration background","East Germany","1","","",""
"High transfer dependency","2005","no migration background","West Germany","165","0.0164693368154942","0.0142386517952966","0.0187000218356918"
"High transfer dependency","2005","no migration background","East Germany","179","0.0389038149340909","0.0334420944886917","0.0443655353794901"
"High transfer dependency","2005","direct migration background","West Germany","83","0.040413109142991","0.0322452730404066","0.0485809452455754"
"High transfer dependency","2005","direct migration background","East Germany","8","","",""
"High transfer dependency","2005","indirect migration background","West Germany","27","","",""
"High transfer dependency","2005","indirect migration background","East Germany","8","","",""
"Very high transfer dependency","2005","no migration background","West Germany","110","0.0124896785270615","0.010543186205546","0.0144361708485769"
"Very high transfer dependency","2005","no migration background","East Germany","153","0.0433525320156508","0.0376003430812928","0.0491047209500088"
"Very high transfer dependency","2005","direct migration background","West Germany","60","0.0348281684843748","0.0272236561765623","0.0424326807921873"
"Very high transfer dependency","2005","direct migration background","East Germany","1","","",""
"Very high transfer dependency","2005","indirect migration background","West Germany","18","","",""
"Very high transfer dependency","2005","indirect migration background","East Germany","3","","",""
"Complete transfer dependency","2005","no migration background","West Germany","62","0.00772631086452927","0.00619166536605642","0.00926095636300211"
"Complete transfer dependency","2005","no migration background","East Germany","78","0.0214737474441069","0.0173793489705045","0.0255681459177092"
"Complete transfer dependency","2005","direct migration background","West Germany","57","0.0274601017575924","0.0206819932931742","0.0342382102220106"
"Complete transfer dependency","2005","direct migration background","East Germany","2","","",""
"Complete transfer dependency","2005","indirect migration background","West Germany","17","","",""
"Complete transfer dependency","2005","indirect migration background","East Germany","3","","",""
"No transfer dependency","2006","no migration background","West Germany","6501","0.52394138569827","0.515576911632145","0.532305859764395"
"No transfer dependency","2006","no migration background","East Germany","1988","0.417813894706383","0.404347839915327","0.431279949497438"
"No transfer dependency","2006","direct migration background","West Germany","697","0.317452664151337","0.298132912674544","0.336772415628131"
"No transfer dependency","2006","direct migration background","East Germany","64","0.54688157984294","0.453429849185774","0.640333310500105"
"No transfer dependency","2006","indirect migration background","West Germany","180","0.23839602638531","0.208869170504052","0.267922882266568"
"No transfer dependency","2006","indirect migration background","East Germany","4","","",""
"Very low transfer dependency","2006","no migration background","West Germany","6193","0.390716749107029","0.382545137682624","0.398888360531434"
"Very low transfer dependency","2006","no migration background","East Germany","2242","0.369138732924231","0.355962848995522","0.38231461685294"
"Very low transfer dependency","2006","direct migration background","West Germany","1053","0.449786355052334","0.429138997628451","0.470433712476217"
"Very low transfer dependency","2006","direct migration background","East Germany","20","","",""
"Very low transfer dependency","2006","indirect migration background","West Germany","467","0.542403475368306","0.507880701146125","0.576926249590488"
"Very low transfer dependency","2006","indirect migration background","East Germany","16","","",""
"Low transfer dependency","2006","no migration background","West Germany","570","0.044008211776913","0.0405729406868022","0.0474434828670239"
"Low transfer dependency","2006","no migration background","East Germany","464","0.0949591441253905","0.0869548966440482","0.102963391606733"
"Low transfer dependency","2006","direct migration background","West Germany","237","0.111270396613536","0.0982185999005895","0.124322193326483"
"Low transfer dependency","2006","direct migration background","East Germany","4","","",""
"Low transfer dependency","2006","indirect migration background","West Germany","77","0.115366657857911","0.0932293448757468","0.137503970840076"
"Low transfer dependency","2006","indirect migration background","East Germany","2","","",""
"High transfer dependency","2006","no migration background","West Germany","202","0.0173074061142512","0.0151232086105204","0.019491603617982"
"High transfer dependency","2006","no migration background","East Germany","208","0.0509770808066018","0.0449716543726297","0.0569825072405739"
"High transfer dependency","2006","direct migration background","West Germany","102","0.045244677308689","0.0366183595619249","0.0538709950554531"
"High transfer dependency","2006","direct migration background","East Germany","6","","",""
"High transfer dependency","2006","indirect migration background","West Germany","34","0.0513266963665998","0.036035794780368","0.0666175979528317"
"High transfer dependency","2006","indirect migration background","East Germany","6","","",""
"Very high transfer dependency","2006","no migration background","West Germany","148","0.0145159834301478","0.0125128259317354","0.0165191409285601"
"Very high transfer dependency","2006","no migration background","East Germany","174","0.045636458261127","0.0399383472476076","0.0513345692746464"
"Very high transfer dependency","2006","direct migration background","West Germany","67","0.0318515602460549","0.0245631637614479","0.039139956730662"
"Very high transfer dependency","2006","direct migration background","East Germany","12","","",""
"Very high transfer dependency","2006","indirect migration background","West Germany","24","","",""
"Very high transfer dependency","2006","indirect migration background","East Germany","3","","",""
"Complete transfer dependency","2006","no migration background","West Germany","81","0.00951026387338861","0.0078847587373387","0.0111357690094385"
"Complete transfer dependency","2006","no migration background","East Germany","77","0.0214746891762668","0.0175167647724113","0.0254326135801223"
"Complete transfer dependency","2006","direct migration background","West Germany","74","0.0443943466280481","0.0358456707925097","0.0529430224635865"
"Complete transfer dependency","2006","direct migration background","East Germany","3","","",""
"Complete transfer dependency","2006","indirect migration background","West Germany","18","","",""
"Complete transfer dependency","2006","indirect migration background","East Germany","4","","",""
"No transfer dependency","2007","no migration background","West Germany","6071","0.51972428379858","0.511081609649569","0.528366957947591"
"No transfer dependency","2007","no migration background","East Germany","1979","0.440454777251548","0.42655324633856","0.454356308164536"
"No transfer dependency","2007","direct migration background","West Germany","650","0.336733241498554","0.316174942243343","0.357291540753765"
"No transfer dependency","2007","direct migration background","East Germany","61","0.625286788156663","0.525834100530259","0.724739475783068"
"No transfer dependency","2007","indirect migration background","West Germany","175","0.208550263132299","0.180020615826761","0.237079910437837"
"No transfer dependency","2007","indirect migration background","East Germany","8","","",""
"Very low transfer dependency","2007","no migration background","West Germany","5846","0.395331089001179","0.386873323792051","0.403788854210307"
"Very low transfer dependency","2007","no migration background","East Germany","2064","0.368498923722053","0.354990660002615","0.382007187441491"
"Very low transfer dependency","2007","direct migration background","West Germany","961","0.419207365422768","0.397742652995534","0.440672077850003"
"Very low transfer dependency","2007","direct migration background","East Germany","12","","",""
"Very low transfer dependency","2007","indirect migration background","West Germany","456","0.565633064492455","0.530825379827179","0.600440749157731"
"Very low transfer dependency","2007","indirect migration background","East Germany","17","","",""
"Low transfer dependency","2007","no migration background","West Germany","479","0.0407279306936848","0.0373086607189791","0.0441472006683906"
"Low transfer dependency","2007","no migration background","East Germany","459","0.0909110413274584","0.0828608559923915","0.0989612266625254"
"Low transfer dependency","2007","direct migration background","West Germany","214","0.119904240742138","0.105772934507817","0.134035546976459"
"Low transfer dependency","2007","direct migration background","East Germany","5","","",""
"Low transfer dependency","2007","indirect migration background","West Germany","71","0.106672097014006","0.0849945454358436","0.128349648592169"
"Low transfer dependency","2007","indirect migration background","East Germany","9","","",""
"High transfer dependency","2007","no migration background","West Germany","189","0.0182357621653763","0.0159211305317364","0.0205503937990162"
"High transfer dependency","2007","no migration background","East Germany","169","0.0424063375520506","0.036763463125008","0.0480492119790933"
"High transfer dependency","2007","direct migration background","West Germany","92","0.0570993258101187","0.0470056689765209","0.0671929826437164"
"High transfer dependency","2007","direct migration background","East Germany","5","","",""
"High transfer dependency","2007","indirect migration background","West Germany","30","0.0414446457459976","0.0274480578178882","0.055441233674107"
"High transfer dependency","2007","indirect migration background","East Germany","3","","",""
"Very high transfer dependency","2007","no migration background","West Germany","152","0.0149504557996595","0.0128511651360994","0.0170497464632197"
"Very high transfer dependency","2007","no migration background","East Germany","150","0.03696442844456","0.0316811009309861","0.0422477559581338"
"Very high transfer dependency","2007","direct migration background","West Germany","58","0.0349202006342115","0.0269343708363509","0.042906030432072"
"Very high transfer dependency","2007","direct migration background","East Germany","3","","",""
"Very high transfer dependency","2007","indirect migration background","West Germany","33","0.0612915317661976","0.0444475420491429","0.0781355214832523"
"Very high transfer dependency","2007","indirect migration background","East Germany","6","","",""
"Complete transfer dependency","2007","no migration background","West Germany","100","0.0110304785415204","0.009223699886582","0.0128372571964588"
"Complete transfer dependency","2007","no migration background","East Germany","78","0.0207644917023299","0.016771498231395","0.0247574851732647"
"Complete transfer dependency","2007","direct migration background","West Germany","55","0.0321356258922097","0.0244637652445997","0.0398074865398197"
"Complete transfer dependency","2007","direct migration background","East Germany","5","","",""
"Complete transfer dependency","2007","indirect migration background","West Germany","14","","",""
"Complete transfer dependency","2007","indirect migration background","East Germany","","","",""
"No transfer dependency","2008","no migration background","West Germany","5805","0.524299801315871","0.515398458346803","0.533201144284938"
"No transfer dependency","2008","no migration background","East Germany","1996","0.468167144700226","0.453778656959655","0.482555632440798"
"No transfer dependency","2008","direct migration background","West Germany","595","0.347744845244602","0.325761724862399","0.369727965626805"
"No transfer dependency","2008","direct migration background","East Germany","52","0.635418752878395","0.529948430238094","0.740889075518697"
"No transfer dependency","2008","indirect migration background","West Germany","177","0.22295201547037","0.19349559099185","0.25240843994889"
"No transfer dependency","2008","indirect migration background","East Germany","5","","",""
"Very low transfer dependency","2008","no migration background","West Germany","5513","0.395067527335064","0.386354117573862","0.403780937096266"
"Very low transfer dependency","2008","no migration background","East Germany","1895","0.356745106374947","0.342931799350125","0.37055841339977"
"Very low transfer dependency","2008","direct migration background","West Germany","865","0.436190919339588","0.413300456668882","0.459081382010294"
"Very low transfer dependency","2008","direct migration background","East Germany","9","","",""
"Very low transfer dependency","2008","indirect migration background","West Germany","448","0.562234438132161","0.527124511042111","0.597344365222212"
"Very low transfer dependency","2008","indirect migration background","East Germany","18","","",""
"Low transfer dependency","2008","no migration background","West Germany","432","0.0428210444063352","0.0392125650890904","0.0464295237235799"
"Low transfer dependency","2008","no migration background","East Germany","379","0.0747567148030678","0.0671730316786093","0.0823403979275263"
"Low transfer dependency","2008","direct migration background","West Germany","166","0.0982463639835734","0.0845074494480751","0.111985278519072"
"Low transfer dependency","2008","direct migration background","East Germany","7","","",""
"Low transfer dependency","2008","indirect migration background","West Germany","60","0.0942742923802949","0.0735945370080585","0.114954047752531"
"Low transfer dependency","2008","indirect migration background","East Germany","16","","",""
"High transfer dependency","2008","no migration background","West Germany","146","0.0140644296474485","0.0119655653895618","0.0161632939053352"
"High transfer dependency","2008","no migration background","East Germany","129","0.0373486966952143","0.0318810640162176","0.0428163293742111"
"High transfer dependency","2008","direct migration background","West Germany","73","0.0486740485929377","0.0387414328299899","0.0586066643558856"
"High transfer dependency","2008","direct migration background","East Germany","6","","",""
"High transfer dependency","2008","indirect migration background","West Germany","38","0.070333752301137","0.0522372003146266","0.0884303042876473"
"High transfer dependency","2008","indirect migration background","East Germany","2","","",""
"Very high transfer dependency","2008","no migration background","West Germany","111","0.0118967615220184","0.00996428351029499","0.0138292395337417"
"Very high transfer dependency","2008","no migration background","East Germany","153","0.0392822921863296","0.0336805461970874","0.0448840381755719"
"Very high transfer dependency","2008","direct migration background","West Germany","58","0.0286068136314455","0.0209122765415864","0.0363013507213046"
"Very high transfer dependency","2008","direct migration background","East Germany","3","","",""
"Very high transfer dependency","2008","indirect migration background","West Germany","29","","",""
"Very high transfer dependency","2008","indirect migration background","East Germany","2","","",""
"Complete transfer dependency","2008","no migration background","West Germany","85","0.0118504357732632","0.0099216787347639","0.0137791928117624"
"Complete transfer dependency","2008","no migration background","East Germany","68","0.0237000452402145","0.019313795804563","0.0280862946758659"
"Complete transfer dependency","2008","direct migration background","West Germany","46","0.0405370092078533","0.0314338907714522","0.0496401276442544"
"Complete transfer dependency","2008","direct migration background","East Germany","3","","",""
"Complete transfer dependency","2008","indirect migration background","West Germany","15","","",""
"Complete transfer dependency","2008","indirect migration background","East Germany","","","",""
"No transfer dependency","2009","no migration background","West Germany","5699","0.548168534525583","0.539009524024833","0.557327545026334"
"No transfer dependency","2009","no migration background","East Germany","2016","0.478506444017638","0.463744638526193","0.493268249509083"
"No transfer dependency","2009","direct migration background","West Germany","515","0.331067558184472","0.307863230501395","0.35427188586755"
"No transfer dependency","2009","direct migration background","East Germany","48","0.645198441696757","0.536187109929642","0.754209773463872"
"No transfer dependency","2009","indirect migration background","West Germany","162","0.216710815522758","0.186319667999265","0.24710196304625"
"No transfer dependency","2009","indirect migration background","East Germany","3","","",""
"Very low transfer dependency","2009","no migration background","West Germany","4930","0.378459475157451","0.369533664169746","0.387385286145156"
"Very low transfer dependency","2009","no migration background","East Germany","1747","0.343058484712762","0.329029748584912","0.357087220840612"
"Very low transfer dependency","2009","direct migration background","West Germany","784","0.464162547202386","0.439571833827544","0.488753260577228"
"Very low transfer dependency","2009","direct migration background","East Germany","16","","",""
"Very low transfer dependency","2009","indirect migration background","West Germany","413","0.58220866362631","0.545828488335139","0.618588838917481"
"Very low transfer dependency","2009","indirect migration background","East Germany","25","","",""
"Low transfer dependency","2009","no migration background","West Germany","429","0.0418689992612621","0.0381829426072461","0.045555055915278"
"Low transfer dependency","2009","no migration background","East Germany","336","0.0922541639338113","0.0837025865227151","0.100805741344908"
"Low transfer dependency","2009","direct migration background","West Germany","152","0.102889492909887","0.0879089334551121","0.117870052364662"
"Low transfer dependency","2009","direct migration background","East Germany","5","","",""
"Low transfer dependency","2009","indirect migration background","West Germany","69","0.105230612270747","0.0825960370885802","0.127865187452914"
"Low transfer dependency","2009","indirect migration background","East Germany","11","","",""
"High transfer dependency","2009","no migration background","West Germany","131","0.0127090574387262","0.0106475613402937","0.0147705535371587"
"High transfer dependency","2009","no migration background","East Germany","121","0.028745846641274","0.0238081420171447","0.0336835512654033"
"High transfer dependency","2009","direct migration background","West Germany","57","0.0434280071344231","0.0333780703872911","0.0534779438815552"
"High transfer dependency","2009","direct migration background","East Germany","","","",""
"High transfer dependency","2009","indirect migration background","West Germany","29","","",""
"High transfer dependency","2009","indirect migration background","East Germany","1","","",""
"Very high transfer dependency","2009","no migration background","West Germany","87","0.00984143993154818","0.00802473261292712","0.0116581472501692"
"Very high transfer dependency","2009","no migration background","East Germany","118","0.0364670348100944","0.0309277381496313","0.0420063314705576"
"Very high transfer dependency","2009","direct migration background","West Germany","40","0.0199109917834401","0.0130229027285167","0.0267990808383635"
"Very high transfer dependency","2009","direct migration background","East Germany","1","","",""
"Very high transfer dependency","2009","indirect migration background","West Germany","23","","",""
"Very high transfer dependency","2009","indirect migration background","East Germany","2","","",""
"Complete transfer dependency","2009","no migration background","West Germany","66","0.00895249368542888","0.00721899898706883","0.0106859883837889"
"Complete transfer dependency","2009","no migration background","East Germany","61","0.0209680258844198","0.0167340505868398","0.0252020011819998"
"Complete transfer dependency","2009","direct migration background","West Germany","32","0.0385414027853914","0.029049602321821","0.0480332032489619"
"Complete transfer dependency","2009","direct migration background","East Germany","4","","",""
"Complete transfer dependency","2009","indirect migration background","West Germany","10","","",""
"Complete transfer dependency","2009","indirect migration background","East Germany","","","",""
"No transfer dependency","2010","no migration background","West Germany","5328","0.536714660095723","0.528655917424411","0.544773402767035"
"No transfer dependency","2010","no migration background","East Germany","1870","0.472331678985256","0.458761292068249","0.485902065902262"
"No transfer dependency","2010","direct migration background","West Germany","526","0.296650824339173","0.279427630483199","0.313874018195147"
"No transfer dependency","2010","direct migration background","East Germany","42","0.466315083483145","0.378861969038372","0.553768197927919"
"No transfer dependency","2010","indirect migration background","West Germany","167","0.262533921235454","0.236753097782786","0.288314744688121"
"No transfer dependency","2010","indirect migration background","East Germany","4","","",""
"Very low transfer dependency","2010","no migration background","West Germany","7550","0.386705977839394","0.378835590818433","0.394576364860355"
"Very low transfer dependency","2010","no migration background","East Germany","2154","0.358139175291911","0.345106471286912","0.37117187929691"
"Very low transfer dependency","2010","direct migration background","West Germany","1308","0.461410630921849","0.442614082607798","0.480207179235901"
"Very low transfer dependency","2010","direct migration background","East Germany","25","","",""
"Very low transfer dependency","2010","indirect migration background","West Germany","643","0.512146549654199","0.482859551232627","0.541433548075771"
"Very low transfer dependency","2010","indirect migration background","East Germany","26","","",""
"Low transfer dependency","2010","no migration background","West Germany","1005","0.0403356716661463","0.0371560488626146","0.043515294469678"
"Low transfer dependency","2010","no migration background","East Germany","597","0.0757638375912848","0.0685708279393155","0.0829568472432541"
"Low transfer dependency","2010","direct migration background","West Germany","407","0.121993276157227","0.109653073645717","0.134333478668737"
"Low transfer dependency","2010","direct migration background","East Germany","26","","",""
"Low transfer dependency","2010","indirect migration background","West Germany","142","0.0905647485114018","0.073749684201177","0.107379812821627"
"Low transfer dependency","2010","indirect migration background","East Germany","26","","",""
"High transfer dependency","2010","no migration background","West Germany","409","0.0168857774568538","0.0148035229988521","0.0189680319148556"
"High transfer dependency","2010","no migration background","East Germany","260","0.0396684117135548","0.0343629743017072","0.0449738491254024"
"High transfer dependency","2010","direct migration background","West Germany","184","0.0422999575381267","0.0347108599452206","0.0498890551310328"
"High transfer dependency","2010","direct migration background","East Germany","5","","",""
"High transfer dependency","2010","indirect migration background","West Germany","79","0.0616520779226834","0.0475595515773935","0.0757446042679734"
"High transfer dependency","2010","indirect migration background","East Germany","8","","",""
"Very high transfer dependency","2010","no migration background","West Germany","280","0.00991841893637088","0.00831691505661165","0.0115199228161301"
"Very high transfer dependency","2010","no migration background","East Germany","219","0.0357063881251333","0.0306624960206467","0.0407502802296199"
"Very high transfer dependency","2010","direct migration background","West Germany","148","0.0405237042530698","0.0330887703470451","0.0479586381590944"
"Very high transfer dependency","2010","direct migration background","East Germany","13","","",""
"Very high transfer dependency","2010","indirect migration background","West Germany","59","0.0477281421021686","0.0352370391662619","0.0602192450380753"
"Very high transfer dependency","2010","indirect migration background","East Germany","6","","",""
"Complete transfer dependency","2010","no migration background","West Germany","136","0.00943949400551141","0.007876756115375","0.0110022318956478"
"Complete transfer dependency","2010","no migration background","East Germany","99","0.0183905082928601","0.014738309376379","0.0220427072093412"
"Complete transfer dependency","2010","direct migration background","West Germany","129","0.0371216067905541","0.0299930022574461","0.0442502113236621"
"Complete transfer dependency","2010","direct migration background","East Germany","14","","",""
"Complete transfer dependency","2010","indirect migration background","West Germany","29","","",""
"Complete transfer dependency","2010","indirect migration background","East Germany","4","","",""
"No transfer dependency","2011","no migration background","West Germany","7032","0.560683129460835","0.553411936718161","0.567954322203508"
"No transfer dependency","2011","no migration background","East Germany","2371","0.497436315833719","0.484841518655165","0.510031113012272"
"No transfer dependency","2011","direct migration background","West Germany","733","0.367036534108211","0.349885738464451","0.384187329751972"
"No transfer dependency","2011","direct migration background","East Germany","54","0.467976382352943","0.38891219717876","0.547040567527127"
"No transfer dependency","2011","indirect migration background","West Germany","191","0.284018619081173","0.259420084245138","0.308617153917209"
"No transfer dependency","2011","indirect migration background","East Germany","3","","",""
"Very low transfer dependency","2011","no migration background","West Germany","8560","0.354956649750955","0.347946293611355","0.361967005890555"
"Very low transfer dependency","2011","no migration background","East Germany","2257","0.331058581191464","0.319204351147428","0.342912811235499"
"Very low transfer dependency","2011","direct migration background","West Germany","1308","0.399856628027439","0.382425722083222","0.417287533971657"
"Very low transfer dependency","2011","direct migration background","East Germany","36","0.173612544885497","0.113594093544461","0.233630996226533"
"Very low transfer dependency","2011","indirect migration background","West Germany","733","0.504812322154942","0.47753919997175","0.532085444338134"
"Very low transfer dependency","2011","indirect migration background","East Germany","41","0.462133045805804","0.359130542412446","0.565135549199161"
"Low transfer dependency","2011","no migration background","West Germany","1274","0.0420613510267877","0.0391205311238862","0.0450021709296892"
"Low transfer dependency","2011","no migration background","East Germany","691","0.0760497086119191","0.0693724228418711","0.0827269943819672"
"Low transfer dependency","2011","direct migration background","West Germany","469","0.101810341176582","0.0910501428900616","0.112570539463103"
"Low transfer dependency","2011","direct migration background","East Germany","22","","",""
"Low transfer dependency","2011","indirect migration background","West Germany","182","0.0924772609549338","0.0766745641848483","0.108279957725019"
"Low transfer dependency","2011","indirect migration background","East Germany","22","","",""
"High transfer dependency","2011","no migration background","West Germany","523","0.0217669240457455","0.0196290718586716","0.0239047762328194"
"High transfer dependency","2011","no migration background","East Germany","337","0.0443347941708532","0.0391497540865661","0.0495198342551404"
"High transfer dependency","2011","direct migration background","West Germany","233","0.064171515286179","0.055451653924821","0.072891376647537"
"High transfer dependency","2011","direct migration background","East Germany","14","","",""
"High transfer dependency","2011","indirect migration background","West Germany","88","0.0523493313911753","0.0401996559624752","0.0644990068198753"
