"transab_cat","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1988","Single parent ","Urban Area","195","0.503545159815304","0.452872771118555","0.554217548512053"
"Very low transfer dependency","1988","Single parent ","Rural Area","70","0.528658408780758","0.439715595963873","0.617601221597644"
"Very low transfer dependency","1988","Couple + C. LE 16 ","Urban Area","1555","0.925824498967082","0.91328970148714","0.938359296447024"
"Very low transfer dependency","1988","Couple + C. LE 16 ","Rural Area","411","0.922630412701728","0.897917499504489","0.947343325898967"
"Very low transfer dependency","1988","Couple + C. GT 16 ","Urban Area","917","0.594674735224309","0.570082269365172","0.619267201083445"
"Very low transfer dependency","1988","Couple + C. GT 16 ","Rural Area","194","0.48874636584305","0.4385530857044","0.538939645981701"
"Very low transfer dependency","1988","Couple + C. LE and GT 16","Urban Area","725","0.904906434459607","0.884767026907225","0.925045842011988"
"Very low transfer dependency","1988","Couple + C. LE and GT 16","Rural Area","212","0.969009880533298","0.94621447453087","0.991805286535726"
"Low transfer dependency","1988","1-pers.-HH","Urban Area","18","","",""
"Low transfer dependency","1988","1-pers.-HH","Rural Area","3","","",""
"Low transfer dependency","1988","(Married) couple without C. ","Urban Area","24","","",""
"Low transfer dependency","1988","(Married) couple without C. ","Rural Area","6","","",""
"Low transfer dependency","1988","Single parent ","Urban Area","36","0.0999959417128545","0.0695922926387994","0.13039959078691"
"Low transfer dependency","1988","Single parent ","Rural Area","12","","",""
"Low transfer dependency","1988","Couple + C. LE 16 ","Urban Area","52","0.0271765445600803","0.0193991008295521","0.0349539882906086"
"Low transfer dependency","1988","Couple + C. LE 16 ","Rural Area","21","","",""
"Low transfer dependency","1988","Couple + C. GT 16 ","Urban Area","35","0.0093521740207691","0.00453073774913884","0.0141736102923994"
"Low transfer dependency","1988","Couple + C. GT 16 ","Rural Area","12","","",""
"Low transfer dependency","1988","Couple + C. LE and GT 16","Urban Area","57","0.0553747571493229","0.0396727569914942","0.0710767573071515"
"Low transfer dependency","1988","Couple + C. LE and GT 16","Rural Area","7","","",""
"High transfer dependency","1988","1-pers.-HH","Urban Area","9","","",""
"High transfer dependency","1988","1-pers.-HH","Rural Area","3","","",""
"High transfer dependency","1988","(Married) couple without C. ","Urban Area","18","","",""
"High transfer dependency","1988","(Married) couple without C. ","Rural Area","6","","",""
"High transfer dependency","1988","Single parent ","Urban Area","10","","",""
"High transfer dependency","1988","Single parent ","Rural Area","1","","",""
"High transfer dependency","1988","Couple + C. LE 16 ","Urban Area","11","","",""
"High transfer dependency","1988","Couple + C. LE 16 ","Rural Area","5","","",""
"High transfer dependency","1988","Couple + C. GT 16 ","Urban Area","6","","",""
"High transfer dependency","1988","Couple + C. GT 16 ","Rural Area","3","","",""
"High transfer dependency","1988","Couple + C. LE and GT 16","Urban Area","5","","",""
"High transfer dependency","1988","Couple + C. LE and GT 16","Rural Area","3","","",""
"Very high transfer dependency","1988","1-pers.-HH","Urban Area","11","","",""
"Very high transfer dependency","1988","1-pers.-HH","Rural Area","6","","",""
"Very high transfer dependency","1988","(Married) couple without C. ","Urban Area","10","","",""
"Very high transfer dependency","1988","(Married) couple without C. ","Rural Area","","","",""
"Very high transfer dependency","1988","Single parent ","Urban Area","7","","",""
"Very high transfer dependency","1988","Single parent ","Rural Area","3","","",""
"Very high transfer dependency","1988","Couple + C. LE 16 ","Urban Area","10","","",""
"Very high transfer dependency","1988","Couple + C. LE 16 ","Rural Area","4","","",""
"Very high transfer dependency","1988","Couple + C. GT 16 ","Urban Area","6","","",""
"Very high transfer dependency","1988","Couple + C. GT 16 ","Rural Area","5","","",""
"Very high transfer dependency","1988","Couple + C. LE and GT 16","Urban Area","5","","",""
"Very high transfer dependency","1988","Couple + C. LE and GT 16","Rural Area","","","",""
"Complete transfer dependency","1988","1-pers.-HH","Urban Area","23","","",""
"Complete transfer dependency","1988","1-pers.-HH","Rural Area","2","","",""
"Complete transfer dependency","1988","(Married) couple without C. ","Urban Area","4","","",""
"Complete transfer dependency","1988","(Married) couple without C. ","Rural Area","2","","",""
"Complete transfer dependency","1988","Single parent ","Urban Area","6","","",""
"Complete transfer dependency","1988","Single parent ","Rural Area","","","",""
"Complete transfer dependency","1988","Couple + C. LE 16 ","Urban Area","13","","",""
"Complete transfer dependency","1988","Couple + C. LE 16 ","Rural Area","6","","",""
"Complete transfer dependency","1988","Couple + C. GT 16 ","Urban Area","3","","",""
"Complete transfer dependency","1988","Couple + C. GT 16 ","Rural Area","","","",""
"Complete transfer dependency","1988","Couple + C. LE and GT 16","Urban Area","6","","",""
"Complete transfer dependency","1988","Couple + C. LE and GT 16","Rural Area","","","",""
"No transfer dependency","1989","1-pers.-HH","Urban Area","760","0.856429994709916","0.833431460669234","0.879428528750599"
"No transfer dependency","1989","1-pers.-HH","Rural Area","127","0.768283052867616","0.703707862859054","0.832858242876178"
"No transfer dependency","1989","(Married) couple without C. ","Urban Area","1565","0.890883483193395","0.876495976950102","0.905270989436688"
"No transfer dependency","1989","(Married) couple without C. ","Rural Area","360","0.87856539406023","0.847327501552025","0.909803286568435"
"No transfer dependency","1989","Single parent ","Urban Area","136","0.40383889747423","0.352869560520398","0.454808234428062"
"No transfer dependency","1989","Single parent ","Rural Area","29","","",""
"No transfer dependency","1989","Couple + C. LE 16 ","Urban Area","28","","",""
"No transfer dependency","1989","Couple + C. LE 16 ","Rural Area","8","","",""
"No transfer dependency","1989","Couple + C. GT 16 ","Urban Area","551","0.38593527978005","0.361299473793974","0.410571085766127"
"No transfer dependency","1989","Couple + C. GT 16 ","Rural Area","149","0.417952376485192","0.368620783630575","0.467283969339809"
"No transfer dependency","1989","Couple + C. LE and GT 16","Urban Area","16","","",""
"No transfer dependency","1989","Couple + C. LE and GT 16","Rural Area","4","","",""
"Very low transfer dependency","1989","1-pers.-HH","Urban Area","81","0.089043226208159","0.0703634490993477","0.10772300331697"
"Very low transfer dependency","1989","1-pers.-HH","Rural Area","22","","",""
"Very low transfer dependency","1989","(Married) couple without C. ","Urban Area","157","0.0721541882695835","0.0602143483841192","0.0840940281550477"
"Very low transfer dependency","1989","(Married) couple without C. ","Rural Area","52","0.102864760355147","0.0738121129580652","0.131917407752228"
"Very low transfer dependency","1989","Single parent ","Urban Area","176","0.462928236525147","0.411132252553012","0.514724220497281"
"Very low transfer dependency","1989","Single parent ","Rural Area","47","0.463352143000746","0.359166700014618","0.567537585986873"
"Very low transfer dependency","1989","Couple + C. LE 16 ","Urban Area","1499","0.928107064378792","0.915547818690092","0.940666310067492"
"Very low transfer dependency","1989","Couple + C. LE 16 ","Rural Area","386","0.899023965304128","0.87041263296859","0.927635297639666"
"Very low transfer dependency","1989","Couple + C. GT 16 ","Urban Area","898","0.594245715996635","0.569396250698315","0.619095181294956"
"Very low transfer dependency","1989","Couple + C. GT 16 ","Rural Area","218","0.55438055180727","0.504667715695258","0.604093387919282"
"Very low transfer dependency","1989","Couple + C. LE and GT 16","Urban Area","688","0.905857124337003","0.88520374778508","0.926510500888927"
"Very low transfer dependency","1989","Couple + C. LE and GT 16","Rural Area","167","0.938347295309104","0.903307087451626","0.973387503166583"
