"transab_cat","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","2002","no migration background","Rural Area","53","0.00840904809996422","0.00626746134788873","0.0105506348520397","5"
"Complete transfer dependency","2002","no migration background","Urban Area","82","0.00959717755212946","0.00787190939067253","0.0113224457135864","5"
"Complete transfer dependency","2002","direct migration background","Urban Area","57","0.036772282051978","0.0290437678709625","0.0445007962329935","5"
"Complete transfer dependency","2002","direct migration background","Rural Area","14","","","","5"
"Complete transfer dependency","2002","indirect migration background","Urban Area","9","","","","5"
"Complete transfer dependency","2002","indirect migration background","Rural Area","","","","","5"
"High transfer dependency","2002","no migration background","Urban Area","196","0.0207738403245793","0.0182499016033898","0.0232977790457689","3"
"High transfer dependency","2002","no migration background","Rural Area","164","0.0232511240480749","0.019716775206484","0.0267854728896658","3"
"High transfer dependency","2002","direct migration background","Urban Area","64","0.0362842772082678","0.0286052723650915","0.0439632820514442","3"
"High transfer dependency","2002","direct migration background","Rural Area","13","","","","3"
"High transfer dependency","2002","indirect migration background","Urban Area","16","","","","3"
"High transfer dependency","2002","indirect migration background","Rural Area","6","","","","3"
"Low transfer dependency","2002","no migration background","Urban Area","443","0.037457255157166","0.0340971188485075","0.0408173914658244","2"
"Low transfer dependency","2002","no migration background","Rural Area","565","0.0781656567281667","0.0718701541205888","0.0844611593357445","2"
"Low transfer dependency","2002","direct migration background","Urban Area","225","0.101632203977216","0.0892238552455914","0.11404055270884","2"
"Low transfer dependency","2002","direct migration background","Rural Area","39","0.0893979546244401","0.0634091863086047","0.115386722940276","2"
"Low transfer dependency","2002","indirect migration background","Urban Area","44","0.0589099520665901","0.0410411639495973","0.0767787401835829","2"
"Low transfer dependency","2002","indirect migration background","Rural Area","11","","","","2"
"No transfer dependency","2002","no migration background","Urban Area","5647","0.539721729188388","0.530901617261185","0.54854184111559","0"
"No transfer dependency","2002","no migration background","Rural Area","2544","0.449080219471161","0.437414752679895","0.460745686262427","0"
"No transfer dependency","2002","direct migration background","Urban Area","718","0.339556336359825","0.320109675533144","0.359002997186507","0"
"No transfer dependency","2002","direct migration background","Rural Area","165","0.382522192883278","0.338253511041392","0.426790874725165","0"
"No transfer dependency","2002","indirect migration background","Rural Area","21","","","","0"
"No transfer dependency","2002","indirect migration background","Urban Area","167","0.284196313065838","0.249967537856016","0.318425088275661","0"
"Very high transfer dependency","2002","direct migration background","Urban Area","29","","","","4"
"Very high transfer dependency","2002","no migration background","Urban Area","98","0.00975280713604525","0.00801374325045983","0.0114918710216307","4"
"Very high transfer dependency","2002","no migration background","Rural Area","88","0.0143212433013415","0.0115347754580096","0.0171077111446735","4"
"Very high transfer dependency","2002","direct migration background","Rural Area","10","","","","4"
"Very high transfer dependency","2002","indirect migration background","Urban Area","16","","","","4"
"Very high transfer dependency","2002","indirect migration background","Rural Area","2","","","","4"
"Very low transfer dependency","2002","no migration background","Urban Area","5801","0.382697190641692","0.374096057465127","0.391298323818257","1"
"Very low transfer dependency","2002","no migration background","Rural Area","3570","0.426772708351291","0.415172715415086","0.438372701287497","1"
"Very low transfer dependency","2002","direct migration background","Urban Area","1185","0.47452639283448","0.454020585560111","0.49503220010885","1"
"Very low transfer dependency","2002","indirect migration background","Urban Area","415","0.573274903909006","0.535739531283988","0.610810276534024","1"
"Very low transfer dependency","2002","indirect migration background","Rural Area","57","0.522683969898346","0.423284326961145","0.622083612835547","1"
"Very low transfer dependency","2002","direct migration background","Rural Area","222","0.440962527474814","0.395737493895462","0.486187561054167","1"
"Complete transfer dependency","2003","no migration background","Rural Area","68","0.0108495019461372","0.00835946372974202","0.0133395401625325","5"
"Complete transfer dependency","2003","no migration background","Urban Area","88","0.0115077090040099","0.00959473608990809","0.0134206819181118","5"
"Complete transfer dependency","2003","direct migration background","Urban Area","57","0.0420244811052167","0.0335015565211209","0.0505474056893126","5"
"Complete transfer dependency","2003","direct migration background","Rural Area","9","","","","5"
"Complete transfer dependency","2003","indirect migration background","Urban Area","14","","","","5"
"Complete transfer dependency","2003","indirect migration background","Rural Area","2","","","","5"
"High transfer dependency","2003","no migration background","Urban Area","168","0.0148390197178511","0.0126703972701025","0.0170076421655996","3"
"High transfer dependency","2003","direct migration background","Rural Area","7","","","","3"
"High transfer dependency","2003","no migration background","Rural Area","176","0.0280116619814227","0.0240455050866406","0.0319778188762048","3"
"High transfer dependency","2003","direct migration background","Urban Area","60","0.0322073323942478","0.024707892966752","0.0397067718217435","3"
"High transfer dependency","2003","indirect migration background","Urban Area","22","","","","3"
"High transfer dependency","2003","indirect migration background","Rural Area","5","","","","3"
"Low transfer dependency","2003","no migration background","Urban Area","505","0.0402541213850124","0.036728699909863","0.0437795428601618","2"
"Low transfer dependency","2003","no migration background","Rural Area","554","0.0794905791022821","0.0729886553265466","0.0859925028780177","2"
"Low transfer dependency","2003","direct migration background","Rural Area","63","0.134470516058785","0.103123452696004","0.165817579421566","2"
"Low transfer dependency","2003","indirect migration background","Urban Area","61","0.0915363085745564","0.0697009074658574","0.113371709683255","2"
"Low transfer dependency","2003","direct migration background","Urban Area","212","0.0986165610339457","0.0859520048666298","0.111281117201262","2"
"Low transfer dependency","2003","indirect migration background","Rural Area","10","","","","2"
"No transfer dependency","2003","no migration background","Urban Area","5375","0.528149223478679","0.519195402607613","0.537103044349745","0"
"No transfer dependency","2003","no migration background","Rural Area","2455","0.443473776038663","0.431532610659219","0.455414941418106","0"
"No transfer dependency","2003","direct migration background","Urban Area","673","0.332121771122702","0.312115894953087","0.352127647292317","0"
"No transfer dependency","2003","direct migration background","Rural Area","165","0.361902910125482","0.317747714586435","0.406058105664528","0"
"No transfer dependency","2003","indirect migration background","Rural Area","24","","","","0"
"No transfer dependency","2003","indirect migration background","Urban Area","174","0.314452066587443","0.27929546969979","0.349608663475097","0"
"Very high transfer dependency","2003","direct migration background","Urban Area","38","0.0275797701350894","0.0206234017288443","0.0345361385413345","4"
"Very high transfer dependency","2003","no migration background","Urban Area","130","0.0141351441147372","0.012017823846907","0.0162524643825674","4"
"Very high transfer dependency","2003","no migration background","Rural Area","99","0.0162017861435189","0.0131671656450379","0.0192364066419999","4"
"Very high transfer dependency","2003","direct migration background","Rural Area","14","","","","4"
"Very high transfer dependency","2003","indirect migration background","Urban Area","10","","","","4"
"Very high transfer dependency","2003","indirect migration background","Rural Area","1","","","","4"
"Very low transfer dependency","2003","no migration background","Urban Area","5675","0.391114782299711","0.382361970864955","0.399867593734466","1"
"Very low transfer dependency","2003","no migration background","Rural Area","3297","0.421972694787976","0.410101722903284","0.433843666672669","1"
"Very low transfer dependency","2003","direct migration background","Urban Area","1089","0.467450084208798","0.446256322763656","0.488643845653941","1"
"Very low transfer dependency","2003","direct migration background","Rural Area","197","0.431256561841798","0.385750584073152","0.476762539610445","1"
"Very low transfer dependency","2003","indirect migration background","Urban Area","389","0.520214266262082","0.482385212011456","0.558043320512708","1"
"Very low transfer dependency","2003","indirect migration background","Rural Area","53","0.544790887333805","0.444651096626564","0.644930678041046","1"
"Complete transfer dependency","2004","no migration background","Rural Area","52","0.0105861490824036","0.00809949323344923","0.0130728049313579","5"
"Complete transfer dependency","2004","no migration background","Urban Area","90","0.0113894469027866","0.00945560736505338","0.0133232864405197","5"
"Complete transfer dependency","2004","direct migration background","Urban Area","49","0.0277810313129644","0.0206720095550737","0.0348900530708551","5"
"Complete transfer dependency","2004","direct migration background","Rural Area","8","","","","5"
"Complete transfer dependency","2004","indirect migration background","Urban Area","14","","","","5"
"Complete transfer dependency","2004","indirect migration background","Rural Area","2","","","","5"
"High transfer dependency","2004","no migration background","Urban Area","186","0.0177559301787626","0.0153491417265459","0.0201627186309793","3"
"High transfer dependency","2004","no migration background","Rural Area","151","0.0261775033381736","0.0222981288891889","0.0300568777871584","3"
"High transfer dependency","2004","direct migration background","Urban Area","54","0.0226283673239131","0.0161954185771102","0.029061316070716","3"
"High transfer dependency","2004","direct migration background","Rural Area","16","","","","3"
"High transfer dependency","2004","indirect migration background","Rural Area","6","","","","3"
"High transfer dependency","2004","indirect migration background","Urban Area","27","","","","3"
"Low transfer dependency","2004","no migration background","Urban Area","481","0.0426311014587237","0.0389493079201256","0.0463128949973217","2"
"Low transfer dependency","2004","no migration background","Rural Area","566","0.0846692285233561","0.0779051362990206","0.0914333207476917","2"
"Low transfer dependency","2004","direct migration background","Rural Area","60","0.116173819266466","0.0860270490340163","0.146320589498917","2"
"Low transfer dependency","2004","indirect migration background","Urban Area","46","0.0753788028891481","0.0555507040174616","0.0952069017608346","2"
"Low transfer dependency","2004","direct migration background","Urban Area","219","0.104006255364544","0.0908013335131778","0.117211177215909","2"
"Low transfer dependency","2004","indirect migration background","Rural Area","16","","","","2"
"No transfer dependency","2004","no migration background","Urban Area","5229","0.525009046295914","0.515908183655032","0.534109908936795","0"
"No transfer dependency","2004","no migration background","Rural Area","2422","0.451418455939163","0.43932729673958","0.463509615138745","0"
"No transfer dependency","2004","direct migration background","Urban Area","602","0.30963899408151","0.289639474346083","0.329638513816936","0"
"No transfer dependency","2004","direct migration background","Rural Area","162","0.399295689470838","0.353219037861302","0.445372341080375","0"
"No transfer dependency","2004","indirect migration background","Rural Area","18","","","","0"
"No transfer dependency","2004","indirect migration background","Urban Area","150","0.253465969807443","0.220795214906129","0.286136724708757","0"
"Very high transfer dependency","2004","no migration background","Urban Area","126","0.0133014894510419","0.0112136414863473","0.0153893374157365","4"
"Very high transfer dependency","2004","no migration background","Rural Area","129","0.020289533583565","0.0168638867036898","0.0237151804634403","4"
"Very high transfer dependency","2004","direct migration background","Urban Area","52","0.0374558637948495","0.0292424472029015","0.0456692803867974","4"
"Very high transfer dependency","2004","direct migration background","Rural Area","5","","","","4"
"Very high transfer dependency","2004","indirect migration background","Urban Area","15","","","","4"
"Very high transfer dependency","2004","indirect migration background","Rural Area","6","","","","4"
"Very low transfer dependency","2004","no migration background","Rural Area","3187","0.406859129533339","0.39492313405657","0.418795125010108","1"
"Very low transfer dependency","2004","no migration background","Urban Area","5454","0.389912985712771","0.381024326881686","0.398801644543857","1"
"Very low transfer dependency","2004","direct migration background","Urban Area","1077","0.49848948812222","0.476861225277295","0.520117750967145","1"
"Very low transfer dependency","2004","direct migration background","Rural Area","183","0.392643348752041","0.346699830998489","0.438586866505593","1"
"Very low transfer dependency","2004","indirect migration background","Urban Area","429","0.590543083564418","0.553610946852405","0.62747522027643","1"
"Very low transfer dependency","2004","indirect migration background","Rural Area","66","0.435517340671211","0.344500093987737","0.526534587354686","1"
"Complete transfer dependency","2005","no migration background","Rural Area","62","0.0119806730103711","0.00928357536957856","0.0146777706511636","5"
"Complete transfer dependency","2005","no migration background","Urban Area","78","0.0099837220063228","0.00813163534127278","0.0118358086713728","5"
"Complete transfer dependency","2005","direct migration background","Urban Area","55","0.030326106631408","0.0226676522445814","0.0379845610182347","5"
"Complete transfer dependency","2005","direct migration background","Rural Area","4","","","","5"
"Complete transfer dependency","2005","indirect migration background","Urban Area","18","","","","5"
"Complete transfer dependency","2005","indirect migration background","Rural Area","2","","","","5"
"High transfer dependency","2005","no migration background","Urban Area","161","0.0178885413424869","0.0154193101708398","0.020357772514134","3"
"High transfer dependency","2005","no migration background","Rural Area","183","0.0277966246880938","0.0237214339980365","0.031871815378151","3"
"High transfer dependency","2005","direct migration background","Urban Area","74","0.0453985151944881","0.0361013226148546","0.0546957077741216","3"
"High transfer dependency","2005","direct migration background","Rural Area","17","","","","3"
"High transfer dependency","2005","indirect migration background","Rural Area","5","","","","3"
"High transfer dependency","2005","indirect migration background","Urban Area","30","0.0399344344742859","0.0255317604113855","0.0543371085371864","3"
"Low transfer dependency","2005","no migration background","Urban Area","487","0.0414348614896454","0.0377221802957842","0.0451475426835066","2"
"Low transfer dependency","2005","no migration background","Rural Area","566","0.0975194374309687","0.0901651963296406","0.104873678532297","2"
"Low transfer dependency","2005","direct migration background","Urban Area","208","0.108288717558513","0.0944108197344268","0.1221666153826","2"
"Low transfer dependency","2005","direct migration background","Rural Area","62","0.160945199457281","0.125243814547112","0.196646584367449","2"
"Low transfer dependency","2005","indirect migration background","Urban Area","50","0.0619634479504194","0.044229861129632","0.0796970347712068","2"
"Low transfer dependency","2005","indirect migration background","Rural Area","15","","","","2"
"No transfer dependency","2005","no migration background","Urban Area","5074","0.516399449815906","0.507089867938689","0.525709031693124","0"
"No transfer dependency","2005","no migration background","Rural Area","2414","0.443263567276025","0.430948715714875","0.455578418837175","0"
"No transfer dependency","2005","direct migration background","Urban Area","571","0.308071828421336","0.287452408216444","0.328691248626228","0"
"No transfer dependency","2005","direct migration background","Rural Area","151","0.374468908981987","0.327448844611955","0.421488973352019","0"
"No transfer dependency","2005","indirect migration background","Rural Area","17","","","","0"
"No transfer dependency","2005","indirect migration background","Urban Area","156","0.219346148638284","0.188908354414951","0.249783942861617","0"
"Very high transfer dependency","2005","no migration background","Urban Area","129","0.0162416457944493","0.0138868506506668","0.0185964409382318","4"
"Very high transfer dependency","2005","no migration background","Rural Area","134","0.0245883601820295","0.02074923660662","0.028427483757439","4"
"Very high transfer dependency","2005","direct migration background","Urban Area","46","0.0305950937322127","0.0229038167733098","0.0382863706911156","4"
"Very high transfer dependency","2005","direct migration background","Rural Area","15","","","","4"
"Very high transfer dependency","2005","indirect migration background","Urban Area","17","","","","4"
"Very high transfer dependency","2005","indirect migration background","Rural Area","4","","","","4"
"Very low transfer dependency","2005","no migration background","Urban Area","5140","0.398051779551189","0.388932862827102","0.407170696275276","1"
"Very low transfer dependency","2005","no migration background","Rural Area","2892","0.394851337412512","0.382733609768106","0.406969065056918","1"
"Very low transfer dependency","2005","direct migration background","Urban Area","972","0.477319738462042","0.455012659915819","0.499626817008266","1"
"Very low transfer dependency","2005","direct migration background","Rural Area","158","0.36442831907587","0.317672118347996","0.411184519803743","1"
"Very low transfer dependency","2005","indirect migration background","Urban Area","439","0.632988775811787","0.597535481624458","0.668442069999115","1"
"Very low transfer dependency","2005","indirect migration background","Rural Area","61","0.605738258137497","0.511816493924752","0.699660022350243","1"
"Complete transfer dependency","2006","no migration background","Rural Area","65","0.0129036871875974","0.0102312482843832","0.0155761260908116","5"
"Complete transfer dependency","2006","no migration background","Urban Area","93","0.0117151220680718","0.00978969866726397","0.0136405454688796","5"
"Complete transfer dependency","2006","direct migration background","Urban Area","61","0.0418143100590771","0.0328469536289697","0.0507816664891845","5"
"Complete transfer dependency","2006","direct migration background","Rural Area","16","","","","5"
"Complete transfer dependency","2006","indirect migration background","Urban Area","22","","","","5"
"Complete transfer dependency","2006","indirect migration background","Rural Area","","","","","5"
"High transfer dependency","2006","no migration background","Urban Area","208","0.0201143808685316","0.0176021891001947","0.0226265726368684","3"
"High transfer dependency","2006","no migration background","Rural Area","202","0.0333077418235582","0.0290587311468686","0.0375567525002477","3"
"High transfer dependency","2006","direct migration background","Urban Area","79","0.0405440064991743","0.0317080618680613","0.0493799511302874","3"
"High transfer dependency","2006","direct migration background","Rural Area","29","","","","3"
"High transfer dependency","2006","indirect migration background","Urban Area","36","0.0624429493186645","0.0447448582802027","0.0801410403571263","3"
"High transfer dependency","2006","indirect migration background","Rural Area","4","","","","3"
"Low transfer dependency","2006","no migration background","Urban Area","528","0.0461562104310203","0.0424015949878577","0.0499108258741828","2"
"Low transfer dependency","2006","no migration background","Rural Area","506","0.0722070844225121","0.0660781279366787","0.0783360409083454","2"
"Low transfer dependency","2006","direct migration background","Urban Area","187","0.107710904976687","0.0938222639073487","0.121599546046025","2"
"Low transfer dependency","2006","direct migration background","Rural Area","54","0.107228353944383","0.0778126910374314","0.136644016851334","2"
"Low transfer dependency","2006","indirect migration background","Urban Area","64","0.114538095706278","0.0912440035885082","0.137832187824047","2"
"Low transfer dependency","2006","indirect migration background","Rural Area","15","","","","2"
"No transfer dependency","2006","no migration background","Urban Area","5693","0.526183615681099","0.517248802850426","0.535118428511772","0"
"No transfer dependency","2006","no migration background","Rural Area","2796","0.452453993646893","0.440667934178446","0.464240053115339","0"
"No transfer dependency","2006","direct migration background","Urban Area","610","0.320776303051364","0.299864827530709","0.341687778572019","0"
"No transfer dependency","2006","direct migration background","Rural Area","151","0.356115395721611","0.310590074239193","0.401640717204028","0"
"No transfer dependency","2006","indirect migration background","Urban Area","162","0.240130014778655","0.208885143643066","0.271374885914243","0"
"No transfer dependency","2006","indirect migration background","Rural Area","22","","","","0"
"Very high transfer dependency","2006","no migration background","Urban Area","157","0.0168858642661551","0.0145803098397986","0.0191914186925115","4"
"Very high transfer dependency","2006","no migration background","Rural Area","165","0.0297312490400605","0.0257094190627899","0.033753079017331","4"
"Very high transfer dependency","2006","direct migration background","Urban Area","60","0.0377554929033372","0.0292164358197206","0.0462945499869537","4"
"Very high transfer dependency","2006","direct migration background","Rural Area","19","","","","4"
"Very high transfer dependency","2006","indirect migration background","Urban Area","22","","","","4"
"Very high transfer dependency","2006","indirect migration background","Rural Area","5","","","","4"
"Very low transfer dependency","2006","no migration background","Rural Area","3117","0.399396243879379","0.387798670812617","0.410993816946141","1"
"Very low transfer dependency","2006","no migration background","Urban Area","5318","0.378944806685122","0.370263904948582","0.387625708421663","1"
"Very low transfer dependency","2006","direct migration background","Rural Area","156","0.36714645416336","0.321319087341619","0.412973820985101","1"
"Very low transfer dependency","2006","indirect migration background","Urban Area","412","0.527161158513226","0.490642556556758","0.563679760469694","1"
"Very low transfer dependency","2006","direct migration background","Urban Area","917","0.45139898251036","0.429105099562029","0.473692865458691","1"
"Very low transfer dependency","2006","indirect migration background","Rural Area","71","0.599133436831024","0.510332641537408","0.687934232124641","1"
"Complete transfer dependency","2007","no migration background","Rural Area","77","0.0143230019383079","0.011430694752846","0.0172153091237698","5"
"Complete transfer dependency","2007","no migration background","Urban Area","101","0.0125593270345613","0.0105017664955352","0.0146168875735874","5"
"Complete transfer dependency","2007","direct migration background","Urban Area","50","0.0364646752919191","0.0276395921505141","0.0452897584333242","5"
"Complete transfer dependency","2007","direct migration background","Rural Area","10","","","","5"
"Complete transfer dependency","2007","indirect migration background","Urban Area","13","","","","5"
"Complete transfer dependency","2007","indirect migration background","Rural Area","1","","","","5"
"High transfer dependency","2007","no migration background","Urban Area","198","0.021051906103019","0.01839950331169","0.0237043088943479","3"
"High transfer dependency","2007","no migration background","Rural Area","160","0.0282708617992694","0.0242362457029624","0.0323054778955764","3"
"High transfer dependency","2007","direct migration background","Urban Area","81","0.06015195265821","0.0489575094761995","0.0713463958402204","3"
"High transfer dependency","2007","direct migration background","Rural Area","16","","","","3"
"High transfer dependency","2007","indirect migration background","Urban Area","29","","","","3"
"High transfer dependency","2007","indirect migration background","Rural Area","4","","","","3"
"Low transfer dependency","2007","no migration background","Urban Area","444","0.041590981001065","0.0379021482963848","0.0452798137057452","2"
"Low transfer dependency","2007","no migration background","Rural Area","494","0.0710176334640965","0.0647652311732513","0.0772700357549418","2"
"Low transfer dependency","2007","direct migration background","Urban Area","164","0.107207683606902","0.0926417948814242","0.12177357233238","2"
"Low transfer dependency","2007","direct migration background","Rural Area","55","0.155916205466723","0.119819244667117","0.192013166266328","2"
"Low transfer dependency","2007","indirect migration background","Urban Area","61","0.112355335228256","0.0890107129155636","0.135699957540948","2"
"Low transfer dependency","2007","indirect migration background","Rural Area","19","","","","2"
"No transfer dependency","2007","no migration background","Urban Area","5334","0.52251604267986","0.513287287219541","0.531744798140179","0"
"No transfer dependency","2007","no migration background","Rural Area","2716","0.46399606550137","0.451856553802205","0.476135577200535","0"
"No transfer dependency","2007","direct migration background","Urban Area","558","0.343518967472715","0.321160848548169","0.365877086397261","0"
"No transfer dependency","2007","direct migration background","Rural Area","153","0.366214408166135","0.31827737823049","0.41415143810178","0"
"No transfer dependency","2007","indirect migration background","Urban Area","162","0.220346379295143","0.18970740389952","0.250985354690767","0"
"No transfer dependency","2007","indirect migration background","Rural Area","21","","","","0"
"Very high transfer dependency","2007","no migration background","Urban Area","165","0.0172974017008654","0.0148885202947135","0.0197062831070174","4"
"Very high transfer dependency","2007","no migration background","Rural Area","137","0.0245036107248364","0.0207401450828365","0.0282670763668363","4"
"Very high transfer dependency","2007","direct migration background","Urban Area","49","0.0375124116875898","0.0285663091510332","0.0464585142241464","4"
"Very high transfer dependency","2007","direct migration background","Rural Area","12","","","","4"
"Very high transfer dependency","2007","indirect migration background","Urban Area","30","0.0625663195850225","0.0446639297742058","0.0804687093958391","4"
"Very high transfer dependency","2007","indirect migration background","Rural Area","9","","","","4"
"Very low transfer dependency","2007","no migration background","Rural Area","2899","0.39788882657212","0.385974231275068","0.409803421869171","1"
"Very low transfer dependency","2007","no migration background","Urban Area","5011","0.384984341480629","0.37599395107946","0.393974731881798","1"
"Very low transfer dependency","2007","direct migration background","Rural Area","142","0.3663689425994","0.318427645319156","0.414310239879644","1"
"Very low transfer dependency","2007","indirect migration background","Urban Area","408","0.545566637365981","0.508759720972046","0.582373553759917","1"
"Very low transfer dependency","2007","direct migration background","Urban Area","831","0.415144309282664","0.391945125028106","0.438343493537222","1"
"Very low transfer dependency","2007","indirect migration background","Rural Area","65","0.609346718701034","0.521686492497679","0.697006944904389","1"
"Complete transfer dependency","2008","no migration background","Urban Area","97","0.0149821802612493","0.0126718453577635","0.0172925151647351","5"
"Complete transfer dependency","2008","no migration background","Rural Area","56","0.0132729950022673","0.0103989950020775","0.016146995002457","5"
"Complete transfer dependency","2008","direct migration background","Urban Area","38","0.0404940400726017","0.0306460370414932","0.0503420431037102","5"
"Complete transfer dependency","2008","direct migration background","Rural Area","11","","","","5"
"Complete transfer dependency","2008","indirect migration background","Urban Area","12","","","","5"
"Complete transfer dependency","2008","indirect migration background","Rural Area","3","","","","5"
"High transfer dependency","2008","no migration background","Urban Area","152","0.0173603269749583","0.0148763847847765","0.01984426916514","3"
"High transfer dependency","2008","no migration background","Rural Area","123","0.0223358431818409","0.018624767477609","0.0260469188860728","3"
"High transfer dependency","2008","direct migration background","Urban Area","63","0.0498206923301537","0.0389505196173011","0.0606908650430063","3"
"High transfer dependency","2008","direct migration background","Rural Area","16","","","","3"
"High transfer dependency","2008","indirect migration background","Rural Area","2","","","","3"
"High transfer dependency","2008","indirect migration background","Urban Area","38","0.0817562573946212","0.0613566897181874","0.102155825071055","3"
"Low transfer dependency","2008","no migration background","Urban Area","426","0.0410483873785405","0.0372751703687171","0.044821604388364","2"
"Low transfer dependency","2008","direct migration background","Rural Area","32","0.135542410569266","0.0993699278320818","0.17171489330645","2"
"Low transfer dependency","2008","direct migration background","Urban Area","141","0.0885278159575269","0.0743359217236592","0.102719710191395","2"
"Low transfer dependency","2008","no migration background","Rural Area","385","0.0662241755385403","0.0599791619988927","0.0724691890781879","2"
"Low transfer dependency","2008","indirect migration background","Urban Area","54","0.0791878376573816","0.0590832005125853","0.0992924748021778","2"
"Low transfer dependency","2008","indirect migration background","Rural Area","22","","","","2"
"No transfer dependency","2008","no migration background","Urban Area","5159","0.532082560400209","0.522593143763991","0.541571977036427","0"
"No transfer dependency","2008","no migration background","Rural Area","2642","0.474222106168332","0.461682154865556","0.486762057471109","0"
"No transfer dependency","2008","direct migration background","Urban Area","502","0.344080844848846","0.320346120838528","0.367815568859165","0"
"No transfer dependency","2008","direct migration background","Rural Area","145","0.409030531939022","0.357075303914423","0.460985759963621","0"
"No transfer dependency","2008","indirect migration background","Rural Area","17","","","","0"
"No transfer dependency","2008","indirect migration background","Urban Area","165","0.231343055952073","0.199946935596431","0.262739176307715","0"
"Very high transfer dependency","2008","no migration background","Urban Area","115","0.0142575730301532","0.0120029708966415","0.0165121751636649","4"
"Very high transfer dependency","2008","no migration background","Rural Area","149","0.0245291970488796","0.020644540796388","0.0284138533013712","4"
"Very high transfer dependency","2008","direct migration background","Urban Area","46","0.0295390015690132","0.0210800657423302","0.0379979373956961","4"
"Very high transfer dependency","2008","direct migration background","Rural Area","15","","","","4"
"Very high transfer dependency","2008","indirect migration background","Urban Area","23","","","","4"
"Very high transfer dependency","2008","indirect migration background","Rural Area","8","","","","4"
"Very low transfer dependency","2008","no migration background","Rural Area","2736","0.399415683060139","0.387115733184181","0.411715632936097","1"
"Very low transfer dependency","2008","no migration background","Urban Area","4672","0.380268971954889","0.371036617876583","0.389501326033196","1"
"Very low transfer dependency","2008","indirect migration background","Urban Area","401","0.555025997000979","0.518025679067402","0.592026314934556","1"
"Very low transfer dependency","2008","direct migration background","Rural Area","125","0.330888851040293","0.281165651087059","0.380612050993526","1"
"Very low transfer dependency","2008","indirect migration background","Rural Area","65","0.559529005777373","0.469574044689944","0.649483966864803","1"
"Very low transfer dependency","2008","direct migration background","Urban Area","749","0.447537605221858","0.422695127516535","0.472380082927182","1"
"Complete transfer dependency","2009","no migration background","Urban Area","71","0.0114036316327258","0.00931706082330326","0.0134902024421484","5"
"Complete transfer dependency","2009","no migration background","Rural Area","56","0.0118831755160797","0.00909301461577542","0.014673336416384","5"
"Complete transfer dependency","2009","direct migration background","Urban Area","25","","","","5"
"Complete transfer dependency","2009","direct migration background","Rural Area","11","","","","5"
"Complete transfer dependency","2009","indirect migration background","Urban Area","8","","","","5"
"Complete transfer dependency","2009","indirect migration background","Rural Area","2","","","","5"
"High transfer dependency","2009","direct migration background","Urban Area","42","0.0381940420773016","0.027928087340123","0.0484599968144802","3"
"High transfer dependency","2009","no migration background","Urban Area","143","0.0138708572574022","0.0115724838927106","0.0161692306220938","3"
"High transfer dependency","2009","no migration background","Rural Area","109","0.0206738346434243","0.0170100237992275","0.0243376454876211","3"
"High transfer dependency","2009","direct migration background","Rural Area","15","","","","3"
"High transfer dependency","2009","indirect migration background","Urban Area","24","","","","3"
"High transfer dependency","2009","indirect migration background","Rural Area","6","","","","3"
"Low transfer dependency","2009","no migration background","Urban Area","386","0.0443875826942165","0.0403402055819829","0.0484349598064501","2"
"Low transfer dependency","2009","no migration background","Rural Area","379","0.0690672872839017","0.0625381741978728","0.0755964003699306","2"
"Low transfer dependency","2009","direct migration background","Urban Area","116","0.101577820913488","0.0853971143952743","0.117758527431702","2"
"Low transfer dependency","2009","direct migration background","Rural Area","41","0.102697638152112","0.0691746713127442","0.136220604991479","2"
"Low transfer dependency","2009","indirect migration background","Urban Area","58","0.114365302632446","0.0893545159609971","0.139376089303895","2"
"Low transfer dependency","2009","indirect migration background","Rural Area","22","","","","2"
"No transfer dependency","2009","no migration background","Urban Area","5008","0.544710261823525","0.534923731604185","0.554496792042865","0"
"No transfer dependency","2009","no migration background","Rural Area","2707","0.51051850138201","0.497646895636508","0.523390107127511","0"
"No transfer dependency","2009","direct migration background","Urban Area","449","0.331824415713063","0.306603707786281","0.357045123639845","0"
"No transfer dependency","2009","direct migration background","Rural Area","114","0.376138293734739","0.32264359407739","0.429632993392088","0"
"No transfer dependency","2009","indirect migration background","Urban Area","147","0.213013475773149","0.180836880633382","0.245190070912917","0"
"No transfer dependency","2009","indirect migration background","Rural Area","18","","","","0"
"Very high transfer dependency","2009","no migration background","Urban Area","103","0.0143004405577872","0.0119672563844345","0.0166336247311399","4"
"Very high transfer dependency","2009","no migration background","Rural Area","102","0.0182041870595628","0.0147618366382971","0.0216465374808285","4"
"Very high transfer dependency","2009","indirect migration background","Rural Area","3","","","","4"
"Very high transfer dependency","2009","direct migration background","Urban Area","35","0.0205748289412848","0.0129713639673563","0.0281782939152133","4"
"Very high transfer dependency","2009","direct migration background","Rural Area","6","","","","4"
"Very high transfer dependency","2009","indirect migration background","Urban Area","22","","","","4"
"Very low transfer dependency","2009","no migration background","Rural Area","2441","0.369653014115022","0.357223738692946","0.382082289537097","1"
"Very low transfer dependency","2009","no migration background","Urban Area","4236","0.371327226034344","0.361832274440208","0.380822177628479","1"
"Very low transfer dependency","2009","direct migration background","Rural Area","128","0.388878602457126","0.335043743090938","0.442713461823315","1"
