"transab_cat","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Very high transfer dependency","2000","35-65 y.","Couple + C. GT 16 ","16","","","","4"
"Very low transfer dependency","2000","35-65 y.","1-pers.-HH","132","0.101835824710386","0.0855943995484716","0.1180772498723","1"
"Very low transfer dependency","2000","35-65 y.","(Married) couple without C. ","670","0.152235596629606","0.141396637944249","0.163074555314963","1"
"Very low transfer dependency","2000","66 and older","Couple + C. LE and GT 16","2","","","","1"
"Very low transfer dependency","2000","16-34 y.","1-pers.-HH","92","0.0900706329044832","0.0710255145236696","0.109115751285297","1"
"Very low transfer dependency","2000","16-34 y.","(Married) couple without C. ","292","0.232392075571485","0.208940638975366","0.255843512167603","1"
"Very low transfer dependency","2000","16-34 y.","Single parent ","257","0.544489319589293","0.500749460008774","0.588229179169812","1"
"Very low transfer dependency","2000","16-34 y.","Couple + C. LE 16 ","1525","0.766060309338645","0.747347466477021","0.784773152200269","1"
"Very low transfer dependency","2000","16-34 y.","Couple + C. GT 16 ","1026","0.707233967852206","0.683853214880718","0.730614720823693","1"
"Very low transfer dependency","2000","16-34 y.","Couple + C. LE and GT 16","599","0.827599058996234","0.800179268200198","0.85501884979227","1"
"Very low transfer dependency","2000","35-65 y.","Single parent ","327","0.54776120629413","0.508393197585291","0.58712921500297","1"
"Very low transfer dependency","2000","66 and older","Couple + C. GT 16 ","42","0.204022826292549","0.141186724569235","0.266858928015863","1"
"Very low transfer dependency","2000","66 and older","Couple + C. LE 16 ","4","","","","1"
"Very low transfer dependency","2000","66 and older","(Married) couple without C. ","85","0.0425682537492706","0.0338735483647703","0.051262959133771","1"
"Very low transfer dependency","2000","66 and older","Single parent ","14","","","","1"
"Very low transfer dependency","2000","66 and older","1-pers.-HH","78","0.0721234843378631","0.0570603074041955","0.0871866612715308","1"
"Very low transfer dependency","2000","35-65 y.","Couple + C. LE and GT 16","1009","0.840432085232724","0.819738326837719","0.861125843627729","1"
"Very low transfer dependency","2000","35-65 y.","Couple + C. LE 16 ","2782","0.885523646340046","0.874468024363775","0.896579268316317","1"
"Very low transfer dependency","2000","35-65 y.","Couple + C. GT 16 ","1498","0.63403457675945","0.614399587193786","0.653669566325114","1"
"Complete transfer dependency","2001","16-34 y.","Couple + C. GT 16 ","2","","","","5"
"Complete transfer dependency","2001","16-34 y.","Couple + C. LE 16 ","18","","","","5"
"Complete transfer dependency","2001","16-34 y.","(Married) couple without C. ","2","","","","5"
"Complete transfer dependency","2001","16-34 y.","Single parent ","28","","","","5"
"Complete transfer dependency","2001","16-34 y.","1-pers.-HH","10","","","","5"
"Complete transfer dependency","2001","66 and older","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","2001","66 and older","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","2001","66 and older","Couple + C. LE and GT 16","","","","","5"
"Complete transfer dependency","2001","16-34 y.","Couple + C. LE and GT 16","3","","","","5"
"Complete transfer dependency","2001","35-65 y.","1-pers.-HH","49","0.0353388848019791","0.0250037376989736","0.0456740319049847","5"
"Complete transfer dependency","2001","35-65 y.","(Married) couple without C. ","14","","","","5"
"Complete transfer dependency","2001","35-65 y.","Single parent ","18","","","","5"
"Complete transfer dependency","2001","35-65 y.","Couple + C. LE 16 ","24","","","","5"
"Complete transfer dependency","2001","35-65 y.","Couple + C. GT 16 ","4","","","","5"
"Complete transfer dependency","2001","35-65 y.","Couple + C. LE and GT 16","6","","","","5"
"Complete transfer dependency","2001","66 and older","1-pers.-HH","1","","","","5"
"Complete transfer dependency","2001","66 and older","(Married) couple without C. ","4","","","","5"
"Complete transfer dependency","2001","66 and older","Single parent ","","","","","5"
"High transfer dependency","2001","16-34 y.","1-pers.-HH","23","","","","3"
"High transfer dependency","2001","16-34 y.","Couple + C. LE 16 ","69","0.0432693498157739","0.0335804064713284","0.0529582931602194","3"
"High transfer dependency","2001","16-34 y.","Couple + C. GT 16 ","18","","","","3"
"High transfer dependency","2001","16-34 y.","Couple + C. LE and GT 16","14","","","","3"
"High transfer dependency","2001","35-65 y.","1-pers.-HH","23","","","","3"
"High transfer dependency","2001","35-65 y.","(Married) couple without C. ","81","0.0177399033453266","0.0135400794870553","0.0219397272035979","3"
"High transfer dependency","2001","35-65 y.","Single parent ","33","0.0522396899628846","0.0338434321476551","0.0706359477781141","3"
"High transfer dependency","2001","35-65 y.","Couple + C. LE 16 ","50","0.0153668123828359","0.010946695686933","0.0197869290787387","3"
"High transfer dependency","2001","35-65 y.","Couple + C. GT 16 ","28","","","","3"
"High transfer dependency","2001","35-65 y.","Couple + C. LE and GT 16","21","","","","3"
"High transfer dependency","2001","66 and older","1-pers.-HH","7","","","","3"
"High transfer dependency","2001","66 and older","Couple + C. GT 16 ","","","","","3"
"High transfer dependency","2001","66 and older","Couple + C. LE and GT 16","","","","","3"
"High transfer dependency","2001","16-34 y.","Single parent ","34","0.0585338154282133","0.0371741286177958","0.0798935022386309","3"
"High transfer dependency","2001","66 and older","Couple + C. LE 16 ","","","","","3"
"High transfer dependency","2001","16-34 y.","(Married) couple without C. ","13","","","","3"
"High transfer dependency","2001","66 and older","Single parent ","3","","","","3"
"High transfer dependency","2001","66 and older","(Married) couple without C. ","6","","","","3"
"Low transfer dependency","2001","16-34 y.","Couple + C. GT 16 ","83","0.0526526696290091","0.0406225785809059","0.0646827606771123","2"
"Low transfer dependency","2001","16-34 y.","Couple + C. LE 16 ","253","0.138958914970683","0.122486907428174","0.155430922513191","2"
"Low transfer dependency","2001","66 and older","Couple + C. GT 16 ","5","","","","2"
"Low transfer dependency","2001","16-34 y.","Single parent ","50","0.0897843957379745","0.0637731189133185","0.115795672562631","2"
"Low transfer dependency","2001","66 and older","Couple + C. LE 16 ","","","","","2"
"Low transfer dependency","2001","16-34 y.","1-pers.-HH","42","0.0510950272265645","0.0350337465735437","0.0671563078795853","2"
"Low transfer dependency","2001","16-34 y.","(Married) couple without C. ","52","0.0514378163209833","0.0382211357140013","0.0646544969279652","2"
"Low transfer dependency","2001","16-34 y.","Couple + C. LE and GT 16","85","0.109642476368472","0.0854738364473649","0.13381111628958","2"
"Low transfer dependency","2001","35-65 y.","1-pers.-HH","35","0.024367872060804","0.0157369994714757","0.0329987446501323","2"
"Low transfer dependency","2001","35-65 y.","(Married) couple without C. ","199","0.0414942965958195","0.0351492654967","0.047839327694939","2"
"Low transfer dependency","2001","35-65 y.","Single parent ","62","0.0942582698130053","0.0701013335308746","0.118415206095136","2"
"Low transfer dependency","2001","35-65 y.","Couple + C. LE 16 ","236","0.070999372919342","0.061770686996104","0.08022805884258","2"
"Low transfer dependency","2001","35-65 y.","Couple + C. GT 16 ","126","0.0516425921187542","0.0421525332175536","0.0611326510199549","2"
"Low transfer dependency","2001","35-65 y.","Couple + C. LE and GT 16","122","0.0914740531218689","0.074184646297408","0.10876345994633","2"
"Low transfer dependency","2001","66 and older","1-pers.-HH","23","","","","2"
"Low transfer dependency","2001","66 and older","(Married) couple without C. ","22","","","","2"
"Low transfer dependency","2001","66 and older","Single parent ","7","","","","2"
"Low transfer dependency","2001","66 and older","Couple + C. LE and GT 16","","","","","2"
"No transfer dependency","2001","16-34 y.","Couple + C. LE 16 ","46","0.0420614325333618","0.0325026573518251","0.0516202077148986","0"
"No transfer dependency","2001","16-34 y.","Couple + C. GT 16 ","213","0.187401001383765","0.166381220065576","0.208420782701954","0"
"No transfer dependency","2001","16-34 y.","Couple + C. LE and GT 16","1","","","","0"
"No transfer dependency","2001","35-65 y.","1-pers.-HH","917","0.771069456059907","0.747551397035023","0.794587515084791","0"
"No transfer dependency","2001","35-65 y.","(Married) couple without C. ","2633","0.713390742984997","0.699004379056429","0.727777106913566","0"
"No transfer dependency","2001","35-65 y.","Single parent ","106","0.165368515877437","0.13465328888246","0.196083742872414","0"
"No transfer dependency","2001","35-65 y.","Couple + C. LE 16 ","24","","","","0"
"No transfer dependency","2001","35-65 y.","Couple + C. GT 16 ","467","0.256367118495348","0.237643519790512","0.275090717200184","0"
"No transfer dependency","2001","35-65 y.","Couple + C. LE and GT 16","2","","","","0"
"No transfer dependency","2001","66 and older","1-pers.-HH","920","0.886757453934018","0.867488969623296","0.90602593824474","0"
"No transfer dependency","2001","16-34 y.","1-pers.-HH","549","0.79418619381347","0.764695980710358","0.823676406916582","0"
"No transfer dependency","2001","16-34 y.","(Married) couple without C. ","725","0.686792234623275","0.659041327842618","0.714543141403931","0"
"No transfer dependency","2001","16-34 y.","Single parent ","63","0.127083937115095","0.0967784915332245","0.157389382696966","0"
"No transfer dependency","2001","66 and older","Couple + C. LE and GT 16","","","","","0"
"No transfer dependency","2001","66 and older","Couple + C. GT 16 ","93","0.652402980433113","0.578149718355832","0.726656242510394","0"
"No transfer dependency","2001","66 and older","Couple + C. LE 16 ","","","","","0"
"No transfer dependency","2001","66 and older","Single parent ","41","0.539156146898985","0.424810182689753","0.653502111108217","0"
"No transfer dependency","2001","66 and older","(Married) couple without C. ","1815","0.909803688561886","0.897227105106463","0.922380272017309","0"
"Very high transfer dependency","2001","35-65 y.","(Married) couple without C. ","51","0.0156835458939587","0.0117305013971136","0.0196365903908038","4"
"Very high transfer dependency","2001","35-65 y.","Single parent ","27","","","","4"
"Very high transfer dependency","2001","35-65 y.","1-pers.-HH","37","0.0300336736044904","0.0204796697315364","0.0395876774774444","4"
"Very high transfer dependency","2001","16-34 y.","Couple + C. LE and GT 16","9","","","","4"
"Very high transfer dependency","2001","16-34 y.","Couple + C. GT 16 ","7","","","","4"
"Very high transfer dependency","2001","66 and older","Couple + C. LE and GT 16","","","","","4"
"Very high transfer dependency","2001","16-34 y.","Single parent ","40","0.0848393392011987","0.0594859273722565","0.110192751030141","4"
"Very high transfer dependency","2001","16-34 y.","Couple + C. LE 16 ","35","0.0235314705258453","0.0163130023276736","0.030749938724017","4"
"Very high transfer dependency","2001","66 and older","Couple + C. GT 16 ","","","","","4"
"Very high transfer dependency","2001","16-34 y.","(Married) couple without C. ","10","","","","4"
"Very high transfer dependency","2001","16-34 y.","1-pers.-HH","27","","","","4"
"Very high transfer dependency","2001","35-65 y.","Couple + C. LE 16 ","38","0.010655391275097","0.00696592875605658","0.0143448537941375","4"
"Very high transfer dependency","2001","35-65 y.","Couple + C. GT 16 ","12","","","","4"
"Very high transfer dependency","2001","35-65 y.","Couple + C. LE and GT 16","12","","","","4"
"Very high transfer dependency","2001","66 and older","1-pers.-HH","2","","","","4"
"Very high transfer dependency","2001","66 and older","(Married) couple without C. ","","","","","4"
"Very high transfer dependency","2001","66 and older","Single parent ","","","","","4"
"Very high transfer dependency","2001","66 and older","Couple + C. LE 16 ","","","","","4"
"Very low transfer dependency","2001","16-34 y.","Single parent ","249","0.575830346308439","0.530862077094606","0.620798615522272","1"
"Very low transfer dependency","2001","16-34 y.","Couple + C. LE 16 ","1273","0.741747251716691","0.720905134362902","0.762589369070479","1"
"Very low transfer dependency","2001","16-34 y.","Couple + C. GT 16 ","1001","0.743932670914216","0.720422921495704","0.767442420332728","1"
"Very low transfer dependency","2001","16-34 y.","Couple + C. LE and GT 16","530","0.840866854241132","0.812570888709176","0.869162819773089","1"
"Very low transfer dependency","2001","35-65 y.","1-pers.-HH","165","0.126481496518399","0.107875522586543","0.145087470450255","1"
"Very low transfer dependency","2001","35-65 y.","(Married) couple without C. ","817","0.208895309998743","0.195961587898037","0.221829032099449","1"
"Very low transfer dependency","2001","35-65 y.","Single parent ","316","0.620543957915854","0.580425249288531","0.660662666543177","1"
"Very low transfer dependency","2001","66 and older","Couple + C. LE and GT 16","2","","","","1"
"Very low transfer dependency","2001","66 and older","Couple + C. GT 16 ","60","0.326044111903969","0.25295150286199","0.399136720945947","1"
"Very low transfer dependency","2001","16-34 y.","1-pers.-HH","71","0.0816652000398486","0.0616896600436764","0.101640740036021","1"
"Very low transfer dependency","2001","16-34 y.","(Married) couple without C. ","271","0.24428067264369","0.218572391048392","0.269988954238987","1"
"Very low transfer dependency","2001","66 and older","Couple + C. LE 16 ","3","","","","1"
"Very low transfer dependency","2001","35-65 y.","Couple + C. LE 16 ","2603","0.88327777331539","0.871739786483651","0.89481576014713","1"
"Very low transfer dependency","2001","35-65 y.","Couple + C. GT 16 ","1452","0.675103938055737","0.655020576105473","0.695187300006001","1"
"Very low transfer dependency","2001","35-65 y.","Couple + C. LE and GT 16","905","0.860298801226087","0.839507235764434","0.881090366687741","1"
"Very low transfer dependency","2001","66 and older","1-pers.-HH","86","0.0814547054073001","0.0648225438728521","0.0980868669417482","1"
"Very low transfer dependency","2001","66 and older","(Married) couple without C. ","146","0.0718683570461628","0.0605295310758953","0.0832071830164304","1"
"Very low transfer dependency","2001","66 and older","Single parent ","22","","","","1"
"Complete transfer dependency","2002","16-34 y.","Couple + C. GT 16 ","3","","","","5"
"Complete transfer dependency","2002","16-34 y.","Couple + C. LE 16 ","17","","","","5"
"Complete transfer dependency","2002","16-34 y.","Single parent ","20","","","","5"
"Complete transfer dependency","2002","16-34 y.","(Married) couple without C. ","3","","","","5"
"Complete transfer dependency","2002","16-34 y.","1-pers.-HH","19","","","","5"
"Complete transfer dependency","2002","66 and older","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","2002","66 and older","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","2002","66 and older","Couple + C. LE and GT 16","","","","","5"
"Complete transfer dependency","2002","16-34 y.","Couple + C. LE and GT 16","3","","","","5"
"Complete transfer dependency","2002","35-65 y.","1-pers.-HH","59","0.0478204633694968","0.0359339610190561","0.0597069657199375","5"
"Complete transfer dependency","2002","35-65 y.","(Married) couple without C. ","27","","","","5"
"Complete transfer dependency","2002","35-65 y.","Single parent ","21","","","","5"
"Complete transfer dependency","2002","35-65 y.","Couple + C. LE 16 ","26","","","","5"
"Complete transfer dependency","2002","35-65 y.","Couple + C. GT 16 ","6","","","","5"
"Complete transfer dependency","2002","35-65 y.","Couple + C. LE and GT 16","4","","","","5"
"Complete transfer dependency","2002","66 and older","1-pers.-HH","2","","","","5"
"Complete transfer dependency","2002","66 and older","(Married) couple without C. ","4","","","","5"
"Complete transfer dependency","2002","66 and older","Single parent ","","","","","5"
"High transfer dependency","2002","16-34 y.","1-pers.-HH","27","","","","3"
"High transfer dependency","2002","16-34 y.","Couple + C. LE 16 ","58","0.0403674482078884","0.0302716700914171","0.0504632263243596","3"
"High transfer dependency","2002","16-34 y.","Couple + C. GT 16 ","20","","","","3"
"High transfer dependency","2002","16-34 y.","Couple + C. LE and GT 16","21","","","","3"
"High transfer dependency","2002","35-65 y.","1-pers.-HH","28","","","","3"
"High transfer dependency","2002","35-65 y.","(Married) couple without C. ","58","0.0154998261260823","0.011778960589179","0.0192206916629857","3"
"High transfer dependency","2002","35-65 y.","Single parent ","32","0.0805779285373913","0.0580746681710136","0.103081188903769","3"
"High transfer dependency","2002","35-65 y.","Couple + C. LE 16 ","53","0.0207627032348157","0.0158200209570319","0.0257053855125995","3"
"High transfer dependency","2002","35-65 y.","Couple + C. GT 16 ","36","0.0197751567740027","0.0140665804885108","0.0254837330594946","3"
"High transfer dependency","2002","35-65 y.","Couple + C. LE and GT 16","31","0.0381027241229913","0.0272754545980387","0.0489299936479438","3"
"High transfer dependency","2002","66 and older","1-pers.-HH","9","","","","3"
"High transfer dependency","2002","66 and older","Couple + C. GT 16 ","1","","","","3"
"High transfer dependency","2002","66 and older","Couple + C. LE and GT 16","","","","","3"
"High transfer dependency","2002","16-34 y.","Single parent ","39","0.102005947515973","0.0744378324497099","0.129574062582237","3"
"High transfer dependency","2002","66 and older","Couple + C. LE 16 ","","","","","3"
"High transfer dependency","2002","16-34 y.","(Married) couple without C. ","20","","","","3"
"High transfer dependency","2002","66 and older","Single parent ","2","","","","3"
"High transfer dependency","2002","66 and older","(Married) couple without C. ","7","","","","3"
"Low transfer dependency","2002","16-34 y.","Couple + C. GT 16 ","96","0.0827180027905819","0.0685594996090855","0.0968765059720784","2"
"Low transfer dependency","2002","16-34 y.","Couple + C. LE 16 ","199","0.126460061617298","0.109411421606007","0.143508701628589","2"
"Low transfer dependency","2002","66 and older","Couple + C. GT 16 ","7","","","","2"
"Low transfer dependency","2002","16-34 y.","Single parent ","48","0.10202727464909","0.0744566052033042","0.129597944094876","2"
"Low transfer dependency","2002","66 and older","Couple + C. LE 16 ","","","","","2"
"Low transfer dependency","2002","16-34 y.","1-pers.-HH","33","0.0491445031528445","0.0332662460687117","0.0650227602369774","2"
"Low transfer dependency","2002","16-34 y.","(Married) couple without C. ","59","0.0598344973844133","0.0452718954454974","0.0743970993233291","2"
"Low transfer dependency","2002","16-34 y.","Couple + C. LE and GT 16","58","0.0952423622753899","0.0736651914961937","0.116819533054586","2"
"Low transfer dependency","2002","35-65 y.","1-pers.-HH","51","0.0409656979546178","0.0299245299446741","0.0520068659645614","2"
"Low transfer dependency","2002","35-65 y.","(Married) couple without C. ","159","0.0394964742724636","0.0336296739054269","0.0453632746395003","2"
"Low transfer dependency","2002","35-65 y.","Single parent ","54","0.087480022866048","0.0641209518160825","0.110839093916014","2"
"Low transfer dependency","2002","35-65 y.","Couple + C. LE 16 ","201","0.0697097645615172","0.06088236444567","0.0785371646773645","2"
"Low transfer dependency","2002","35-65 y.","Couple + C. GT 16 ","139","0.074603181286278","0.0638299083265688","0.0853764542459871","2"
"Low transfer dependency","2002","35-65 y.","Couple + C. LE and GT 16","104","0.10015091202533","0.0831728200478996","0.11712900400276","2"
"Low transfer dependency","2002","66 and older","1-pers.-HH","23","","","","2"
"Low transfer dependency","2002","66 and older","(Married) couple without C. ","16","","","","2"
"Low transfer dependency","2002","66 and older","Single parent ","6","","","","2"
"Low transfer dependency","2002","66 and older","Couple + C. LE and GT 16","","","","","2"
"No transfer dependency","2002","16-34 y.","Couple + C. LE 16 ","13","","","","0"
"No transfer dependency","2002","16-34 y.","Couple + C. GT 16 ","227","0.177655127989888","0.15800878345288","0.197301472526896","0"
"No transfer dependency","2002","16-34 y.","Couple + C. LE and GT 16","3","","","","0"
"No transfer dependency","2002","35-65 y.","1-pers.-HH","914","0.763319425777936","0.739642667885859","0.786996183670012","0"
"No transfer dependency","2002","35-65 y.","(Married) couple without C. ","3001","0.725228956656908","0.711782875951079","0.738675037362737","0"
"No transfer dependency","2002","35-65 y.","Single parent ","117","0.182220467514321","0.150305336624315","0.214135598404327","0"
"No transfer dependency","2002","35-65 y.","Couple + C. LE 16 ","15","","","","0"
"No transfer dependency","2002","35-65 y.","Couple + C. GT 16 ","465","0.235602881021922","0.218202658270754","0.25300310377309","0"
"No transfer dependency","2002","35-65 y.","Couple + C. LE and GT 16","5","","","","0"
"No transfer dependency","2002","66 and older","1-pers.-HH","921","0.879366262362511","0.859599969370833","0.89913255535419","0"
"No transfer dependency","2002","16-34 y.","1-pers.-HH","529","0.77254862031048","0.741758223024581","0.803339017596378","0"
"No transfer dependency","2002","16-34 y.","(Married) couple without C. ","667","0.653724190178023","0.624511647916278","0.682936732439768","0"
"No transfer dependency","2002","16-34 y.","Single parent ","70","0.131924855094077","0.101100104655794","0.16274960553236","0"
"No transfer dependency","2002","66 and older","Couple + C. LE and GT 16","","","","","0"
"No transfer dependency","2002","66 and older","Couple + C. LE 16 ","","","","","0"
"No transfer dependency","2002","66 and older","Couple + C. GT 16 ","99","0.644078279080675","0.571243196004288","0.716913362157062","0"
"No transfer dependency","2002","66 and older","Single parent ","48","0.61155978893415","0.501981920856396","0.721137657011903","0"
"No transfer dependency","2002","66 and older","(Married) couple without C. ","1978","0.90679593525945","0.894552844367799","0.919039026151102","0"
"Very high transfer dependency","2002","16-34 y.","Couple + C. LE 16 ","17","","","","4"
"Very high transfer dependency","2002","16-34 y.","Couple + C. GT 16 ","6","","","","4"
"Very high transfer dependency","2002","16-34 y.","Couple + C. LE and GT 16","7","","","","4"
"Very high transfer dependency","2002","35-65 y.","1-pers.-HH","23","","","","4"
"Very high transfer dependency","2002","35-65 y.","(Married) couple without C. ","46","0.0144829671039528","0.0108843677003828","0.0180815665075228","4"
"Very high transfer dependency","2002","35-65 y.","Single parent ","24","","","","4"
"Very high transfer dependency","2002","16-34 y.","Single parent ","45","0.0898293491553355","0.0637841228304694","0.115874575480202","4"
"Very high transfer dependency","2002","66 and older","Couple + C. GT 16 ","","","","","4"
"Very high transfer dependency","2002","66 and older","Couple + C. LE and GT 16","","","","","4"
"Very high transfer dependency","2002","16-34 y.","(Married) couple without C. ","4","","","","4"
"Very high transfer dependency","2002","16-34 y.","1-pers.-HH","19","","","","4"
"Very high transfer dependency","2002","35-65 y.","Couple + C. LE 16 ","22","","","","4"
"Very high transfer dependency","2002","35-65 y.","Couple + C. GT 16 ","12","","","","4"
"Very high transfer dependency","2002","35-65 y.","Couple + C. LE and GT 16","10","","","","4"
"Very high transfer dependency","2002","66 and older","1-pers.-HH","1","","","","4"
"Very high transfer dependency","2002","66 and older","(Married) couple without C. ","","","","","4"
"Very high transfer dependency","2002","66 and older","Single parent ","","","","","4"
"Very high transfer dependency","2002","66 and older","Couple + C. LE 16 ","","","","","4"
"Very low transfer dependency","2002","16-34 y.","Single parent ","241","0.528551817159428","0.483082507169764","0.574021127149091","1"
"Very low transfer dependency","2002","16-34 y.","Couple + C. LE 16 ","1156","0.793935905379379","0.773188416172114","0.814683394586644","1"
"Very low transfer dependency","2002","16-34 y.","Couple + C. GT 16 ","1102","0.716127933877179","0.692952785446049","0.739303082308309","1"
"Very low transfer dependency","2002","16-34 y.","Couple + C. LE and GT 16","619","0.828766168469397","0.8010760964677","0.856456240471093","1"
"Very low transfer dependency","2002","35-65 y.","1-pers.-HH","163","0.11255545425522","0.0949502262702447","0.130160682240195","1"
"Very low transfer dependency","2002","35-65 y.","(Married) couple without C. ","943","0.198332664765323","0.186322004523944","0.210343325006702","1"
"Very low transfer dependency","2002","35-65 y.","Single parent ","314","0.580145329015514","0.539341790434775","0.620948867596252","1"
"Very low transfer dependency","2002","66 and older","Couple + C. LE and GT 16","5","","","","1"
"Very low transfer dependency","2002","66 and older","Couple + C. GT 16 ","59","0.318416402919509","0.247548215009052","0.389284590829966","1"
"Very low transfer dependency","2002","16-34 y.","(Married) couple without C. ","266","0.239725922848316","0.213513715787819","0.265938129908813","1"
"Very low transfer dependency","2002","66 and older","Single parent ","20","","","","1"
"Very low transfer dependency","2002","66 and older","Couple + C. LE 16 ","5","","","","1"
"Very low transfer dependency","2002","16-34 y.","1-pers.-HH","85","0.0973121625341249","0.0755420611487041","0.119082263919546","1"
"Very low transfer dependency","2002","66 and older","(Married) couple without C. ","161","0.0777553945739168","0.0664780411418177","0.0890327480060158","1"
"Very low transfer dependency","2002","66 and older","1-pers.-HH","87","0.0825215308391508","0.0658226442428852","0.0992204174354164","1"
"Very low transfer dependency","2002","35-65 y.","Couple + C. LE and GT 16","1047","0.83870178635912","0.817900262553613","0.859503310164627","1"
"Very low transfer dependency","2002","35-65 y.","Couple + C. LE 16 ","2880","0.878597133463956","0.867276098425325","0.889918168502587","1"
"Very low transfer dependency","2002","35-65 y.","Couple + C. GT 16 ","1627","0.660968704623934","0.641559160646037","0.68037824860183","1"
"Complete transfer dependency","2003","16-34 y.","Couple + C. GT 16 ","6","","","","5"
"Complete transfer dependency","2003","16-34 y.","Couple + C. LE 16 ","25","","","","5"
"Complete transfer dependency","2003","16-34 y.","Single parent ","25","","","","5"
"Complete transfer dependency","2003","16-34 y.","(Married) couple without C. ","4","","","","5"
"Complete transfer dependency","2003","16-34 y.","1-pers.-HH","21","","","","5"
"Complete transfer dependency","2003","16-34 y.","Couple + C. LE and GT 16","7","","","","5"
"Complete transfer dependency","2003","35-65 y.","1-pers.-HH","57","0.0454696403644766","0.0338506004169227","0.0570886803120306","5"
"Complete transfer dependency","2003","35-65 y.","(Married) couple without C. ","20","","","","5"
"Complete transfer dependency","2003","35-65 y.","Single parent ","23","","","","5"
"Complete transfer dependency","2003","35-65 y.","Couple + C. LE 16 ","26","","","","5"
"Complete transfer dependency","2003","35-65 y.","Couple + C. GT 16 ","10","","","","5"
"Complete transfer dependency","2003","35-65 y.","Couple + C. LE and GT 16","10","","","","5"
"Complete transfer dependency","2003","66 and older","1-pers.-HH","","","","","5"
"Complete transfer dependency","2003","66 and older","(Married) couple without C. ","4","","","","5"
"Complete transfer dependency","2003","66 and older","Single parent ","","","","","5"
"Complete transfer dependency","2003","66 and older","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","2003","66 and older","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","2003","66 and older","Couple + C. LE and GT 16","","","","","5"
"High transfer dependency","2003","16-34 y.","Couple + C. LE 16 ","63","0.0388120012477792","0.0285127037113736","0.0491112987841849","3"
"High transfer dependency","2003","16-34 y.","Couple + C. GT 16 ","30","0.0242518571578457","0.016289990813275","0.0322137235024164","3"
"High transfer dependency","2003","16-34 y.","Couple + C. LE and GT 16","9","","","","3"
"High transfer dependency","2003","35-65 y.","1-pers.-HH","22","","","","3"
"High transfer dependency","2003","35-65 y.","(Married) couple without C. ","57","0.0135809763664619","0.0100039406690635","0.0171580120638604","3"
"High transfer dependency","2003","35-65 y.","Single parent ","33","0.0660184975045099","0.0454522038226269","0.086584791186393","3"
"High transfer dependency","2003","35-65 y.","Couple + C. LE 16 ","47","0.0188565613572487","0.0139457243005337","0.0237673984139636","3"
"High transfer dependency","2003","35-65 y.","Couple + C. GT 16 ","42","0.0206691963286396","0.0147943839963845","0.0265440086608946","3"
"High transfer dependency","2003","35-65 y.","Couple + C. LE and GT 16","18","","","","3"
"High transfer dependency","2003","66 and older","1-pers.-HH","9","","","","3"
"High transfer dependency","2003","16-34 y.","1-pers.-HH","29","","","","3"
"High transfer dependency","2003","16-34 y.","(Married) couple without C. ","23","","","","3"
"High transfer dependency","2003","16-34 y.","Single parent ","43","0.0909897534965215","0.0645059947156355","0.117473512277407","3"
"High transfer dependency","2003","66 and older","(Married) couple without C. ","5","","","","3"
"High transfer dependency","2003","66 and older","Single parent ","1","","","","3"
"High transfer dependency","2003","66 and older","Couple + C. LE 16 ","","","","","3"
"High transfer dependency","2003","66 and older","Couple + C. GT 16 ","","","","","3"
"High transfer dependency","2003","66 and older","Couple + C. LE and GT 16","","","","","3"
"Low transfer dependency","2003","16-34 y.","Couple + C. LE 16 ","183","0.125445923656358","0.107783836339142","0.143108010973573","2"
"Low transfer dependency","2003","16-34 y.","Single parent ","58","0.120251416945471","0.0902995857630223","0.15020324812792","2"
"Low transfer dependency","2003","16-34 y.","1-pers.-HH","40","0.0561216255365157","0.0386419198788772","0.0736013311941542","2"
"Low transfer dependency","2003","16-34 y.","(Married) couple without C. ","73","0.0546756617461941","0.0407168502413661","0.0686344732510222","2"
"Low transfer dependency","2003","16-34 y.","Couple + C. GT 16 ","85","0.068784610437918","0.0556854268571459","0.0818837940186901","2"
"Low transfer dependency","2003","66 and older","1-pers.-HH","27","","","","2"
"Low transfer dependency","2003","66 and older","(Married) couple without C. ","19","","","","2"
"Low transfer dependency","2003","66 and older","Single parent ","6","","","","2"
"Low transfer dependency","2003","66 and older","Couple + C. LE 16 ","","","","","2"
"Low transfer dependency","2003","66 and older","Couple + C. GT 16 ","10","","","","2"
"Low transfer dependency","2003","35-65 y.","Couple + C. LE and GT 16","138","0.12852811520037","0.109083349265697","0.147972881135043","2"
"Low transfer dependency","2003","16-34 y.","Couple + C. LE and GT 16","83","0.131629617631852","0.105933555158384","0.157325680105321","2"
"Low transfer dependency","2003","35-65 y.","1-pers.-HH","36","0.0245792480230067","0.0159436005790507","0.0332148954669627","2"
"Low transfer dependency","2003","35-65 y.","(Married) couple without C. ","172","0.0402628105673309","0.0341876849318197","0.0463379362028421","2"
"Low transfer dependency","2003","35-65 y.","Single parent ","65","0.114412086497667","0.0880484162613854","0.140775756733948","2"
