"year","e11102","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2012","Not Employed","Rural Area","16.22","10","731","2","5","19","34","120","14.66","17.78","1","210","7","9"
"2012","Not Employed","Urban Area","14.31","8","1162","2","4","18","30","90","13.13","15.49","1","300","7","8"
"2013","Employed","Rural Area","8.23","5","653","1","3","10","17","52","7.27","9.19","1","135","4","5"
"2013","Employed","Urban Area","8.84","5","1094","1","3","9","17","90","8","9.68","1","120","4","5"
"2013","Not Employed","Rural Area","13.81","7","641","2","5","14","28","133","12.24","15.38","1","250","7","8"
"2013","Not Employed","Urban Area","14.73","8","1074","2","4","15","32","100","13.47","15.99","1","270","7","8"
"2014","Employed","Rural Area","9.3","5","551","1","2","10","23","65","8.26","10.34","1","100","5","5"
"2014","Employed","Urban Area","8.1","5","923","1","3","10","17","63","7.33","8.87","1","100","4","5"
"2014","Not Employed","Rural Area","14.65","8","597","2","4","16","30","150","12.86","16.44","1","210","7","9"
"2014","Not Employed","Urban Area","13.04","8","945","2","4","15","30","85","11.99","14.09","1","185","7","8"
"2015","Employed","Rural Area","8.1","4","655","1","3","8","15","60","7.06","9.14","1","150","4","5"
"2015","Employed","Urban Area","7.22","4","1029","1","2","7","14","60","6.31","8.13","1","240","4","4"
"2015","Not Employed","Rural Area","12.29","8","603","2","4","14","28","77","10.67","13.91","1","300","7","8"
"2015","Not Employed","Urban Area","13.46","7","1050","2","4","14","30","90","12.38","14.54","1","260","6","7"
"2016","Employed","Rural Area","9.09","5","616","1","3","8","15","70","7.96","10.22","1","210","4","5"
"2016","Employed","Urban Area","7.37","4","1030","1","2","8","14","60","6.48","8.26","1","180","4","4"
"2016","Not Employed","Rural Area","12.23","7","563","2","4","14","28","84","10.37","14.09","1","300","6","8"
"2016","Not Employed","Urban Area","12.97","7","994","2","4","15","28","91","11.83","14.11","1","209","6","7"
"2017","Employed","Rural Area","8.22","5","678","1","3","9","20","50","7.45","8.99","1","90","4","5"
"2017","Employed","Urban Area","8.98","4","1183","1","2","8","19","90","8.05","9.91","1","205","4","4"
"2017","Not Employed","Rural Area","12.12","7","631","2","4","14","28","75","10.67","13.57","1","200","7","8"
"2017","Not Employed","Urban Area","13.16","7","1090","2","4","16","30","91","12.06","14.26","1","240","6","7"
"2018","Employed","Rural Area","8.41","4","671","1","2","9","20","90","7.39","9.43","1","180","4","5"
"2018","Employed","Urban Area","7.88","4","1135","1","2","7","15","90","7.03","8.73","1","200","4","4"
"2018","Not Employed","Rural Area","13.25","7","594","2","4","16","28","104","11.67","14.83","1","200","6","8"
"2018","Not Employed","Urban Area","12.89","6","1034","2","3","14","28","120","11.62","14.16","1","280","5","6"
"2019","Employed","Rural Area","7.41","4","637","1","2","8","16","49","6.5","8.32","1","150","4","5"
"2019","Employed","Urban Area","6.87","4","1131","1","2","7","14","60","6.11","7.63","1","210","4","4"
"2019","Not Employed","Rural Area","13.41","7","584","2","4","15","24","120","11.52","15.3","1","270","6","8"
"2019","Not Employed","Urban Area","13.2","7","873","2","4","14","30","95","11.91","14.49","1","240","6","7"
