"plb0195_h","year","migback","n","percent","lower_confidence","upper_confidence"
"Not paid","2001","no migration background","1139","0.162373559873583","0.153517743113339","0.171229376633828"
"Not paid","2001","direct migration background","101","0.158310533190892","0.133234043590976","0.183387022790808"
"Not paid","2001","indirect migration background","39","0.150523113174006","0.108183177976417","0.192863048371594"
"Acclaimed","2002","no migration background","3247","0.487577616674086","0.475874057416768","0.499281175931404"
"Acclaimed","2002","direct migration background","277","0.409213528092299","0.373173482441091","0.445253573743507"
"Acclaimed","2002","indirect migration background","109","0.460760880954888","0.400172421197041","0.521349340712736"
"Partly, partly","2002","no migration background","1440","0.209068772154363","0.199547478100441","0.218590066208285"
"Partly, partly","2002","direct migration background","164","0.196330263514445","0.167214545663782","0.225445981365108"
"Partly, partly","2002","indirect migration background","58","0.215234057172586","0.165278134255042","0.26518998009013"
"Paid","2002","no migration background","770","0.121353628912343","0.113707960200508","0.128999297624179"
"Paid","2002","direct migration background","182","0.26407034484232","0.231757660486621","0.296383029198019"
"Paid","2002","indirect migration background","40","0.125478943082034","0.0852135467228562","0.165744339441212"
"Not paid","2002","no migration background","1550","0.181999982259207","0.172965685303435","0.19103427921498"
"Not paid","2002","direct migration background","92","0.130385863550936","0.105704245944631","0.155067481157241"
"Not paid","2002","indirect migration background","53","0.198526118790492","0.150040278112432","0.247011959468552"
"Acclaimed","2003","no migration background","3234","0.513242350419201","0.501242781362475","0.525241919475927"
"Acclaimed","2003","direct migration background","278","0.466403353013775","0.427933616660523","0.504873089367028"
"Acclaimed","2003","indirect migration background","116","0.412716550987872","0.352873842625324","0.47255925935042"
"Partly, partly","2003","no migration background","1288","0.192368326710965","0.18290548731891","0.20183116610302"
"Partly, partly","2003","direct migration background","149","0.214032263410922","0.18240411167952","0.245660415142325"
"Partly, partly","2003","indirect migration background","55","0.217514045092993","0.167367231204751","0.267660858981235"
"Paid","2003","no migration background","704","0.115711025893924","0.108031533914198","0.12339051787365"
"Paid","2003","direct migration background","147","0.233689303170703","0.201056551750278","0.266322054591128"
"Paid","2003","indirect migration background","51","0.222739101376607","0.172163266705771","0.273314936047444"
"Not paid","2003","no migration background","1439","0.17867829697591","0.169481416002123","0.187875177949697"
"Not paid","2003","direct migration background","72","0.0858750804045989","0.0642693882168336","0.107480772592364"
"Not paid","2003","indirect migration background","38","0.147030302542528","0.1039844172718","0.190076187813256"
"Acclaimed","2004","no migration background","3098","0.496643323231658","0.484432873531527","0.50885377293179"
"Acclaimed","2004","direct migration background","273","0.45914352636555","0.419726926898572","0.498560125832528"
"Acclaimed","2004","indirect migration background","122","0.526854001596911","0.464462812232326","0.589245190961497"
"Partly, partly","2004","no migration background","1205","0.188597601426042","0.179044207902395","0.198150994949688"
"Partly, partly","2004","direct migration background","138","0.199964384993253","0.168327414333543","0.231601355652964"
"Partly, partly","2004","indirect migration background","50","0.201589066206695","0.151455654333788","0.251722478079602"
"Paid","2004","no migration background","655","0.118039229956972","0.110159537647329","0.125918922266616"
"Paid","2004","direct migration background","117","0.192599979074146","0.161408468952804","0.223791489195487"
"Paid","2004","indirect migration background","37","0.0881135762123278","0.0526916375672235","0.123535514857432"
"Not paid","2004","no migration background","1483","0.196719845385327","0.187011861484105","0.20642782928655"
"Not paid","2004","direct migration background","86","0.148292109567051","0.120181629500742","0.17640258963336"
"Not paid","2004","indirect migration background","37","0.183443355984065","0.135079080153497","0.231807631814634"
"Acclaimed","2005","no migration background","3000","0.511482402789946","0.498803548524873","0.524161257055019"
"Acclaimed","2005","direct migration background","273","0.460727768574911","0.420056622779413","0.501398914370408"
"Acclaimed","2005","indirect migration background","119","0.473399413936107","0.411753776505088","0.535045051367127"
"Partly, partly","2005","no migration background","1153","0.202330490210454","0.192140665381114","0.212520315039794"
"Partly, partly","2005","direct migration background","140","0.236742120574858","0.202057767436089","0.271426473713626"
"Partly, partly","2005","indirect migration background","48","0.188045893527235","0.139801651348692","0.236290135705777"
"Paid","2005","no migration background","555","0.10389327499667","0.0961540380734521","0.111632511919889"
"Paid","2005","direct migration background","96","0.15876965442643","0.128950082857093","0.188589225995767"
"Paid","2005","indirect migration background","38","0.138331584744213","0.0957051918297769","0.18095797765865"
"Not paid","2005","no migration background","1263","0.18229383200293","0.172500980264461","0.192086683741398"
"Not paid","2005","direct migration background","68","0.143760456423802","0.115133343814943","0.17238756903266"
"Not paid","2005","indirect migration background","47","0.200223107792445","0.150816009797592","0.249630205787297"
"Acclaimed","2006","no migration background","3336","0.499020513357776","0.486965096148274","0.511075930567277"
"Acclaimed","2006","direct migration background","262","0.446770452898381","0.40760549430581","0.485935411490952"
"Acclaimed","2006","indirect migration background","139","0.507225929203993","0.448978130081507","0.565473728326479"
"Partly, partly","2006","no migration background","1199","0.190576885836739","0.181107190914468","0.20004658075901"
"Partly, partly","2006","direct migration background","138","0.190016553493453","0.159110997819154","0.220922109167752"
"Partly, partly","2006","indirect migration background","54","0.172941064159578","0.128878256583469","0.217003871735686"
"Paid","2006","no migration background","608","0.107603035947867","0.10013159482647","0.115074477069265"
"Paid","2006","direct migration background","121","0.202631629449539","0.170966163197373","0.234297095701705"
"Paid","2006","indirect migration background","34","0.14434752150792","0.10340182668232","0.18529321633352"
"Not paid","2006","no migration background","1465","0.202799564857618","0.193104954766646","0.212494174948589"
"Not paid","2006","direct migration background","98","0.160581364158627","0.131658610317676","0.189504117999579"
"Not paid","2006","indirect migration background","56","0.175485485128509","0.131168049118815","0.219802921138204"
"Acclaimed","2007","no migration background","3084","0.498728421516852","0.486225070223476","0.511231772810228"
"Acclaimed","2007","direct migration background","240","0.443873034570602","0.401413857076008","0.486332212065196"
