"plb0195_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Not paid","2016","66 and older","Not Employed","","","","","4"
"Not paid","2016","66 and older","Employed","","","","","4"
"Paid","2016","16-34 y.","Not Employed","","","","","3"
"Paid","2016","16-34 y.","Employed","","","","","3"
"Paid","2016","35-65 y.","Employed","","","","","3"
"Paid","2016","66 and older","Not Employed","","","","","3"
"Paid","2016","35-65 y.","Not Employed","","","","","3"
"Paid","2016","66 and older","Employed","","","","","3"
"Partly, partly","2016","16-34 y.","Not Employed","","","","","2"
"Partly, partly","2016","16-34 y.","Employed","","","","","2"
"Partly, partly","2016","35-65 y.","Employed","","","","","2"
"Partly, partly","2016","35-65 y.","Not Employed","","","","","2"
"Partly, partly","2016","66 and older","Not Employed","","","","","2"
"Partly, partly","2016","66 and older","Employed","","","","","2"
"Acclaimed","2017","16-34 y.","Not Employed","","","","","1"
"Acclaimed","2017","35-65 y.","Not Employed","","","","","1"
"Acclaimed","2017","16-34 y.","Employed","","","","","1"
"Acclaimed","2017","35-65 y.","Employed","","","","","1"
"Acclaimed","2017","66 and older","Not Employed","","","","","1"
"Acclaimed","2017","66 and older","Employed","","","","","1"
"Not paid","2017","16-34 y.","Not Employed","","","","","4"
"Not paid","2017","16-34 y.","Employed","","","","","4"
"Not paid","2017","35-65 y.","Not Employed","","","","","4"
"Not paid","2017","35-65 y.","Employed","","","","","4"
"Not paid","2017","66 and older","Not Employed","","","","","4"
"Not paid","2017","66 and older","Employed","","","","","4"
"Paid","2017","16-34 y.","Not Employed","","","","","3"
"Paid","2017","16-34 y.","Employed","","","","","3"
"Paid","2017","35-65 y.","Employed","","","","","3"
"Paid","2017","35-65 y.","Not Employed","","","","","3"
"Paid","2017","66 and older","Employed","","","","","3"
"Paid","2017","66 and older","Not Employed","","","","","3"
"Partly, partly","2017","16-34 y.","Not Employed","","","","","2"
"Partly, partly","2017","16-34 y.","Employed","","","","","2"
"Partly, partly","2017","35-65 y.","Not Employed","","","","","2"
"Partly, partly","2017","35-65 y.","Employed","","","","","2"
"Partly, partly","2017","66 and older","Not Employed","","","","","2"
"Partly, partly","2017","66 and older","Employed","","","","","2"
"Acclaimed","2018","16-34 y.","Not Employed","15","","","","1"
"Acclaimed","2018","35-65 y.","Not Employed","30","0.523296921260916","0.401877130281969","0.644716712239864","1"
"Acclaimed","2018","16-34 y.","Employed","1183","0.531699445674066","0.511217269033814","0.552181622314318","1"
"Acclaimed","2018","35-65 y.","Employed","4019","0.541254052579924","0.529911560071883","0.552596545087965","1"
"Acclaimed","2018","66 and older","Not Employed","","","","","1"
"Acclaimed","2018","66 and older","Employed","23","","","","1"
"Not paid","2018","16-34 y.","Not Employed","13","","","","4"
"Not paid","2018","16-34 y.","Employed","234","0.10318214456133","0.0906958071698216","0.115668481952839","4"
"Not paid","2018","35-65 y.","Not Employed","9","","","","4"
"Not paid","2018","35-65 y.","Employed","1014","0.142847933043615","0.134882897486674","0.150812968600557","4"
"Not paid","2018","66 and older","Not Employed","","","","","4"
"Not paid","2018","66 and older","Employed","10","","","","4"
"Paid","2018","16-34 y.","Not Employed","16","","","","3"
"Paid","2018","16-34 y.","Employed","287","0.0972450776347288","0.0850832340446655","0.109406921224792","3"
"Paid","2018","66 and older","Employed","21","","","","3"
"Paid","2018","35-65 y.","Not Employed","13","","","","3"
"Paid","2018","35-65 y.","Employed","856","0.110852649866466","0.10370634221212","0.117998957520812","3"
"Paid","2018","66 and older","Not Employed","","","","","3"
"Partly, partly","2018","16-34 y.","Not Employed","14","","","","2"
"Partly, partly","2018","16-34 y.","Employed","576","0.267873332129875","0.249695649330117","0.286051014929632","2"
"Partly, partly","2018","35-65 y.","Not Employed","13","","","","2"
"Partly, partly","2018","35-65 y.","Employed","1525","0.205045364509995","0.195855312885339","0.21423541613465","2"
"Partly, partly","2018","66 and older","Not Employed","","","","","2"
"Partly, partly","2018","66 and older","Employed","17","","","","2"
