"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1993","no migration background","inadequately","16.62","3.14","85","0","0","12.78","72.7","100","11.24","22","0","100","2.00556635856628","4.5415186882019"
"1993","no migration background","middle vocational","6.67","0","5701","0","0","5.1","19.11","95.56","6.25","7.09","0","100","1.37711668014526","1.63865542411804"
"1993","no migration background","vocational + Abi","5.13","0","279","0","0","4.78","14.98","55.71","3.35","6.91","0","99.23","0","1.85976719856262"
"1994","direct migration background","general elemantary","10.37","2.04","713","0","0","10.03","36.49","98.55","8.94","11.8","0","100","2.28073596954346","3.07587647438049"
"1994","direct migration background","higher education","6.56","0.69","125","0","0","4.83","19.99","83.1","4.36","8.76","0","83.1","0","1.8919335603714"
"1994","direct migration background","higher vocational","2.71","0","60","0","0","1.22","4.37","49.3","-1.04","6.46","0","100","0","1.93516409397125"
"1994","direct migration background","in school","","","","","","","","","","","","","",""
"1994","direct migration background","inadequately","11.45","2.69","469","0","0","12.34","38.4","100","9.67","13.23","0","100","2.34029793739319","3.30487251281738"
"1994","direct migration background","middle vocational","6.76","0","820","0","0","4.95","16.3","99.67","5.52","8","0","100","1.34150540828705","2.01484131813049"
"1994","direct migration background","vocational + Abi","17.55","8.56","87","0","1.91","29.27","56.2","100","12.98","22.12","0","100","2.39303851127625","8.69324493408203"
"1994","indirect migration background","general elemantary","10.01","2.28","183","0","0.78","10.52","27.18","86.79","7.31","12.71","0","100","2.27621364593506","3.96618103981018"
"1994","indirect migration background","higher education","","","","","","","","","","","","","",""
"1994","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1994","indirect migration background","in school","10.49","3.23","59","1.26","1.64","8.55","23.84","79.09","5.28","15.7","0","100","2.84060835838318","5.81986045837402"
"1994","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1994","indirect migration background","middle vocational","4.47","1.22","158","0","0","3.72","12.47","41.34","3","5.94","0","43.24","0.853188037872314","2.05076718330383"
"1994","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1994","no migration background","general elemantary","6.3","0","1619","0","0","3.17","17.44","99.25","5.43","7.17","0","100","0","0"
"1994","no migration background","higher education","5.03","0.81","1522","0","0","3.63","13.22","70.29","4.35","5.71","0","100","1.46817243099213","1.76289296150208"
"1994","no migration background","higher vocational","4.83","0","687","0","0","3.66","13.49","62.35","3.89","5.77","0","99.72","0.977209091186523","1.54864060878754"
"1994","no migration background","in school","7.88","2.54","167","1.03","1.37","5.1","17.79","100","5.33","10.43","0","100","2.71766638755798","4.04897022247314"
"1994","no migration background","inadequately","21.26","5.01","73","0","0.53","20.88","100","100","15.45","27.07","0","100","2.04062223434448","8.5296573638916"
