"year","hgtyp1hh","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","1-pers.-HH","(2c_voc) vocational maturity certificate","3.68","3.52","59","2","3","5","5","5","3.42","3.94","2","5","3","4"
"1986","1-pers.-HH","(3a) lower tertiary education","3.75","4","32","2","3","5","5","5","3.38","4.12","2","5","3","4"
"1986","1-pers.-HH","(3b) higher tertiary education","3.75","4","78","2","3","5","5","5","3.52","3.98","2","5","3","4"
"1986","Couple + C. GT 16 ","(0) in school","2.9","3","81","2","2","3","4","5","2.72","3.08","2","5","3","3"
"1986","Couple + C. GT 16 ","(1a) inadequately completed","4.34","5","145","3","4","5","5","5","4.2","4.48","2","5","5","5"
"1986","Couple + C. GT 16 ","(1b) general elementary school","4.19","5","491","2","4","5","5","5","4.1","4.28","2","5","4","5"
"1986","Couple + C. GT 16 ","(1c) basic vocational qualification","4.17","4","667","3","4","5","5","5","4.1","4.24","2","5","4","4"
"1986","Couple + C. GT 16 ","(2a) intermediate vocational","3.62","4","222","2","3","4","5","5","3.48","3.76","2","5","3","4"
"1986","Couple + C. GT 16 ","(2b) intermediate general qualification","3.06","3","172","2","2","4","4","5","2.92","3.2","2","5","3","3"
"1986","Couple + C. GT 16 ","(2c_gen) general maturity certificate","2.91","3","137","2","2","3","4","5","2.77","3.05","2","5","3","3"
"1986","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","4","4","50","3","3","5","5","5","3.75","4.25","2","5","4","4"
"1986","Couple + C. GT 16 ","(3a) lower tertiary education","4.04","4","40","3","3","5","5","5","3.75","4.33","2","5","4","4"
"1986","Couple + C. GT 16 ","(3b) higher tertiary education","3.99","4","67","2","3","5","5","5","3.75","4.23","2","5","4","4"
"1986","Couple + C. LE 16","(0) in school","","","","","","","","","","","","","",""
"1986","Couple + C. LE 16","(1a) inadequately completed","4.47","5","240","4","4","5","5","5","4.37","4.57","2","5","5","5"
"1986","Couple + C. LE 16","(1b) general elementary school","4.35","5","450","3","4","5","5","5","4.28","4.42","2","5","5","5"
"1986","Couple + C. LE 16","(1c) basic vocational qualification","4.16","4","898","3","4","5","5","5","4.11","4.21","2","5","4","4"
"1986","Couple + C. LE 16","(2a) intermediate vocational","4.11","4","340","3","4","5","5","5","4.03","4.19","2","5","4","4"
"1986","Couple + C. LE 16","(2b) intermediate general qualification","4.3","4","36","4","4","5","5","5","4.08","4.52","3","5","4","5"
"1986","Couple + C. LE 16","(2c_gen) general maturity certificate","4.16","4","49","3","4","5","5","5","3.91","4.41","2","5","4","5"
"1986","Couple + C. LE 16","(2c_voc) vocational maturity certificate","4.24","4","108","3","4","5","5","5","4.09","4.39","2","5","4","4"
"1986","Couple + C. LE 16","(3a) lower tertiary education","4.16","4","70","3","4","5","5","5","3.98","4.34","2","5","4","4"
"1986","Couple + C. LE 16","(3b) higher tertiary education","4.12","4","174","3","4","5","5","5","4","4.24","2","5","4","4"
"1986","Couple + C. LE and GT 16","(0) in school","3.02","3","77","2","2","4","4","5","2.81","3.23","2","5","3","3"
"1986","Couple + C. LE and GT 16","(1a) inadequately completed","4.35","5","196","3","4","5","5","5","4.24","4.46","2","5","5","5"
"1986","Couple + C. LE and GT 16","(1b) general elementary school","4.05","4","367","2","3","5","5","5","3.94","4.16","2","5","4","5"
"1986","Couple + C. LE and GT 16","(1c) basic vocational qualification","3.99","4","392","2","3","5","5","5","3.89","4.09","2","5","4","4"
