"plb0196_h","year","bula_h","n","percent","lower_confidence","upper_confidence"
"No","2015","Brandenburg","82","0.295818868382249","0.24549666166404","0.346141075100459"
"No","2015","Mecklenburg-Western Pomerania","48","0.2748053946531","0.206895359325381","0.342715429980818"
"No","2015","Saxony","157","0.277293387988298","0.24086123262615","0.313725543350445"
"No","2015","Saxony-Anhalt","77","0.301811740394935","0.250957138610919","0.35266634217895"
"No","2015","Thuringia","86","0.226626192660545","0.182703884108924","0.270548501212165"
"Yes","2016","Schleswig-Holstein","218","0.743528404025351","0.693094769575733","0.793962038474969"
"Yes","2016","Hamburg","93","0.767879356021565","0.691379866077411","0.84437884596572"
"Yes","2016","Lower Saxony","708","0.72202535213925","0.693170329754469","0.750880374524031"
"Yes","2016","Bremen","48","0.816960299779036","0.714762894281402","0.919157705276669"
"Yes","2016","North Rhine-Westphalia","1268","0.788692210952184","0.769112720543816","0.808271701360553"
"Yes","2016","Hesse","520","0.800701560429698","0.770362769927264","0.831040350932132"
"Yes","2016","Rhineland-Palatinate,Saarland","384","0.715921458675857","0.676781991636401","0.755060925715312"
"Yes","2016","Baden-Württemberg","974","0.798223170216301","0.775785902920048","0.820660437512554"
"Yes","2016","Bavaria","1195","0.770215101916764","0.749530227020397","0.790899976813132"
"Yes","2016","Berlin","254","0.785554726817458","0.740585070970673","0.830524382664243"
"Yes","2016","Brandenburg","233","0.718913856049809","0.668629018758849","0.769198693340769"
"Yes","2016","Mecklenburg-Western Pomerania","125","0.697101370409837","0.628825052900187","0.765377687919486"
"Yes","2016","Saxony","406","0.716920214593545","0.679904869749237","0.753935559437854"
"Yes","2016","Saxony-Anhalt","227","0.755810734495325","0.707115965601033","0.804505503389616"
"Yes","2016","Thuringia","243","0.687981952318955","0.638219204356593","0.737744700281317"
"No","2016","Schleswig-Holstein","70","0.256471595974649","0.206037961525031","0.306905230424267"
"No","2016","Hamburg","24","","",""
"No","2016","Lower Saxony","218","0.27797464786075","0.249119625475969","0.306829670245531"
"No","2016","Bremen","7","","",""
"No","2016","North Rhine-Westphalia","402","0.211307789047816","0.191728298639447","0.230887279456184"
"No","2016","Hesse","146","0.199298439570302","0.168959649067868","0.229637230072736"
"No","2016","Rhineland-Palatinate,Saarland","126","0.284078541324143","0.244939074284688","0.323218008363599"
"No","2016","Baden-Württemberg","255","0.201776829783699","0.179339562487446","0.224214097079952"
"No","2016","Bavaria","394","0.229784898083236","0.209100023186868","0.250469772979603"
"No","2016","Berlin","66","0.214445273182542","0.169475617335758","0.259414929029327"
"No","2016","Brandenburg","74","0.281086143950191","0.230801306659231","0.331370981241151"
"No","2016","Mecklenburg-Western Pomerania","49","0.302898629590163","0.234622312080514","0.371174947099813"
"No","2016","Saxony","163","0.283079785406455","0.246064440562146","0.320095130250763"
"No","2016","Saxony-Anhalt","72","0.244189265504675","0.195494496610384","0.292884034398967"
"No","2016","Thuringia","90","0.312018047681045","0.262255299718683","0.361780795643407"
"Yes","2017","Schleswig-Holstein","284","0.76490204330457","0.721096993499473","0.808707093109666"
"Yes","2017","Hamburg","98","0.718419613605567","0.640196243806013","0.796642983405121"
"Yes","2017","Lower Saxony","767","0.759609770992457","0.733111409299711","0.786108132685202"
"Yes","2017","Bremen","62","0.657436257026518","0.550742546704904","0.764129967348133"
"Yes","2017","North Rhine-Westphalia","1319","0.750812818692579","0.730645019688427","0.770980617696731"
"Yes","2017","Hesse","569","0.78637409430604","0.756456820501091","0.816291368110988"
"Yes","2017","Rhineland-Palatinate,Saarland","399","0.752678404143138","0.716521588434804","0.788835219851472"
"Yes","2017","Baden-Württemberg","1051","0.791670930356394","0.769679183412435","0.813662677300353"
"Yes","2017","Bavaria","1286","0.751264362215401","0.730823372867769","0.771705351563034"
"Yes","2017","Berlin","262","0.805880115686386","0.763011007721524","0.848749223651247"
"Yes","2017","Brandenburg","240","0.772792250704185","0.727165605768887","0.818418895639483"
"Yes","2017","Mecklenburg-Western Pomerania","130","0.739414145899093","0.67492934169963","0.803898950098555"
"Yes","2017","Saxony","457","0.751261923979302","0.71797854481243","0.784545303146174"
"Yes","2017","Saxony-Anhalt","245","0.758723433565218","0.711918148397133","0.805528718733302"
"Yes","2017","Thuringia","262","0.726718852557306","0.68149352461098","0.771944180503633"
"No","2017","Schleswig-Holstein","76","0.23509795669543","0.191292906890334","0.278903006500527"
"No","2017","Hamburg","29","","",""
"No","2017","Lower Saxony","232","0.240390229007543","0.213891867314798","0.266888590700289"
"No","2017","Bremen","14","","",""
"No","2017","North Rhine-Westphalia","448","0.249187181307421","0.229019382303269","0.269354980311573"
"No","2017","Hesse","152","0.21362590569396","0.183708631889012","0.243543179498909"
"No","2017","Rhineland-Palatinate,Saarland","148","0.247321595856862","0.211164780148528","0.283478411565197"
"No","2017","Baden-Württemberg","259","0.208329069643606","0.186337322699647","0.230320816587565"
"No","2017","Bavaria","432","0.248735637784599","0.228294648436966","0.269176627132231"
"No","2017","Berlin","65","0.194119884313614","0.151250776348753","0.236988992278476"
"No","2017","Brandenburg","84","0.227207749295815","0.181581104360516","0.272834394231113"
"No","2017","Mecklenburg-Western Pomerania","48","0.260585854100907","0.196101049901445","0.32507065830037"
"No","2017","Saxony","191","0.248738076020698","0.215454696853826","0.28202145518757"
"No","2017","Saxony-Anhalt","76","0.241276566434782","0.194471281266698","0.288081851602867"
"No","2017","Thuringia","111","0.273281147442694","0.228055819496367","0.31850647538902"
"Yes","2018","Schleswig-Holstein","281","0.734403211805556","0.690229776804505","0.778576646806606"
"Yes","2018","Hamburg","112","0.733059781108021","0.662268599068515","0.803850963147527"
"Yes","2018","Lower Saxony","760","0.730029343530309","0.702917570603928","0.75714111645669"
"Yes","2018","Bremen","58","0.787808982608857","0.696486714304267","0.879131250913446"
"Yes","2018","North Rhine-Westphalia","1420","0.755080297259401","0.735889615299721","0.774270979219081"
"Yes","2018","Hesse","539","0.731904016877816","0.699615272171906","0.764192761583726"
"Yes","2018","Rhineland-Palatinate,Saarland","416","0.7035000794514","0.666833590354935","0.740166568547864"
"Yes","2018","Baden-Württemberg","1046","0.824613446185096","0.804105600746706","0.845121291623486"
"Yes","2018","Bavaria","1286","0.757075420503714","0.736982902334746","0.777167938672682"
"Yes","2018","Berlin","270","0.755700633989115","0.711681285388205","0.799719982590026"
"Yes","2018","Brandenburg","243","0.68626227312425","0.63708510988769","0.73543943636081"
"Yes","2018","Mecklenburg-Western Pomerania","136","0.771278036086737","0.711079392535203","0.831476679638271"
"Yes","2018","Saxony","454","0.694244915494939","0.659793035937737","0.728696795052142"
"Yes","2018","Saxony-Anhalt","239","0.740762568154339","0.693482347943348","0.788042788365329"
"Yes","2018","Thuringia","257","0.704598326233873","0.658174768979867","0.751021883487878"
"No","2018","Schleswig-Holstein","103","0.265596788194444","0.221423353193394","0.309770223195495"
"No","2018","Hamburg","38","0.266940218891979","0.196149036852473","0.337731400931485"
"No","2018","Lower Saxony","270","0.269970656469691","0.24285888354331","0.297082429396072"
"No","2018","Bremen","19","","",""
"No","2018","North Rhine-Westphalia","509","0.244919702740599","0.225729020780919","0.264110384700279"
"No","2018","Hesse","184","0.268095983122184","0.235807238416274","0.300384727828094"
"No","2018","Rhineland-Palatinate,Saarland","180","0.2964999205486","0.259833431452136","0.333166409645065"
"No","2018","Baden-Württemberg","275","0.175386553814904","0.154878708376514","0.195894399253294"
"No","2018","Bavaria","464","0.242924579496286","0.222832061327318","0.263017097665254"
"No","2018","Berlin","96","0.244299366010885","0.200280017409974","0.288318714611795"
"No","2018","Brandenburg","99","0.31373772687575","0.26456056363919","0.36291489011231"
"No","2018","Mecklenburg-Western Pomerania","51","0.228721963913263","0.168523320361729","0.288920607464797"
"No","2018","Saxony","233","0.305755084505061","0.271303204947858","0.340206964062263"
"No","2018","Saxony-Anhalt","91","0.259237431845661","0.211957211634671","0.306517652056652"
"No","2018","Thuringia","114","0.295401673766127","0.248978116512122","0.341825231020133"
"Yes","2019","Schleswig-Holstein","271","0.776176428682527","0.73275745082069","0.819595406544364"
"Yes","2019","Hamburg","105","0.748009666240944","0.675043054023074","0.820976278458815"
"Yes","2019","Lower Saxony","696","0.789264737687329","0.762752517038356","0.815776958336303"
"Yes","2019","Bremen","60","0.923797062436655","0.862933018265952","0.984661106607359"
"Yes","2019","North Rhine-Westphalia","1328","0.793712454194363","0.77472166763351","0.812703240755217"
"Yes","2019","Hesse","519","0.780015714994498","0.74864978314042","0.811381646848577"
"Yes","2019","Rhineland-Palatinate,Saarland","394","0.731044670455356","0.693006039801144","0.769083301109568"
"Yes","2019","Baden-Württemberg","899","0.767038296846703","0.742960151584458","0.791116442108947"
"Yes","2019","Bavaria","1186","0.764878147337706","0.743907944914017","0.785848349761395"
"Yes","2019","Berlin","260","0.742433695865202","0.696489375732843","0.788378015997562"
"Yes","2019","Brandenburg","256","0.700670683294427","0.652828789819287","0.748512576769568"
"Yes","2019","Mecklenburg-Western Pomerania","120","0.692788245369278","0.621747132957655","0.7638293577809"
"Yes","2019","Saxony","463","0.716046101166778","0.680891355351386","0.75120084698217"
"Yes","2019","Saxony-Anhalt","238","0.807616952033361","0.763012975634829","0.852220928431894"
"Yes","2019","Thuringia","251","0.754139180864357","0.707681071109977","0.800597290618738"
"No","2019","Schleswig-Holstein","83","0.223823571317473","0.180404593455636","0.26724254917931"
"No","2019","Hamburg","31","0.251990333759056","0.179023721541185","0.324956945976926"
"No","2019","Lower Saxony","213","0.210735262312671","0.184223041663698","0.237247482961644"
"No","2019","Bremen","13","","",""
"No","2019","North Rhine-Westphalia","416","0.206287545805637","0.187296759244783","0.22527833236649"
"No","2019","Hesse","151","0.219984285005502","0.188618353151423","0.25135021685958"
"No","2019","Rhineland-Palatinate,Saarland","128","0.268955329544644","0.230916698890432","0.306993960198856"
"No","2019","Baden-Württemberg","285","0.232961703153298","0.208883557891053","0.257039848415542"
"No","2019","Bavaria","385","0.235121852662294","0.214151650238605","0.256092055085983"
"No","2019","Berlin","88","0.257566304134798","0.211621984002438","0.303510624267157"
"No","2019","Brandenburg","96","0.299329316705573","0.251487423230432","0.347171210180713"
"No","2019","Mecklenburg-Western Pomerania","42","0.307211754630722","0.2361706422191","0.378252867042345"
"No","2019","Saxony","169","0.283953898833222","0.24879915301783","0.319108644648614"
"No","2019","Saxony-Anhalt","62","0.192383047966639","0.147779071568106","0.236987024365171"
"No","2019","Thuringia","79","0.245860819135643","0.199402709381262","0.292318928890023"
