"plb0196_h","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2019","higher vocational","Female","176","0.824914956896633","0.77611726919717","0.873712644596096"
"Yes","2019","higher education","Male","1181","0.822996200887752","0.803425192988629","0.842567208786875"
"Yes","2019","higher education","Female","1088","0.782426209486931","0.7609511211219","0.803901297851962"
"No","2019","in school","Male","1","","",""
"No","2019","in school","Female","","","",""
"No","2019","inadequately","Male","43","0.277846417933698","0.199941761523137","0.355751074344258"
"No","2019","inadequately","Female","8","","",""
"No","2019","general elemantary","Male","103","0.258642528390231","0.212233888462046","0.305051168318417"
"No","2019","general elemantary","Female","68","0.305932648604438","0.247266491724034","0.364598805484843"
"No","2019","middle vocational","Male","491","0.265104052925035","0.245283228669763","0.284924877180308"
"No","2019","middle vocational","Female","532","0.252608157888676","0.233430635509907","0.271785680267444"
"No","2019","vocational + Abi","Male","99","0.230039890813177","0.189152765668799","0.270927015957555"
"No","2019","vocational + Abi","Female","128","0.208877461756264","0.176159336276866","0.241595587235662"
"No","2019","higher vocational","Male","67","0.218204040915886","0.176621924379804","0.259786157451968"
"No","2019","higher vocational","Female","57","0.175085043103367","0.126287355403904","0.22388273080283"
"No","2019","higher education","Male","280","0.177003799112248","0.157432791213125","0.196574807011371"
"No","2019","higher education","Female","330","0.217573790513069","0.196098702148038","0.2390488788781"
