"pli0095_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1990","Couple + C. GT 16 ","East Germany","249","0.306051346099561","0.274546816600287","0.337555875598836"
"Min 1x per month","1990","Couple + C. LE and GT 16","West Germany","","","",""
"Min 1x per month","1990","Couple + C. LE and GT 16","East Germany","89","0.25670361403342","0.208693633141774","0.304713594925067"
"Rarely","1990","1-pers.-HH","West Germany","","","",""
"Rarely","1990","1-pers.-HH","East Germany","83","0.237825587604737","0.192097562472853","0.283553612736621"
"Rarely","1990","(Married) couple without C. ","West Germany","","","",""
"Rarely","1990","(Married) couple without C. ","East Germany","423","0.450844203667679","0.418984676448061","0.482703730887297"
"Rarely","1990","Single parent ","West Germany","","","",""
"Rarely","1990","Single parent ","East Germany","95","0.51051118346772","0.439802704718091","0.581219662217349"
"Rarely","1990","Couple + C. LE 16 ","West Germany","","","",""
"Rarely","1990","Couple + C. LE 16 ","East Germany","648","0.432327901407059","0.407054696463794","0.457601106350323"
"Rarely","1990","Couple + C. GT 16 ","West Germany","","","",""
"Rarely","1990","Couple + C. GT 16 ","East Germany","393","0.471331751033511","0.437207184403832","0.505456317663191"
"Rarely","1990","Couple + C. LE and GT 16","West Germany","","","",""
"Rarely","1990","Couple + C. LE and GT 16","East Germany","156","0.513536443100381","0.458601924781082","0.568470961419681"
"Never","1990","1-pers.-HH","West Germany","","","",""
"Never","1990","1-pers.-HH","East Germany","105","0.34533651682254","0.294267642531942","0.396405391113138"
"Never","1990","(Married) couple without C. ","West Germany","","","",""
"Never","1990","(Married) couple without C. ","East Germany","100","0.114677444803911","0.0942756646307771","0.135079224977044"
"Never","1990","Single parent ","West Germany","","","",""
"Never","1990","Single parent ","East Germany","18","","",""
"Never","1990","Couple + C. LE 16 ","West Germany","","","",""
"Never","1990","Couple + C. LE 16 ","East Germany","59","0.0454451058141545","0.034819616812191","0.0560705948161179"
"Never","1990","Couple + C. GT 16 ","West Germany","","","",""
"Never","1990","Couple + C. GT 16 ","East Germany","56","0.0691040878131637","0.0517654644354071","0.0864427111909204"
"Never","1990","Couple + C. LE and GT 16","West Germany","","","",""
"Never","1990","Couple + C. LE and GT 16","East Germany","12","","",""
"Min 1x per week","1991","1-pers.-HH","West Germany","","","",""
"Min 1x per week","1991","1-pers.-HH","East Germany","","","",""
"Min 1x per week","1991","(Married) couple without C. ","West Germany","","","",""
"Min 1x per week","1991","(Married) couple without C. ","East Germany","","","",""
"Min 1x per week","1991","Single parent ","West Germany","","","",""
"Min 1x per week","1991","Single parent ","East Germany","","","",""
"Min 1x per week","1991","Couple + C. LE 16 ","West Germany","","","",""
"Min 1x per week","1991","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per week","1991","Couple + C. GT 16 ","West Germany","","","",""
"Min 1x per week","1991","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per week","1991","Couple + C. LE and GT 16","West Germany","","","",""
"Min 1x per week","1991","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per month","1991","1-pers.-HH","West Germany","","","",""
"Min 1x per month","1991","1-pers.-HH","East Germany","","","",""
"Min 1x per month","1991","(Married) couple without C. ","West Germany","","","",""
"Min 1x per month","1991","(Married) couple without C. ","East Germany","","","",""
"Min 1x per month","1991","Single parent ","West Germany","","","",""
"Min 1x per month","1991","Single parent ","East Germany","","","",""
"Min 1x per month","1991","Couple + C. LE 16 ","West Germany","","","",""
"Min 1x per month","1991","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per month","1991","Couple + C. GT 16 ","West Germany","","","",""
"Min 1x per month","1991","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per month","1991","Couple + C. LE and GT 16","West Germany","","","",""
"Min 1x per month","1991","Couple + C. LE and GT 16","East Germany","","","",""
"Rarely","1991","1-pers.-HH","West Germany","","","",""
"Rarely","1991","1-pers.-HH","East Germany","","","",""
"Rarely","1991","(Married) couple without C. ","West Germany","","","",""
"Rarely","1991","(Married) couple without C. ","East Germany","","","",""
"Rarely","1991","Single parent ","West Germany","","","",""
"Rarely","1991","Single parent ","East Germany","","","",""
"Rarely","1991","Couple + C. LE 16 ","West Germany","","","",""
"Rarely","1991","Couple + C. LE 16 ","East Germany","","","",""
"Rarely","1991","Couple + C. GT 16 ","West Germany","","","",""
"Rarely","1991","Couple + C. GT 16 ","East Germany","","","",""
"Rarely","1991","Couple + C. LE and GT 16","West Germany","","","",""
"Rarely","1991","Couple + C. LE and GT 16","East Germany","","","",""
"Never","1991","1-pers.-HH","West Germany","","","",""
"Never","1991","1-pers.-HH","East Germany","","","",""
"Never","1991","(Married) couple without C. ","West Germany","","","",""
