"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2000","Not Employed","no migration background","15287.73","13768.07","7455","7955.38","10653.42","17937","23885.33","43399.33","15105.36","15470.1","0","181406","13739.3330078125","14014"
"2001","Employed","direct migration background","16912.44","14933.93","1795","8810","11462.67","19260","25029.5","61790","16459.83","17365.05","1182","164234","14513","15123.0771484375"
"2001","Employed","indirect migration background","17114.24","15397.14","544","8429.5","12206","19985.81","25855.33","64652","16425.64","17802.84","3068","75647.34","14947.1435546875","16263.810546875"
"2001","Employed","no migration background","20203.66","18187.46","11585","10927.78","14100.71","23598.67","31401.67","55486","20028.09","20379.23","1190.67","212321","17800","18080.5"
"2001","Not Employed","direct migration background","12302.91","11172.94","1150","5986.43","8077.22","14801","19413.33","36907.33","11935.53","12670.29","7.22","74313.34","11187.5","11789.599609375"
"2001","Not Employed","indirect migration background","14716.6","13560.3","233","6851.5","10062","17851.2","23944","38050.5","13883.55","15549.65","2743","39744","12138","13591.7861328125"
"2001","Not Employed","no migration background","15780.6","14297.43","6756","8281.33","10946.5","18730","24466.67","44262","15593.94","15967.26","0","174416","14273.3330078125","14580.5556640625"
"2002","Employed","direct migration background","17019.82","14634.39","1709","8904","11821.43","19682.78","25687.6","59553.21","16374.7","17664.94","1734.24","289262.66","15252.5","16043.6669921875"
"2002","Employed","indirect migration background","18472.54","16327.45","545","8634","12184.62","20972","26706.67","69362.5","17265.49","19679.59","1609","231124.41","16337.7783203125","17562.5"
"2002","Employed","no migration background","20911.71","18416.67","12594","10966","14285.5","24346","33088.67","62876","20647.58","21175.84","140","289608","19941.5","20286.66796875"
"2002","Not Employed","direct migration background","13005.5","11466.1","1111","6130","8068","14932","20309.33","42980","12318.16","13692.84","0","231124.41","11761.3330078125","12371"
"2002","Not Employed","indirect migration background","15153.97","12952.35","239","7672","9720","16280.54","22190","55513.5","13030.18","17277.76","1645","231124.41","12446.7998046875","14553.5"
"2002","Not Employed","no migration background","15767.27","14122.65","6959","8047","10855.5","18473.33","24397","45769.33","15461.48","16073.06","0","387826.66","14857","15232.6669921875"
"2003","Employed","direct migration background","17510.08","15262.64","1577","8886.11","12275.2","20242","25964.5","56914","16898.33","18121.83","2302.67","252016.41","15924.6669921875","16624.666015625"
"2003","Employed","indirect migration background","18803.98","16616.35","540","9121","12810","22749.33","29108","51574.67","17532.99","20074.97","2602.67","252016.41","16732.77734375","18103.810546875"
"2003","Employed","no migration background","21576.67","19252","11961","11215.5","14725.2","25219","33548.34","62778","21328","21825.34","975","286685","20531.19921875","20920"
"2003","Not Employed","direct migration background","13274.35","11490.35","1068","6372","8248","15314","20999.53","40446","12461.81","14086.89","600","252016.41","11795.5","12530.8701171875"
"2003","Not Employed","indirect migration background","16217.17","12405.14","250","7061.54","9460","16913.48","27341","61641.5","13888.21","18546.13","2076.92","252016.41","12565.3330078125","14986.6669921875"
"2003","Not Employed","no migration background","16375.94","14712.67","6901","8330.67","11056.67","19509.33","25915.5","48579.33","16068.86","16683.02","0","403917.34","15421.3330078125","15802"
"2004","Employed","direct migration background","17146.64","15240","1475","8771.82","11571.3","20294","26137.33","52463","16561.49","17731.79","600","226523.33","15712.7998046875","16768.462890625"
"2004","Employed","indirect migration background","17736.04","16651.66","549","8900.67","12284","21056","27519.33","48890","16860.28","18611.8","1700","83952","16842","18112.80078125"
"2004","Employed","no migration background","21554.74","19121.8","11487","11070","14680.87","24984","33058","61278","21157.78","21951.7","633","1364491.38","20496","20889.333984375"
"2004","Not Employed","direct migration background","14120.45","11840.4","1077","6652","8832","15542.78","20930.95","38405","11612.66","16628.24","0","1364491.38","11864.7998046875","12609"
"2004","Not Employed","indirect migration background","14769.83","13932.49","262","6077.6","10148","17190","22746","46040","13619.31","15920.35","143","66497.2","13220.6669921875","15327.599609375"
"2004","Not Employed","no migration background","16360.32","14719.66","6883","8128.67","11089","19354","25643.33","48559.33","16076.26","16644.38","0","347141.34","15445.3330078125","15800.6669921875"
"2005","Employed","direct migration background","17375.14","15615.5","1369","8476.11","11679.5","20363","27249.33","55960.67","16822.76","17927.52","1130","103260","16346.111328125","17262"
"2005","Employed","indirect migration background","17809.35","16575.41","550","9287","11914.8","21241.33","29260.67","52120","16962.27","18656.43","2933.33","88031","16539.599609375","18217.19921875"
"2005","Employed","no migration background","21993.98","19367.99","10964","11067","14882","25820.67","34660","64256","21573.75","22414.21","1056","1659708","20836.666015625","21328"
"2005","Not Employed","direct migration background","14557.4","11789.06","1015","6855.33","8784.67","15392","21432.67","43702.8","11330.97","17783.83","0","1659708","11824","12475.3330078125"
"2005","Not Employed","indirect migration background","15192.56","12924.67","285","7314","9518","18000","25877.5","45239","13949.19","16435.93","666.67","82912.4","12749.2314453125","14628"
"2005","Not Employed","no migration background","16739.33","14910.72","6629","8504","11319.33","19928.67","26420.67","47026","16396.91","17081.75","0","466162","15569.3330078125","16007.5"
"2006","Employed","direct migration background","18461.62","16052.67","1363","9439","11933.89","20937.83","28991.33","59252.91","17844.15","19079.09","800","139258.41","16450.953125","17533.19921875"
"2006","Employed","indirect migration background","17654.56","16313.12","567","8589.33","11982.67","22074.67","28218","47345","16841.25","18467.87","624","105968","16749.333984375","18280"
"2006","Employed","no migration background","22759.19","19585.88","11552","10963.33","14748.67","26426","35617.14","76035.34","22394.69","23123.69","1010.67","593626","20855.333984375","21325.333984375"
"2006","Not Employed","direct migration background","13378.38","11402.29","1036","6682.38","8727","15598","20906","41094","12178.09","14578.67","0","587142.69","11838.7724609375","12523.3330078125"
"2006","Not Employed","indirect migration background","14873.39","13039.61","296","7700.87","9015","17276.33","23430","55164.4","13223.04","16523.74","0","139258.41","12455.71484375","14616.0869140625"
"2006","Not Employed","no migration background","16923","14946.21","7567","8106.5","11090.56","20142.67","27180.67","49613","16629.56","17216.44","0","436398","15700","16103.3330078125"
