"year","e11103","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1991","Part Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1991","Part Time","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1991","Part Time","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1991","Part Time","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1992","Full Time","(0) in school","","","","","","","","","","","","","",""
"1992","Full Time","(1a) inadequately completed","","","","","","","","","","","","","",""
"1992","Full Time","(1b) general elementary school","88.28","64.98","76","42","54","100","190","250","77.94","98.62","23","250","60","81"
"1992","Full Time","(1c) basic vocational qualification","88.73","80","189","50","60","110","138","200","83.46","94","15","200","75","89"
"1992","Full Time","(2a) intermediate vocational","75.11","65","172","39","50","88","130","200","69.09","81.13","24","200","65","76"
"1992","Full Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1992","Full Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1992","Full Time","(2c_voc) vocational maturity certificate","81.69","72.38","38","50","60","104","120","150","70.59","92.79","25","170","66","100"
"1992","Full Time","(3a) lower tertiary education","82.12","76.69","49","34","58","100","150","200","70.79","93.45","15","200","60","87"
"1992","Full Time","(3b) higher tertiary education","105.82","108.03","48","57","75","130","145","200","93.41","118.23","25","200","80","124"
"1992","Not Working","(0) in school","","","","","","","","","","","","","",""
"1992","Not Working","(1a) inadequately completed","","","","","","","","","","","","","",""
"1992","Not Working","(1b) general elementary school","73.13","70","50","20","36","95","150","200","60.11","86.15","16","200","65","95"
"1992","Not Working","(1c) basic vocational qualification","85.17","69.07","51","35","54","120","145","250","72.45","97.89","28","250","66","90"
"1992","Not Working","(2a) intermediate vocational","90.78","85.81","31","48","57","110","120","200","75.07","106.49","23","200","72","103"
"1992","Not Working","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1992","Not Working","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1992","Not Working","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1992","Not Working","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1992","Not Working","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1992","Part Time","(0) in school","","","","","","","","","","","","","",""
"1992","Part Time","(1a) inadequately completed","","","","","","","","","","","","","",""
"1992","Part Time","(1b) general elementary school","84.28","85.15","45","45","56","100","150","150","73.99","94.57","12","150","59","92"
"1992","Part Time","(1c) basic vocational qualification","78.26","70","69","30","50","100","130","165","70","86.52","18","200","69","91"
"1992","Part Time","(2a) intermediate vocational","85.33","68","70","46","58","100","150","250","74.91","95.75","15","250","65","80"
"1992","Part Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1992","Part Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1992","Part Time","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1992","Part Time","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1992","Part Time","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1993","Full Time","(0) in school","","","","","","","","","","","","","",""
"1993","Full Time","(1a) inadequately completed","","","","","","","","","","","","","",""
"1993","Full Time","(1b) general elementary school","91.31","70","84","40","53","130","151","300","80.99","101.63","20","300","70","82"
"1993","Full Time","(1c) basic vocational qualification","94.26","85","191","50","70","120","140","250","88.15","100.37","16","350","78","90"
"1993","Full Time","(2a) intermediate vocational","88.72","79.02","196","45","60","110","143","300","82.53","94.91","20","350","70","85"
"1993","Full Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1993","Full Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1993","Full Time","(2c_voc) vocational maturity certificate","97.95","90","36","50","60","120","148","240","83.93","111.97","30","240","71","110"
"1993","Full Time","(3a) lower tertiary education","111.5","100","44","65","78","120","200","200","99.53","123.47","14","200","81","110"
"1993","Full Time","(3b) higher tertiary education","106.84","103.37","53","48","72","130","170","210","93.01","120.67","20","350","95","120"
"1993","Not Working","(0) in school","","","","","","","","","","","","","",""
"1993","Not Working","(1a) inadequately completed","","","","","","","","","","","","","",""
"1993","Not Working","(1b) general elementary school","68.24","59.5","50","20","25","90","145","250","55.33","81.15","15","250","60","79"
"1993","Not Working","(1c) basic vocational qualification","83.73","75.85","72","40","50","103","140","300","73.42","94.04","30","300","68","85"
"1993","Not Working","(2a) intermediate vocational","98.9","95.82","50","48","74","120","160","210","86.24","111.56","20","210","75","107"
"1993","Not Working","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1993","Not Working","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1993","Not Working","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1993","Not Working","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1993","Not Working","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1993","Part Time","(0) in school","","","","","","","","","","","","","",""
"1993","Part Time","(1a) inadequately completed","","","","","","","","","","","","","",""
"1993","Part Time","(1b) general elementary school","84.23","86","51","42","56","100","146","180","73.64","94.82","10","180","60","87"
