"year","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2011","(2b) intermediate general qualification","7.61","8","682","7.45","7.77","5","7","9","10"
"2011","(2c_gen) general maturity certificate","7.55","8","989","7.42","7.68","5","7","9","10"
"2011","(2c_voc) vocational maturity certificate","7.74","8","2314","7.66","7.82","5","7","9","10"
"2011","(3a) lower tertiary education","7.92","8","2084","7.85","7.99","6","7","9","10"
"2011","(3b) higher tertiary education","7.92","8","3684","7.86","7.98","5","7","9","10"
"2012","(0) in school","8.14","9","443","7.97","8.31","5","7","10","10"
"2012","(1a) inadequately completed","6.89","7","389","6.63","7.15","3","5","9","10"
"2012","(1b) general elementary school","7.72","8","2097","7.62","7.82","5","7","9","10"
"2012","(1c) basic vocational qualification","7.81","8","6150","7.76","7.86","5","7","9","10"
"2012","(2a) intermediate vocational","7.78","8","6736","7.74","7.82","5","7","9","10"
"2012","(2b) intermediate general qualification","7.61","8","724","7.46","7.76","5","7","9","10"
"2012","(2c_gen) general maturity certificate","7.55","8","1036","7.42","7.68","5","7","9","10"
"2012","(2c_voc) vocational maturity certificate","7.74","8","2354","7.66","7.82","5","7","9","10"
"2012","(3a) lower tertiary education","8.04","8","2156","7.97","8.11","6","7","9","10"
"2012","(3b) higher tertiary education","7.97","8","3773","7.92","8.02","6","7","9","10"
"2013","(0) in school","8.03","9","631","7.88","8.18","5","7","10","10"
"2013","(1a) inadequately completed","6.93","8","677","6.72","7.14","3","5","9","10"
"2013","(1b) general elementary school","7.66","8","2831","7.57","7.75","5","7","9","10"
"2013","(1c) basic vocational qualification","7.86","8","6626","7.81","7.91","5","7","9","10"
"2013","(2a) intermediate vocational","7.82","8","6846","7.78","7.86","5","7","9","10"
"2013","(2b) intermediate general qualification","7.5","8","948","7.36","7.64","4","6","9","10"
"2013","(2c_gen) general maturity certificate","7.58","8","1610","7.47","7.69","5","7","9","10"
"2013","(2c_voc) vocational maturity certificate","7.73","8","2873","7.66","7.8","5","7","9","10"
"2013","(3a) lower tertiary education","8.07","8","2199","8","8.14","6","7","9","10"
"2013","(3b) higher tertiary education","8.02","8","4670","7.97","8.07","6","7","9","10"
"2014","(0) in school","8.1","9","440","7.92","8.28","5","7","10","10"
"2014","(1a) inadequately completed","7","8","544","6.79","7.21","3","5","9","10"
"2014","(1b) general elementary school","7.68","8","2363","7.59","7.77","5","7","9","10"
"2014","(1c) basic vocational qualification","7.88","8","5873","7.83","7.93","5","7","9","10"
"2014","(2a) intermediate vocational","7.85","8","6073","7.8","7.9","5","7","9","10"
"2014","(2b) intermediate general qualification","7.68","8","806","7.53","7.83","5","7","9","10"
"2014","(2c_gen) general maturity certificate","7.59","8","1444","7.48","7.7","5","7","9","10"
"2014","(2c_voc) vocational maturity certificate","7.94","8","2520","7.87","8.01","6","7","9","10"
"2014","(3a) lower tertiary education","7.99","8","2041","7.92","8.06","6","7","9","10"
"2014","(3b) higher tertiary education","7.95","8","4190","7.9","8","5","7","9","10"
"2015","(0) in school","8.07","8","338","7.84","8.3","5","7","10","10"
"2015","(1a) inadequately completed","6.71","8","462","6.47","6.95","2","5","9","10"
"2015","(1b) general elementary school","7.76","8","1996","7.66","7.86","5","7","9","10"
"2015","(1c) basic vocational qualification","7.89","8","5410","7.84","7.94","5","7","9","10"
"2015","(2a) intermediate vocational","7.86","8","5756","7.81","7.91","5","7","9","10"
"2015","(2b) intermediate general qualification","7.84","8","733","7.69","7.99","5","7","9","10"
"2015","(2c_gen) general maturity certificate","7.86","8","1260","7.75","7.97","5","7","9","10"
"2015","(2c_voc) vocational maturity certificate","7.82","8","2397","7.75","7.89","5","7","9","10"
"2015","(3a) lower tertiary education","8","8","1941","7.93","8.07","6","7","9","10"
"2015","(3b) higher tertiary education","8.05","8","3939","8","8.1","6","7","9","10"
"2016","(0) in school","8.06","8","324","7.84","8.28","5","7","10","10"
"2016","(1a) inadequately completed","6.84","7","478","6.61","7.07","3","5","9","10"
"2016","(1b) general elementary school","7.77","8","1926","7.67","7.87","5","7","9","10"
"2016","(1c) basic vocational qualification","7.94","8","5077","7.89","7.99","5","7","9","10"
"2016","(2a) intermediate vocational","7.86","8","5325","7.81","7.91","5","7","9","10"
"2016","(2b) intermediate general qualification","7.8","8","686","7.64","7.96","5","7","9","10"
"2016","(2c_gen) general maturity certificate","7.78","8","1248","7.67","7.89","5","7","9","10"
"2016","(2c_voc) vocational maturity certificate","7.81","8","2440","7.74","7.88","5","7","9","10"
"2016","(3a) lower tertiary education","8.1","8","1832","8.03","8.17","6","7","9","10"
"2016","(3b) higher tertiary education","7.98","8","4066","7.93","8.03","6","7","9","10"
