"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2003","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.42","7","1244","4","5","8","9","6.31","6.53","6","7"
"2003","lower secondary degree","Westdeutschland, alte Bundeslaender","6.65","7","4936","4","5","8","9","6.59","6.71","7","7"
"2003","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","6.56","6.9","99","4","5","8","10","6.13","6.99","6","7"
"2003","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.22","6","434","3","5","8","9","6","6.44","6","7"
"2003","Other degree","Ostdeutschland, neue Bundeslaender","6.56","7","34","4","5","8","9","5.84","7.28","6","8"
"2003","Other degree","Westdeutschland, alte Bundeslaender","6.64","7","947","4","5","8","9","6.51","6.77","7","7"
"2003","secondary school degree","Ostdeutschland, neue Bundeslaender","6.53","7","1822","4","5","8","9","6.44","6.62","7","7"
"2003","secondary school degree","Westdeutschland, alte Bundeslaender","6.5","7","3182","4","5","8","9","6.43","6.57","7","7"
"2004","college entrance qualification","Ostdeutschland, neue Bundeslaender","6.41","7","755","4","5","8","9","6.28","6.54","7","7"
"2004","college entrance qualification","Westdeutschland, alte Bundeslaender","6.47","7","2860","4","5","8","9","6.4","6.54","7","7"
"2004","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.31","7","1196","4","5","8","9","6.2","6.42","6","7"
"2004","lower secondary degree","Westdeutschland, alte Bundeslaender","6.63","7","4782","4","5","8","9","6.57","6.69","7","7"
"2004","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","6.67","7","98","3","5","8","10","6.22","7.12","6","7"
"2004","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.25","6","432","3","5","8","10","6.03","6.47","6","7"
"2004","Other degree","Ostdeutschland, neue Bundeslaender","5.77","6","43","2","4","7","8","5.13","6.41","6","7"
"2004","Other degree","Westdeutschland, alte Bundeslaender","6.69","7","908","4","5","8","9","6.56","6.82","7","7"
"2004","secondary school degree","Ostdeutschland, neue Bundeslaender","6.4","7","1783","4","5","8","9","6.31","6.49","7","7"
