"hgowner","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Owner","1993","66 and older","West Germany","569","0.471486943065663","0.442054273978467","0.500919612152859","1"
"Owner","1993","66 and older","East Germany","130","0.286449489598546","0.241808237515703","0.331090741681389","1"
"Resident or shared accommodation","1993","16-34 y.","West Germany","","","","","5"
"Resident or shared accommodation","1993","16-34 y.","East Germany","","","","","5"
"Resident or shared accommodation","1993","35-65 y.","West Germany","","","","","5"
"Resident or shared accommodation","1993","35-65 y.","East Germany","","","","","5"
"Resident or shared accommodation","1993","66 and older","West Germany","","","","","5"
"Resident or shared accommodation","1993","66 and older","East Germany","","","","","5"
"Subtenant","1993","16-34 y.","West Germany","145","0.049356211158604","0.0422695580243212","0.0564428642928868","3"
"Subtenant","1993","16-34 y.","East Germany","62","0.0518261904953047","0.0399126487325035","0.0637397322581059","3"
"Subtenant","1993","35-65 y.","West Germany","95","0.0248514061485257","0.0203731760356092","0.0293296362614422","3"
"Subtenant","1993","35-65 y.","East Germany","24","","","","3"
"Subtenant","1993","66 and older","West Germany","22","","","","3"
"Subtenant","1993","66 and older","East Germany","6","","","","3"
"Tenant","1993","16-34 y.","West Germany","","","","","4"
"Tenant","1993","16-34 y.","East Germany","","","","","4"
"Tenant","1993","35-65 y.","West Germany","","","","","4"
"Tenant","1993","35-65 y.","East Germany","","","","","4"
"Tenant","1993","66 and older","West Germany","","","","","4"
"Tenant","1993","66 and older","East Germany","","","","","4"
"Main tenant","1994","16-34 y.","East Germany","827","0.691924213223261","0.666581620388925","0.717266806057596","2"
"Main tenant","1994","16-34 y.","West Germany","2335","0.609369352754419","0.593297352864561","0.625441352644278","2"
"Main tenant","1994","35-65 y.","West Germany","2251","0.438363978522695","0.423860243833669","0.452867713211721","2"
"Main tenant","1994","35-65 y.","East Germany","1294","0.637082735992112","0.6165562541184","0.657609217865824","2"
"Main tenant","1994","66 and older","West Germany","511","0.492678760275081","0.463333761222696","0.522023759327466","2"
"Main tenant","1994","66 and older","East Germany","271","0.707993773659902","0.663711352863623","0.752276194456182","2"
"Owner","1994","16-34 y.","West Germany","1077","0.35030909325496","0.334593688909867","0.366024497600053","1"
"Owner","1994","16-34 y.","East Germany","389","0.259055973483664","0.2350077773843","0.283104169583028","1"
"Owner","1994","35-65 y.","West Germany","2162","0.539604991710166","0.525035707273272","0.554174276147059","1"
"Owner","1994","35-65 y.","East Germany","772","0.344867672284743","0.324576667849319","0.365158676720167","1"
"Owner","1994","66 and older","West Germany","586","0.477098583210188","0.447781238729085","0.50641592769129","1"
"Owner","1994","66 and older","East Germany","128","0.272916676064647","0.229532864208336","0.316300487920958","1"
"Resident or shared accommodation","1994","16-34 y.","West Germany","","","","","5"
"Resident or shared accommodation","1994","16-34 y.","East Germany","","","","","5"
