"hgowner","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1994","Not Employed","no migration background","1806","0.501219760284918","0.484827474048173","0.517612046521664","2"
"Main tenant","1994","Not Employed","indirect migration background","130","0.623960370497202","0.55177979320883","0.696140947785574","2"
"Main tenant","1994","Employed","no migration background","3457","0.51338787486134","0.501234247276575","0.525541502446106","2"
"Main tenant","1994","Employed","direct migration background","1195","0.700501195145266","0.677565035886284","0.723437354404249","2"
"Main tenant","1994","Employed","indirect migration background","264","0.779850243335061","0.734663448140932","0.82503703852919","2"
"Owner","1994","Not Employed","no migration background","1693","0.469822127248002","0.453459676604562","0.486184577891443","1"
"Owner","1994","Not Employed","direct migration background","177","0.300230339671555","0.269233794459357","0.331226884883753","1"
"Owner","1994","Not Employed","indirect migration background","43","0.376039629502798","0.303859052214426","0.44822020679117","1"
"Owner","1994","Employed","no migration background","2856","0.458293362539665","0.446177745988639","0.470408979090691","1"
"Owner","1994","Employed","direct migration background","295","0.2702411576608","0.248003751026167","0.292478564295433","1"
"Owner","1994","Employed","indirect migration background","50","0.178762648290306","0.13697772908782","0.220547567492792","1"
"Resident or shared accommodation","1994","Not Employed","no migration background","","","","","5"
"Resident or shared accommodation","1994","Not Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1994","Not Employed","indirect migration background","","","","","5"
"Resident or shared accommodation","1994","Employed","no migration background","","","","","5"
"Resident or shared accommodation","1994","Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1994","Employed","indirect migration background","","","","","5"
"Subtenant","1994","Not Employed","no migration background","75","0.0289581124670795","0.023460489851868","0.034455735082291","3"
"Subtenant","1994","Not Employed","direct migration background","26","","","","3"
"Subtenant","1994","Not Employed","indirect migration background","","","","","3"
"Subtenant","1994","Employed","no migration background","184","0.0283187625989948","0.0242851823437394","0.0323523428542503","3"
"Subtenant","1994","Employed","direct migration background","42","0.0292576471939338","0.0208186586624104","0.0376966357254573","3"
"Subtenant","1994","Employed","indirect migration background","9","","","","3"
"Tenant","1994","Not Employed","no migration background","","","","","4"
"Tenant","1994","Not Employed","indirect migration background","","","","","4"
"Tenant","1994","Not Employed","direct migration background","","","","","4"
"Tenant","1994","Employed","no migration background","","","","","4"
"Tenant","1994","Employed","direct migration background","","","","","4"
"Tenant","1994","Employed","indirect migration background","","","","","4"
"Main tenant","1995","Not Employed","direct migration background","866","0.686189157542774","0.658841103736958","0.713537211348591","2"
"Main tenant","1995","Not Employed","no migration background","1803","0.485405454524119","0.468987917385076","0.501822991663163","2"
