"hgowner","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Owner","1993","16-34 y.","Rural Area","658","0.425145569783836","0.401004968056859","0.449286171510813","1"
"Owner","1993","35-65 y.","Urban Area","1745","0.468496553523409","0.453895765396235","0.483097341650583","1"
"Owner","1993","35-65 y.","Rural Area","1201","0.565989625727777","0.545605419018772","0.586373832436781","1"
"Owner","1993","66 and older","Urban Area","422","0.408415175093558","0.377656116805191","0.439174233381925","1"
"Owner","1993","66 and older","Rural Area","277","0.503744631163669","0.460687901968173","0.546801360359164","1"
"Resident or shared accommodation","1993","16-34 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1993","16-34 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1993","35-65 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1993","35-65 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1993","66 and older","Urban Area","","","","","5"
"Resident or shared accommodation","1993","66 and older","Rural Area","","","","","5"
"Subtenant","1993","16-34 y.","Urban Area","109","0.0409698656870278","0.0342150463573223","0.0477246850167333","3"
"Subtenant","1993","16-34 y.","Rural Area","98","0.0702222220030579","0.0577447332910012","0.0826997107151146","3"
"Subtenant","1993","35-65 y.","Urban Area","71","0.0187120816924777","0.014747208202127","0.0226769551828285","3"
"Subtenant","1993","35-65 y.","Rural Area","48","0.0278512055841346","0.0210837113503995","0.0346186998178697","3"
"Subtenant","1993","66 and older","Urban Area","17","","","","3"
"Subtenant","1993","66 and older","Rural Area","11","","","","3"
"Tenant","1993","16-34 y.","Rural Area","","","","","4"
"Tenant","1993","16-34 y.","Urban Area","","","","","4"
"Tenant","1993","35-65 y.","Urban Area","","","","","4"
"Tenant","1993","35-65 y.","Rural Area","","","","","4"
"Tenant","1993","66 and older","Urban Area","","","","","4"
"Tenant","1993","66 and older","Rural Area","","","","","4"
"Main tenant","1994","16-34 y.","Urban Area","2347","0.678398547699308","0.662349813949385","0.694447281449231","2"
"Main tenant","1994","35-65 y.","Urban Area","2563","0.508317749758097","0.493480105635832","0.523155393880362","2"
"Main tenant","1994","16-34 y.","Rural Area","815","0.504680515445755","0.479877892298755","0.529483138592755","2"
"Main tenant","1994","66 and older","Urban Area","559","0.568494786133152","0.537904071510525","0.599085500755778","2"
"Main tenant","1994","35-65 y.","Rural Area","982","0.407873530640218","0.387535754950906","0.42821130632953","2"
"Main tenant","1994","66 and older","Rural Area","223","0.449337533063904","0.406292951063616","0.492382115064192","2"
"Owner","1994","16-34 y.","Urban Area","811","0.287161648761926","0.271616386107209","0.302706911416643","1"
