"hgowner","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Subtenant","1986","Not Employed","vocational + Abi","2","","","","3"
"Subtenant","1986","Not Employed","higher vocational","3","","","","3"
"Tenant","1986","Not Employed","in school","","","","","4"
"Tenant","1986","Not Employed","middle vocational","1","","","","4"
"Tenant","1986","Not Employed","higher education","","","","","4"
"Tenant","1986","Employed","in school","","","","","4"
"Tenant","1986","Employed","vocational + Abi","","","","","4"
"Tenant","1986","Employed","higher vocational","","","","","4"
"Tenant","1986","Employed","higher education","","","","","4"
"Tenant","1986","Not Employed","inadequately","","","","","4"
"Tenant","1986","Not Employed","general elemantary","","","","","4"
"Tenant","1986","Not Employed","vocational + Abi","","","","","4"
"Tenant","1986","Not Employed","higher vocational","","","","","4"
"Tenant","1986","Employed","inadequately","","","","","4"
"Tenant","1986","Employed","general elemantary","","","","","4"
"Tenant","1986","Employed","middle vocational","","","","","4"
"Main tenant","1987","Not Employed","in school","90","0.435845617627361","0.363203766898644","0.508487468356078","2"
"Main tenant","1987","Not Employed","inadequately","252","0.781978277891083","0.734373954468928","0.829582601313239","2"
"Main tenant","1987","Not Employed","general elemantary","672","0.483050669933257","0.456021291376353","0.51008004849016","2"
"Main tenant","1987","Not Employed","middle vocational","822","0.542899371492831","0.518482532591164","0.567316210394498","2"
"Main tenant","1987","Not Employed","vocational + Abi","39","0.54980195650018","0.434884293641917","0.664719619358443","2"
"Main tenant","1987","Not Employed","higher vocational","72","0.456771739261263","0.380065379238802","0.533478099283723","2"
"Main tenant","1987","Not Employed","higher education","66","0.441849111320646","0.360455020675301","0.523243201965991","2"
"Main tenant","1987","Employed","in school","2","","","","2"
"Main tenant","1987","Employed","inadequately","409","0.790022450338165","0.753239735043701","0.82680516563263","2"
"Main tenant","1987","Employed","general elemantary","989","0.528898439278118","0.503984103205383","0.553812775350853","2"
"Main tenant","1987","Employed","middle vocational","1840","0.502564437697304","0.48572836926535","0.519400506129258","2"
"Main tenant","1987","Employed","vocational + Abi","140","0.623183758355234","0.557009763905981","0.689357752804487","2"
"Main tenant","1987","Employed","higher vocational","183","0.449384587950367","0.401058220136022","0.497710955764711","2"
"Main tenant","1987","Employed","higher education","294","0.480260326301436","0.440317191542824","0.520203461060047","2"
"Owner","1987","Not Employed","in school","88","0.558221751629053","0.485472736614104","0.630970766644001","1"
"Owner","1987","Not Employed","inadequately","30","0.182299394802384","0.137786181850272","0.226812607754497","1"
"Owner","1987","Not Employed","general elemantary","621","0.49863478886352","0.471589967733973","0.525679609993067","1"
"Owner","1987","Not Employed","middle vocational","749","0.437702035820057","0.41338579711841","0.462018274521703","1"
"Owner","1987","Not Employed","vocational + Abi","29","","","","1"
"Owner","1987","Not Employed","higher vocational","88","0.520258283803372","0.443326849768319","0.597189717838426","1"
"Owner","1987","Not Employed","higher education","75","0.535588013357078","0.453845646811147","0.617330379903009","1"
"Owner","1987","Employed","in school","10","","","","1"
"Owner","1987","Employed","inadequately","38","0.139527413609229","0.108235225752227","0.170819601466231","1"
"Owner","1987","Employed","general elemantary","522","0.449725471140306","0.424895892352127","0.474555049928484","1"
"Owner","1987","Employed","middle vocational","1478","0.474668953978354","0.457854284395668","0.491483623561039","1"
"Owner","1987","Employed","vocational + Abi","62","0.357871556404401","0.292409593185138","0.423333519623664","1"
"Owner","1987","Employed","higher vocational","218","0.535700247641554","0.487248322675478","0.58415217260763","1"
"Owner","1987","Employed","higher education","295","0.498567229978077","0.458593094843965","0.538541365112189","1"
"Resident or shared accommodation","1987","Not Employed","in school","","","","","5"
"Resident or shared accommodation","1987","Not Employed","inadequately","","","","","5"
"Resident or shared accommodation","1987","Not Employed","general elemantary","","","","","5"
"Resident or shared accommodation","1987","Not Employed","middle vocational","","","","","5"
"Resident or shared accommodation","1987","Not Employed","vocational + Abi","","","","","5"
"Resident or shared accommodation","1987","Not Employed","higher vocational","","","","","5"
"Resident or shared accommodation","1987","Not Employed","higher education","","","","","5"
"Resident or shared accommodation","1987","Employed","in school","","","","","5"
"Resident or shared accommodation","1987","Employed","inadequately","","","","","5"
"Resident or shared accommodation","1987","Employed","general elemantary","","","","","5"
"Resident or shared accommodation","1987","Employed","middle vocational","","","","","5"
"Resident or shared accommodation","1987","Employed","vocational + Abi","","","","","5"
"Resident or shared accommodation","1987","Employed","higher vocational","","","","","5"
"Resident or shared accommodation","1987","Employed","higher education","","","","","5"
"Subtenant","1987","Not Employed","in school","1","","","","3"
"Subtenant","1987","Not Employed","inadequately","7","","","","3"
"Subtenant","1987","Not Employed","general elemantary","20","","","","3"
"Subtenant","1987","Not Employed","middle vocational","27","","","","3"
"Subtenant","1987","Not Employed","vocational + Abi","3","","","","3"
"Subtenant","1987","Not Employed","higher vocational","1","","","","3"
"Subtenant","1987","Not Employed","higher education","2","","","","3"
"Subtenant","1987","Employed","in school","","","","","3"
"Subtenant","1987","Employed","inadequately","24","","","","3"
"Subtenant","1987","Employed","general elemantary","31","0.0213760895815763","0.0141570745545327","0.02859510460862","3"
"Subtenant","1987","Employed","middle vocational","69","0.0224430458546698","0.0174554836714687","0.027430608037871","3"
"Subtenant","1987","Employed","vocational + Abi","3","","","","3"
"Subtenant","1987","Employed","higher vocational","6","","","","3"
"Subtenant","1987","Employed","higher education","12","","","","3"
"Tenant","1987","Not Employed","middle vocational","1","","","","4"
"Tenant","1987","Not Employed","vocational + Abi","1","","","","4"
"Tenant","1987","Not Employed","inadequately","","","","","4"
"Tenant","1987","Employed","general elemantary","","","","","4"
"Tenant","1987","Not Employed","general elemantary","","","","","4"
"Tenant","1987","Not Employed","in school","","","","","4"
"Tenant","1987","Not Employed","higher vocational","1","","","","4"
"Tenant","1987","Not Employed","higher education","","","","","4"
"Tenant","1987","Employed","in school","","","","","4"
"Tenant","1987","Employed","inadequately","","","","","4"
"Tenant","1987","Employed","middle vocational","1","","","","4"
"Tenant","1987","Employed","vocational + Abi","1","","","","4"
"Tenant","1987","Employed","higher vocational","","","","","4"
"Tenant","1987","Employed","higher education","","","","","4"
"Main tenant","1988","Not Employed","in school","69","0.392927680026187","0.316039643673159","0.469815716379215","2"
"Main tenant","1988","Not Employed","inadequately","264","0.774040691517837","0.726716361063498","0.821365021972175","2"
"Main tenant","1988","Not Employed","general elemantary","654","0.510813540837752","0.482682480337961","0.538944601337543","2"
"Main tenant","1988","Not Employed","middle vocational","757","0.526828681423019","0.501620856368691","0.552036506477347","2"
"Main tenant","1988","Not Employed","vocational + Abi","43","0.576793596123746","0.461871047953356","0.691716144294137","2"
"Main tenant","1988","Not Employed","higher vocational","66","0.466374826166072","0.386805565617403","0.54594408671474","2"
