"hgowner","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Subtenant","1992","Full Time","Rural Area","69","0.0290559634851185","0.0220261546526166","0.0360857723176203","3"
"Subtenant","1992","Full Time","Urban Area","109","0.030604626724165","0.0254831262722355","0.0357261271760945","3"
"Subtenant","1992","Part Time","Urban Area","41","0.0294234519776331","0.0210961069418752","0.037750797013391","3"
"Subtenant","1992","Part Time","Rural Area","33","0.0492262242303517","0.0351157673501867","0.0633366811105167","3"
"Subtenant","1992","Not Working","Urban Area","47","0.0193629873070721","0.0143512291500059","0.0243747454641382","3"
"Subtenant","1992","Not Working","Rural Area","32","0.0288224578594182","0.0198811351264134","0.037763780592423","3"
"Tenant","1992","Full Time","Urban Area","2","","","","4"
"Tenant","1992","Full Time","Rural Area","","","","","4"
"Tenant","1992","Part Time","Rural Area","1","","","","4"
"Tenant","1992","Part Time","Urban Area","1","","","","4"
"Tenant","1992","Not Working","Urban Area","3","","","","4"
"Tenant","1992","Not Working","Rural Area","1","","","","4"
"Main tenant","1993","Full Time","Urban Area","2770","0.593232874636281","0.5783357866961","0.608129962576462","2"
"Main tenant","1993","Full Time","Rural Area","1020","0.448779277921536","0.427466188038425","0.470092367804647","2"
"Main tenant","1993","Part Time","Urban Area","1019","0.546144585787708","0.522122058489851","0.570167113085566","2"
"Main tenant","1993","Part Time","Rural Area","373","0.428192803977962","0.394200517433552","0.462185090522373","2"
"Main tenant","1993","Not Working","Urban Area","1797","0.555814080207492","0.53788087695191","0.573747283463073","2"
"Main tenant","1993","Not Working","Rural Area","714","0.460498801525921","0.435224262039005","0.485773341012836","2"
"Owner","1993","Full Time","Urban Area","1308","0.380350125641498","0.365627650882976","0.395072600400021","1"
"Owner","1993","Full Time","Rural Area","993","0.512096120430545","0.490676580940105","0.533515659920984","1"
"Owner","1993","Part Time","Urban Area","590","0.427249869540711","0.403381118937313","0.451118620144108","1"
"Owner","1993","Part Time","Rural Area","405","0.516204518202385","0.481874210708223","0.550534825696547","1"
"Owner","1993","Not Working","Urban Area","1095","0.41754102504788","0.399742133695161","0.4353399164006","1"
"Owner","1993","Not Working","Rural Area","738","0.505144091178887","0.47979164840546","0.530496533952313","1"
"Resident or shared accommodation","1993","Full Time","Urban Area","","","","","5"
"Resident or shared accommodation","1993","Full Time","Rural Area","","","","","5"
"Resident or shared accommodation","1993","Part Time","Urban Area","","","","","5"
"Resident or shared accommodation","1993","Part Time","Rural Area","","","","","5"
"Resident or shared accommodation","1993","Not Working","Urban Area","","","","","5"
"Resident or shared accommodation","1993","Not Working","Rural Area","","","","","5"
"Subtenant","1993","Full Time","Urban Area","99","0.0264169997222209","0.0215535538109618","0.0312804456334799","3"
"Subtenant","1993","Full Time","Rural Area","79","0.0391246016479192","0.0308160418028167","0.0474331614930218","3"
"Subtenant","1993","Part Time","Urban Area","41","0.0266055446715811","0.0188406310290024","0.0343704583141597","3"
"Subtenant","1993","Part Time","Rural Area","36","0.0556026778196524","0.0398606340387991","0.0713447216005057","3"
"Subtenant","1993","Not Working","Urban Area","57","0.0266448947446281","0.0208325232423318","0.0324572662469244","3"
"Subtenant","1993","Not Working","Rural Area","42","0.0343571072951924","0.0251209916505134","0.0435932229398714","3"
"Tenant","1993","Full Time","Rural Area","","","","","4"
"Tenant","1993","Full Time","Urban Area","","","","","4"
"Tenant","1993","Part Time","Urban Area","","","","","4"
"Tenant","1993","Part Time","Rural Area","","","","","4"
"Tenant","1993","Not Working","Urban Area","","","","","4"
"Tenant","1993","Not Working","Rural Area","","","","","4"
"Main tenant","1994","Full Time","Urban Area","2598","0.594725565572308","0.579430790157689","0.610020340986927","2"
"Main tenant","1994","Part Time","Urban Area","997","0.552066954492538","0.527608710707649","0.576525198277427","2"
"Main tenant","1994","Full Time","Rural Area","974","0.441166858159188","0.41954076377531","0.462792952543067","2"
"Main tenant","1994","Not Working","Urban Area","1874","0.555228334819382","0.537666928467028","0.572789741171735","2"
"Main tenant","1994","Part Time","Rural Area","347","0.455281460945659","0.420355478179079","0.490207443712239","2"
"Main tenant","1994","Not Working","Rural Area","699","0.446093805152703","0.421029996509413","0.471157613795994","2"
"Owner","1994","Full Time","Urban Area","1268","0.379328345249692","0.364211930455984","0.394444760043399","1"
"Owner","1994","Full Time","Rural Area","985","0.524838722841893","0.503088233470687","0.546589212213099","1"
"Owner","1994","Part Time","Urban Area","548","0.421347278195808","0.397061504794309","0.445633051597307","1"
"Owner","1994","Part Time","Rural Area","400","0.508361454868965","0.473299845773056","0.543423063964873","1"
"Owner","1994","Not Working","Urban Area","1148","0.418345837730591","0.400913522457692","0.43577815300349","1"
"Owner","1994","Not Working","Rural Area","765","0.518328382081936","0.493134570199399","0.543522193964473","1"
"Resident or shared accommodation","1994","Full Time","Urban Area","","","","","5"
"Resident or shared accommodation","1994","Full Time","Rural Area","","","","","5"
"Resident or shared accommodation","1994","Part Time","Urban Area","","","","","5"
"Resident or shared accommodation","1994","Part Time","Rural Area","","","","","5"
"Resident or shared accommodation","1994","Not Working","Urban Area","","","","","5"
"Resident or shared accommodation","1994","Not Working","Rural Area","","","","","5"
"Subtenant","1994","Full Time","Urban Area","92","0.025946089178","0.020993439078898","0.0308987392771021","3"
"Subtenant","1994","Full Time","Rural Area","66","0.0339944189989186","0.0261016533766281","0.041887184621209","3"
"Subtenant","1994","Part Time","Urban Area","43","0.026585767311654","0.0186735849645987","0.0344979496587092","3"
"Subtenant","1994","Not Working","Urban Area","54","0.0264258274500277","0.0207575154765618","0.0320941394234936","3"
"Subtenant","1994","Part Time","Rural Area","34","0.0363570841853762","0.0232297916464176","0.0494843767243348","3"
"Subtenant","1994","Not Working","Rural Area","47","0.0355778127653611","0.0262379804735471","0.0449176450571752","3"
"Tenant","1994","Full Time","Urban Area","","","","","4"
"Tenant","1994","Part Time","Urban Area","","","","","4"
"Tenant","1994","Full Time","Rural Area","","","","","4"
"Tenant","1994","Not Working","Urban Area","","","","","4"
"Tenant","1994","Part Time","Rural Area","","","","","4"
"Tenant","1994","Not Working","Rural Area","","","","","4"
"Main tenant","1995","Full Time","Urban Area","2470","0.571458667080193","0.555808653907959","0.587108680252426","2"
"Main tenant","1995","Full Time","Rural Area","1011","0.435637152889801","0.41431301382295","0.456961291956652","2"
"Main tenant","1995","Part Time","Urban Area","1135","0.561580195037691","0.538619351159917","0.584541038915464","2"
"Main tenant","1995","Part Time","Rural Area","391","0.45120421054289","0.417145114124346","0.485263306961434","2"
"Main tenant","1995","Not Working","Rural Area","762","0.4352833694001","0.410844366539742","0.459722372260459","2"
"Main tenant","1995","Not Working","Urban Area","2031","0.551729607343683","0.534650216204404","0.568808998482962","2"
"Owner","1995","Full Time","Urban Area","1274","0.396621441307078","0.381150776798063","0.412092105816093","1"
"Owner","1995","Full Time","Rural Area","987","0.523919556615102","0.50244113720778","0.545397976022423","1"
"Owner","1995","Part Time","Urban Area","622","0.417206622311249","0.394389032298257","0.440024212324242","1"
"Owner","1995","Part Time","Rural Area","396","0.501118749785597","0.466896379815929","0.535341119755266","1"
"Owner","1995","Not Working","Urban Area","1152","0.418041022931785","0.401101746764567","0.434980299099002","1"
"Owner","1995","Not Working","Rural Area","757","0.520864380823809","0.496239523970476","0.545489237677142","1"
"Resident or shared accommodation","1995","Full Time","Urban Area","","","","","5"
"Resident or shared accommodation","1995","Full Time","Rural Area","","","","","5"
"Resident or shared accommodation","1995","Part Time","Urban Area","","","","","5"
"Resident or shared accommodation","1995","Part Time","Rural Area","","","","","5"
"Resident or shared accommodation","1995","Not Working","Urban Area","","","","","5"
"Resident or shared accommodation","1995","Not Working","Rural Area","","","","","5"
"Subtenant","1995","Full Time","Rural Area","79","0.0404432904950974","0.0319712424999484","0.0489153384902464","3"
"Subtenant","1995","Full Time","Urban Area","97","0.0319198916127296","0.0263606917274394","0.0374790914980197","3"
"Subtenant","1995","Part Time","Urban Area","37","0.0212131826510597","0.0145453630241123","0.0278810022780071","3"
"Subtenant","1995","Part Time","Rural Area","33","0.0476770396715128","0.0330926609538502","0.0622614183891754","3"
"Subtenant","1995","Not Working","Urban Area","74","0.0302293697245325","0.0243492215298506","0.0361095179192144","3"
"Subtenant","1995","Not Working","Rural Area","62","0.0438522497760903","0.0337587773864326","0.0539457221657481","3"
"Tenant","1995","Full Time","Urban Area","","","","","4"
"Tenant","1995","Part Time","Urban Area","","","","","4"
"Tenant","1995","Full Time","Rural Area","","","","","4"
"Tenant","1995","Part Time","Rural Area","","","","","4"
"Tenant","1995","Not Working","Urban Area","","","","","4"
"Tenant","1995","Not Working","Rural Area","","","","","4"
"Main tenant","1996","Full Time","Urban Area","2357","0.57296483260411","0.557067260404022","0.588862404804198","2"
"Main tenant","1996","Full Time","Rural Area","948","0.43831508743102","0.416751937335481","0.459878237526558","2"
"Main tenant","1996","Part Time","Urban Area","1151","0.567123329451197","0.54448418417827","0.589762474724124","2"
"Main tenant","1996","Part Time","Rural Area","397","0.422539707099081","0.389545222998091","0.455534191200071","2"
"Main tenant","1996","Not Working","Urban Area","1917","0.549214744726799","0.531786144733709","0.566643344719888","2"
