"plh0032","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"No worries","1987","(2b) intermediate general qualification","Female","52","0.176063254224623","0.129497908933718","0.222628599515527"
"No worries","1987","(2b) intermediate general qualification","Male","45","0.225479171957618","0.162659828014932","0.288298515900304"
"No worries","1987","(2c_gen) general maturity certificate","Female","33","0.222459883992817","0.15568053014416","0.289239237841473"
"No worries","1987","(2c_gen) general maturity certificate","Male","59","0.234006174589771","0.179051206444071","0.288961142735471"
"No worries","1987","(2c_voc) vocational maturity certificate","Female","","","",""
"No worries","1987","(2c_voc) vocational maturity certificate","Male","43","0.180697075696311","0.130753632271963","0.230640519120658"
"No worries","1987","(3a) lower tertiary education","Female","","","",""
"No worries","1987","(3a) lower tertiary education","Male","","","",""
"No worries","1987","(3b) higher tertiary education","Female","39","0.200879387599615","0.141176011015214","0.260582764184017"
"No worries","1987","(3b) higher tertiary education","Male","65","0.200807652115907","0.156777486537045","0.24483781769477"
"Some worries","1987","(0) in school","Female","48","0.474663958499761","0.369125537459989","0.580202379539533"
"Some worries","1987","(0) in school","Male","54","0.517540775767885","0.420088946099491","0.614992605436279"
"Some worries","1987","(1a) inadequately completed","Female","228","0.485240004467556","0.439165617357966","0.531314391577145"
"Some worries","1987","(1a) inadequately completed","Male","182","0.490312481110591","0.43831020077433","0.542314761446852"
"Some worries","1987","(1b) general elementary school","Female","876","0.564675751273296","0.540174417393746","0.589177085152846"
"Some worries","1987","(1b) general elementary school","Male","466","0.581314787274208","0.547892600752456","0.614736973795961"
"Some worries","1987","(1c) basic vocational qualification","Female","897","0.606892006933724","0.58181186666054","0.631972147206908"
"Some worries","1987","(1c) basic vocational qualification","Male","1310","0.621512697501931","0.600754026984253","0.642271368019609"
"Some worries","1987","(2a) intermediate vocational","Female","485","0.623456869533163","0.588664778870306","0.658248960196021"
"Some worries","1987","(2a) intermediate vocational","Male","377","0.65516225152267","0.616141781449663","0.694182721595677"
"Some worries","1987","(2b) intermediate general qualification","Female","161","0.643939007768921","0.585397204588846","0.702480810948996"
"Some worries","1987","(2b) intermediate general qualification","Male","102","0.6368146823932","0.564522005581998","0.709107359204403"
"Some worries","1987","(2c_gen) general maturity certificate","Female","92","0.64621671891432","0.56944297770167","0.72299046012697"
"Some worries","1987","(2c_gen) general maturity certificate","Male","134","0.59239765503482","0.52861454817265","0.65618076189699"
"Some worries","1987","(2c_voc) vocational maturity certificate","Female","117","0.626673068933563","0.554597145496874","0.698748992370253"
"Some worries","1987","(2c_voc) vocational maturity certificate","Male","152","0.69826243490477","0.638681858902662","0.757843010906877"
"Some worries","1987","(3a) lower tertiary education","Female","47","0.649921031979379","0.539742965028105","0.760099098930652"
"Some worries","1987","(3a) lower tertiary education","Male","116","0.644973684426201","0.574277979795682","0.71566938905672"
"Some worries","1987","(3b) higher tertiary education","Female","103","0.62573197920457","0.553619475343107","0.697844483066032"
"Some worries","1987","(3b) higher tertiary education","Male","208","0.64150566883752","0.588797742954053","0.694213594720986"
"Big worries","1988","(0) in school","Female","","","",""
"Big worries","1988","(0) in school","Male","","","",""
"Big worries","1988","(1a) inadequately completed","Female","69","0.202770261415587","0.164987183110264","0.240553339720909"
"Big worries","1988","(1a) inadequately completed","Male","56","0.223244575660144","0.176587234866701","0.269901916453587"
"Big worries","1988","(1b) general elementary school","Female","389","0.298171503687384","0.27487347753449","0.321469529840278"
"Big worries","1988","(1b) general elementary school","Male","215","0.314143587423188","0.282641033259742","0.345646141586634"
"Big worries","1988","(1c) basic vocational qualification","Female","429","0.32044726189652","0.296038013721229","0.344856510071811"
"Big worries","1988","(1c) basic vocational qualification","Male","617","0.322647924657036","0.302144295916972","0.343151553397101"
"Big worries","1988","(2a) intermediate vocational","Female","175","0.239441485270461","0.208484926563334","0.270398043977588"
"Big worries","1988","(2a) intermediate vocational","Male","128","0.23046137450288","0.195007579171295","0.265915169834464"
"Big worries","1988","(2b) intermediate general qualification","Female","62","0.239354116982597","0.188173658647639","0.290534575317554"
"Big worries","1988","(2b) intermediate general qualification","Male","","","",""
"Big worries","1988","(2c_gen) general maturity certificate","Female","","","",""
"Big worries","1988","(2c_gen) general maturity certificate","Male","53","0.241906933633048","0.185060232830606","0.298753634435489"
"Big worries","1988","(2c_voc) vocational maturity certificate","Female","30","0.171046629023095","0.114275562977347","0.227817695068843"
