"plh0036","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"No worries","2010","Not Employed","indirect migration background","58","0.163432106888333","0.124358081370644","0.202506132406022","3"
"No worries","2010","Employed","direct migration background","240","0.126132101445582","0.110294202101544","0.14197000078962","3"
"No worries","2010","Not Employed","direct migration background","167","0.107038240132728","0.0895241763745097","0.124552303890947","3"
"No worries","2010","Employed","no migration background","1627","0.132746728566124","0.126930448007331","0.138563009124917","3"
"Some worries","2010","Not Employed","no migration background","3969","0.568251019260375","0.556542620314269","0.579959418206481","2"
"Some worries","2010","Employed","direct migration background","982","0.570770269249015","0.547158015626252","0.594382522871779","2"
"Some worries","2010","Employed","indirect migration background","467","0.590160679275814","0.556187037943286","0.624134320608341","2"
"Some worries","2010","Employed","no migration background","7803","0.580741988903048","0.572283500482349","0.589200477323746","2"
"Some worries","2010","Not Employed","direct migration background","668","0.574158572215505","0.546146779942752","0.602170364488258","2"
"Some worries","2010","Not Employed","indirect migration background","177","0.528858152986173","0.476109143153578","0.581607162818767","2"
"Big worries","2011","Employed","indirect migration background","174","0.291463891466308","0.254190113806062","0.328737669126553","1"
"Big worries","2011","Employed","no migration background","3326","0.308049332421708","0.299389998761299","0.316708666082116","1"
"Big worries","2011","Not Employed","indirect migration background","66","0.297301671462507","0.237040844133685","0.357562498791328","1"
"Big worries","2011","Not Employed","no migration background","2148","0.320334920868995","0.309332452830624","0.331337388907366","1"
"Big worries","2011","Employed","direct migration background","319","0.269838995401455","0.24421805238434","0.29545993841857","1"
"Big worries","2011","Not Employed","direct migration background","227","0.26373390860228","0.23370111567987","0.29376670152469","1"
"No worries","2011","Not Employed","no migration background","759","0.106628460691607","0.0993507779233921","0.113906143459821","3"
"No worries","2011","Employed","indirect migration background","82","0.163308405304868","0.132989256191133","0.193627554418604","3"
"No worries","2011","Not Employed","indirect migration background","31","0.164353118531454","0.115493246284641","0.213212990778266","3"
"No worries","2011","Employed","direct migration background","144","0.120639949737649","0.10183975374026","0.139440145735038","3"
"No worries","2011","Employed","no migration background","1316","0.122527364354964","0.116377435261983","0.128677293447946","3"
"No worries","2011","Not Employed","direct migration background","108","0.131360915831296","0.108338647933127","0.154383183729464","3"
"Some worries","2011","Not Employed","no migration background","4002","0.573036618439399","0.561373169375793","0.584700067503004","2"
"Some worries","2011","Employed","direct migration background","690","0.609521054860896","0.581361446905025","0.637680662816767","2"
"Some worries","2011","Employed","indirect migration background","315","0.545227703228824","0.50438485744024","0.586070549017408","2"
"Some worries","2011","Employed","no migration background","6278","0.569423303223328","0.560136213296118","0.578710393150538","2"
"Some worries","2011","Not Employed","direct migration background","492","0.604905175566424","0.57158635215564","0.638223998977208","2"
"Some worries","2011","Not Employed","indirect migration background","124","0.53834521000604","0.472618627145548","0.604071792866532","2"
"Big worries","2012","Employed","indirect migration background","153","0.237619075705727","0.203647468287894","0.27159068312356","1"
"Big worries","2012","Employed","no migration background","2893","0.26991146869831","0.261501511981154","0.278321425415465","1"
"Big worries","2012","Not Employed","indirect migration background","49","0.29260922575248","0.228087628399103","0.357130823105857","1"
"Big worries","2012","Not Employed","no migration background","2073","0.2949250149647","0.28428273676589","0.30556729316351","1"
"Big worries","2012","Employed","direct migration background","314","0.277274752893798","0.251435781925792","0.303113723861805","1"
"Big worries","2012","Not Employed","direct migration background","211","0.254905276684822","0.224321159684584","0.285489393685059","1"
"No worries","2012","Not Employed","no migration background","814","0.109501200780217","0.102213554938986","0.116788846621449","3"
"No worries","2012","Employed","indirect migration background","100","0.188550276886803","0.157330209911676","0.219770343861931","3"
"No worries","2012","Not Employed","indirect migration background","29","","","","3"
"No worries","2012","Employed","direct migration background","159","0.130506784628598","0.111062897959559","0.149950671297636","3"
"No worries","2012","Not Employed","direct migration background","106","0.130557311118718","0.106913261170947","0.154201361066489","3"
"No worries","2012","Employed","no migration background","1435","0.138615789117753","0.132069425378329","0.145162152857177","3"
"Some worries","2012","Not Employed","no migration background","4166","0.595573784255083","0.584120010893161","0.607027557617004","2"
"Some worries","2012","Employed","direct migration background","680","0.592218462477604","0.563853109772656","0.620583815182552","2"
"Some worries","2012","Employed","indirect migration background","350","0.57383064740747","0.534360167023148","0.613301127791791","2"
"Some worries","2012","Employed","no migration background","6375","0.591472742183937","0.582160093593511","0.600785390774364","2"
"Some worries","2012","Not Employed","direct migration background","463","0.614537412196461","0.580381485748107","0.648693338644815","2"
"Some worries","2012","Not Employed","indirect migration background","113","0.568523127992752","0.4982831710549","0.638763084930603","2"
"Big worries","2013","Employed","indirect migration background","160","0.263322859702337","0.226514232160966","0.300131487243708","1"
"Big worries","2013","Employed","no migration background","2529","0.250671608895545","0.242174580167226","0.259168637623863","1"
"Big worries","2013","Not Employed","indirect migration background","48","0.270138976587478","0.201972946831525","0.338305006343431","1"
"Big worries","2013","Not Employed","no migration background","1778","0.277791044925691","0.266890450680002","0.288691639171379","1"
"Big worries","2013","Employed","direct migration background","250","0.263322856363464","0.236065702798191","0.290580009928738","1"
"Big worries","2013","Not Employed","direct migration background","179","0.268524466233793","0.235065695889663","0.301983236577924","1"
"No worries","2013","Employed","indirect migration background","96","0.202273251192179","0.168702346028708","0.235844156355649","3"
"No worries","2013","Not Employed","indirect migration background","29","","","","3"
"No worries","2013","Not Employed","no migration background","901","0.137801904179504","0.129413279613276","0.146190528745732","3"
"No worries","2013","Employed","direct migration background","172","0.160996382238133","0.138251295371582","0.183741469104683","3"
"No worries","2013","Employed","no migration background","1461","0.147951547104216","0.140990568161418","0.154912526047015","3"
"No worries","2013","Not Employed","direct migration background","115","0.174830685766223","0.146156010522188","0.203505361010258","3"
"Some worries","2013","Employed","direct migration background","581","0.575680761398403","0.545093905003012","0.606267617793794","2"
"Some worries","2013","Employed","indirect migration background","294","0.534403889105484","0.492716353393749","0.57609142481722","2"
"Some worries","2013","Employed","no migration background","6004","0.601376844000239","0.591777688414786","0.610975999585691","2"
"Some worries","2013","Not Employed","direct migration background","380","0.556644847999983","0.519140370496097","0.59414932550387","2"
"Some worries","2013","Not Employed","indirect migration background","86","0.489578984055185","0.412837543731255","0.566320424379115","2"
"Some worries","2013","Not Employed","no migration background","3807","0.584407050894805","0.57241339932858","0.596400702461031","2"
"Big worries","2014","Employed","indirect migration background","351","0.244408574157839","0.220820378151947","0.267996770163731","1"
"Big worries","2014","Employed","no migration background","3382","0.256581723193006","0.249097035308313","0.264066411077699","1"
"Big worries","2014","Not Employed","indirect migration background","163","0.297059368359761","0.257554785364482","0.336563951355041","1"
"Big worries","2014","Not Employed","no migration background","2053","0.286140341269247","0.275649766305632","0.296630916232862","1"
"Big worries","2014","Employed","direct migration background","844","0.25402253693964","0.239375319146028","0.268669754733252","1"
"Big worries","2014","Not Employed","direct migration background","482","0.272479277290386","0.251258283869357","0.293700270711415","1"
"No worries","2014","Employed","indirect migration background","216","0.180321852961085","0.159219112495356","0.201424593426813","3"
"No worries","2014","Not Employed","indirect migration background","105","0.241316025126626","0.204325536469044","0.278306513784208","3"
"No worries","2014","Not Employed","no migration background","918","0.126040410426205","0.118336629814204","0.133744191038205","3"
"No worries","2014","Employed","direct migration background","616","0.180869315199688","0.167917960254207","0.193820670145168","3"
"No worries","2014","Employed","no migration background","1929","0.155868745245854","0.149652491570017","0.162084998921691","3"
