"hlf0094","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1995","Not Employed","Urban Area","231","0.206793716343202","0.183221343278636","0.230366089407768"
"Very Inexpensive","1995","Not Employed","Rural Area","87","0.161453534527597","0.135085082387229","0.187821986667965"
"Very Inexpensive","1995","Employed","Urban Area","290","0.159804004392267","0.143205104666602","0.176402904117932"
"Very Inexpensive","1995","Employed","Rural Area","154","0.135760763494384","0.117642484286974","0.153879042701793"
"Inexpensive","1995","Not Employed","Urban Area","400","0.357422477388102","0.329529475321026","0.385315479455179"
"Inexpensive","1995","Not Employed","Rural Area","275","0.384993329928423","0.350122377633202","0.419864282223644"
"Inexpensive","1995","Employed","Urban Area","601","0.322273265338984","0.301102594614226","0.343443936063742"
"Inexpensive","1995","Employed","Rural Area","420","0.316560989713977","0.291957800753483","0.341164178674471"
"Reasonable","1995","Not Employed","Urban Area","428","0.369006035370039","0.340921263460461","0.397090807279616"
"Reasonable","1995","Not Employed","Rural Area","331","0.398022172994183","0.362943660181311","0.433100685807055"
"Reasonable","1995","Employed","Urban Area","767","0.397912558676609","0.375739848706908","0.42008526864631"
"Reasonable","1995","Employed","Rural Area","627","0.44569754064777","0.419406586728224","0.471988494567315"
"Slightly Expensive","1995","Not Employed","Urban Area","69","0.0567533571822876","0.0432870047534277","0.0702197096111475"
"Slightly Expensive","1995","Not Employed","Rural Area","45","0.0443371594789736","0.0295857480904079","0.0590885708675392"
"Slightly Expensive","1995","Employed","Urban Area","183","0.101629127095081","0.0879413760409362","0.115316878149225"
"Slightly Expensive","1995","Employed","Rural Area","148","0.0865658255423103","0.0716919313450233","0.101439719739597"
"Too Expensive","1995","Not Employed","Urban Area","6","","",""
"Too Expensive","1995","Not Employed","Rural Area","10","","",""
"Too Expensive","1995","Employed","Urban Area","31","0.0183810444970594","0.0122961685293302","0.0244659204647885"
"Too Expensive","1995","Employed","Rural Area","24","","",""
"Very Inexpensive","1996","Not Employed","Urban Area","217","0.21020301585432","0.186351142671345","0.234054889037294"
"Very Inexpensive","1996","Not Employed","Rural Area","94","0.183397780747049","0.155533919231567","0.211261642262532"
"Very Inexpensive","1996","Employed","Urban Area","257","0.157860607090021","0.141304030619597","0.174417183560445"
"Very Inexpensive","1996","Employed","Rural Area","159","0.127343884777613","0.110126092644281","0.144561676910944"
"Inexpensive","1996","Not Employed","Urban Area","418","0.367188531541479","0.33897048083453","0.395406582248428"
"Inexpensive","1996","Not Employed","Rural Area","256","0.345451448469608","0.311213839374683","0.379689057564532"
"Inexpensive","1996","Employed","Urban Area","580","0.310590638197028","0.289578297571303","0.331602978822753"
"Inexpensive","1996","Employed","Rural Area","448","0.304843736181078","0.281067303082045","0.328620169280112"
"Reasonable","1996","Not Employed","Urban Area","411","0.36141447143091","0.3332917341304","0.38953720873142"
"Reasonable","1996","Not Employed","Rural Area","332","0.411311105559412","0.375881433995334","0.44674077712349"
"Reasonable","1996","Employed","Urban Area","812","0.415551853243938","0.393173544143876","0.437930162344"
"Reasonable","1996","Employed","Rural Area","689","0.480889145963686","0.455083223552255","0.506695068375116"
"Slightly Expensive","1996","Not Employed","Urban Area","60","0.0447861923058529","0.0326783250537959","0.0568940595579099"
"Slightly Expensive","1996","Not Employed","Rural Area","52","0.0495086086028069","0.0338896008150203","0.0651276163905936"
"Slightly Expensive","1996","Employed","Urban Area","169","0.0899853040683942","0.0769910408216861","0.102979567315102"
"Slightly Expensive","1996","Employed","Rural Area","129","0.0805122422039634","0.0664591860566574","0.0945652983512693"
"Too Expensive","1996","Not Employed","Urban Area","15","","",""
"Too Expensive","1996","Not Employed","Rural Area","7","","",""
"Too Expensive","1996","Employed","Urban Area","45","0.0260115974006191","0.0187838649449851","0.0332393298562531"
