"hlf0094","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Slightly Expensive","2001","(Married) couple without C. ","general elemantary","23","","",""
"Slightly Expensive","2001","(Married) couple without C. ","middle vocational","115","0.0612894046267186","0.0504785285829049","0.0721002806705323"
"Slightly Expensive","2001","(Married) couple without C. ","vocational + Abi","11","","",""
"Slightly Expensive","2001","(Married) couple without C. ","higher vocational","23","","",""
"Slightly Expensive","2001","(Married) couple without C. ","higher education","45","0.0603753322217638","0.0415204065212003","0.0792302579223274"
"Slightly Expensive","2001","Single parent ","in school","2","","",""
"Slightly Expensive","2001","Single parent ","inadequately","","","",""
"Slightly Expensive","2001","Single parent ","general elemantary","2","","",""
"Slightly Expensive","2001","Single parent ","middle vocational","16","","",""
"Slightly Expensive","2001","Single parent ","vocational + Abi","","","",""
"Slightly Expensive","2001","Single parent ","higher vocational","","","",""
"Slightly Expensive","2001","Single parent ","higher education","5","","",""
"Slightly Expensive","2001","Couple + C. LE 16 ","in school","","","",""
"Slightly Expensive","2001","Couple + C. LE 16 ","inadequately","","","",""
"Slightly Expensive","2001","Couple + C. LE 16 ","general elemantary","12","","",""
"Slightly Expensive","2001","Couple + C. LE 16 ","middle vocational","117","0.0876768070680464","0.0721342934701771","0.103219320665916"
"Slightly Expensive","2001","Couple + C. LE 16 ","vocational + Abi","20","","",""
"Slightly Expensive","2001","Couple + C. LE 16 ","higher vocational","26","","",""
"Slightly Expensive","2001","Couple + C. LE 16 ","higher education","54","0.101759095358348","0.07614056378109","0.127377626935606"
"Slightly Expensive","2001","Couple + C. GT 16 ","in school","19","","",""
"Slightly Expensive","2001","Couple + C. GT 16 ","inadequately","","","",""
"Slightly Expensive","2001","Couple + C. GT 16 ","general elemantary","25","","",""
"Slightly Expensive","2001","Couple + C. GT 16 ","middle vocational","122","0.0848082420065353","0.0692955375548477","0.100320946458223"
"Slightly Expensive","2001","Couple + C. GT 16 ","vocational + Abi","9","","",""
"Slightly Expensive","2001","Couple + C. GT 16 ","higher vocational","13","","",""
"Slightly Expensive","2001","Couple + C. GT 16 ","higher education","39","0.0906017527033675","0.0605728205411851","0.12063068486555"
"Slightly Expensive","2001","Couple + C. LE and GT 16","in school","11","","",""
"Slightly Expensive","2001","Couple + C. LE and GT 16","inadequately","","","",""
"Slightly Expensive","2001","Couple + C. LE and GT 16","general elemantary","17","","",""
"Slightly Expensive","2001","Couple + C. LE and GT 16","middle vocational","43","0.0808974898104481","0.056375777932399","0.105419201688497"
"Slightly Expensive","2001","Couple + C. LE and GT 16","vocational + Abi","5","","",""
"Slightly Expensive","2001","Couple + C. LE and GT 16","higher vocational","8","","",""
"Slightly Expensive","2001","Couple + C. LE and GT 16","higher education","17","","",""
"Too Expensive","2001","1-pers.-HH","in school","","","",""
"Too Expensive","2001","1-pers.-HH","inadequately","1","","",""
"Too Expensive","2001","1-pers.-HH","general elemantary","","","",""
"Too Expensive","2001","1-pers.-HH","middle vocational","6","","",""
"Too Expensive","2001","1-pers.-HH","vocational + Abi","","","",""
"Too Expensive","2001","1-pers.-HH","higher vocational","1","","",""
"Too Expensive","2001","1-pers.-HH","higher education","","","",""
"Too Expensive","2001","(Married) couple without C. ","in school","","","",""
"Too Expensive","2001","(Married) couple without C. ","inadequately","","","",""
"Too Expensive","2001","(Married) couple without C. ","general elemantary","6","","",""
"Too Expensive","2001","(Married) couple without C. ","middle vocational","20","","",""
"Too Expensive","2001","(Married) couple without C. ","vocational + Abi","3","","",""
"Too Expensive","2001","(Married) couple without C. ","higher vocational","2","","",""
"Too Expensive","2001","(Married) couple without C. ","higher education","10","","",""
"Too Expensive","2001","Single parent ","in school","","","",""
"Too Expensive","2001","Single parent ","inadequately","","","",""
"Too Expensive","2001","Single parent ","general elemantary","1","","",""
"Too Expensive","2001","Single parent ","middle vocational","5","","",""
"Too Expensive","2001","Single parent ","vocational + Abi","","","",""
"Too Expensive","2001","Single parent ","higher vocational","","","",""
"Too Expensive","2001","Single parent ","higher education","1","","",""
"Too Expensive","2001","Couple + C. LE 16 ","in school","","","",""
"Too Expensive","2001","Couple + C. LE 16 ","inadequately","1","","",""
"Too Expensive","2001","Couple + C. LE 16 ","general elemantary","4","","",""
"Too Expensive","2001","Couple + C. LE 16 ","middle vocational","29","","",""
"Too Expensive","2001","Couple + C. LE 16 ","vocational + Abi","5","","",""
"Too Expensive","2001","Couple + C. LE 16 ","higher vocational","7","","",""
"Too Expensive","2001","Couple + C. LE 16 ","higher education","12","","",""
"Too Expensive","2001","Couple + C. GT 16 ","in school","4","","",""
"Too Expensive","2001","Couple + C. GT 16 ","inadequately","1","","",""
"Too Expensive","2001","Couple + C. GT 16 ","general elemantary","5","","",""
"Too Expensive","2001","Couple + C. GT 16 ","middle vocational","12","","",""
"Too Expensive","2001","Couple + C. GT 16 ","vocational + Abi","1","","",""
"Too Expensive","2001","Couple + C. GT 16 ","higher vocational","4","","",""
"Too Expensive","2001","Couple + C. GT 16 ","higher education","4","","",""
"Too Expensive","2001","Couple + C. LE and GT 16","in school","1","","",""
"Too Expensive","2001","Couple + C. LE and GT 16","inadequately","","","",""
"Too Expensive","2001","Couple + C. LE and GT 16","general elemantary","","","",""
"Too Expensive","2001","Couple + C. LE and GT 16","middle vocational","13","","",""
"Too Expensive","2001","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Too Expensive","2001","Couple + C. LE and GT 16","higher vocational","1","","",""
"Too Expensive","2001","Couple + C. LE and GT 16","higher education","5","","",""
"Very Inexpensive","2002","1-pers.-HH","in school","","","",""
"Very Inexpensive","2002","1-pers.-HH","inadequately","1","","",""
"Very Inexpensive","2002","1-pers.-HH","general elemantary","22","","",""
"Very Inexpensive","2002","1-pers.-HH","middle vocational","61","0.165652022663756","0.129173803904659","0.202130241422853"
"Very Inexpensive","2002","1-pers.-HH","vocational + Abi","8","","",""
"Very Inexpensive","2002","1-pers.-HH","higher vocational","7","","",""
"Very Inexpensive","2002","1-pers.-HH","higher education","17","","",""
"Very Inexpensive","2002","(Married) couple without C. ","in school","","","",""
"Very Inexpensive","2002","(Married) couple without C. ","inadequately","3","","",""
"Very Inexpensive","2002","(Married) couple without C. ","general elemantary","74","0.185895915912035","0.147286726974665","0.224505104849405"
"Very Inexpensive","2002","(Married) couple without C. ","middle vocational","295","0.156136829812317","0.140408450604328","0.171865209020307"
"Very Inexpensive","2002","(Married) couple without C. ","vocational + Abi","23","","",""
"Very Inexpensive","2002","(Married) couple without C. ","higher vocational","46","0.159418173516277","0.119184152015111","0.199652195017443"
"Very Inexpensive","2002","(Married) couple without C. ","higher education","166","0.164041001927117","0.140926830573033","0.187155173281201"
"Very Inexpensive","2002","Single parent ","in school","1","","",""
"Very Inexpensive","2002","Single parent ","inadequately","1","","",""
"Very Inexpensive","2002","Single parent ","general elemantary","6","","",""
"Very Inexpensive","2002","Single parent ","middle vocational","18","","",""
"Very Inexpensive","2002","Single parent ","vocational + Abi","4","","",""
"Very Inexpensive","2002","Single parent ","higher vocational","2","","",""
"Very Inexpensive","2002","Single parent ","higher education","11","","",""
"Very Inexpensive","2002","Couple + C. LE 16 ","in school","","","",""
"Very Inexpensive","2002","Couple + C. LE 16 ","inadequately","","","",""
"Very Inexpensive","2002","Couple + C. LE 16 ","general elemantary","4","","",""
"Very Inexpensive","2002","Couple + C. LE 16 ","middle vocational","104","0.0896896524427614","0.0738304707559903","0.105548834129533"
"Very Inexpensive","2002","Couple + C. LE 16 ","vocational + Abi","19","","",""
"Very Inexpensive","2002","Couple + C. LE 16 ","higher vocational","24","","",""
"Very Inexpensive","2002","Couple + C. LE 16 ","higher education","71","0.106729129670981","0.0841599010573299","0.129298358284631"
"Very Inexpensive","2002","Couple + C. GT 16 ","in school","21","","",""
"Very Inexpensive","2002","Couple + C. GT 16 ","inadequately","1","","",""
"Very Inexpensive","2002","Couple + C. GT 16 ","general elemantary","40","0.14629557138443","0.107144353240507","0.185446789528354"
"Very Inexpensive","2002","Couple + C. GT 16 ","middle vocational","157","0.124321303349696","0.106668365079176","0.141974241620216"
"Very Inexpensive","2002","Couple + C. GT 16 ","vocational + Abi","14","","",""
"Very Inexpensive","2002","Couple + C. GT 16 ","higher vocational","22","","",""
"Very Inexpensive","2002","Couple + C. GT 16 ","higher education","70","0.171602698344666","0.139039588772937","0.204165807916396"
"Very Inexpensive","2002","Couple + C. LE and GT 16","in school","15","","",""
"Very Inexpensive","2002","Couple + C. LE and GT 16","inadequately","","","",""
"Very Inexpensive","2002","Couple + C. LE and GT 16","general elemantary","10","","",""
"Very Inexpensive","2002","Couple + C. LE and GT 16","middle vocational","43","0.0831287924033113","0.0594907040954725","0.10676688071115"
"Very Inexpensive","2002","Couple + C. LE and GT 16","vocational + Abi","4","","",""
"Very Inexpensive","2002","Couple + C. LE and GT 16","higher vocational","8","","",""
"Very Inexpensive","2002","Couple + C. LE and GT 16","higher education","23","","",""
"Inexpensive","2002","1-pers.-HH","in school","","","",""
"Inexpensive","2002","1-pers.-HH","inadequately","","","",""
"Inexpensive","2002","1-pers.-HH","general elemantary","34","0.318077621698739","0.231044256217178","0.405110987180299"
"Inexpensive","2002","1-pers.-HH","middle vocational","139","0.351676423970515","0.304824311418691","0.398528536522338"
"Inexpensive","2002","1-pers.-HH","vocational + Abi","13","","",""
"Inexpensive","2002","1-pers.-HH","higher vocational","18","","",""
"Inexpensive","2002","1-pers.-HH","higher education","42","0.358524836974696","0.276087118991212","0.44096255495818"
"Inexpensive","2002","(Married) couple without C. ","in school","","","",""
"Inexpensive","2002","(Married) couple without C. ","inadequately","5","","",""
"Inexpensive","2002","(Married) couple without C. ","general elemantary","130","0.319180129995379","0.272915422331566","0.365444837659192"
"Inexpensive","2002","(Married) couple without C. ","middle vocational","692","0.336522717435352","0.316048114013375","0.35699732085733"
"Inexpensive","2002","(Married) couple without C. ","vocational + Abi","40","0.268459669224125","0.19682090490539","0.340098433542861"
"Inexpensive","2002","(Married) couple without C. ","higher vocational","118","0.339331935519652","0.287291783647685","0.391372087391618"
"Inexpensive","2002","(Married) couple without C. ","higher education","327","0.348950097568473","0.31919931221058","0.378700882926366"
"Inexpensive","2002","Single parent ","in school","4","","",""
"Inexpensive","2002","Single parent ","inadequately","1","","",""
"Inexpensive","2002","Single parent ","general elemantary","16","","",""
"Inexpensive","2002","Single parent ","middle vocational","48","0.305190941285832","0.23773190526697","0.372649977304693"
"Inexpensive","2002","Single parent ","vocational + Abi","1","","",""
"Inexpensive","2002","Single parent ","higher vocational","8","","",""
"Inexpensive","2002","Single parent ","higher education","13","","",""
"Inexpensive","2002","Couple + C. LE 16 ","in school","","","",""
"Inexpensive","2002","Couple + C. LE 16 ","inadequately","","","",""
"Inexpensive","2002","Couple + C. LE 16 ","general elemantary","23","","",""
"Inexpensive","2002","Couple + C. LE 16 ","middle vocational","315","0.242706048477864","0.218910955390614","0.266501141565115"
"Inexpensive","2002","Couple + C. LE 16 ","vocational + Abi","47","0.215097648054474","0.155727951994234","0.274467344114714"
"Inexpensive","2002","Couple + C. LE 16 ","higher vocational","94","0.265302802253266","0.216778461777993","0.313827142728539"
"Inexpensive","2002","Couple + C. LE 16 ","higher education","186","0.26249703486448","0.230336169036844","0.294657900692116"
"Inexpensive","2002","Couple + C. GT 16 ","in school","48","0.258448520888507","0.193213212809966","0.323683828967048"
"Inexpensive","2002","Couple + C. GT 16 ","inadequately","5","","",""
"Inexpensive","2002","Couple + C. GT 16 ","general elemantary","106","0.378662290989379","0.324926232599254","0.432398349379505"
"Inexpensive","2002","Couple + C. GT 16 ","middle vocational","439","0.330387851343235","0.305222932735722","0.355552769950749"
"Inexpensive","2002","Couple + C. GT 16 ","vocational + Abi","40","0.494289239066504","0.398200366717775","0.590378111415233"
"Inexpensive","2002","Couple + C. GT 16 ","higher vocational","61","0.334648864436731","0.262867092280034","0.406430636593428"
"Inexpensive","2002","Couple + C. GT 16 ","higher education","162","0.329177840017088","0.288593034194857","0.369762645839319"
"Inexpensive","2002","Couple + C. LE and GT 16","in school","57","0.362245658773524","0.289127987089565","0.435363330457483"
"Inexpensive","2002","Couple + C. LE and GT 16","inadequately","1","","",""
"Inexpensive","2002","Couple + C. LE and GT 16","general elemantary","47","0.353405166523585","0.281546989966634","0.425263343080535"
"Inexpensive","2002","Couple + C. LE and GT 16","middle vocational","161","0.332911440261307","0.292561903442393","0.37326097708022"
"Inexpensive","2002","Couple + C. LE and GT 16","vocational + Abi","10","","",""
"Inexpensive","2002","Couple + C. LE and GT 16","higher vocational","33","0.348979829613366","0.25647905055148","0.441480608675252"
"Inexpensive","2002","Couple + C. LE and GT 16","higher education","66","0.353796263535223","0.293049804735773","0.414542722334673"
"Reasonable","2002","1-pers.-HH","in school","","","",""
"Reasonable","2002","1-pers.-HH","inadequately","1","","",""
"Reasonable","2002","1-pers.-HH","general elemantary","51","0.470739837474817","0.377462352474047","0.564017322475587"
"Reasonable","2002","1-pers.-HH","middle vocational","163","0.401623538723225","0.35352205497484","0.44972502247161"
"Reasonable","2002","1-pers.-HH","vocational + Abi","14","","",""
"Reasonable","2002","1-pers.-HH","higher vocational","26","","",""
"Reasonable","2002","1-pers.-HH","higher education","54","0.377941542295745","0.294591786833958","0.461291297757532"
"Reasonable","2002","(Married) couple without C. ","in school","","","",""
"Reasonable","2002","(Married) couple without C. ","inadequately","1","","",""
"Reasonable","2002","(Married) couple without C. ","general elemantary","157","0.413740059106766","0.36486079222144","0.462619325992093"
"Reasonable","2002","(Married) couple without C. ","middle vocational","920","0.43579190201312","0.414305954432072","0.457277849594167"
"Reasonable","2002","(Married) couple without C. ","vocational + Abi","75","0.518202134621185","0.437428159142361","0.59897611010001"
"Reasonable","2002","(Married) couple without C. ","higher vocational","133","0.424847688922919","0.370517327301033","0.479178050544805"
"Reasonable","2002","(Married) couple without C. ","higher education","423","0.4356582773784","0.404708773029873","0.466607781726927"
"Reasonable","2002","Single parent ","in school","14","","",""
"Reasonable","2002","Single parent ","inadequately","2","","",""
"Reasonable","2002","Single parent ","general elemantary","39","0.558471231366328","0.437753429503591","0.679189033229064"
"Reasonable","2002","Single parent ","middle vocational","92","0.463113216891971","0.390065521340541","0.536160912443401"
"Reasonable","2002","Single parent ","vocational + Abi","7","","",""
"Reasonable","2002","Single parent ","higher vocational","7","","",""
"Reasonable","2002","Single parent ","higher education","32","0.540560605178401","0.415500299696738","0.665620910660065"
"Reasonable","2002","Couple + C. LE 16 ","in school","","","",""
"Reasonable","2002","Couple + C. LE 16 ","inadequately","","","",""
"Reasonable","2002","Couple + C. LE 16 ","general elemantary","34","0.461767204656143","0.351833423341862","0.571700985970423"
"Reasonable","2002","Couple + C. LE 16 ","middle vocational","678","0.54687424699525","0.519245068426721","0.574503425563779"
"Reasonable","2002","Couple + C. LE 16 ","vocational + Abi","88","0.470347661054637","0.398229586846352","0.542465735262922"
"Reasonable","2002","Couple + C. LE 16 ","higher vocational","159","0.536687867383754","0.481881343673946","0.591494391093561"
"Reasonable","2002","Couple + C. LE 16 ","higher education","385","0.529146487559834","0.492661474008168","0.565631501111499"
"Reasonable","2002","Couple + C. GT 16 ","in school","78","0.482659158197867","0.408197329512639","0.557120986883094"
"Reasonable","2002","Couple + C. GT 16 ","inadequately","10","","",""
"Reasonable","2002","Couple + C. GT 16 ","general elemantary","136","0.404806144593586","0.350427461013947","0.459184828173226"
"Reasonable","2002","Couple + C. GT 16 ","middle vocational","573","0.427639272462037","0.401169784655773","0.4541087602683"
"Reasonable","2002","Couple + C. GT 16 ","vocational + Abi","37","0.319294994777409","0.229695213668122","0.408894775886696"
"Reasonable","2002","Couple + C. GT 16 ","higher vocational","61","0.349325592047007","0.276800028568872","0.421851155525143"
"Reasonable","2002","Couple + C. GT 16 ","higher education","211","0.378298577828264","0.336414133201153","0.420183022455375"
"Reasonable","2002","Couple + C. LE and GT 16","in school","74","0.414618806349935","0.339674623536131","0.48956298916374"
"Reasonable","2002","Couple + C. LE and GT 16","inadequately","1","","",""
"Reasonable","2002","Couple + C. LE and GT 16","general elemantary","95","0.490284181113107","0.415137184677481","0.565431177548734"
"Reasonable","2002","Couple + C. LE and GT 16","middle vocational","250","0.47067051014641","0.42793351468223","0.513407505610591"
"Reasonable","2002","Couple + C. LE and GT 16","vocational + Abi","23","","",""
"Reasonable","2002","Couple + C. LE and GT 16","higher vocational","46","0.453378102846674","0.356768168244599","0.549988037448749"
"Reasonable","2002","Couple + C. LE and GT 16","higher education","113","0.47220581368481","0.408781236836199","0.53563039053342"
"Slightly Expensive","2002","1-pers.-HH","in school","","","",""
"Slightly Expensive","2002","1-pers.-HH","inadequately","","","",""
"Slightly Expensive","2002","1-pers.-HH","general elemantary","3","","",""
"Slightly Expensive","2002","1-pers.-HH","middle vocational","30","0.0699059355172285","0.0448862350749858","0.0949256359594712"
"Slightly Expensive","2002","1-pers.-HH","vocational + Abi","3","","",""
"Slightly Expensive","2002","1-pers.-HH","higher vocational","4","","",""
"Slightly Expensive","2002","1-pers.-HH","higher education","17","","",""
"Slightly Expensive","2002","(Married) couple without C. ","in school","","","",""
"Slightly Expensive","2002","(Married) couple without C. ","inadequately","1","","",""
"Slightly Expensive","2002","(Married) couple without C. ","general elemantary","27","","",""
"Slightly Expensive","2002","(Married) couple without C. ","middle vocational","125","0.0656945099443595","0.0549594551532561","0.076429564735463"
"Slightly Expensive","2002","(Married) couple without C. ","vocational + Abi","6","","",""
"Slightly Expensive","2002","(Married) couple without C. ","higher vocational","17","","",""
"Slightly Expensive","2002","(Married) couple without C. ","higher education","57","0.0382055376775598","0.0262405039359121","0.0501705714192075"
"Slightly Expensive","2002","Single parent ","in school","1","","",""
"Slightly Expensive","2002","Single parent ","inadequately","1","","",""
"Slightly Expensive","2002","Single parent ","general elemantary","4","","",""
"Slightly Expensive","2002","Single parent ","middle vocational","13","","",""
"Slightly Expensive","2002","Single parent ","vocational + Abi","1","","",""
"Slightly Expensive","2002","Single parent ","higher vocational","3","","",""
"Slightly Expensive","2002","Single parent ","higher education","3","","",""
"Slightly Expensive","2002","Couple + C. LE 16 ","in school","","","",""
"Slightly Expensive","2002","Couple + C. LE 16 ","inadequately","","","",""
"Slightly Expensive","2002","Couple + C. LE 16 ","general elemantary","15","","",""
"Slightly Expensive","2002","Couple + C. LE 16 ","middle vocational","134","0.112605026037152","0.0950600720225699","0.130149980051734"
"Slightly Expensive","2002","Couple + C. LE 16 ","vocational + Abi","28","","",""
"Slightly Expensive","2002","Couple + C. LE 16 ","higher vocational","33","0.09877361715678","0.065981311105519","0.131565923208041"
"Slightly Expensive","2002","Couple + C. LE 16 ","higher education","68","0.0901028074705585","0.0691737837637229","0.111031831177394"
"Slightly Expensive","2002","Couple + C. GT 16 ","in school","25","","",""
"Slightly Expensive","2002","Couple + C. GT 16 ","inadequately","2","","",""
"Slightly Expensive","2002","Couple + C. GT 16 ","general elemantary","29","","",""
"Slightly Expensive","2002","Couple + C. GT 16 ","middle vocational","160","0.108849202832747","0.0921859394290021","0.125512466236491"
"Slightly Expensive","2002","Couple + C. GT 16 ","vocational + Abi","13","","",""
"Slightly Expensive","2002","Couple + C. GT 16 ","higher vocational","20","","",""
"Slightly Expensive","2002","Couple + C. GT 16 ","higher education","68","0.113203824214598","0.0858393611216772","0.140568287307518"
"Slightly Expensive","2002","Couple + C. LE and GT 16","in school","16","","",""
"Slightly Expensive","2002","Couple + C. LE and GT 16","inadequately","","","",""
"Slightly Expensive","2002","Couple + C. LE and GT 16","general elemantary","14","","",""
"Slightly Expensive","2002","Couple + C. LE and GT 16","middle vocational","61","0.0914334718291553","0.0667552752417061","0.116111668416605"
"Slightly Expensive","2002","Couple + C. LE and GT 16","vocational + Abi","6","","",""
"Slightly Expensive","2002","Couple + C. LE and GT 16","higher vocational","14","","",""
"Slightly Expensive","2002","Couple + C. LE and GT 16","higher education","31","0.0867981668135595","0.0510298687215911","0.122566464905528"
"Too Expensive","2002","1-pers.-HH","in school","","","",""
"Too Expensive","2002","1-pers.-HH","inadequately","1","","",""
"Too Expensive","2002","1-pers.-HH","general elemantary","","","",""
"Too Expensive","2002","1-pers.-HH","middle vocational","6","","",""
"Too Expensive","2002","1-pers.-HH","vocational + Abi","1","","",""
"Too Expensive","2002","1-pers.-HH","higher vocational","","","",""
"Too Expensive","2002","1-pers.-HH","higher education","","","",""
"Too Expensive","2002","(Married) couple without C. ","in school","","","",""
"Too Expensive","2002","(Married) couple without C. ","inadequately","","","",""
"Too Expensive","2002","(Married) couple without C. ","general elemantary","2","","",""
"Too Expensive","2002","(Married) couple without C. ","middle vocational","14","","",""
"Too Expensive","2002","(Married) couple without C. ","vocational + Abi","3","","",""
"Too Expensive","2002","(Married) couple without C. ","higher vocational","4","","",""
"Too Expensive","2002","(Married) couple without C. ","higher education","13","","",""
"Too Expensive","2002","Single parent ","in school","","","",""
"Too Expensive","2002","Single parent ","inadequately","","","",""
"Too Expensive","2002","Single parent ","general elemantary","","","",""
"Too Expensive","2002","Single parent ","middle vocational","8","","",""
"Too Expensive","2002","Single parent ","vocational + Abi","","","",""
"Too Expensive","2002","Single parent ","higher vocational","","","",""
"Too Expensive","2002","Single parent ","higher education","2","","",""
"Too Expensive","2002","Couple + C. LE 16 ","in school","","","",""
"Too Expensive","2002","Couple + C. LE 16 ","inadequately","1","","",""
"Too Expensive","2002","Couple + C. LE 16 ","general elemantary","3","","",""
"Too Expensive","2002","Couple + C. LE 16 ","middle vocational","16","","",""
"Too Expensive","2002","Couple + C. LE 16 ","vocational + Abi","2","","",""
"Too Expensive","2002","Couple + C. LE 16 ","higher vocational","8","","",""
"Too Expensive","2002","Couple + C. LE 16 ","higher education","9","","",""
"Too Expensive","2002","Couple + C. GT 16 ","in school","1","","",""
"Too Expensive","2002","Couple + C. GT 16 ","inadequately","","","",""
"Too Expensive","2002","Couple + C. GT 16 ","general elemantary","2","","",""
"Too Expensive","2002","Couple + C. GT 16 ","middle vocational","13","","",""
"Too Expensive","2002","Couple + C. GT 16 ","vocational + Abi","","","",""
"Too Expensive","2002","Couple + C. GT 16 ","higher vocational","2","","",""
"Too Expensive","2002","Couple + C. GT 16 ","higher education","4","","",""
"Too Expensive","2002","Couple + C. LE and GT 16","in school","4","","",""
"Too Expensive","2002","Couple + C. LE and GT 16","inadequately","","","",""
"Too Expensive","2002","Couple + C. LE and GT 16","general elemantary","4","","",""
"Too Expensive","2002","Couple + C. LE and GT 16","middle vocational","9","","",""
"Too Expensive","2002","Couple + C. LE and GT 16","vocational + Abi","2","","",""
"Too Expensive","2002","Couple + C. LE and GT 16","higher vocational","1","","",""
"Too Expensive","2002","Couple + C. LE and GT 16","higher education","5","","",""
"Very Inexpensive","2003","1-pers.-HH","in school","","","",""
"Very Inexpensive","2003","1-pers.-HH","inadequately","","","",""
"Very Inexpensive","2003","1-pers.-HH","general elemantary","","","",""
"Very Inexpensive","2003","1-pers.-HH","middle vocational","","","",""
"Very Inexpensive","2003","1-pers.-HH","vocational + Abi","","","",""
"Very Inexpensive","2003","1-pers.-HH","higher vocational","","","",""
"Very Inexpensive","2003","1-pers.-HH","higher education","","","",""
"Very Inexpensive","2003","(Married) couple without C. ","in school","","","",""
"Very Inexpensive","2003","(Married) couple without C. ","inadequately","","","",""
"Very Inexpensive","2003","(Married) couple without C. ","general elemantary","","","",""
"Very Inexpensive","2003","(Married) couple without C. ","middle vocational","","","",""
"Very Inexpensive","2003","(Married) couple without C. ","vocational + Abi","","","",""
"Very Inexpensive","2003","(Married) couple without C. ","higher vocational","","","",""
"Very Inexpensive","2003","(Married) couple without C. ","higher education","","","",""
"Very Inexpensive","2003","Single parent ","in school","","","",""
"Very Inexpensive","2003","Single parent ","inadequately","","","",""
"Very Inexpensive","2003","Single parent ","general elemantary","","","",""
"Very Inexpensive","2003","Single parent ","middle vocational","","","",""
"Very Inexpensive","2003","Single parent ","vocational + Abi","","","",""
"Very Inexpensive","2003","Single parent ","higher vocational","","","",""
"Very Inexpensive","2003","Single parent ","higher education","","","",""
"Very Inexpensive","2003","Couple + C. LE 16 ","in school","","","",""
"Very Inexpensive","2003","Couple + C. LE 16 ","inadequately","","","",""
"Very Inexpensive","2003","Couple + C. LE 16 ","general elemantary","","","",""
"Very Inexpensive","2003","Couple + C. LE 16 ","middle vocational","","","",""
"Very Inexpensive","2003","Couple + C. LE 16 ","vocational + Abi","","","",""
"Very Inexpensive","2003","Couple + C. LE 16 ","higher vocational","","","",""
"Very Inexpensive","2003","Couple + C. LE 16 ","higher education","","","",""
"Very Inexpensive","2003","Couple + C. GT 16 ","in school","","","",""
"Very Inexpensive","2003","Couple + C. GT 16 ","inadequately","","","",""
"Very Inexpensive","2003","Couple + C. GT 16 ","general elemantary","","","",""
"Very Inexpensive","2003","Couple + C. GT 16 ","middle vocational","","","",""
"Very Inexpensive","2003","Couple + C. GT 16 ","vocational + Abi","","","",""
"Very Inexpensive","2003","Couple + C. GT 16 ","higher vocational","","","",""
"Very Inexpensive","2003","Couple + C. GT 16 ","higher education","","","",""
"Very Inexpensive","2003","Couple + C. LE and GT 16","in school","","","",""
"Very Inexpensive","2003","Couple + C. LE and GT 16","inadequately","","","",""
"Very Inexpensive","2003","Couple + C. LE and GT 16","general elemantary","","","",""
"Very Inexpensive","2003","Couple + C. LE and GT 16","middle vocational","","","",""
"Very Inexpensive","2003","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Very Inexpensive","2003","Couple + C. LE and GT 16","higher vocational","","","",""
"Very Inexpensive","2003","Couple + C. LE and GT 16","higher education","","","",""
"Inexpensive","2003","1-pers.-HH","in school","","","",""
"Inexpensive","2003","1-pers.-HH","inadequately","","","",""
"Inexpensive","2003","1-pers.-HH","general elemantary","","","",""
"Inexpensive","2003","1-pers.-HH","middle vocational","","","",""
"Inexpensive","2003","1-pers.-HH","vocational + Abi","","","",""
"Inexpensive","2003","1-pers.-HH","higher vocational","","","",""
"Inexpensive","2003","1-pers.-HH","higher education","","","",""
"Inexpensive","2003","(Married) couple without C. ","in school","","","",""
"Inexpensive","2003","(Married) couple without C. ","inadequately","","","",""
"Inexpensive","2003","(Married) couple without C. ","general elemantary","","","",""
"Inexpensive","2003","(Married) couple without C. ","middle vocational","","","",""
"Inexpensive","2003","(Married) couple without C. ","vocational + Abi","","","",""
"Inexpensive","2003","(Married) couple without C. ","higher vocational","","","",""
"Inexpensive","2003","(Married) couple without C. ","higher education","","","",""
"Inexpensive","2003","Single parent ","in school","","","",""
"Inexpensive","2003","Single parent ","inadequately","","","",""
"Inexpensive","2003","Single parent ","general elemantary","","","",""
"Inexpensive","2003","Single parent ","middle vocational","","","",""
"Inexpensive","2003","Single parent ","vocational + Abi","","","",""
"Inexpensive","2003","Single parent ","higher vocational","","","",""
"Inexpensive","2003","Single parent ","higher education","","","",""
"Inexpensive","2003","Couple + C. LE 16 ","in school","","","",""
"Inexpensive","2003","Couple + C. LE 16 ","inadequately","","","",""
"Inexpensive","2003","Couple + C. LE 16 ","general elemantary","","","",""
"Inexpensive","2003","Couple + C. LE 16 ","middle vocational","","","",""
"Inexpensive","2003","Couple + C. LE 16 ","vocational + Abi","","","",""
"Inexpensive","2003","Couple + C. LE 16 ","higher vocational","","","",""
"Inexpensive","2003","Couple + C. LE 16 ","higher education","","","",""
"Inexpensive","2003","Couple + C. GT 16 ","in school","","","",""
"Inexpensive","2003","Couple + C. GT 16 ","inadequately","","","",""
"Inexpensive","2003","Couple + C. GT 16 ","general elemantary","","","",""
"Inexpensive","2003","Couple + C. GT 16 ","middle vocational","","","",""
"Inexpensive","2003","Couple + C. GT 16 ","vocational + Abi","","","",""
"Inexpensive","2003","Couple + C. GT 16 ","higher vocational","","","",""
"Inexpensive","2003","Couple + C. GT 16 ","higher education","","","",""
