"hlf0094","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1989","Couple + C. LE 16 ","West Germany","209","0.287244765593347","0.254577662998643","0.319911868188051","2"
"Inexpensive","1989","Couple + C. GT 16 ","East Germany","","","","","2"
"Inexpensive","1989","Couple + C. GT 16 ","West Germany","516","0.401178540090369","0.374358940633324","0.427998139547414","2"
"Inexpensive","1989","Couple + C. LE and GT 16","East Germany","","","","","2"
"Inexpensive","1989","Couple + C. LE and GT 16","West Germany","155","0.371473501912565","0.324297483545963","0.418649520279166","2"
"Reasonable","1989","1-pers.-HH","West Germany","68","0.325849833714497","0.263916590150151","0.387783077278843","3"
"Reasonable","1989","1-pers.-HH","East Germany","","","","","3"
"Reasonable","1989","(Married) couple without C. ","West Germany","256","0.290283036674414","0.259982670301537","0.320583403047291","3"
"Reasonable","1989","(Married) couple without C. ","East Germany","","","","","3"
"Reasonable","1989","Single parent ","West Germany","69","0.37545783656631","0.308008611519867","0.442907061612754","3"
