"hlf0094","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Inexpensive","2000","general elemantary","Rural Area","218","0.378573981413547","0.339634061065619","0.417513901761476"
"Inexpensive","2000","middle vocational","Urban Area","1194","0.33100819239507","0.315699977521888","0.346316407268253"
"Inexpensive","2000","middle vocational","Rural Area","927","0.351671440816114","0.333736894408081","0.369605987224148"
"Inexpensive","2000","vocational + Abi","Urban Area","106","0.311499719342113","0.262632296699292","0.360367141984933"
"Inexpensive","2000","vocational + Abi","Rural Area","34","0.261734053508694","0.18528312499692","0.338184982020467"
"Inexpensive","2000","higher vocational","Urban Area","196","0.332030129045499","0.294410281656039","0.369649976434959"
"Inexpensive","2000","higher vocational","Rural Area","164","0.395428109889454","0.349160486734396","0.441695733044512"
"Inexpensive","2000","higher education","Urban Area","389","0.294982464008087","0.269989896263781","0.319975031752393"
"Inexpensive","2000","higher education","Rural Area","232","0.339595589781322","0.30556671204179","0.373624467520854"
"Reasonable","2000","in school","Urban Area","68","0.363321345230482","0.29059377943193","0.436048911029035"
"Reasonable","2000","in school","Rural Area","53","0.464750975506269","0.371545839250834","0.557956111761705"
"Reasonable","2000","inadequately","Urban Area","31","0.631372707235835","0.498969151438011","0.763776263033659"
"Reasonable","2000","inadequately","Rural Area","13","","",""
"Reasonable","2000","general elemantary","Urban Area","329","0.350196100885909","0.318767628997715","0.381624572774102"
"Reasonable","2000","general elemantary","Rural Area","258","0.394190205465257","0.354957702072721","0.433422708857794"
"Reasonable","2000","middle vocational","Urban Area","1552","0.423383935821382","0.407310625293516","0.439457246349249"
"Reasonable","2000","middle vocational","Rural Area","1211","0.429379139479343","0.410787462583772","0.447970816374913"
"Reasonable","2000","vocational + Abi","Urban Area","153","0.428350327849028","0.376134390971837","0.480566264726219"
"Reasonable","2000","vocational + Abi","Rural Area","56","0.380908031688755","0.296451375950343","0.465364687427167"
"Reasonable","2000","higher vocational","Urban Area","240","0.398348770085822","0.359241816122845","0.4374557240488"
"Reasonable","2000","higher vocational","Rural Area","166","0.381746254584082","0.335774591486608","0.427717917681557"
"Reasonable","2000","higher education","Urban Area","540","0.418976729348718","0.39193686346154","0.446016595235897"
"Reasonable","2000","higher education","Rural Area","335","0.422632084482263","0.387136921199326","0.4581272477652"
"Slightly Expensive","2000","in school","Urban Area","19","","",""
"Slightly Expensive","2000","in school","Rural Area","14","","",""
"Slightly Expensive","2000","inadequately","Urban Area","4","","",""
"Slightly Expensive","2000","inadequately","Rural Area","3","","",""
"Slightly Expensive","2000","general elemantary","Urban Area","76","0.0824212518786578","0.0643029399542446","0.100539563803071"
"Slightly Expensive","2000","general elemantary","Rural Area","40","0.0678562215192739","0.0476650624509608","0.088047380587587"
"Slightly Expensive","2000","middle vocational","Urban Area","317","0.0849169755431206","0.0758487505531217","0.0939852005331195"
"Slightly Expensive","2000","middle vocational","Rural Area","241","0.0761670353432803","0.066203705143837","0.0861303655427237"
"Slightly Expensive","2000","vocational + Abi","Urban Area","33","0.096459948611431","0.0653079610491117","0.12761193617375"
"Slightly Expensive","2000","vocational + Abi","Rural Area","13","","",""
"Slightly Expensive","2000","higher vocational","Urban Area","60","0.108283292636127","0.0834608781143487","0.133105707157905"
"Slightly Expensive","2000","higher vocational","Rural Area","50","0.113460466432431","0.0834487537075515","0.143472179157311"
"Slightly Expensive","2000","higher education","Urban Area","128","0.103263511362377","0.0865864823609018","0.119940540363852"
"Slightly Expensive","2000","higher education","Rural Area","72","0.0823374193112374","0.062585843040018","0.102088995582457"
"Too Expensive","2000","in school","Urban Area","4","","",""
"Too Expensive","2000","in school","Rural Area","3","","",""
"Too Expensive","2000","inadequately","Urban Area","1","","",""
"Too Expensive","2000","inadequately","Rural Area","","","",""
"Too Expensive","2000","general elemantary","Urban Area","16","","",""
"Too Expensive","2000","general elemantary","Rural Area","3","","",""
"Too Expensive","2000","middle vocational","Urban Area","54","0.0142455674942859","0.0103906150473199","0.0181005199412519"
"Too Expensive","2000","middle vocational","Rural Area","45","0.0150076723325268","0.0104410261568691","0.0195743185081845"
"Too Expensive","2000","vocational + Abi","Urban Area","8","","",""
"Too Expensive","2000","vocational + Abi","Rural Area","2","","",""
"Too Expensive","2000","higher vocational","Urban Area","12","","",""
"Too Expensive","2000","higher vocational","Rural Area","5","","",""
"Too Expensive","2000","higher education","Urban Area","31","0.0262160935696403","0.0174596429200186","0.034972544219262"
"Too Expensive","2000","higher education","Rural Area","14","","",""
"Very Inexpensive","2001","in school","Urban Area","23","","",""
"Very Inexpensive","2001","in school","Rural Area","17","","",""
"Very Inexpensive","2001","inadequately","Urban Area","3","","",""
"Very Inexpensive","2001","inadequately","Rural Area","2","","",""
"Very Inexpensive","2001","general elemantary","Urban Area","92","0.147006221333704","0.121696931465574","0.172315511201833"
"Very Inexpensive","2001","general elemantary","Rural Area","59","0.148635817422133","0.118090217801605","0.179181417042661"
"Very Inexpensive","2001","middle vocational","Urban Area","382","0.118191672942729","0.107104527377429","0.129278818508029"
"Very Inexpensive","2001","middle vocational","Rural Area","283","0.130740428179264","0.117549436310101","0.143931420048427"
"Very Inexpensive","2001","vocational + Abi","Urban Area","43","0.11826727114177","0.0846279495395615","0.151906592743978"
"Very Inexpensive","2001","vocational + Abi","Rural Area","21","","",""
"Very Inexpensive","2001","higher vocational","Urban Area","69","0.124710098778652","0.0970732393674836","0.152346958189821"
"Very Inexpensive","2001","higher vocational","Rural Area","44","0.141605321535126","0.106223762082698","0.176986880987555"
"Very Inexpensive","2001","higher education","Urban Area","159","0.144701291443622","0.124688031177837","0.164714551709407"
"Very Inexpensive","2001","higher education","Rural Area","75","0.11812647487419","0.0938139237981035","0.142439025950276"
"Inexpensive","2001","in school","Urban Area","58","0.276031141044367","0.21178743265509","0.340274849433643"
"Inexpensive","2001","in school","Rural Area","39","0.333114753846379","0.251142152117493","0.415087355575265"
"Inexpensive","2001","inadequately","Urban Area","11","","",""
"Inexpensive","2001","inadequately","Rural Area","8","","",""
"Inexpensive","2001","general elemantary","Urban Area","256","0.341670960086309","0.307773690979245","0.375568229193374"
"Inexpensive","2001","general elemantary","Rural Area","169","0.310404093670952","0.270676680528197","0.350131506813707"
"Inexpensive","2001","middle vocational","Urban Area","1052","0.320888749209034","0.304856778169428","0.336920720248641"
"Inexpensive","2001","middle vocational","Rural Area","794","0.321158222788101","0.302888095872749","0.339428349703453"
"Inexpensive","2001","vocational + Abi","Urban Area","90","0.268691960743026","0.222515146219488","0.314868775266564"
"Inexpensive","2001","vocational + Abi","Rural Area","35","0.281685756679712","0.199828199668101","0.363543313691323"
"Inexpensive","2001","higher vocational","Urban Area","182","0.344173632953326","0.304432050744492","0.383915215162161"
"Inexpensive","2001","higher vocational","Rural Area","135","0.325017825723354","0.277485023603904","0.372550627842804"
"Inexpensive","2001","higher education","Urban Area","357","0.298254552919874","0.272228633887439","0.32428047195231"
"Inexpensive","2001","higher education","Rural Area","234","0.347143431186916","0.311282866694664","0.383003995679168"
"Reasonable","2001","in school","Urban Area","84","0.478918833398051","0.407126963482026","0.550710703314076"
"Reasonable","2001","in school","Rural Area","54","0.399333963055171","0.314155285536974","0.484512640573367"
"Reasonable","2001","inadequately","Urban Area","26","","",""
"Reasonable","2001","inadequately","Rural Area","9","","",""
"Reasonable","2001","general elemantary","Urban Area","324","0.418978856751634","0.383714887617747","0.454242825885522"
"Reasonable","2001","general elemantary","Rural Area","262","0.481184685910205","0.438281304588631","0.524088067231779"
"Reasonable","2001","middle vocational","Urban Area","1494","0.467631155817046","0.450495637461955","0.484766674172138"
"Reasonable","2001","middle vocational","Rural Area","1210","0.468583137299532","0.449057341020347","0.488108933578716"
"Reasonable","2001","vocational + Abi","Urban Area","175","0.495670945215211","0.44358744225086","0.547754448179563"
"Reasonable","2001","vocational + Abi","Rural Area","49","0.405734778854238","0.31637741015068","0.495092147557797"
"Reasonable","2001","higher vocational","Urban Area","237","0.442938483721046","0.401387127402669","0.484489840039422"
"Reasonable","2001","higher vocational","Rural Area","158","0.445227102943101","0.39479093409315","0.495663271793052"
"Reasonable","2001","higher education","Urban Area","540","0.454972083799557","0.426643525024691","0.483300642574422"
"Reasonable","2001","higher education","Rural Area","287","0.425040630116438","0.387802526332581","0.462278733900294"
"Slightly Expensive","2001","in school","Urban Area","15","","",""
"Slightly Expensive","2001","in school","Rural Area","17","","",""
"Slightly Expensive","2001","inadequately","Urban Area","2","","",""
"Slightly Expensive","2001","inadequately","Rural Area","","","",""
"Slightly Expensive","2001","general elemantary","Urban Area","61","0.0740599907750977","0.0553435862773629","0.0927763952728324"
"Slightly Expensive","2001","general elemantary","Rural Area","30","0.0514197454211544","0.0324556893578113","0.0703838014844975"
"Slightly Expensive","2001","middle vocational","Urban Area","262","0.0755471177203694","0.0664711999583728","0.084623035482366"
"Slightly Expensive","2001","middle vocational","Rural Area","198","0.0698947901092529","0.0599181064595073","0.0798714737589985"
"Slightly Expensive","2001","vocational + Abi","Urban Area","38","0.0950885222066453","0.0645313221581671","0.125645722255123"
"Slightly Expensive","2001","vocational + Abi","Rural Area","10","","",""
"Slightly Expensive","2001","higher vocational","Urban Area","46","0.0697899089673953","0.0484767041758652","0.0911031137589253"
"Slightly Expensive","2001","higher vocational","Rural Area","35","0.0861331076389502","0.0576609614145965","0.114605253863304"
"Slightly Expensive","2001","higher education","Urban Area","106","0.0781120783357255","0.0628462318533579","0.093377924818093"
"Slightly Expensive","2001","higher education","Rural Area","73","0.0990540258512621","0.0765510892407613","0.121556962461763"
"Too Expensive","2001","in school","Urban Area","6","","",""
"Too Expensive","2001","in school","Rural Area","","","",""
"Too Expensive","2001","inadequately","Urban Area","2","","",""
"Too Expensive","2001","inadequately","Rural Area","1","","",""
"Too Expensive","2001","general elemantary","Urban Area","19","","",""
"Too Expensive","2001","general elemantary","Rural Area","1","","",""
"Too Expensive","2001","middle vocational","Urban Area","67","0.0177413043108208","0.0132076862947537","0.0222749223268879"
"Too Expensive","2001","middle vocational","Rural Area","24","","",""
"Too Expensive","2001","vocational + Abi","Urban Area","8","","",""
"Too Expensive","2001","vocational + Abi","Rural Area","1","","",""
"Too Expensive","2001","higher vocational","Urban Area","15","","",""
"Too Expensive","2001","higher vocational","Rural Area","1","","",""
"Too Expensive","2001","higher education","Urban Area","25","","",""
"Too Expensive","2001","higher education","Rural Area","8","","",""
"Very Inexpensive","2002","in school","Urban Area","21","","",""
"Very Inexpensive","2002","in school","Rural Area","16","","",""
"Very Inexpensive","2002","inadequately","Urban Area","2","","",""
"Very Inexpensive","2002","inadequately","Rural Area","4","","",""
"Very Inexpensive","2002","general elemantary","Urban Area","92","0.135233652047437","0.110577934253998","0.159889369840877"
"Very Inexpensive","2002","general elemantary","Rural Area","72","0.158034355434865","0.126188291474971","0.18988041939476"
"Very Inexpensive","2002","middle vocational","Urban Area","424","0.127101882304252","0.116098289037379","0.138105475571125"
"Very Inexpensive","2002","middle vocational","Rural Area","273","0.132384919136515","0.119030314145579","0.145739524127451"
"Very Inexpensive","2002","vocational + Abi","Urban Area","51","0.140486367411567","0.106768392308605","0.174204342514528"
"Very Inexpensive","2002","vocational + Abi","Rural Area","24","","",""
"Very Inexpensive","2002","higher vocational","Urban Area","75","0.130624292946979","0.103990914530197","0.157257671363762"
"Very Inexpensive","2002","higher vocational","Rural Area","38","0.115335754234626","0.0840325126414631","0.14663899582779"
"Very Inexpensive","2002","higher education","Urban Area","261","0.153415600978593","0.136993371362923","0.169837830594262"
"Very Inexpensive","2002","higher education","Rural Area","101","0.101746707585681","0.0816927283725851","0.121800686798776"
"Inexpensive","2002","in school","Urban Area","82","0.351631691278933","0.290584026727035","0.412679355830832"
"Inexpensive","2002","in school","Rural Area","32","0.205137327615643","0.13702125421467","0.273253401016615"
"Inexpensive","2002","inadequately","Urban Area","13","","",""
"Inexpensive","2002","inadequately","Rural Area","4","","",""
"Inexpensive","2002","general elemantary","Urban Area","238","0.335545333259301","0.301501837336753","0.369588829181849"
"Inexpensive","2002","general elemantary","Rural Area","158","0.311716157642814","0.271277543168074","0.352154772117553"
"Inexpensive","2002","middle vocational","Urban Area","1113","0.321233269144787","0.305807483511578","0.336659054777995"
"Inexpensive","2002","middle vocational","Rural Area","751","0.306685372704815","0.288515162302492","0.324855583107138"
"Inexpensive","2002","vocational + Abi","Urban Area","112","0.258012020571619","0.21555628065147","0.300467760491768"
"Inexpensive","2002","vocational + Abi","Rural Area","44","0.303059577167844","0.227469332236747","0.378649822098941"
"Inexpensive","2002","higher vocational","Urban Area","203","0.322467644642829","0.285525795907647","0.35940949337801"
"Inexpensive","2002","higher vocational","Rural Area","138","0.298232458539841","0.253400037911571","0.343064879168112"
"Inexpensive","2002","higher education","Urban Area","569","0.325628431828578","0.30427473799099","0.346982125666167"
"Inexpensive","2002","higher education","Rural Area","254","0.302013838866795","0.271557492912474","0.332470184821116"
"Reasonable","2002","in school","Urban Area","103","0.472588918330062","0.408758079446581","0.536419757213543"
"Reasonable","2002","in school","Rural Area","67","0.49579598459617","0.411455545185063","0.580136424007278"
"Reasonable","2002","inadequately","Urban Area","15","","",""
"Reasonable","2002","inadequately","Rural Area","8","","",""
"Reasonable","2002","general elemantary","Urban Area","344","0.44429037654529","0.40846561701894","0.480115136071639"
"Reasonable","2002","general elemantary","Rural Area","227","0.452884271360897","0.409426640975536","0.496341901746258"
"Reasonable","2002","middle vocational","Urban Area","1612","0.450810514207502","0.434373047561884","0.46724798085312"
"Reasonable","2002","middle vocational","Rural Area","1206","0.472320226168932","0.452648080158109","0.491992372179755"
"Reasonable","2002","vocational + Abi","Urban Area","188","0.468214304072237","0.41979610029923","0.516632507845244"
"Reasonable","2002","vocational + Abi","Rural Area","61","0.421583587175271","0.340363010232041","0.502804164118501"
"Reasonable","2002","higher vocational","Urban Area","269","0.457476953138151","0.418103433441425","0.496850472834877"
"Reasonable","2002","higher vocational","Rural Area","181","0.476299991314734","0.427355967302934","0.525244015326535"
"Reasonable","2002","higher education","Urban Area","831","0.429468068915378","0.406911780222916","0.452024357607841"
"Reasonable","2002","higher education","Rural Area","423","0.503786179790905","0.470619765464962","0.536952594116849"
"Slightly Expensive","2002","in school","Urban Area","26","","",""
"Slightly Expensive","2002","in school","Rural Area","18","","",""
"Slightly Expensive","2002","inadequately","Urban Area","5","","",""
"Slightly Expensive","2002","inadequately","Rural Area","1","","",""
"Slightly Expensive","2002","general elemantary","Urban Area","58","0.0792803123064074","0.0598010608980925","0.0987595637147222"
"Slightly Expensive","2002","general elemantary","Rural Area","42","0.0599422835909437","0.0392181337286763","0.0806664334532112"
"Slightly Expensive","2002","middle vocational","Urban Area","330","0.0914456930193523","0.0819235690169219","0.100967817021783"
"Slightly Expensive","2002","middle vocational","Rural Area","218","0.0776890754831051","0.0671411538038595","0.0882369971623507"
"Slightly Expensive","2002","vocational + Abi","Urban Area","50","0.121779328064179","0.0900466574365971","0.153511998691762"
"Slightly Expensive","2002","vocational + Abi","Rural Area","12","","",""
"Slightly Expensive","2002","higher vocational","Urban Area","58","0.0797267251277435","0.0583189812198241","0.101134469035663"
"Slightly Expensive","2002","higher vocational","Rural Area","38","0.0917329953563791","0.0634459457881578","0.1200200449246"
"Slightly Expensive","2002","higher education","Urban Area","164","0.0811872179790451","0.0687415110266104","0.0936329249314799"
"Slightly Expensive","2002","higher education","Rural Area","87","0.0811606797045204","0.0630458776450623","0.0992754817639785"
"Too Expensive","2002","in school","Urban Area","3","","",""
"Too Expensive","2002","in school","Rural Area","2","","",""
"Too Expensive","2002","inadequately","Urban Area","1","","",""
"Too Expensive","2002","inadequately","Rural Area","1","","",""
"Too Expensive","2002","general elemantary","Urban Area","7","","",""
"Too Expensive","2002","general elemantary","Rural Area","5","","",""
"Too Expensive","2002","middle vocational","Urban Area","41","0.00940864132410661","0.00621939926247104","0.0125978833857422"
"Too Expensive","2002","middle vocational","Rural Area","26","","",""
"Too Expensive","2002","vocational + Abi","Urban Area","7","","",""
"Too Expensive","2002","vocational + Abi","Rural Area","1","","",""
"Too Expensive","2002","higher vocational","Urban Area","10","","",""
"Too Expensive","2002","higher vocational","Rural Area","5","","",""
"Too Expensive","2002","higher education","Urban Area","25","","",""
"Too Expensive","2002","higher education","Rural Area","8","","",""
"Very Inexpensive","2003","in school","Urban Area","","","",""
"Very Inexpensive","2003","in school","Rural Area","","","",""
"Very Inexpensive","2003","inadequately","Urban Area","","","",""
"Very Inexpensive","2003","inadequately","Rural Area","","","",""
"Very Inexpensive","2003","general elemantary","Urban Area","","","",""
"Very Inexpensive","2003","general elemantary","Rural Area","","","",""
"Very Inexpensive","2003","middle vocational","Urban Area","","","",""
"Very Inexpensive","2003","middle vocational","Rural Area","","","",""
"Very Inexpensive","2003","vocational + Abi","Urban Area","","","",""
"Very Inexpensive","2003","vocational + Abi","Rural Area","","","",""
"Very Inexpensive","2003","higher vocational","Urban Area","","","",""
"Very Inexpensive","2003","higher vocational","Rural Area","","","",""
"Very Inexpensive","2003","higher education","Urban Area","","","",""
"Very Inexpensive","2003","higher education","Rural Area","","","",""
"Inexpensive","2003","in school","Urban Area","","","",""
"Inexpensive","2003","in school","Rural Area","","","",""
"Inexpensive","2003","inadequately","Urban Area","","","",""
"Inexpensive","2003","inadequately","Rural Area","","","",""
"Inexpensive","2003","general elemantary","Urban Area","","","",""
"Inexpensive","2003","general elemantary","Rural Area","","","",""
"Inexpensive","2003","middle vocational","Urban Area","","","",""
"Inexpensive","2003","middle vocational","Rural Area","","","",""
"Inexpensive","2003","vocational + Abi","Urban Area","","","",""
"Inexpensive","2003","vocational + Abi","Rural Area","","","",""
"Inexpensive","2003","higher vocational","Urban Area","","","",""
"Inexpensive","2003","higher vocational","Rural Area","","","",""
"Inexpensive","2003","higher education","Urban Area","","","",""
"Inexpensive","2003","higher education","Rural Area","","","",""
"Reasonable","2003","in school","Urban Area","","","",""
"Reasonable","2003","in school","Rural Area","","","",""
"Reasonable","2003","inadequately","Urban Area","","","",""
"Reasonable","2003","inadequately","Rural Area","","","",""
"Reasonable","2003","general elemantary","Urban Area","","","",""
"Reasonable","2003","general elemantary","Rural Area","","","",""
"Reasonable","2003","middle vocational","Urban Area","","","",""
"Reasonable","2003","middle vocational","Rural Area","","","",""
"Reasonable","2003","vocational + Abi","Urban Area","","","",""
"Reasonable","2003","vocational + Abi","Rural Area","","","",""
"Reasonable","2003","higher vocational","Urban Area","","","",""
"Reasonable","2003","higher vocational","Rural Area","","","",""
"Reasonable","2003","higher education","Urban Area","","","",""
"Reasonable","2003","higher education","Rural Area","","","",""
"Slightly Expensive","2003","in school","Urban Area","","","",""
"Slightly Expensive","2003","in school","Rural Area","","","",""
"Slightly Expensive","2003","inadequately","Urban Area","","","",""
"Slightly Expensive","2003","inadequately","Rural Area","","","",""
"Slightly Expensive","2003","general elemantary","Urban Area","","","",""
"Slightly Expensive","2003","general elemantary","Rural Area","","","",""
"Slightly Expensive","2003","middle vocational","Urban Area","","","",""
"Slightly Expensive","2003","middle vocational","Rural Area","","","",""
"Slightly Expensive","2003","vocational + Abi","Urban Area","","","",""
"Slightly Expensive","2003","vocational + Abi","Rural Area","","","",""
"Slightly Expensive","2003","higher vocational","Urban Area","","","",""
"Slightly Expensive","2003","higher vocational","Rural Area","","","",""
"Slightly Expensive","2003","higher education","Urban Area","","","",""
"Slightly Expensive","2003","higher education","Rural Area","","","",""
"Too Expensive","2003","in school","Urban Area","","","",""
"Too Expensive","2003","in school","Rural Area","","","",""
"Too Expensive","2003","inadequately","Urban Area","","","",""
"Too Expensive","2003","inadequately","Rural Area","","","",""
"Too Expensive","2003","general elemantary","Urban Area","","","",""
"Too Expensive","2003","general elemantary","Rural Area","","","",""
"Too Expensive","2003","middle vocational","Urban Area","","","",""
"Too Expensive","2003","middle vocational","Rural Area","","","",""
"Too Expensive","2003","vocational + Abi","Urban Area","","","",""
"Too Expensive","2003","vocational + Abi","Rural Area","","","",""
"Too Expensive","2003","higher vocational","Urban Area","","","",""
"Too Expensive","2003","higher vocational","Rural Area","","","",""
"Too Expensive","2003","higher education","Urban Area","","","",""
"Too Expensive","2003","higher education","Rural Area","","","",""
"Very Inexpensive","2004","in school","Urban Area","","","",""
"Very Inexpensive","2004","in school","Rural Area","","","",""
"Very Inexpensive","2004","inadequately","Urban Area","","","",""
"Very Inexpensive","2004","inadequately","Rural Area","","","",""
"Very Inexpensive","2004","general elemantary","Urban Area","","","",""
"Very Inexpensive","2004","general elemantary","Rural Area","","","",""
"Very Inexpensive","2004","middle vocational","Urban Area","","","",""
"Very Inexpensive","2004","middle vocational","Rural Area","","","",""
"Very Inexpensive","2004","vocational + Abi","Urban Area","","","",""
"Very Inexpensive","2004","vocational + Abi","Rural Area","","","",""
"Very Inexpensive","2004","higher vocational","Urban Area","","","",""
"Very Inexpensive","2004","higher vocational","Rural Area","","","",""
"Very Inexpensive","2004","higher education","Urban Area","","","",""
"Very Inexpensive","2004","higher education","Rural Area","","","",""
"Inexpensive","2004","in school","Urban Area","","","",""
"Inexpensive","2004","in school","Rural Area","","","",""
"Inexpensive","2004","inadequately","Urban Area","","","",""
"Inexpensive","2004","inadequately","Rural Area","","","",""
"Inexpensive","2004","general elemantary","Urban Area","","","",""
"Inexpensive","2004","general elemantary","Rural Area","","","",""
"Inexpensive","2004","middle vocational","Urban Area","","","",""
"Inexpensive","2004","middle vocational","Rural Area","","","",""
"Inexpensive","2004","vocational + Abi","Urban Area","","","",""
"Inexpensive","2004","vocational + Abi","Rural Area","","","",""
"Inexpensive","2004","higher vocational","Urban Area","","","",""
"Inexpensive","2004","higher vocational","Rural Area","","","",""
"Inexpensive","2004","higher education","Urban Area","","","",""
"Inexpensive","2004","higher education","Rural Area","","","",""
"Reasonable","2004","in school","Urban Area","","","",""
"Reasonable","2004","in school","Rural Area","","","",""
"Reasonable","2004","inadequately","Urban Area","","","",""
"Reasonable","2004","inadequately","Rural Area","","","",""
"Reasonable","2004","general elemantary","Urban Area","","","",""
"Reasonable","2004","general elemantary","Rural Area","","","",""
"Reasonable","2004","middle vocational","Urban Area","","","",""
"Reasonable","2004","middle vocational","Rural Area","","","",""
"Reasonable","2004","vocational + Abi","Urban Area","","","",""
"Reasonable","2004","vocational + Abi","Rural Area","","","",""
"Reasonable","2004","higher vocational","Urban Area","","","",""
"Reasonable","2004","higher vocational","Rural Area","","","",""
"Reasonable","2004","higher education","Urban Area","","","",""
"Reasonable","2004","higher education","Rural Area","","","",""
"Slightly Expensive","2004","in school","Urban Area","","","",""
"Slightly Expensive","2004","in school","Rural Area","","","",""
"Slightly Expensive","2004","inadequately","Urban Area","","","",""
"Slightly Expensive","2004","inadequately","Rural Area","","","",""
"Slightly Expensive","2004","general elemantary","Urban Area","","","",""
"Slightly Expensive","2004","general elemantary","Rural Area","","","",""
"Slightly Expensive","2004","middle vocational","Urban Area","","","",""
"Slightly Expensive","2004","middle vocational","Rural Area","","","",""
"Slightly Expensive","2004","vocational + Abi","Urban Area","","","",""
"Slightly Expensive","2004","vocational + Abi","Rural Area","","","",""
"Slightly Expensive","2004","higher vocational","Urban Area","","","",""
"Slightly Expensive","2004","higher vocational","Rural Area","","","",""
"Slightly Expensive","2004","higher education","Urban Area","","","",""
"Slightly Expensive","2004","higher education","Rural Area","","","",""
"Too Expensive","2004","in school","Urban Area","","","",""
"Too Expensive","2004","in school","Rural Area","","","",""
"Too Expensive","2004","inadequately","Urban Area","","","",""
"Too Expensive","2004","inadequately","Rural Area","","","",""
"Too Expensive","2004","general elemantary","Urban Area","","","",""
"Too Expensive","2004","general elemantary","Rural Area","","","",""
"Too Expensive","2004","middle vocational","Urban Area","","","",""
"Too Expensive","2004","middle vocational","Rural Area","","","",""
"Too Expensive","2004","vocational + Abi","Urban Area","","","",""
"Too Expensive","2004","vocational + Abi","Rural Area","","","",""
"Too Expensive","2004","higher vocational","Urban Area","","","",""
"Too Expensive","2004","higher vocational","Rural Area","","","",""
"Too Expensive","2004","higher education","Urban Area","","","",""
"Too Expensive","2004","higher education","Rural Area","","","",""
"Very Inexpensive","2005","in school","Urban Area","28","","",""
"Very Inexpensive","2005","in school","Rural Area","8","","",""
"Very Inexpensive","2005","inadequately","Urban Area","1","","",""
"Very Inexpensive","2005","inadequately","Rural Area","2","","",""
"Very Inexpensive","2005","general elemantary","Urban Area","54","0.0817963012628183","0.0603962818097604","0.103196320715876"
"Very Inexpensive","2005","general elemantary","Rural Area","48","0.127353477904794","0.094805789183597","0.159901166625991"
"Very Inexpensive","2005","middle vocational","Urban Area","293","0.0941857256560746","0.0839136197220156","0.104457831590133"
"Very Inexpensive","2005","middle vocational","Rural Area","225","0.109602688842806","0.0966774317888914","0.122527945896721"
"Very Inexpensive","2005","vocational + Abi","Urban Area","46","0.0945577414049415","0.0657387071584146","0.123376775651468"
"Very Inexpensive","2005","vocational + Abi","Rural Area","20","","",""
"Very Inexpensive","2005","higher vocational","Urban Area","67","0.114273543486542","0.0879237792714639","0.14062330770162"
"Very Inexpensive","2005","higher vocational","Rural Area","37","0.0900310318399908","0.0611000233017618","0.11896204037822"
"Very Inexpensive","2005","higher education","Urban Area","195","0.12817705537578","0.112323617676456","0.144030493075104"
"Very Inexpensive","2005","higher education","Rural Area","87","0.0954436423795433","0.0750060770899348","0.115881207669152"
"Inexpensive","2005","in school","Urban Area","72","0.255882589629554","0.203246062293382","0.308519116965727"
"Inexpensive","2005","in school","Rural Area","34","0.258692575483421","0.184821850048506","0.332563300918337"
"Inexpensive","2005","inadequately","Urban Area","6","","",""
"Inexpensive","2005","inadequately","Rural Area","9","","",""
"Inexpensive","2005","general elemantary","Urban Area","211","0.337701792673301","0.300772474520963","0.374631110825639"
"Inexpensive","2005","general elemantary","Rural Area","119","0.340125753136856","0.293872113141285","0.386379393132427"
"Inexpensive","2005","middle vocational","Urban Area","968","0.31158815906084","0.295300374965666","0.327875943156015"
"Inexpensive","2005","middle vocational","Rural Area","660","0.294272416979952","0.275417267104848","0.313127566855056"
"Inexpensive","2005","vocational + Abi","Urban Area","108","0.253174373456004","0.210347144427685","0.296001602484322"
"Inexpensive","2005","vocational + Abi","Rural Area","36","0.279093572304839","0.207311361880346","0.350875782729331"
"Inexpensive","2005","higher vocational","Urban Area","162","0.292944928385766","0.255250801318465","0.330639055453067"
"Inexpensive","2005","higher vocational","Rural Area","113","0.292346957661564","0.246372814173234","0.338321101149893"
"Inexpensive","2005","higher education","Urban Area","478","0.288687859388048","0.267197259992325","0.31017845878377"
"Inexpensive","2005","higher education","Rural Area","223","0.327232835418772","0.294596704171599","0.359868966665945"
"Reasonable","2005","in school","Urban Area","137","0.531233216254379","0.471037282727074","0.591429149781684"
"Reasonable","2005","in school","Rural Area","74","0.499700060397885","0.415356654781479","0.584043466014291"
"Reasonable","2005","inadequately","Urban Area","17","","",""
"Reasonable","2005","inadequately","Rural Area","6","","",""
"Reasonable","2005","general elemantary","Urban Area","302","0.493299771270098","0.45425985985836","0.532339682681835"
"Reasonable","2005","general elemantary","Rural Area","208","0.465631505550189","0.416930585118074","0.514332425982303"
"Reasonable","2005","middle vocational","Urban Area","1585","0.51799693554841","0.50042434215068","0.535569528946139"
"Reasonable","2005","middle vocational","Rural Area","1088","0.484626941974667","0.463949286376313","0.50530459757302"
"Reasonable","2005","vocational + Abi","Urban Area","196","0.564963302385266","0.516134782018154","0.613791822752377"
"Reasonable","2005","vocational + Abi","Rural Area","76","0.431998539672331","0.352726811351438","0.511270267993223"
"Reasonable","2005","higher vocational","Urban Area","274","0.493873810766609","0.452465121752692","0.535282499780527"
"Reasonable","2005","higher vocational","Rural Area","189","0.51207428864222","0.461550314322964","0.562598262961477"
"Reasonable","2005","higher education","Urban Area","883","0.498889085762921","0.475176818012471","0.52260135351337"
