"hlf0094","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Inexpensive","1991","35-65 y.","direct migration background","102","0.407044845368679","0.351636309595473","0.462453381141885"
"Inexpensive","1991","35-65 y.","indirect migration background","3","","",""
"Inexpensive","1991","66 and older","no migration background","225","0.367167390768376","0.329586590117054","0.404748191419699"
"Inexpensive","1991","66 and older","direct migration background","14","","",""
"Inexpensive","1991","66 and older","indirect migration background","","","",""
"Reasonable","1991","16-34 y.","no migration background","529","0.390182043474958","0.365100802114187","0.41526328483573"
"Reasonable","1991","16-34 y.","direct migration background","38","0.338918708839429","0.247946942688045","0.429890474990814"
"Reasonable","1991","16-34 y.","indirect migration background","17","","",""
"Reasonable","1991","35-65 y.","no migration background","946","0.380184444695258","0.361726611312054","0.398642278078463"
"Reasonable","1991","35-65 y.","direct migration background","116","0.32314695977014","0.270400678210674","0.375893241329605"
"Reasonable","1991","35-65 y.","indirect migration background","10","","",""
"Reasonable","1991","66 and older","no migration background","228","0.357339251844094","0.319978053170534","0.394700450517654"
"Reasonable","1991","66 and older","direct migration background","17","","",""
"Reasonable","1991","66 and older","indirect migration background","1","","",""
"Slightly Expensive","1991","16-34 y.","no migration background","213","0.109594275778331","0.0935321437627155","0.125656407793947"
"Slightly Expensive","1991","16-34 y.","direct migration background","17","","",""
"Slightly Expensive","1991","16-34 y.","indirect migration background","4","","",""
"Slightly Expensive","1991","35-65 y.","no migration background","355","0.0967349835076203","0.0854953619156687","0.107974605099572"
"Slightly Expensive","1991","35-65 y.","direct migration background","29","","",""
"Slightly Expensive","1991","35-65 y.","indirect migration background","","","",""
"Slightly Expensive","1991","66 and older","no migration background","35","0.0457030885380669","0.0294212259192373","0.0619849511568966"
"Slightly Expensive","1991","66 and older","direct migration background","1","","",""
"Slightly Expensive","1991","66 and older","indirect migration background","","","",""
"Too Expensive","1991","16-34 y.","no migration background","113","0.0479859561152705","0.036996048600651","0.05897586362989"
"Too Expensive","1991","16-34 y.","direct migration background","9","","",""
"Too Expensive","1991","16-34 y.","indirect migration background","1","","",""
"Too Expensive","1991","35-65 y.","no migration background","195","0.0454671087438428","0.0375458092829069","0.0533884082047788"
"Too Expensive","1991","35-65 y.","direct migration background","15","","",""
"Too Expensive","1991","35-65 y.","indirect migration background","","","",""
"Too Expensive","1991","66 and older","no migration background","18","","",""
"Too Expensive","1991","66 and older","direct migration background","1","","",""
"Too Expensive","1991","66 and older","indirect migration background","1","","",""
"Very Inexpensive","1992","16-34 y.","no migration background","159","0.148061867111203","0.128865862113276","0.16725787210913"
"Very Inexpensive","1992","16-34 y.","direct migration background","10","","",""
"Very Inexpensive","1992","16-34 y.","indirect migration background","13","","",""
