"hlf0071_h","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Just right","1984","Bremen","in school","","","",""
"Just right","1984","Bremen","inadequately","5","","",""
"Just right","1984","Bremen","general elemantary","31","0.801847760991974","0.679836022545675","0.923859499438273"
"Just right","1984","Bremen","middle vocational","55","0.741837950452204","0.642129273233015","0.841546627671393"
"Just right","1984","Bremen","vocational + Abi","2","","",""
"Just right","1984","Bremen","higher vocational","4","","",""
"Just right","1984","Bremen","higher education","1","","",""
"Just right","1984","North Rhine-Westphalia","in school","44","0.713332681413607","0.599852942883714","0.8268124199435"
"Just right","1984","North Rhine-Westphalia","inadequately","205","0.614669633573988","0.560229848726846","0.669109418421129"
"Just right","1984","North Rhine-Westphalia","general elemantary","650","0.794709718099605","0.767870063526226","0.821549372672985"
"Just right","1984","North Rhine-Westphalia","middle vocational","1135","0.765952139359262","0.744743458829459","0.787160819889065"
"Just right","1984","North Rhine-Westphalia","vocational + Abi","51","0.637434132139929","0.537557427780288","0.73731083649957"
"Just right","1984","North Rhine-Westphalia","higher vocational","114","0.733920741312065","0.665015915493065","0.802825567131065"
"Just right","1984","North Rhine-Westphalia","higher education","164","0.730522852796729","0.672677064316189","0.788368641277268"
"Just right","1984","Hesse","in school","12","","",""
"Just right","1984","Hesse","inadequately","69","0.803119617575902","0.727421252852641","0.878817982299163"
"Just right","1984","Hesse","general elemantary","265","0.801123030929722","0.759601269446201","0.842644792413244"
"Just right","1984","Hesse","middle vocational","445","0.814279489516621","0.782766700616216","0.845792278417027"
"Just right","1984","Hesse","vocational + Abi","22","","",""
"Just right","1984","Hesse","higher vocational","38","0.764379521498195","0.647906848768001","0.880852194228388"
"Just right","1984","Hesse","higher education","73","0.814188681270324","0.734709608757171","0.893667753783477"
"Just right","1984","Rhineland-Palatinate,Saarland","in school","5","","",""
"Just right","1984","Rhineland-Palatinate,Saarland","inadequately","37","0.547043042597624","0.423137291932877","0.67094879326237"
"Just right","1984","Rhineland-Palatinate,Saarland","general elemantary","215","0.749011685222511","0.699783819555136","0.798239550889886"
"Just right","1984","Rhineland-Palatinate,Saarland","middle vocational","309","0.805018362404359","0.765798613609552","0.844238111199166"
"Just right","1984","Rhineland-Palatinate,Saarland","vocational + Abi","12","","",""
"Just right","1984","Rhineland-Palatinate,Saarland","higher vocational","25","","",""
"Just right","1984","Rhineland-Palatinate,Saarland","higher education","27","","",""
"Just right","1984","Baden-Württemberg","in school","29","","",""
"Just right","1984","Baden-Württemberg","inadequately","203","0.695175751056741","0.642285739719408","0.748065762394074"
"Just right","1984","Baden-Württemberg","general elemantary","524","0.815235755322747","0.786340133235633","0.844131377409861"
"Just right","1984","Baden-Württemberg","middle vocational","724","0.791147741636888","0.765162153637337","0.817133329636439"
