"hlf0071_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"4","2003","inadequately","East Germany","","","",""
"4","2003","general elemantary","West Germany","237","0.102382911461092","0.0901079188208965","0.114657904101288"
"4","2003","general elemantary","East Germany","25","","",""
"4","2003","middle vocational","West Germany","844","0.105573796610937","0.0989760181774537","0.11217157504442"
"4","2003","middle vocational","East Germany","212","0.0804553630868724","0.0704146522372932","0.0904960739364516"
"4","2003","vocational + Abi","West Germany","83","0.0890714467118427","0.0715735594998875","0.106569333923798"
"4","2003","vocational + Abi","East Germany","18","","",""
"4","2003","higher vocational","West Germany","144","0.118148731991779","0.100146480828441","0.136150983155117"
"4","2003","higher vocational","East Germany","50","0.108554893366674","0.0799399974986667","0.137169789234681"
"4","2003","higher education","West Germany","388","0.125097067697794","0.113392560102759","0.136801575292829"
"4","2003","higher education","East Germany","167","0.121161749171433","0.103382304350908","0.138941193991958"
"5","2003","in school","West Germany","4","","",""
"5","2003","in school","East Germany","1","","",""
"5","2003","inadequately","West Germany","1","","",""
"5","2003","inadequately","East Germany","","","",""
"5","2003","general elemantary","West Germany","32","0.0130352230562846","0.00844248150255173","0.0176279646100174"
"5","2003","general elemantary","East Germany","1","","",""
"5","2003","middle vocational","West Germany","105","0.011551805214423","0.00925751007510388","0.0138461003537421"
"5","2003","middle vocational","East Germany","11","","",""
"5","2003","vocational + Abi","West Germany","12","","",""
"5","2003","vocational + Abi","East Germany","1","","",""
"5","2003","higher vocational","West Germany","14","","",""
"5","2003","higher vocational","East Germany","4","","",""
"5","2003","higher education","West Germany","40","0.0137494090063047","0.00962952204198558","0.0178692959706238"
"5","2003","higher education","East Germany","6","","",""
"1","2004","in school","West Germany","7","","",""
"1","2004","in school","East Germany","2","","",""
"1","2004","inadequately","West Germany","13","","",""
"1","2004","inadequately","East Germany","","","",""
"1","2004","general elemantary","West Germany","51","0.0228584089226251","0.0166288762482026","0.0290879415970476"
"1","2004","general elemantary","East Germany","6","","",""
"1","2004","middle vocational","West Germany","116","0.0143592529197318","0.0117597918118615","0.0169587140276021"
"1","2004","middle vocational","East Germany","30","0.011488992716387","0.00751174453455883","0.0154662408982151"
"1","2004","vocational + Abi","West Germany","19","","",""
"1","2004","vocational + Abi","East Germany","6","","",""
"1","2004","higher vocational","West Germany","23","","",""
"1","2004","higher vocational","East Germany","5","","",""
"1","2004","higher education","West Germany","37","0.015485585402568","0.0110840533292108","0.0198871174759252"
"1","2004","higher education","East Germany","11","","",""
"2","2004","in school","West Germany","72","0.186824041052621","0.151661055856025","0.221987026249218"
"2","2004","in school","East Germany","31","0.206902070906299","0.14509303840195","0.268711103410648"
"2","2004","inadequately","West Germany","40","0.173569906201296","0.12535135091019","0.221788461492403"
"2","2004","inadequately","East Germany","","","",""
"2","2004","general elemantary","West Germany","288","0.122346174068605","0.108687437111239","0.136004911025972"
"2","2004","general elemantary","East Germany","43","0.115986884686921","0.0835778382411184","0.148395931132723"
"2","2004","middle vocational","West Germany","1000","0.12317688255895","0.11599598589862","0.13035777921928"
"2","2004","middle vocational","East Germany","329","0.118491191379631","0.106429524736855","0.130552858022407"
"2","2004","vocational + Abi","West Germany","182","0.177766839880211","0.154176979102955","0.201356700657468"
"2","2004","vocational + Abi","East Germany","23","","",""
"2","2004","higher vocational","West Germany","177","0.152281156289586","0.131977966291219","0.172584346287952"
"2","2004","higher vocational","East Germany","54","0.11986985640473","0.0894164545911661","0.150323258218293"
"2","2004","higher education","West Germany","466","0.173444061185624","0.159946824622539","0.18694129774871"
"2","2004","higher education","East Germany","167","0.148751443351342","0.129257401474184","0.1682454852285"
"3","2004","in school","West Germany","360","0.752590264071482","0.713662022875514","0.79151850526745"
"3","2004","in school","East Germany","117","0.686252989631462","0.615452209716929","0.757053769545996"
"3","2004","inadequately","West Germany","176","0.713563499594555","0.656005669758284","0.771121329430826"
"3","2004","inadequately","East Germany","18","","",""
"3","2004","general elemantary","West Germany","1655","0.756653436805596","0.738767370649475","0.774539502961717"
"3","2004","general elemantary","East Germany","300","0.789166336440489","0.747881866740142","0.830450806140836"
"3","2004","middle vocational","West Germany","5958","0.73556289786889","0.725926179232103","0.745199616505678"
"3","2004","middle vocational","East Germany","2188","0.790236385918206","0.775041601249261","0.805431170587151"
"3","2004","vocational + Abi","West Germany","710","0.709870141298372","0.681868197749792","0.737872084846951"
"3","2004","vocational + Abi","East Germany","108","0.753659228468588","0.685384806029427","0.821933650907749"
"3","2004","higher vocational","West Germany","847","0.678309041443523","0.65191241006033","0.704705672826716"
"3","2004","higher vocational","East Germany","324","0.755991655287638","0.715722899342738","0.796260411232537"
"3","2004","higher education","West Germany","2083","0.677996252724863","0.661340160108077","0.694652345341649"
"3","2004","higher education","East Germany","920","0.716520988872748","0.691831163453843","0.741210814291652"
"4","2004","in school","West Germany","33","0.0487049797214687","0.0292862245250849","0.0681237349178526"
"4","2004","in school","East Germany","14","","",""
"4","2004","inadequately","West Germany","7","","",""
"4","2004","inadequately","East Germany","","","",""
"4","2004","general elemantary","West Germany","197","0.0890523745793576","0.0771803940414766","0.100924355117239"
"4","2004","general elemantary","East Germany","25","","",""
"4","2004","middle vocational","West Germany","885","0.116179377154082","0.109177658361619","0.123181095946545"
"4","2004","middle vocational","East Germany","200","0.075081868250017","0.0652469638659707","0.0849167726340632"
"4","2004","vocational + Abi","West Germany","87","0.0833707945481595","0.0663136502526119","0.100427938843707"
"4","2004","vocational + Abi","East Germany","16","","",""
"4","2004","higher vocational","West Germany","143","0.13866671594669","0.119137401086868","0.158196030806512"
"4","2004","higher vocational","East Germany","49","0.0932874641490906","0.0660194301719511","0.12055549812623"
"4","2004","higher education","West Germany","386","0.118193392353004","0.106685062776838","0.129701721929171"
"4","2004","higher education","East Germany","170","0.114897746266008","0.0974276384786807","0.132367854053335"
"5","2004","in school","West Germany","","","",""
"5","2004","in school","East Germany","1","","",""
"5","2004","inadequately","West Germany","1","","",""
"5","2004","inadequately","East Germany","","","",""
"5","2004","general elemantary","West Germany","20","","",""
"5","2004","general elemantary","East Germany","1","","",""
"5","2004","middle vocational","West Germany","87","0.0107215894983456","0.00847125576645346","0.0129719232302377"
"5","2004","middle vocational","East Germany","11","","",""
"5","2004","vocational + Abi","West Germany","11","","",""
"5","2004","vocational + Abi","East Germany","","","",""
"5","2004","higher vocational","West Germany","13","","",""
"5","2004","higher vocational","East Germany","5","","",""
"5","2004","higher education","West Germany","51","0.0148807083339409","0.0105646706128089","0.0191967460550728"
"5","2004","higher education","East Germany","12","","",""
"1","2005","in school","West Germany","6","","",""
"1","2005","in school","East Germany","1","","",""
"1","2005","inadequately","West Germany","7","","",""
"1","2005","inadequately","East Germany","1","","",""
"1","2005","general elemantary","West Germany","36","0.0220843753783791","0.0157520809688509","0.0284166697879073"
"1","2005","general elemantary","East Germany","5","","",""
"1","2005","middle vocational","West Germany","108","0.0141635185335667","0.0115168059159449","0.0168102311511885"
"1","2005","middle vocational","East Germany","27","","",""
"1","2005","vocational + Abi","West Germany","15","","",""
"1","2005","vocational + Abi","East Germany","1","","",""
"1","2005","higher vocational","West Germany","12","","",""
"1","2005","higher vocational","East Germany","3","","",""
"1","2005","higher education","West Germany","27","","",""
"1","2005","higher education","East Germany","9","","",""
"2","2005","in school","West Germany","75","0.161870030650917","0.129617177616273","0.194122883685561"
"2","2005","in school","East Germany","21","","",""
"2","2005","inadequately","West Germany","37","0.164957043890924","0.116782178635165","0.213131909146684"
"2","2005","inadequately","East Germany","1","","",""
"2","2005","general elemantary","West Germany","268","0.125269078885109","0.111005548648368","0.13953260912185"
"2","2005","general elemantary","East Germany","35","0.0873423875035679","0.0574196372445943","0.117265137762541"
"2","2005","middle vocational","West Germany","975","0.137507246895038","0.12979360827947","0.145220885510605"
"2","2005","middle vocational","East Germany","312","0.119432925238922","0.107057676082636","0.131808174395207"
"2","2005","vocational + Abi","West Germany","165","0.169727629236299","0.146140328929225","0.193314929543373"
"2","2005","vocational + Abi","East Germany","30","0.242574243116253","0.176568312124109","0.308580174108396"
"2","2005","higher vocational","West Germany","170","0.173540767618879","0.151604798678768","0.195476736558989"
"2","2005","higher vocational","East Germany","61","0.148230044196006","0.114328370206583","0.182131718185429"
"2","2005","higher education","West Germany","429","0.170995738911692","0.157339607389204","0.18465187043418"
"2","2005","higher education","East Germany","171","0.163232394988387","0.142809684726375","0.183655105250399"
"3","2005","in school","West Germany","392","0.754288997628002","0.716591682819302","0.791986312436701"
"3","2005","in school","East Germany","112","0.743873041143166","0.673311756349269","0.814434325937062"
"3","2005","inadequately","West Germany","174","0.765829806132268","0.710861467904316","0.82079814436022"
"3","2005","inadequately","East Germany","15","","",""
"3","2005","general elemantary","West Germany","1536","0.743924027406981","0.725117156043361","0.762730898770601"
"3","2005","general elemantary","East Germany","283","0.837171176193427","0.798041359406752","0.876300992980102"
"3","2005","middle vocational","West Germany","5707","0.731393247381737","0.721465454597768","0.741321040165706"
"3","2005","middle vocational","East Germany","2082","0.792855882042147","0.777391088570993","0.808320675513301"
"3","2005","vocational + Abi","West Germany","698","0.717355011481763","0.689061986438539","0.745648036524987"
"3","2005","vocational + Abi","East Germany","121","0.70081644033542","0.630304675142756","0.771328205528083"
"3","2005","higher vocational","West Germany","830","0.696974361528487","0.670355257314308","0.723593465742667"
"3","2005","higher vocational","East Germany","304","0.735052824403793","0.692948103980308","0.777157544827279"
"3","2005","higher education","West Germany","2036","0.684457436823514","0.667601268357621","0.701313605289407"
"3","2005","higher education","East Germany","911","0.708689278876095","0.683581173886386","0.733797383865804"
"4","2005","in school","West Germany","27","","",""
"4","2005","in school","East Germany","12","","",""
"4","2005","inadequately","West Germany","10","","",""
"4","2005","inadequately","East Germany","1","","",""
"4","2005","general elemantary","West Germany","208","0.0970674488919345","0.0843109261257191","0.10982397165815"
"4","2005","general elemantary","East Germany","14","","",""
"4","2005","middle vocational","West Germany","768","0.10308138217989","0.0962707817170171","0.109891982642763"
"4","2005","middle vocational","East Germany","196","0.0671641777270317","0.0576124451660626","0.0767159102880007"
"4","2005","vocational + Abi","West Germany","84","0.0880755524380032","0.0702682232077728","0.105882881668234"
"4","2005","vocational + Abi","East Germany","8","","",""
"4","2005","higher vocational","West Germany","121","0.104748297244087","0.0870108379620063","0.122485756526168"
"4","2005","higher vocational","East Germany","45","0.0870422557843736","0.0601465916474663","0.113937919921281"
"4","2005","higher education","West Germany","375","0.120603037416802","0.108790906035441","0.132415168798163"
"4","2005","higher education","East Germany","154","0.10921495783803","0.0919790052959502","0.126450910380109"
"5","2005","in school","West Germany","1","","",""
"5","2005","in school","East Germany","1","","",""
"5","2005","inadequately","West Germany","","","",""
"5","2005","inadequately","East Germany","","","",""
"5","2005","general elemantary","West Germany","21","","",""
"5","2005","general elemantary","East Germany","5","","",""
"5","2005","middle vocational","West Germany","99","0.0138546050097691","0.0112365044873818","0.0164727055321564"
"5","2005","middle vocational","East Germany","21","","",""
"5","2005","vocational + Abi","West Germany","11","","",""
"5","2005","vocational + Abi","East Germany","2","","",""
"5","2005","higher vocational","West Germany","12","","",""
"5","2005","higher vocational","East Germany","9","","",""
"5","2005","higher education","West Germany","53","0.0126250793321929","0.00857545470282372","0.0166747039615621"
"5","2005","higher education","East Germany","13","","",""
"1","2006","in school","West Germany","6","","",""
"1","2006","in school","East Germany","","","",""
"1","2006","inadequately","West Germany","15","","",""
"1","2006","inadequately","East Germany","","","",""
"1","2006","general elemantary","West Germany","61","0.0347406194760435","0.0270180466944499","0.042463192257637"
"1","2006","general elemantary","East Germany","9","","",""
"1","2006","middle vocational","West Germany","110","0.0169936947967235","0.0142146485734937","0.0197727410199533"
"1","2006","middle vocational","East Germany","26","","",""
"1","2006","vocational + Abi","West Germany","17","","",""
"1","2006","vocational + Abi","East Germany","3","","",""
"1","2006","higher vocational","West Germany","16","","",""
"1","2006","higher vocational","East Germany","7","","",""
"1","2006","higher education","West Germany","33","0.0128833669355299","0.00900687817292451","0.0167598556981354"
"1","2006","higher education","East Germany","15","","",""
"2","2006","in school","West Germany","75","0.161738955142565","0.129169964174879","0.194307946110251"
"2","2006","in school","East Germany","15","","",""
"2","2006","inadequately","West Germany","36","0.163244965791083","0.114407196810963","0.212082734771202"
"2","2006","inadequately","East Germany","8","","",""
"2","2006","general elemantary","West Germany","251","0.130739866156301","0.116523123089976","0.144956609222626"
"2","2006","general elemantary","East Germany","41","0.0950212616291815","0.0659177515021866","0.124124771756176"
"2","2006","middle vocational","West Germany","1018","0.132247418368401","0.124963496642534","0.139531340094267"
"2","2006","middle vocational","East Germany","320","0.112119486287741","0.100462028368968","0.123776944206513"
"2","2006","vocational + Abi","West Germany","189","0.20726424917338","0.182711440978547","0.231817057368214"
"2","2006","vocational + Abi","East Germany","31","0.189984587301654","0.131187493294031","0.248781681309277"
"2","2006","higher vocational","West Germany","186","0.174839988621205","0.153621788756806","0.196058188485605"
"2","2006","higher vocational","East Germany","60","0.132738513280771","0.100594528675738","0.164882497885803"
"2","2006","higher education","West Germany","442","0.161335989709196","0.14869156023904","0.173980419179352"
"2","2006","higher education","East Germany","168","0.153478823265029","0.134129037536564","0.172828608993494"
"3","2006","in school","West Germany","369","0.757996002380959","0.720112329962727","0.795879674799192"
"3","2006","in school","East Germany","116","0.798593844772798","0.733761941348354","0.863425748197243"
"3","2006","inadequately","West Germany","157","0.709420011888124","0.649424146911087","0.76941587686516"
"3","2006","inadequately","East Germany","14","","",""
"3","2006","general elemantary","West Germany","1584","0.717084576883437","0.698089777189543","0.736079376577331"
"3","2006","general elemantary","East Germany","306","0.821251232149572","0.783225697156847","0.859276767142297"
"3","2006","middle vocational","West Germany","6114","0.717009557496157","0.707324056993181","0.726695057999133"
"3","2006","middle vocational","East Germany","2212","0.79490620841457","0.779987877169889","0.80982453965925"
"3","2006","vocational + Abi","West Germany","746","0.705095488872355","0.677474487069298","0.732716490675411"
"3","2006","vocational + Abi","East Germany","123","0.725125705162483","0.658210663862102","0.792040746462864"
"3","2006","higher vocational","West Germany","865","0.684930749760697","0.658980269098993","0.710881230422401"
"3","2006","higher vocational","East Germany","299","0.731611193173732","0.689630599400421","0.773591786947044"
"3","2006","higher education","West Germany","2222","0.679678593372409","0.663639331295189","0.695717855449629"
"3","2006","higher education","East Germany","972","0.713921635385051","0.689661076842351","0.738182193927752"
"4","2006","in school","West Germany","38","0.0630575409666284","0.0415578449056264","0.0845572370276305"
"4","2006","in school","East Germany","14","","",""
"4","2006","inadequately","West Germany","12","","",""
"4","2006","inadequately","East Germany","1","","",""
"4","2006","general elemantary","West Germany","228","0.0985565491039045","0.0859866091336703","0.111126489074139"
"4","2006","general elemantary","East Germany","34","0.0658749336885808","0.0412554808802703","0.0904943864968912"
"4","2006","middle vocational","West Germany","949","0.116642534864514","0.109740606810507","0.123544462918522"
"4","2006","middle vocational","East Germany","240","0.077451919390297","0.0675755655349412","0.0873282732456527"
"4","2006","vocational + Abi","West Germany","80","0.0599402859524196","0.0455618424199769","0.0743187294848623"
"4","2006","vocational + Abi","East Germany","14","","",""
"4","2006","higher vocational","West Germany","143","0.10719960617916","0.0899176521291922","0.124481560229127"
"4","2006","higher vocational","East Germany","58","0.10605040329901","0.0768802383376848","0.135220568260335"
"4","2006","higher education","West Germany","491","0.131590003750435","0.119969807497209","0.143210200003662"
"4","2006","higher education","East Germany","153","0.103181585832047","0.0868515787159075","0.119511592948186"
"5","2006","in school","West Germany","3","","",""
"5","2006","in school","East Germany","2","","",""
"5","2006","inadequately","West Germany","","","",""
"5","2006","inadequately","East Germany","","","",""
"5","2006","general elemantary","West Germany","36","0.0188783883803141","0.0131390068633514","0.0246177698972768"
"5","2006","general elemantary","East Germany","","","",""
"5","2006","middle vocational","West Germany","118","0.0171067944742047","0.0143186761749763","0.0198949127734331"
"5","2006","middle vocational","East Germany","16","","",""
"5","2006","vocational + Abi","West Germany","15","","",""
"5","2006","vocational + Abi","East Germany","","","",""
"5","2006","higher vocational","West Germany","21","","",""
"5","2006","higher vocational","East Germany","4","","",""
"5","2006","higher education","West Germany","63","0.0145120462324295","0.0104012155163015","0.0186228769485575"
"5","2006","higher education","East Germany","25","","",""
"1","2007","in school","West Germany","7","","",""
"1","2007","in school","East Germany","2","","",""
"1","2007","inadequately","West Germany","6","","",""
"1","2007","inadequately","East Germany","","","",""
"1","2007","general elemantary","West Germany","36","0.0276650171705354","0.0203610853883956","0.0349689489526752"
"1","2007","general elemantary","East Germany","4","","",""
"1","2007","middle vocational","West Germany","95","0.0143704915909806","0.0117167208580948","0.0170242623238664"
"1","2007","middle vocational","East Germany","24","","",""
"1","2007","vocational + Abi","West Germany","17","","",""
"1","2007","vocational + Abi","East Germany","3","","",""
"1","2007","higher vocational","West Germany","8","","",""
"1","2007","higher vocational","East Germany","3","","",""
"1","2007","higher education","West Germany","27","","",""
"1","2007","higher education","East Germany","11","","",""
"2","2007","in school","West Germany","88","0.173314421348713","0.139274478855602","0.207354363841823"
"2","2007","in school","East Germany","23","","",""
"2","2007","inadequately","West Germany","39","0.175636214259792","0.122091856677438","0.229180571842146"
"2","2007","inadequately","East Germany","5","","",""
"2","2007","general elemantary","West Germany","251","0.127665269019724","0.11280381695907","0.142526721080377"
"2","2007","general elemantary","East Germany","32","0.0839064562079077","0.0543932873479597","0.113419625067856"
"2","2007","middle vocational","West Germany","952","0.129206156885741","0.121726700768321","0.136685613003161"
"2","2007","middle vocational","East Germany","323","0.128993515849996","0.116207337391148","0.141779694308844"
"2","2007","vocational + Abi","West Germany","174","0.167752819546997","0.144686468067284","0.190819171026709"
"2","2007","vocational + Abi","East Germany","24","","",""
"2","2007","higher vocational","West Germany","175","0.187516257904189","0.164778288324769","0.21025422748361"
"2","2007","higher vocational","East Germany","49","0.101857071035441","0.072400044989664","0.131314097081219"
"2","2007","higher education","West Germany","439","0.154055927832613","0.141339719110658","0.166772136554568"
"2","2007","higher education","East Germany","155","0.131002419494902","0.112668370620278","0.149336468369525"
"3","2007","in school","West Germany","344","0.725134702761324","0.684986086009286","0.765283319513362"
"3","2007","in school","East Germany","116","0.71834027409888","0.646832414094178","0.789848134103582"
"3","2007","inadequately","West Germany","143","0.749168101011577","0.688168323961565","0.810167878061588"
"3","2007","inadequately","East Germany","18","","",""
"3","2007","general elemantary","West Germany","1423","0.732850630404254","0.71314600920637","0.752555251602138"
"3","2007","general elemantary","East Germany","272","0.811020214842226","0.769345584432129","0.852694845252323"
"3","2007","middle vocational","West Germany","5671","0.725000470317331","0.715043989558215","0.734956951076447"
"3","2007","middle vocational","East Germany","2083","0.784623144289443","0.768942055963791","0.800304232615096"
"3","2007","vocational + Abi","West Germany","712","0.728715093940581","0.701267168648134","0.756163019233027"
"3","2007","vocational + Abi","East Germany","127","0.691928904932141","0.621694442963992","0.76216336690029"
"3","2007","higher vocational","West Germany","806","0.681903391785776","0.654772390491677","0.709034393079874"
"3","2007","higher vocational","East Germany","292","0.746193941481759","0.703810381609123","0.788577501354394"
"3","2007","higher education","West Germany","2110","0.688660519416873","0.672350018230217","0.704971020603529"
"3","2007","higher education","East Germany","952","0.734591214030374","0.710597915627854","0.758584512432895"
"4","2007","in school","West Germany","35","0.0732934001573762","0.0498562474905417","0.0967305528242106"
"4","2007","in school","East Germany","6","","",""
"4","2007","inadequately","West Germany","6","","",""
"4","2007","inadequately","East Germany","","","",""
"4","2007","general elemantary","West Germany","207","0.100754322883927","0.0873497091354501","0.114158936632404"
"4","2007","general elemantary","East Germany","29","","",""
"4","2007","middle vocational","West Germany","916","0.119370061152003","0.112140446151948","0.126599676152058"
"4","2007","middle vocational","East Germany","188","0.0661977817418621","0.0567136998228274","0.0756818636608968"
"4","2007","vocational + Abi","West Germany","93","0.0794212196230636","0.0627289042653127","0.0961135349808146"
"4","2007","vocational + Abi","East Germany","12","","",""
"4","2007","higher vocational","West Germany","129","0.109091072198739","0.0909302235849917","0.127251920812487"
"4","2007","higher vocational","East Germany","56","0.121979577157965","0.0901070536537173","0.153852100662213"
"4","2007","higher education","West Germany","450","0.127264305994883","0.115525003567347","0.139003608422419"
"4","2007","higher education","East Germany","158","0.114412384959357","0.0971157456435764","0.131709024275138"
"5","2007","in school","West Germany","1","","",""
"5","2007","in school","East Germany","5","","",""
"5","2007","inadequately","West Germany","","","",""
"5","2007","inadequately","East Germany","","","",""
"5","2007","general elemantary","West Germany","20","","",""
"5","2007","general elemantary","East Germany","2","","",""
"5","2007","middle vocational","West Germany","92","0.0120528200539449","0.00961959691145356","0.0144860431964362"
"5","2007","middle vocational","East Germany","22","","",""
"5","2007","vocational + Abi","West Germany","12","","",""
"5","2007","vocational + Abi","East Germany","","","",""
"5","2007","higher vocational","West Germany","14","","",""
"5","2007","higher vocational","East Germany","5","","",""
"5","2007","higher education","West Germany","70","0.0188557585704879","0.0140646495962406","0.0236468675447351"
"5","2007","higher education","East Germany","25","","",""
"1","2008","in school","West Germany","9","","",""
"1","2008","in school","East Germany","2","","",""
"1","2008","inadequately","West Germany","5","","",""
"1","2008","inadequately","East Germany","","","",""
"1","2008","general elemantary","West Germany","30","0.0193583587604852","0.012946842975872","0.0257698745450984"
"1","2008","general elemantary","East Germany","3","","",""
"1","2008","middle vocational","West Germany","81","0.012262910180518","0.00972902801383546","0.0147967923472005"
"1","2008","middle vocational","East Germany","25","","",""
"1","2008","vocational + Abi","West Germany","10","","",""
"1","2008","vocational + Abi","East Germany","3","","",""
"1","2008","higher vocational","West Germany","11","","",""
"1","2008","higher vocational","East Germany","1","","",""
"1","2008","higher education","West Germany","21","","",""
"1","2008","higher education","East Germany","8","","",""
"2","2008","in school","West Germany","73","0.144537545915258","0.111606778565968","0.177468313264548"
"2","2008","in school","East Germany","20","","",""
"2","2008","inadequately","West Germany","28","","",""
"2","2008","inadequately","East Germany","4","","",""
"2","2008","general elemantary","West Germany","206","0.120118569700002","0.104990328663812","0.135246810736193"
"2","2008","general elemantary","East Germany","33","0.142276779401731","0.103514314076054","0.181039244727407"
"2","2008","middle vocational","West Germany","866","0.12720541736481","0.119533961603434","0.134876873126186"
"2","2008","middle vocational","East Germany","304","0.138025463427489","0.124544965883704","0.151505960971274"
"2","2008","vocational + Abi","West Germany","161","0.176234785703752","0.151746738231709","0.200722833175795"
"2","2008","vocational + Abi","East Germany","31","0.182324057831036","0.123587749626636","0.241060366035437"
"2","2008","higher vocational","West Germany","149","0.159966612561203","0.137741043277829","0.182192181844576"
"2","2008","higher vocational","East Germany","33","0.080937801900613","0.053369988329815","0.108505615471411"
"2","2008","higher education","West Germany","383","0.166320608117624","0.15290156428929","0.179739651945959"
"2","2008","higher education","East Germany","159","0.148103541356668","0.12834916056344","0.167857922149896"
"3","2008","in school","West Germany","310","0.69869409634989","0.655724785032219","0.74166340766756"
"3","2008","in school","East Germany","82","0.803957275312308","0.73043297005826","0.877481580566356"
"3","2008","inadequately","West Germany","131","0.784023828930184","0.721799388449369","0.846248269410999"
"3","2008","inadequately","East Germany","13","","",""
"3","2008","general elemantary","West Germany","1325","0.735128914058972","0.714595067533203","0.75566276058474"
"3","2008","general elemantary","East Germany","250","0.746688038879633","0.698430158803168","0.794945918956097"
"3","2008","middle vocational","West Germany","5291","0.717489495394946","0.707123905215292","0.727855085574599"
"3","2008","middle vocational","East Germany","1971","0.765679126715311","0.749124934679755","0.782233318750866"
"3","2008","vocational + Abi","West Germany","657","0.688432217056102","0.658666696524637","0.718197737587566"
"3","2008","vocational + Abi","East Germany","122","0.756305148218832","0.690997243179168","0.821613053258496"
"3","2008","higher vocational","West Germany","736","0.702359191791256","0.674637749718637","0.730080633863874"
"3","2008","higher vocational","East Germany","282","0.747891648089506","0.704001491843576","0.791781804335436"
"3","2008","higher education","West Germany","2047","0.665365906759834","0.648361387004518","0.682370426515151"
"3","2008","higher education","East Germany","897","0.726519343521551","0.701729476855657","0.751309210187446"
"4","2008","in school","West Germany","44","0.10776129444015","0.0787222069558526","0.136800381924447"
"4","2008","in school","East Germany","7","","",""
"4","2008","inadequately","West Germany","4","","",""
"4","2008","inadequately","East Germany","2","","",""
"4","2008","general elemantary","West Germany","179","0.104307821872464","0.090084235562995","0.118531408181933"
"4","2008","general elemantary","East Germany","24","","",""
"4","2008","middle vocational","West Germany","858","0.121440056312866","0.113919748108993","0.128960364516739"
"4","2008","middle vocational","East Germany","198","0.0746831317127615","0.0644092255082824","0.0849570379172405"
"4","2008","vocational + Abi","West Germany","91","0.104955768083951","0.0852573195821222","0.124654216585779"
"4","2008","vocational + Abi","East Germany","10","","",""
"4","2008","higher vocational","West Germany","136","0.109360291808858","0.0904381277805183","0.128282455837198"
"4","2008","higher vocational","East Germany","53","0.141724717327531","0.10647218893465","0.176977245720413"
"4","2008","higher education","West Germany","451","0.139258502785034","0.126781903192921","0.151735102377147"
"4","2008","higher education","East Germany","159","0.101597856716321","0.0847957029101252","0.118400010522517"
"5","2008","in school","West Germany","2","","",""
"5","2008","in school","East Germany","1","","",""
"5","2008","inadequately","West Germany","","","",""
"5","2008","inadequately","East Germany","","","",""
"5","2008","general elemantary","West Germany","34","0.0210863356080772","0.0144006794699346","0.0277719917462197"
"5","2008","general elemantary","East Germany","2","","",""
"5","2008","middle vocational","West Germany","151","0.0216021207468598","0.0182549728203989","0.0249492686733206"
"5","2008","middle vocational","East Germany","17","","",""
"5","2008","vocational + Abi","West Germany","11","","",""
"5","2008","vocational + Abi","East Germany","","","",""
"5","2008","higher vocational","West Germany","13","","",""
"5","2008","higher vocational","East Germany","7","","",""
"5","2008","higher education","West Germany","56","0.0175189301384108","0.0127910670429371","0.0222467932338845"
"5","2008","higher education","East Germany","19","","",""
"1","2009","in school","West Germany","9","","",""
"1","2009","in school","East Germany","4","","",""
"1","2009","inadequately","West Germany","11","","",""
"1","2009","inadequately","East Germany","2","","",""
"1","2009","general elemantary","West Germany","31","0.0220445665831869","0.0148047116900777","0.029284421476296"
"1","2009","general elemantary","East Germany","5","","",""
"1","2009","middle vocational","West Germany","85","0.0131989892617355","0.0104644276886082","0.0159335508348627"
"1","2009","middle vocational","East Germany","25","","",""
"1","2009","vocational + Abi","West Germany","14","","",""
"1","2009","vocational + Abi","East Germany","2","","",""
"1","2009","higher vocational","West Germany","10","","",""
"1","2009","higher vocational","East Germany","1","","",""
"1","2009","higher education","West Germany","33","0.0151132961521365","0.0106230752076083","0.0196035170966646"
"1","2009","higher education","East Germany","10","","",""
"2","2009","in school","West Germany","94","0.227424001499287","0.187619513160744","0.267228489837831"
"2","2009","in school","East Germany","14","","",""
"2","2009","inadequately","West Germany","18","","",""
"2","2009","inadequately","East Germany","4","","",""
"2","2009","general elemantary","West Germany","191","0.119956313995453","0.103935550125497","0.135977077865409"
"2","2009","general elemantary","East Germany","30","0.120591839951327","0.0816760225141959","0.159507657388459"
"2","2009","middle vocational","West Germany","807","0.129843997639301","0.121789989293875","0.137898005984726"
"2","2009","middle vocational","East Germany","295","0.143325510406717","0.129327068102594","0.157323952710839"
"2","2009","vocational + Abi","West Germany","153","0.192516739575159","0.165995412053257","0.219038067097061"
"2","2009","vocational + Abi","East Germany","34","0.245668936182263","0.177457295679803","0.313880576684723"
"2","2009","higher vocational","West Germany","139","0.147895285753768","0.125462448561474","0.170328122946062"
"2","2009","higher vocational","East Germany","34","0.114944011462576","0.082575537671909","0.147312485253243"
"2","2009","higher education","West Germany","397","0.191821370708084","0.177330410834187","0.206312330581982"
"2","2009","higher education","East Germany","144","0.14278951349752","0.123044095509284","0.162534931485755"
"3","2009","in school","West Germany","271","0.621848377344814","0.575799554965689","0.667897199723939"
"3","2009","in school","East Germany","53","0.742387376215202","0.646557272718515","0.83821747971189"
"3","2009","inadequately","West Germany","116","0.763768502093388","0.696462754964019","0.831074249222757"
"3","2009","inadequately","East Germany","8","","",""
