"hlf0071_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"A little too small","1987","(Married) couple without C. ","East Germany","","","",""
"A little too small","1987","Single parent ","West Germany","9","","",""
"A little too small","1987","Single parent ","East Germany","","","",""
"A little too small","1987","Couple + C. LE 16 ","West Germany","58","0.14601209873329","0.107201100624271","0.184823096842308"
"A little too small","1987","Couple + C. LE 16 ","East Germany","","","",""
"A little too small","1987","Couple + C. GT 16 ","West Germany","18","","",""
"A little too small","1987","Couple + C. GT 16 ","East Germany","","","",""
"A little too small","1987","Couple + C. LE and GT 16","West Germany","11","","",""
"A little too small","1987","Couple + C. LE and GT 16","East Germany","","","",""
"Just right","1987","1-pers.-HH","West Germany","135","0.73066547825801","0.666392584781629","0.79493837173439"
"Just right","1987","1-pers.-HH","East Germany","","","",""
"Just right","1987","(Married) couple without C. ","West Germany","223","0.797617265600492","0.751134587122379","0.844099944078604"
"Just right","1987","(Married) couple without C. ","East Germany","","","",""
"Just right","1987","Single parent ","West Germany","46","0.819453943632119","0.722127972924546","0.916779914339692"
"Just right","1987","Single parent ","East Germany","","","",""
"Just right","1987","Couple + C. LE 16 ","West Germany","237","0.76877115557876","0.722431364068736","0.815110947088784"
"Just right","1987","Couple + C. LE 16 ","East Germany","","","",""
"Just right","1987","Couple + C. GT 16 ","West Germany","56","0.690264330672839","0.594736445535623","0.785792215810056"
"Just right","1987","Couple + C. GT 16 ","East Germany","","","",""
"Just right","1987","Couple + C. LE and GT 16","West Germany","57","0.918367550460018","0.853289682871929","0.983445418048107"
"Just right","1987","Couple + C. LE and GT 16","East Germany","","","",""
"A little too big","1987","1-pers.-HH","West Germany","12","","",""
"A little too big","1987","1-pers.-HH","East Germany","","","",""
"A little too big","1987","(Married) couple without C. ","West Germany","29","","",""
"A little too big","1987","(Married) couple without C. ","East Germany","","","",""
"A little too big","1987","Single parent ","West Germany","","","",""
"A little too big","1987","Single parent ","East Germany","","","",""
"A little too big","1987","Couple + C. LE 16 ","West Germany","10","","",""
"A little too big","1987","Couple + C. LE 16 ","East Germany","","","",""
"A little too big","1987","Couple + C. GT 16 ","West Germany","6","","",""
"A little too big","1987","Couple + C. GT 16 ","East Germany","","","",""
"A little too big","1987","Couple + C. LE and GT 16","West Germany","","","",""
"A little too big","1987","Couple + C. LE and GT 16","East Germany","","","",""
"Much too big","1987","1-pers.-HH","West Germany","1","","",""
"Much too big","1987","1-pers.-HH","East Germany","","","",""
"Much too big","1987","(Married) couple without C. ","West Germany","","","",""
"Much too big","1987","(Married) couple without C. ","East Germany","","","",""
"Much too big","1987","Single parent ","West Germany","3","","",""
"Much too big","1987","Single parent ","East Germany","","","",""
"Much too big","1987","Couple + C. LE 16 ","West Germany","","","",""
"Much too big","1987","Couple + C. LE 16 ","East Germany","","","",""
"Much too big","1987","Couple + C. GT 16 ","West Germany","","","",""
"Much too big","1987","Couple + C. GT 16 ","East Germany","","","",""
"Much too big","1987","Couple + C. LE and GT 16","West Germany","","","",""
"Much too big","1987","Couple + C. LE and GT 16","East Germany","","","",""
"Much too small","1988","1-pers.-HH","West Germany","8","","",""
"Much too small","1988","1-pers.-HH","East Germany","","","",""
"Much too small","1988","(Married) couple without C. ","West Germany","12","","",""
"Much too small","1988","(Married) couple without C. ","East Germany","","","",""
"Much too small","1988","Single parent ","West Germany","1","","",""
"Much too small","1988","Single parent ","East Germany","","","",""
"Much too small","1988","Couple + C. LE 16 ","West Germany","8","","",""
"Much too small","1988","Couple + C. LE 16 ","East Germany","","","",""
"Much too small","1988","Couple + C. GT 16 ","West Germany","2","","",""
"Much too small","1988","Couple + C. GT 16 ","East Germany","","","",""
"Much too small","1988","Couple + C. LE and GT 16","West Germany","","","",""
"Much too small","1988","Couple + C. LE and GT 16","East Germany","","","",""
"A little too small","1988","1-pers.-HH","West Germany","30","0.203569942822181","0.141179402329402","0.26596048331496"
"A little too small","1988","1-pers.-HH","East Germany","","","",""
"A little too small","1988","(Married) couple without C. ","West Germany","47","0.155531722242117","0.115318214759405","0.195745229724829"
"A little too small","1988","(Married) couple without C. ","East Germany","","","",""
"A little too small","1988","Single parent ","West Germany","18","","",""
"A little too small","1988","Single parent ","East Germany","","","",""
