"hlf0071_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Much too big","2018","West Germany","Female","169","0.0205231688625681","0.0180266679402886","0.0230196697848477"
"Much too big","2018","East Germany","Male","20","","",""
"Much too big","2018","East Germany","Female","28","","",""
"Much too small","2019","West Germany","Male","476","0.0228756812158611","0.0201523952536078","0.0255989671781145"
"Much too small","2019","West Germany","Female","472","0.0193291216456513","0.0168590782781715","0.0217991650131311"
"Much too small","2019","East Germany","Male","83","0.0194510906564113","0.0144784294094948","0.0244237519033278"
"Much too small","2019","East Germany","Female","77","0.0183478432373395","0.0136715560313233","0.0230241304433557"
"A little too small","2019","West Germany","Male","1595","0.12275431278199","0.116776940312758","0.128731685251222"
"A little too small","2019","West Germany","Female","1652","0.113815491572582","0.108117790696321","0.119513192448842"
"A little too small","2019","East Germany","Male","409","0.121761634666332","0.109987101352501","0.133536167980163"
"A little too small","2019","East Germany","Female","447","0.122779827345666","0.111344524574009","0.134215130117323"
"Just right","2019","West Germany","Male","7985","0.702030847764253","0.693699887386571","0.710361808141935"
"Just right","2019","West Germany","Female","8229","0.70699679711048","0.698831315851143","0.715162278369817"
"Just right","2019","East Germany","Male","2126","0.745143890807559","0.729452918275249","0.760834863339869"
"Just right","2019","East Germany","Female","2278","0.742875940650957","0.727647362438213","0.758104518863701"
"A little too big","2019","West Germany","Male","1313","0.134169337775508","0.127961012866854","0.140377662684162"
"A little too big","2019","West Germany","Female","1380","0.139410807961384","0.133196639174489","0.145624976748279"
"A little too big","2019","East Germany","Male","315","0.10908294167494","0.0978581232863932","0.120307760063486"
"A little too big","2019","East Germany","Female","334","0.111958226883739","0.100971342430627","0.122945111336851"
"Much too big","2019","West Germany","Male","209","0.0181698204623877","0.0157369172878481","0.0206027236369273"
"Much too big","2019","West Germany","Female","202","0.0204477817099025","0.0179087169628577","0.0229868464569472"
"Much too big","2019","East Germany","Male","30","0.00456044219475752","0.00213442882179988","0.00698645556771516"
"Much too big","2019","East Germany","Female","28","","",""
