"plj0014_v3","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2009","Hesse","vocational + Abi","7","","",""
"No","2009","Hesse","higher vocational","1","","",""
"No","2009","Hesse","higher education","20","","",""
"No","2009","Rhineland-Palatinate,Saarland","in school","1","","",""
"No","2009","Rhineland-Palatinate,Saarland","inadequately","5","","",""
"No","2009","Rhineland-Palatinate,Saarland","general elemantary","20","","",""
"No","2009","Rhineland-Palatinate,Saarland","middle vocational","19","","",""
"No","2009","Rhineland-Palatinate,Saarland","vocational + Abi","3","","",""
"No","2009","Rhineland-Palatinate,Saarland","higher vocational","1","","",""
"No","2009","Rhineland-Palatinate,Saarland","higher education","8","","",""
"No","2009","Baden-Württemberg","in school","2","","",""
"No","2009","Baden-Württemberg","inadequately","22","","",""
"No","2009","Baden-Württemberg","general elemantary","77","0.260018025737664","0.208268562619422","0.311767488855905"
"No","2009","Baden-Württemberg","middle vocational","85","0.120251470097256","0.100182412470807","0.140320527723704"
"No","2009","Baden-Württemberg","vocational + Abi","21","","",""
"No","2009","Baden-Württemberg","higher vocational","15","","",""
"No","2009","Baden-Württemberg","higher education","20","","",""
"No","2009","Bavaria","in school","","","",""
"No","2009","Bavaria","inadequately","10","","",""
"No","2009","Bavaria","general elemantary","43","0.195579257022857","0.148869110143991","0.242289403901722"
"No","2009","Bavaria","middle vocational","61","0.0819809195920434","0.0674435012252939","0.0965183379587929"
"No","2009","Bavaria","vocational + Abi","17","","",""
"No","2009","Bavaria","higher vocational","8","","",""
"No","2009","Bavaria","higher education","22","","",""
"No","2009","Berlin","in school","","","",""
"No","2009","Berlin","inadequately","2","","",""
"No","2009","Berlin","general elemantary","6","","",""
"No","2009","Berlin","middle vocational","6","","",""
"No","2009","Berlin","vocational + Abi","3","","",""
"No","2009","Berlin","higher vocational","1","","",""
"No","2009","Berlin","higher education","14","","",""
"No","2009","Brandenburg","in school","","","",""
"No","2009","Brandenburg","inadequately","","","",""
"No","2009","Brandenburg","general elemantary","3","","",""
"No","2009","Brandenburg","middle vocational","1","","",""
"No","2009","Brandenburg","vocational + Abi","","","",""
"No","2009","Brandenburg","higher vocational","1","","",""
"No","2009","Brandenburg","higher education","","","",""
"No","2009","Mecklenburg-Western Pomerania","in school","","","",""
"No","2009","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","2009","Mecklenburg-Western Pomerania","general elemantary","","","",""
"No","2009","Mecklenburg-Western Pomerania","middle vocational","","","",""
"No","2009","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"No","2009","Mecklenburg-Western Pomerania","higher vocational","","","",""
"No","2009","Mecklenburg-Western Pomerania","higher education","","","",""
"No","2009","Saxony","in school","","","",""
"No","2009","Saxony","inadequately","","","",""
"No","2009","Saxony","general elemantary","","","",""
"No","2009","Saxony","middle vocational","1","","",""
"No","2009","Saxony","vocational + Abi","1","","",""
"No","2009","Saxony","higher vocational","","","",""
"No","2009","Saxony","higher education","3","","",""
"No","2009","Saxony-Anhalt","in school","","","",""
"No","2009","Saxony-Anhalt","inadequately","","","",""
"No","2009","Saxony-Anhalt","general elemantary","","","",""
"No","2009","Saxony-Anhalt","middle vocational","","","",""
"No","2009","Saxony-Anhalt","vocational + Abi","","","",""
"No","2009","Saxony-Anhalt","higher vocational","","","",""
"No","2009","Saxony-Anhalt","higher education","","","",""
"No","2009","Thuringia","in school","","","",""
"No","2009","Thuringia","inadequately","","","",""
"No","2009","Thuringia","general elemantary","","","",""
"No","2009","Thuringia","middle vocational","","","",""
"No","2009","Thuringia","vocational + Abi","1","","",""
"No","2009","Thuringia","higher vocational","","","",""
"No","2009","Thuringia","higher education","1","","",""
"Yes","2010","Schleswig-Holstein","in school","14","","",""
"Yes","2010","Schleswig-Holstein","inadequately","9","","",""
"Yes","2010","Schleswig-Holstein","general elemantary","73","0.871950521481807","0.798729138831681","0.945171904131934"
"Yes","2010","Schleswig-Holstein","middle vocational","361","0.976024222957265","0.960437174960761","0.991611270953769"
"Yes","2010","Schleswig-Holstein","vocational + Abi","60","0.963805215127588","0.918046297852935","1.00956413240224"
"Yes","2010","Schleswig-Holstein","higher vocational","53","0.97813788033034","0.93949113556425","1.01678462509643"
"Yes","2010","Schleswig-Holstein","higher education","121","0.964029046326962","0.932018178318783","0.996039914335141"
"Yes","2010","Hamburg","in school","6","","",""
"Yes","2010","Hamburg","inadequately","","","",""
"Yes","2010","Hamburg","general elemantary","17","","",""
"Yes","2010","Hamburg","middle vocational","153","0.969158676604088","0.942698659916357","0.995618693291819"
"Yes","2010","Hamburg","vocational + Abi","35","0.984940279794622","0.946217217611578","1.02366334197767"
"Yes","2010","Hamburg","higher vocational","28","","",""
"Yes","2010","Hamburg","higher education","117","0.992891125169612","0.977796377468771","1.00798587287045"
"Yes","2010","Lower Saxony","in school","42","0.800064076412311","0.686919100514932","0.91320905230969"
"Yes","2010","Lower Saxony","inadequately","19","","",""
"Yes","2010","Lower Saxony","general elemantary","236","0.927359624968085","0.895932071340922","0.958787178595249"
"Yes","2010","Lower Saxony","middle vocational","1086","0.952708437123128","0.940249456903473","0.965167417342782"
"Yes","2010","Lower Saxony","vocational + Abi","144","0.890317774621777","0.841745305875568","0.938890243367987"
"Yes","2010","Lower Saxony","higher vocational","130","0.954407330598209","0.918955663381605","0.989858997814814"
"Yes","2010","Lower Saxony","higher education","404","0.924021163438374","0.898711036589045","0.949331290287703"
"Yes","2010","Bremen","in school","6","","",""
"Yes","2010","Bremen","inadequately","2","","",""
"Yes","2010","Bremen","general elemantary","18","","",""
"Yes","2010","Bremen","middle vocational","73","0.980027376808753","0.948573226844429","1.01148152677308"
"Yes","2010","Bremen","vocational + Abi","13","","",""
"Yes","2010","Bremen","higher vocational","5","","",""
"Yes","2010","Bremen","higher education","45","0.938039367668258","0.870537078005422","1.00554165733109"
"Yes","2010","North Rhine-Westphalia","in school","103","0.869984294366342","0.807974186871911","0.931994401860773"
"Yes","2010","North Rhine-Westphalia","inadequately","65","0.59610276151815","0.507192647140506","0.685012875895793"
"Yes","2010","North Rhine-Westphalia","general elemantary","478","0.78050002468216","0.748382545588512","0.812617503775808"
"Yes","2010","North Rhine-Westphalia","middle vocational","2097","0.926319842274811","0.915539456550052","0.937100227999569"
"Yes","2010","North Rhine-Westphalia","vocational + Abi","462","0.929710486716146","0.907190681778984","0.952230291653308"
"Yes","2010","North Rhine-Westphalia","higher vocational","290","0.941174059139148","0.914592266947791","0.967755851330505"
"Yes","2010","North Rhine-Westphalia","higher education","931","0.901935742919702","0.883512154519249","0.920359331320154"
"Yes","2010","Hesse","in school","31","0.845957659072905","0.720883534981603","0.971031783164207"
"Yes","2010","Hesse","inadequately","11","","",""
"Yes","2010","Hesse","general elemantary","132","0.753472416952523","0.687308573266874","0.819636260638171"
"Yes","2010","Hesse","middle vocational","671","0.894602951151421","0.872388813961852","0.916817088340991"
"Yes","2010","Hesse","vocational + Abi","130","0.92596598327221","0.883052551636305","0.968879414908114"
"Yes","2010","Hesse","higher vocational","89","0.986324414217925","0.962330025133722","1.01031880330213"
"Yes","2010","Hesse","higher education","430","0.88588013719061","0.857195775219903","0.914564499161318"
"Yes","2010","Rhineland-Palatinate,Saarland","in school","15","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","inadequately","12","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","general elemantary","177","0.813299114244761","0.759694964603334","0.866903263886187"
"Yes","2010","Rhineland-Palatinate,Saarland","middle vocational","647","0.921766754493791","0.901493459649943","0.942040049337639"
"Yes","2010","Rhineland-Palatinate,Saarland","vocational + Abi","81","0.935783502140307","0.884566075318811","0.987000928961803"
"Yes","2010","Rhineland-Palatinate,Saarland","higher vocational","94","0.985674353532198","0.961903962970171","1.00944474409422"
"Yes","2010","Rhineland-Palatinate,Saarland","higher education","208","0.933286820372893","0.900536990672372","0.966036650073414"
"Yes","2010","Baden-Württemberg","in school","46","0.934561186545521","0.866014784007343","1.0031075890837"
"Yes","2010","Baden-Württemberg","inadequately","17","","",""
"Yes","2010","Baden-Württemberg","general elemantary","256","0.734463233661808","0.68752183844314","0.781404628880477"
"Yes","2010","Baden-Württemberg","middle vocational","1250","0.878423601713828","0.861080868613901","0.895766334813756"
"Yes","2010","Baden-Württemberg","vocational + Abi","163","0.817545166207261","0.763612915796351","0.871477416618171"
"Yes","2010","Baden-Württemberg","higher vocational","193","0.908565426904029","0.869110205509115","0.948020648298943"
"Yes","2010","Baden-Württemberg","higher education","621","0.891160957854302","0.867596510317936","0.914725405390668"
"Yes","2010","Bavaria","in school","67","0.961562754997783","0.916526319139288","1.00659919085628"
"Yes","2010","Bavaria","inadequately","19","","",""
"Yes","2010","Bavaria","general elemantary","297","0.780076725314483","0.737290783366315","0.82286266726265"
"Yes","2010","Bavaria","middle vocational","1823","0.923065323607867","0.911104804524106","0.935025842691628"
"Yes","2010","Bavaria","vocational + Abi","192","0.781052899687708","0.72603195439422","0.836073844981196"
"Yes","2010","Bavaria","higher vocational","247","0.905905949092293","0.870349298188274","0.941462599996312"
"Yes","2010","Bavaria","higher education","660","0.899348969669447","0.877171519232885","0.921526420106008"
"Yes","2010","Berlin","in school","16","","",""
"Yes","2010","Berlin","inadequately","13","","",""
"Yes","2010","Berlin","general elemantary","62","0.879690313005487","0.804545839478179","0.954834786532795"
"Yes","2010","Berlin","middle vocational","333","0.965929631899792","0.946759282554304","0.985099981245281"
"Yes","2010","Berlin","vocational + Abi","47","0.839687945052967","0.745265303950335","0.9341105861556"
"Yes","2010","Berlin","higher vocational","55","0.932834922354744","0.867854157047946","0.997815687661543"
"Yes","2010","Berlin","higher education","325","0.918115069322258","0.88938976624812","0.946840372396395"
"Yes","2010","Brandenburg","in school","15","","",""
"Yes","2010","Brandenburg","inadequately","3","","",""
"Yes","2010","Brandenburg","general elemantary","62","0.978203384892942","0.942146606176648","1.01426016360924"
"Yes","2010","Brandenburg","middle vocational","477","0.996359273690204","0.990976854073042","1.00174169330737"
"Yes","2010","Brandenburg","vocational + Abi","60","0.938833930708401","0.879185101866929","0.998482759549873"
"Yes","2010","Brandenburg","higher vocational","68","1","1","1"
"Yes","2010","Brandenburg","higher education","256","0.99467518879195","0.98579482028976","1.00355555729414"
"Yes","2010","Mecklenburg-Western Pomerania","in school","8","","",""
"Yes","2010","Mecklenburg-Western Pomerania","inadequately","8","","",""
"Yes","2010","Mecklenburg-Western Pomerania","general elemantary","32","1","1","1"
"Yes","2010","Mecklenburg-Western Pomerania","middle vocational","327","0.995285791051188","0.987884142531322","1.00268743957105"
"Yes","2010","Mecklenburg-Western Pomerania","vocational + Abi","20","","",""
"Yes","2010","Mecklenburg-Western Pomerania","higher vocational","42","1","1","1"
"Yes","2010","Mecklenburg-Western Pomerania","higher education","146","1","1","1"
"Yes","2010","Saxony","in school","11","","",""
"Yes","2010","Saxony","inadequately","7","","",""
"Yes","2010","Saxony","general elemantary","96","0.997911911299431","0.988827792633883","1.00699602996498"
"Yes","2010","Saxony","middle vocational","909","0.985386127458052","0.977610715224822","0.993161539691282"
"Yes","2010","Saxony","vocational + Abi","77","0.966756566199896","0.926972213780388","1.0065409186194"
"Yes","2010","Saxony","higher vocational","138","1","1","1"
"Yes","2010","Saxony","higher education","419","0.984338335466812","0.972506038375944","0.99617063255768"
"Yes","2010","Saxony-Anhalt","in school","6","","",""
"Yes","2010","Saxony-Anhalt","inadequately","9","","",""
"Yes","2010","Saxony-Anhalt","general elemantary","62","0.982136862839377","0.950181702895724","1.01409202278303"
"Yes","2010","Saxony-Anhalt","middle vocational","491","0.999745229609648","0.998335016699724","1.00115544251957"
"Yes","2010","Saxony-Anhalt","vocational + Abi","43","0.977990371801333","0.934639743578934","1.02134100002373"
"Yes","2010","Saxony-Anhalt","higher vocational","78","1","1","1"
"Yes","2010","Saxony-Anhalt","higher education","205","1","1","1"
"Yes","2010","Thuringia","in school","3","","",""
"Yes","2010","Thuringia","inadequately","2","","",""
"Yes","2010","Thuringia","general elemantary","50","1","1","1"
"Yes","2010","Thuringia","middle vocational","578","1","1","1"
"Yes","2010","Thuringia","vocational + Abi","36","1","1","1"
"Yes","2010","Thuringia","higher vocational","62","1","1","1"
"Yes","2010","Thuringia","higher education","205","0.977062180188588","0.95686252140557","0.997261838971607"
"No","2010","Schleswig-Holstein","in school","","","",""
"No","2010","Schleswig-Holstein","inadequately","5","","",""
"No","2010","Schleswig-Holstein","general elemantary","7","","",""
"No","2010","Schleswig-Holstein","middle vocational","9","","",""
"No","2010","Schleswig-Holstein","vocational + Abi","4","","",""
"No","2010","Schleswig-Holstein","higher vocational","2","","",""
"No","2010","Schleswig-Holstein","higher education","9","","",""
"No","2010","Hamburg","in school","","","",""
"No","2010","Hamburg","inadequately","2","","",""
"No","2010","Hamburg","general elemantary","9","","",""
"No","2010","Hamburg","middle vocational","11","","",""
"No","2010","Hamburg","vocational + Abi","3","","",""
"No","2010","Hamburg","higher vocational","2","","",""
"No","2010","Hamburg","higher education","2","","",""
"No","2010","Lower Saxony","in school","6","","",""
"No","2010","Lower Saxony","inadequately","15","","",""
"No","2010","Lower Saxony","general elemantary","26","","",""
"No","2010","Lower Saxony","middle vocational","29","","",""
"No","2010","Lower Saxony","vocational + Abi","15","","",""
"No","2010","Lower Saxony","higher vocational","3","","",""
"No","2010","Lower Saxony","higher education","17","","",""
"No","2010","Bremen","in school","","","",""
"No","2010","Bremen","inadequately","","","",""
"No","2010","Bremen","general elemantary","","","",""
"No","2010","Bremen","middle vocational","3","","",""
"No","2010","Bremen","vocational + Abi","1","","",""
"No","2010","Bremen","higher vocational","","","",""
"No","2010","Bremen","higher education","4","","",""
"No","2010","North Rhine-Westphalia","in school","10","","",""
"No","2010","North Rhine-Westphalia","inadequately","52","0.40389723848185","0.314987124104207","0.492807352859493"
"No","2010","North Rhine-Westphalia","general elemantary","160","0.21949997531784","0.187382496224192","0.251617454411488"
"No","2010","North Rhine-Westphalia","middle vocational","159","0.0736801577251892","0.0628997720004306","0.0844605434499478"
"No","2010","North Rhine-Westphalia","vocational + Abi","33","0.0702895132838542","0.0477697083466923","0.092809318221016"
"No","2010","North Rhine-Westphalia","higher vocational","11","","",""
"No","2010","North Rhine-Westphalia","higher education","70","0.0980642570802983","0.0796406686798458","0.116487845480751"
"No","2010","Hesse","in school","1","","",""
"No","2010","Hesse","inadequately","16","","",""
"No","2010","Hesse","general elemantary","31","0.246527583047477","0.180363739361829","0.312691426733126"
"No","2010","Hesse","middle vocational","63","0.105397048848579","0.0831829116590092","0.127611186038148"
"No","2010","Hesse","vocational + Abi","13","","",""
"No","2010","Hesse","higher vocational","1","","",""
"No","2010","Hesse","higher education","42","0.11411986280939","0.0854355008386823","0.142804224780097"
"No","2010","Rhineland-Palatinate,Saarland","in school","3","","",""
"No","2010","Rhineland-Palatinate,Saarland","inadequately","9","","",""
"No","2010","Rhineland-Palatinate,Saarland","general elemantary","26","","",""
"No","2010","Rhineland-Palatinate,Saarland","middle vocational","27","","",""
"No","2010","Rhineland-Palatinate,Saarland","vocational + Abi","7","","",""
"No","2010","Rhineland-Palatinate,Saarland","higher vocational","2","","",""
"No","2010","Rhineland-Palatinate,Saarland","higher education","15","","",""
"No","2010","Baden-Württemberg","in school","4","","",""
"No","2010","Baden-Württemberg","inadequately","27","","",""
"No","2010","Baden-Württemberg","general elemantary","84","0.265536766338192","0.218595371119523","0.31247816155686"
"No","2010","Baden-Württemberg","middle vocational","114","0.121576398286172","0.104233665186244","0.138919131386099"
"No","2010","Baden-Württemberg","vocational + Abi","34","0.182454833792739","0.128522583381829","0.236387084203649"
"No","2010","Baden-Württemberg","higher vocational","12","","",""
"No","2010","Baden-Württemberg","higher education","50","0.108839042145698","0.0852745946093319","0.132403489682064"
"No","2010","Bavaria","in school","3","","",""
"No","2010","Bavaria","inadequately","16","","",""
"No","2010","Bavaria","general elemantary","63","0.219923274685518","0.17713733273735","0.262709216633685"
"No","2010","Bavaria","middle vocational","84","0.0769346763921333","0.0649741573083724","0.0888951954758941"
"No","2010","Bavaria","vocational + Abi","25","","",""
"No","2010","Bavaria","higher vocational","12","","",""
"No","2010","Bavaria","higher education","47","0.100651030330553","0.0784735798939922","0.122828480767115"
"No","2010","Berlin","in school","","","",""
"No","2010","Berlin","inadequately","8","","",""
"No","2010","Berlin","general elemantary","10","","",""
"No","2010","Berlin","middle vocational","11","","",""
"No","2010","Berlin","vocational + Abi","11","","",""
"No","2010","Berlin","higher vocational","2","","",""
"No","2010","Berlin","higher education","25","","",""
"No","2010","Brandenburg","in school","","","",""
"No","2010","Brandenburg","inadequately","","","",""
"No","2010","Brandenburg","general elemantary","1","","",""
"No","2010","Brandenburg","middle vocational","4","","",""
"No","2010","Brandenburg","vocational + Abi","2","","",""
"No","2010","Brandenburg","higher vocational","","","",""
"No","2010","Brandenburg","higher education","2","","",""
"No","2010","Mecklenburg-Western Pomerania","in school","","","",""
"No","2010","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","2010","Mecklenburg-Western Pomerania","general elemantary","","","",""
"No","2010","Mecklenburg-Western Pomerania","middle vocational","2","","",""
"No","2010","Mecklenburg-Western Pomerania","vocational + Abi","2","","",""
"No","2010","Mecklenburg-Western Pomerania","higher vocational","","","",""
"No","2010","Mecklenburg-Western Pomerania","higher education","","","",""
"No","2010","Saxony","in school","","","",""
"No","2010","Saxony","inadequately","","","",""
"No","2010","Saxony","general elemantary","1","","",""
"No","2010","Saxony","middle vocational","6","","",""
"No","2010","Saxony","vocational + Abi","1","","",""
"No","2010","Saxony","higher vocational","","","",""
"No","2010","Saxony","higher education","4","","",""
"No","2010","Saxony-Anhalt","in school","","","",""
"No","2010","Saxony-Anhalt","inadequately","","","",""
"No","2010","Saxony-Anhalt","general elemantary","4","","",""
"No","2010","Saxony-Anhalt","middle vocational","1","","",""
"No","2010","Saxony-Anhalt","vocational + Abi","1","","",""
"No","2010","Saxony-Anhalt","higher vocational","","","",""
"No","2010","Saxony-Anhalt","higher education","","","",""
"No","2010","Thuringia","in school","","","",""
"No","2010","Thuringia","inadequately","","","",""
"No","2010","Thuringia","general elemantary","","","",""
"No","2010","Thuringia","middle vocational","","","",""
"No","2010","Thuringia","vocational + Abi","","","",""
"No","2010","Thuringia","higher vocational","","","",""
"No","2010","Thuringia","higher education","6","","",""
"Yes","2011","Schleswig-Holstein","in school","16","","",""
"Yes","2011","Schleswig-Holstein","inadequately","7","","",""
"Yes","2011","Schleswig-Holstein","general elemantary","76","0.863979444862676","0.78885918629589","0.939099703429462"
"Yes","2011","Schleswig-Holstein","middle vocational","375","0.954506717567012","0.933691504657143","0.975321930476882"
"Yes","2011","Schleswig-Holstein","vocational + Abi","51","1","1","1"
"Yes","2011","Schleswig-Holstein","higher vocational","46","0.980851776605384","0.942081990352228","1.01962156285854"
"Yes","2011","Schleswig-Holstein","higher education","108","0.949062299123952","0.908342454713694","0.989782143534211"
"Yes","2011","Hamburg","in school","6","","",""
"Yes","2011","Hamburg","inadequately","1","","",""
"Yes","2011","Hamburg","general elemantary","19","","",""
"Yes","2011","Hamburg","middle vocational","137","0.977306939856091","0.952898383394073","1.00171549631811"
"Yes","2011","Hamburg","vocational + Abi","27","","",""
"Yes","2011","Hamburg","higher vocational","23","","",""
"Yes","2011","Hamburg","higher education","101","0.999656679799168","0.996061479259586","1.00325188033875"
"Yes","2011","Lower Saxony","in school","36","0.974775003294708","0.925561584214365","1.02398842237505"
"Yes","2011","Lower Saxony","inadequately","20","","",""
"Yes","2011","Lower Saxony","general elemantary","230","0.940542551377947","0.911170060588126","0.969915042167769"
"Yes","2011","Lower Saxony","middle vocational","1066","0.959643438960772","0.947971344420969","0.971315533500574"
"Yes","2011","Lower Saxony","vocational + Abi","117","0.974247081246277","0.9461399862679","1.00235417622465"
"Yes","2011","Lower Saxony","higher vocational","120","0.935242070303147","0.891750605947832","0.978733534658463"
"Yes","2011","Lower Saxony","higher education","369","0.927624961995453","0.901469762812543","0.953780161178362"
"Yes","2011","Bremen","in school","2","","",""
"Yes","2011","Bremen","inadequately","","","",""
"Yes","2011","Bremen","general elemantary","11","","",""
"Yes","2011","Bremen","middle vocational","66","0.985449200297407","0.956776325281784","1.01412207531303"
"Yes","2011","Bremen","vocational + Abi","12","","",""
"Yes","2011","Bremen","higher vocational","4","","",""
"Yes","2011","Bremen","higher education","34","0.93261419116665","0.851838169155966","1.01339021317733"
"Yes","2011","North Rhine-Westphalia","in school","91","0.865901063737806","0.798088677511201","0.933713449964411"
"Yes","2011","North Rhine-Westphalia","inadequately","54","0.638238327171702","0.536683263600969","0.739793390742435"
"Yes","2011","North Rhine-Westphalia","general elemantary","428","0.851436814420418","0.820478598488051","0.882395030352785"
"Yes","2011","North Rhine-Westphalia","middle vocational","2007","0.92576636222036","0.914612469289562","0.936920255151159"
"Yes","2011","North Rhine-Westphalia","vocational + Abi","360","0.905462596469165","0.876161370170769","0.934763822767562"
"Yes","2011","North Rhine-Westphalia","higher vocational","260","0.937280905543115","0.908307020979868","0.966254790106363"
"Yes","2011","North Rhine-Westphalia","higher education","863","0.912494368189461","0.894104545314081","0.930884191064841"
"Yes","2011","Hesse","in school","36","0.89017681868448","0.789429759184623","0.990923878184337"
"Yes","2011","Hesse","inadequately","11","","",""
"Yes","2011","Hesse","general elemantary","135","0.805601901235777","0.743896128492256","0.867307673979297"
"Yes","2011","Hesse","middle vocational","608","0.900137191823096","0.877176568105975","0.923097815540218"
"Yes","2011","Hesse","vocational + Abi","115","0.933636356221133","0.889824541974591","0.977448170467676"
"Yes","2011","Hesse","higher vocational","89","0.986369654265481","0.962676249997385","1.01006305853358"
"Yes","2011","Hesse","higher education","384","0.926374089057774","0.900812700333646","0.951935477781902"
"Yes","2011","Rhineland-Palatinate,Saarland","in school","15","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","inadequately","10","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","general elemantary","180","0.846090031133833","0.796448892294952","0.895731169972714"
"Yes","2011","Rhineland-Palatinate,Saarland","middle vocational","622","0.924432776056683","0.904129692666929","0.944735859446437"
"Yes","2011","Rhineland-Palatinate,Saarland","vocational + Abi","64","0.915320452911267","0.849630433179829","0.981010472642705"
"Yes","2011","Rhineland-Palatinate,Saarland","higher vocational","94","0.991338009581214","0.972801318897599","1.00987470026483"
"Yes","2011","Rhineland-Palatinate,Saarland","higher education","196","0.97025148691336","0.946937969763994","0.993565004062726"
"Yes","2011","Baden-Württemberg","in school","42","0.89717110387996","0.809397404941942","0.984944802817979"
"Yes","2011","Baden-Württemberg","inadequately","17","","",""
"Yes","2011","Baden-Württemberg","general elemantary","281","0.77561628638893","0.732280945454597","0.818951627323263"
"Yes","2011","Baden-Württemberg","middle vocational","1202","0.920804383719286","0.906004882485495","0.935603884953077"
"Yes","2011","Baden-Württemberg","vocational + Abi","161","0.857734424062892","0.806844109316071","0.908624738809712"
"Yes","2011","Baden-Württemberg","higher vocational","182","0.934388569741706","0.899636210225554","0.969140929257858"
"Yes","2011","Baden-Württemberg","higher education","565","0.914880340505163","0.892495293434958","0.937265387575367"
"Yes","2011","Bavaria","in school","45","0.988909549599753","0.958645847558387","1.01917325164112"
"Yes","2011","Bavaria","inadequately","23","","",""
"Yes","2011","Bavaria","general elemantary","331","0.858258138275204","0.822427426895918","0.89408884965449"
"Yes","2011","Bavaria","middle vocational","1740","0.930215750500069","0.918484628675956","0.941946872324182"
"Yes","2011","Bavaria","vocational + Abi","162","0.844534909450199","0.792179154701724","0.896890664198674"
"Yes","2011","Bavaria","higher vocational","245","0.922898082612257","0.890028265214435","0.955767900010079"
"Yes","2011","Bavaria","higher education","675","0.908081506580365","0.886830339735151","0.929332673425579"
"Yes","2011","Berlin","in school","13","","",""
"Yes","2011","Berlin","inadequately","7","","",""
"Yes","2011","Berlin","general elemantary","49","0.940656917924137","0.87644034934503","1.00487348650324"
"Yes","2011","Berlin","middle vocational","327","0.974728770091801","0.957896994222974","0.991560545960628"
"Yes","2011","Berlin","vocational + Abi","34","0.868824847483809","0.762873205196861","0.974776489770756"
"Yes","2011","Berlin","higher vocational","63","0.985049606696713","0.955318336489019","1.01478087690441"
"Yes","2011","Berlin","higher education","292","0.95172010501978","0.927819624551584","0.975620585487976"
"Yes","2011","Brandenburg","in school","13","","",""
"Yes","2011","Brandenburg","inadequately","4","","",""
"Yes","2011","Brandenburg","general elemantary","78","0.974609824209582","0.9401390257053","1.00908062271386"
"Yes","2011","Brandenburg","middle vocational","457","0.999749609017816","0.998300602578816","1.00119861545682"
"Yes","2011","Brandenburg","vocational + Abi","40","0.962184025798067","0.904495404009338","1.0198726475868"
"Yes","2011","Brandenburg","higher vocational","66","1","1","1"
"Yes","2011","Brandenburg","higher education","257","0.995042599377989","0.986472495549897","1.00361270320608"
"Yes","2011","Mecklenburg-Western Pomerania","in school","6","","",""
"Yes","2011","Mecklenburg-Western Pomerania","inadequately","7","","",""
"Yes","2011","Mecklenburg-Western Pomerania","general elemantary","28","","",""
"Yes","2011","Mecklenburg-Western Pomerania","middle vocational","271","1","1","1"
"Yes","2011","Mecklenburg-Western Pomerania","vocational + Abi","15","","",""
"Yes","2011","Mecklenburg-Western Pomerania","higher vocational","51","1","1","1"
"Yes","2011","Mecklenburg-Western Pomerania","higher education","148","1","1","1"
"Yes","2011","Saxony","in school","9","","",""
"Yes","2011","Saxony","inadequately","2","","",""
"Yes","2011","Saxony","general elemantary","74","0.990256652628491","0.968026346829939","1.01248695842704"
"Yes","2011","Saxony","middle vocational","816","0.984610887187401","0.976175392666816","0.993046381707986"
"Yes","2011","Saxony","vocational + Abi","60","0.971739023967571","0.930489338005201","1.01298870992994"
"Yes","2011","Saxony","higher vocational","123","1","1","1"
"Yes","2011","Saxony","higher education","364","0.989061173461913","0.978419449157172","0.999702897766653"
"Yes","2011","Saxony-Anhalt","in school","4","","",""
"Yes","2011","Saxony-Anhalt","inadequately","9","","",""
"Yes","2011","Saxony-Anhalt","general elemantary","64","1","1","1"
"Yes","2011","Saxony-Anhalt","middle vocational","490","1","1","1"
"Yes","2011","Saxony-Anhalt","vocational + Abi","32","1","1","1"
"Yes","2011","Saxony-Anhalt","higher vocational","73","1","1","1"
"Yes","2011","Saxony-Anhalt","higher education","229","1","1","1"
"Yes","2011","Thuringia","in school","5","","",""
"Yes","2011","Thuringia","inadequately","7","","",""
"Yes","2011","Thuringia","general elemantary","43","1","1","1"
"Yes","2011","Thuringia","middle vocational","575","1","1","1"
"Yes","2011","Thuringia","vocational + Abi","29","","",""
"Yes","2011","Thuringia","higher vocational","71","1","1","1"
"Yes","2011","Thuringia","higher education","192","0.990016166895069","0.975989992445817","1.00404234134432"
"No","2011","Schleswig-Holstein","in school","","","",""
"No","2011","Schleswig-Holstein","inadequately","2","","",""
"No","2011","Schleswig-Holstein","general elemantary","4","","",""
"No","2011","Schleswig-Holstein","middle vocational","10","","",""
"No","2011","Schleswig-Holstein","vocational + Abi","","","",""
"No","2011","Schleswig-Holstein","higher vocational","2","","",""
"No","2011","Schleswig-Holstein","higher education","4","","",""
"No","2011","Hamburg","in school","1","","",""
"No","2011","Hamburg","inadequately","1","","",""
"No","2011","Hamburg","general elemantary","5","","",""
"No","2011","Hamburg","middle vocational","6","","",""
"No","2011","Hamburg","vocational + Abi","1","","",""
"No","2011","Hamburg","higher vocational","1","","",""
"No","2011","Hamburg","higher education","1","","",""
"No","2011","Lower Saxony","in school","3","","",""
"No","2011","Lower Saxony","inadequately","4","","",""
"No","2011","Lower Saxony","general elemantary","19","","",""
"No","2011","Lower Saxony","middle vocational","26","","",""
"No","2011","Lower Saxony","vocational + Abi","5","","",""
"No","2011","Lower Saxony","higher vocational","3","","",""
"No","2011","Lower Saxony","higher education","8","","",""
"No","2011","Bremen","in school","1","","",""
