"plj0014_v3","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2008","Hamburg","no migration background","253","1","1","1"
"Yes","2008","Hamburg","direct migration background","10","","",""
"Yes","2008","Hamburg","indirect migration background","5","","",""
"Yes","2008","Lower Saxony","no migration background","1557","0.998479284895653","0.996544388018429","1.00041418177288"
"Yes","2008","Lower Saxony","direct migration background","100","0.576999554971908","0.497674002029353","0.656325107914462"
"Yes","2008","Lower Saxony","indirect migration background","39","0.843578987185363","0.740815721821568","0.946342252549157"
"Yes","2008","Bremen","no migration background","126","1","1","1"
"Yes","2008","Bremen","direct migration background","6","","",""
"Yes","2008","Bremen","indirect migration background","4","","",""
"Yes","2008","North Rhine-Westphalia","no migration background","3215","0.999406904597724","0.998565463882878","1.00024834531257"
"Yes","2008","North Rhine-Westphalia","direct migration background","287","0.49597429176926","0.452750540164441","0.539198043374078"
"Yes","2008","North Rhine-Westphalia","indirect migration background","134","0.530433947062794","0.463723651861261","0.597144242264326"
"Yes","2008","Hesse","no migration background","1070","1","1","1"
"Yes","2008","Hesse","direct migration background","95","0.466219560713412","0.393942726981235","0.538496394445589"
"Yes","2008","Hesse","indirect migration background","43","0.609976467384611","0.494046535502445","0.725906399266776"
"Yes","2008","Rhineland-Palatinate,Saarland","no migration background","910","0.997574079879988","0.994379603149913","1.00076855661006"
"Yes","2008","Rhineland-Palatinate,Saarland","direct migration background","93","0.560807314349563","0.479179474669263","0.642435154029863"
"Yes","2008","Rhineland-Palatinate,Saarland","indirect migration background","37","0.707511142579373","0.580139908699198","0.834882376459548"
"Yes","2008","Baden-Württemberg","no migration background","1759","0.996473998109352","0.993704723569412","0.999243272649293"
"Yes","2008","Baden-Württemberg","direct migration background","193","0.401393797656242","0.355540374219722","0.447247221092762"
"Yes","2008","Baden-Württemberg","indirect migration background","103","0.5766199734841","0.50403476749389","0.649205179474311"
"Yes","2008","Bavaria","no migration background","2346","0.998025673597111","0.996230198532179","0.999821148662044"
"Yes","2008","Bavaria","direct migration background","140","0.338919390000805","0.284534655319706","0.393304124681904"
"Yes","2008","Bavaria","indirect migration background","96","0.693948861415917","0.614728439986132","0.773169282845702"
"Yes","2008","Berlin","no migration background","647","1","1","1"
"Yes","2008","Berlin","direct migration background","20","","",""
"Yes","2008","Berlin","indirect migration background","24","","",""
"Yes","2008","Brandenburg","no migration background","802","0.99744726113118","0.993957156194725","1.00093736606763"
"Yes","2008","Brandenburg","direct migration background","12","","",""
"Yes","2008","Brandenburg","indirect migration background","9","","",""
"Yes","2008","Mecklenburg-Western Pomerania","no migration background","488","1","1","1"
"Yes","2008","Mecklenburg-Western Pomerania","direct migration background","5","","",""
"Yes","2008","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Yes","2008","Saxony","no migration background","1402","1","1","1"
"Yes","2008","Saxony","direct migration background","20","","",""
"Yes","2008","Saxony","indirect migration background","9","","",""
"Yes","2008","Saxony-Anhalt","no migration background","800","1","1","1"
"Yes","2008","Saxony-Anhalt","direct migration background","13","","",""
"Yes","2008","Saxony-Anhalt","indirect migration background","7","","",""
"Yes","2008","Thuringia","no migration background","856","1","1","1"
"Yes","2008","Thuringia","direct migration background","14","","",""
"Yes","2008","Thuringia","indirect migration background","9","","",""
"No","2008","Schleswig-Holstein","no migration background","","","",""
"No","2008","Schleswig-Holstein","direct migration background","17","","",""
"No","2008","Schleswig-Holstein","indirect migration background","1","","",""
"No","2008","Hamburg","no migration background","","","",""
"No","2008","Hamburg","direct migration background","12","","",""
"No","2008","Hamburg","indirect migration background","3","","",""
"No","2008","Lower Saxony","no migration background","1","","",""
"No","2008","Lower Saxony","direct migration background","49","0.423000445028092","0.343674892085537","0.502325997970647"
"No","2008","Lower Saxony","indirect migration background","9","","",""
"No","2008","Bremen","no migration background","","","",""
"No","2008","Bremen","direct migration background","2","","",""
"No","2008","Bremen","indirect migration background","","","",""
"No","2008","North Rhine-Westphalia","no migration background","1","","",""
"No","2008","North Rhine-Westphalia","direct migration background","227","0.504025708230741","0.460801956625922","0.547249459835559"
"No","2008","North Rhine-Westphalia","indirect migration background","81","0.469566052937206","0.402855757735674","0.536276348138739"
"No","2008","Hesse","no migration background","","","",""
"No","2008","Hesse","direct migration background","88","0.533780439286588","0.461503605554411","0.606057273018765"
"No","2008","Hesse","indirect migration background","25","","",""
"No","2008","Rhineland-Palatinate,Saarland","no migration background","1","","",""
"No","2008","Rhineland-Palatinate,Saarland","direct migration background","49","0.439192685650437","0.357564845970137","0.520820525330737"
"No","2008","Rhineland-Palatinate,Saarland","indirect migration background","12","","",""
"No","2008","Baden-Württemberg","no migration background","1","","",""
"No","2008","Baden-Württemberg","direct migration background","246","0.598606202343758","0.552752778907238","0.644459625780278"
"No","2008","Baden-Württemberg","indirect migration background","75","0.4233800265159","0.350794820525689","0.49596523250611"
"No","2008","Bavaria","no migration background","2","","",""
"No","2008","Bavaria","direct migration background","151","0.661080609999195","0.606695875318096","0.715465344680294"
"No","2008","Bavaria","indirect migration background","34","0.306051138584083","0.226830717154298","0.385271560013868"
"No","2008","Berlin","no migration background","","","",""
"No","2008","Berlin","direct migration background","29","","",""
"No","2008","Berlin","indirect migration background","3","","",""
"No","2008","Brandenburg","no migration background","1","","",""
"No","2008","Brandenburg","direct migration background","2","","",""
"No","2008","Brandenburg","indirect migration background","2","","",""
"No","2008","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2008","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No","2008","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2008","Saxony","no migration background","","","",""
"No","2008","Saxony","direct migration background","4","","",""
"No","2008","Saxony","indirect migration background","1","","",""
"No","2008","Saxony-Anhalt","no migration background","","","",""
"No","2008","Saxony-Anhalt","direct migration background","","","",""
"No","2008","Saxony-Anhalt","indirect migration background","","","",""
"No","2008","Thuringia","no migration background","","","",""
"No","2008","Thuringia","direct migration background","3","","",""
"No","2008","Thuringia","indirect migration background","","","",""
"Yes","2009","Schleswig-Holstein","no migration background","462","1","1","1"
"Yes","2009","Schleswig-Holstein","direct migration background","27","","",""
"Yes","2009","Schleswig-Holstein","indirect migration background","6","","",""
"Yes","2009","Hamburg","no migration background","250","1","1","1"
"Yes","2009","Hamburg","direct migration background","6","","",""
"Yes","2009","Hamburg","indirect migration background","6","","",""
"Yes","2009","Lower Saxony","no migration background","1469","0.998339501391817","0.996258138491065","1.00042086429257"
"Yes","2009","Lower Saxony","direct migration background","88","0.565966872390713","0.48141600441152","0.650517740369906"
"Yes","2009","Lower Saxony","indirect migration background","33","0.609703015162419","0.467175536117401","0.752230494207436"
"Yes","2009","Bremen","no migration background","113","1","1","1"
"Yes","2009","Bremen","direct migration background","4","","",""
"Yes","2009","Bremen","indirect migration background","2","","",""
"Yes","2009","North Rhine-Westphalia","no migration background","2998","0.997352042499291","0.995513410394161","0.999190674604421"
"Yes","2009","North Rhine-Westphalia","direct migration background","250","0.484199173030531","0.437870765932275","0.530527580128787"
"Yes","2009","North Rhine-Westphalia","indirect migration background","125","0.513206144848288","0.443409676926558","0.583002612770018"
"Yes","2009","Hesse","no migration background","1004","1","1","1"
"Yes","2009","Hesse","direct migration background","81","0.428170727969991","0.35173844509758","0.504603010842401"
"Yes","2009","Hesse","indirect migration background","39","0.586231929490942","0.46263821207187","0.709825646910014"
"Yes","2009","Rhineland-Palatinate,Saarland","no migration background","838","1","1","1"
"Yes","2009","Rhineland-Palatinate,Saarland","direct migration background","85","0.545072544545102","0.460443293397421","0.629701795692783"
"Yes","2009","Rhineland-Palatinate,Saarland","indirect migration background","42","0.691129342176051","0.570119116800787","0.812139567551314"
"Yes","2009","Baden-Württemberg","no migration background","1611","1","1","1"
"Yes","2009","Baden-Württemberg","direct migration background","164","0.388664563088858","0.337742731368151","0.439586394809566"
"Yes","2009","Baden-Württemberg","indirect migration background","91","0.600669609283724","0.523567501064002","0.677771717503446"
"Yes","2009","Bavaria","no migration background","2240","0.999520481546655","0.998614271655327","1.00042669143798"
"Yes","2009","Bavaria","direct migration background","129","0.332878690075526","0.275817234079294","0.389940146071757"
"Yes","2009","Bavaria","indirect migration background","90","0.674540942950239","0.592072159690532","0.757009726209947"
"Yes","2009","Berlin","no migration background","614","1","1","1"
"Yes","2009","Berlin","direct migration background","22","","",""
"Yes","2009","Berlin","indirect migration background","18","","",""
"Yes","2009","Brandenburg","no migration background","769","0.997296427618157","0.993628811600509","1.0009640436358"
"Yes","2009","Brandenburg","direct migration background","11","","",""
"Yes","2009","Brandenburg","indirect migration background","10","","",""
"Yes","2009","Mecklenburg-Western Pomerania","no migration background","470","1","1","1"
"Yes","2009","Mecklenburg-Western Pomerania","direct migration background","5","","",""
"Yes","2009","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Yes","2009","Saxony","no migration background","1341","1","1","1"
"Yes","2009","Saxony","direct migration background","20","","",""
"Yes","2009","Saxony","indirect migration background","8","","",""
"Yes","2009","Saxony-Anhalt","no migration background","753","1","1","1"
"Yes","2009","Saxony-Anhalt","direct migration background","13","","",""
"Yes","2009","Saxony-Anhalt","indirect migration background","6","","",""
"Yes","2009","Thuringia","no migration background","804","1","1","1"
"Yes","2009","Thuringia","direct migration background","11","","",""
"Yes","2009","Thuringia","indirect migration background","8","","",""
"No","2009","Schleswig-Holstein","no migration background","","","",""
"No","2009","Schleswig-Holstein","direct migration background","18","","",""
"No","2009","Schleswig-Holstein","indirect migration background","3","","",""
"No","2009","Hamburg","no migration background","","","",""
"No","2009","Hamburg","direct migration background","7","","",""
"No","2009","Hamburg","indirect migration background","2","","",""
"No","2009","Lower Saxony","no migration background","1","","",""
"No","2009","Lower Saxony","direct migration background","44","0.434033127609287","0.349482259630094","0.51858399558848"
"No","2009","Lower Saxony","indirect migration background","12","","",""
"No","2009","Bremen","no migration background","","","",""
"No","2009","Bremen","direct migration background","1","","",""
"No","2009","Bremen","indirect migration background","","","",""
"No","2009","North Rhine-Westphalia","no migration background","3","","",""
"No","2009","North Rhine-Westphalia","direct migration background","197","0.515800826969469","0.469472419871213","0.562129234067725"
"No","2009","North Rhine-Westphalia","indirect migration background","72","0.486793855151712","0.416997387229982","0.556590323073442"
"No","2009","Hesse","no migration background","","","",""
"No","2009","Hesse","direct migration background","80","0.571829272030009","0.495396989157599","0.64826155490242"
"No","2009","Hesse","indirect migration background","22","","",""
"No","2009","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","2009","Rhineland-Palatinate,Saarland","direct migration background","48","0.454927455454898","0.370298204307217","0.539556706602579"
"No","2009","Rhineland-Palatinate,Saarland","indirect migration background","14","","",""
"No","2009","Baden-Württemberg","no migration background","","","",""
"No","2009","Baden-Württemberg","direct migration background","188","0.611335436911142","0.560413605190434","0.662257268631849"
"No","2009","Baden-Württemberg","indirect migration background","64","0.399330390716276","0.322228282496554","0.476432498935998"
"No","2009","Bavaria","no migration background","2","","",""
"No","2009","Bavaria","direct migration background","133","0.667121309924474","0.610059853928243","0.724182765920706"
"No","2009","Bavaria","indirect migration background","34","0.325459057049761","0.242990273790053","0.407927840309468"
"No","2009","Berlin","no migration background","","","",""
"No","2009","Berlin","direct migration background","28","","",""
"No","2009","Berlin","indirect migration background","4","","",""
"No","2009","Brandenburg","no migration background","1","","",""
"No","2009","Brandenburg","direct migration background","2","","",""
"No","2009","Brandenburg","indirect migration background","2","","",""
"No","2009","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2009","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No","2009","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2009","Saxony","no migration background","","","",""
"No","2009","Saxony","direct migration background","4","","",""
"No","2009","Saxony","indirect migration background","1","","",""
"No","2009","Saxony-Anhalt","no migration background","","","",""
"No","2009","Saxony-Anhalt","direct migration background","","","",""
"No","2009","Saxony-Anhalt","indirect migration background","","","",""
"No","2009","Thuringia","no migration background","","","",""
"No","2009","Thuringia","direct migration background","2","","",""
"No","2009","Thuringia","indirect migration background","","","",""
"Yes","2010","Schleswig-Holstein","no migration background","633","1","1","1"
"Yes","2010","Schleswig-Holstein","direct migration background","44","0.440539253585333","0.330365560951009","0.550712946219658"
"Yes","2010","Schleswig-Holstein","indirect migration background","20","","",""
"Yes","2010","Hamburg","no migration background","322","1","1","1"
"Yes","2010","Hamburg","direct migration background","25","","",""
"Yes","2010","Hamburg","indirect migration background","13","","",""
"Yes","2010","Lower Saxony","no migration background","1904","0.998708984184856","0.997096535655095","1.00032143271462"
"Yes","2010","Lower Saxony","direct migration background","132","0.500437056238411","0.434959280176838","0.565914832299983"
"Yes","2010","Lower Saxony","indirect migration background","53","0.614991900736479","0.502595740758274","0.727388060714685"
"Yes","2010","Bremen","no migration background","146","1","1","1"
"Yes","2010","Bremen","direct migration background","14","","",""
"Yes","2010","Bremen","indirect migration background","4","","",""
"Yes","2010","North Rhine-Westphalia","no migration background","3778","0.998428835286803","0.997166218360452","0.999691452213154"
"Yes","2010","North Rhine-Westphalia","direct migration background","485","0.494493040156051","0.461478610559402","0.5275074697527"
"Yes","2010","North Rhine-Westphalia","indirect migration background","229","0.681317847945044","0.631861202553278","0.73077449333681"
"Yes","2010","Hesse","no migration background","1276","1","1","1"
"Yes","2010","Hesse","direct migration background","164","0.464242209696705","0.40899218430362","0.51949223508979"
"Yes","2010","Hesse","indirect migration background","69","0.643820580528243","0.546495795016328","0.741145366040159"
"Yes","2010","Rhineland-Palatinate,Saarland","no migration background","1075","1","1","1"
"Yes","2010","Rhineland-Palatinate,Saarland","direct migration background","119","0.548656244945322","0.478450392198725","0.618862097691919"
"Yes","2010","Rhineland-Palatinate,Saarland","indirect migration background","60","0.73646689837584","0.637421227635449","0.835512569116231"
"Yes","2010","Baden-Württemberg","no migration background","2192","1","1","1"
"Yes","2010","Baden-Württemberg","direct migration background","235","0.355236483836409","0.312947763015069","0.397525204657749"
"Yes","2010","Baden-Württemberg","indirect migration background","149","0.669643436640297","0.60804958538323","0.731237287897363"
"Yes","2010","Bavaria","no migration background","2970","0.999652445895548","0.998982315347511","1.00032257644358"
"Yes","2010","Bavaria","direct migration background","223","0.356578527939939","0.311873727028091","0.401283328851786"
"Yes","2010","Bavaria","indirect migration background","151","0.760518481832604","0.699514237195502","0.821522726469706"
"Yes","2010","Berlin","no migration background","775","1","1","1"
"Yes","2010","Berlin","direct migration background","48","0.428184312438424","0.33353949227613","0.522829132600718"
"Yes","2010","Berlin","indirect migration background","36","0.676519002662794","0.542778315974579","0.810259689351008"
"Yes","2010","Brandenburg","no migration background","919","1","1","1"
"Yes","2010","Brandenburg","direct migration background","18","","",""
"Yes","2010","Brandenburg","indirect migration background","13","","",""
"Yes","2010","Mecklenburg-Western Pomerania","no migration background","578","1","1","1"
"Yes","2010","Mecklenburg-Western Pomerania","direct migration background","9","","",""
"Yes","2010","Mecklenburg-Western Pomerania","indirect migration background","5","","",""
"Yes","2010","Saxony","no migration background","1625","1","1","1"
"Yes","2010","Saxony","direct migration background","24","","",""
"Yes","2010","Saxony","indirect migration background","21","","",""
"Yes","2010","Saxony-Anhalt","no migration background","886","1","1","1"
"Yes","2010","Saxony-Anhalt","direct migration background","10","","",""
"Yes","2010","Saxony-Anhalt","indirect migration background","10","","",""
"Yes","2010","Thuringia","no migration background","928","1","1","1"
"Yes","2010","Thuringia","direct migration background","12","","",""
"Yes","2010","Thuringia","indirect migration background","13","","",""
"No","2010","Schleswig-Holstein","no migration background","","","",""
"No","2010","Schleswig-Holstein","direct migration background","34","0.559460746414667","0.449287053780342","0.669634439048991"
"No","2010","Schleswig-Holstein","indirect migration background","5","","",""
"No","2010","Hamburg","no migration background","","","",""
"No","2010","Hamburg","direct migration background","25","","",""
"No","2010","Hamburg","indirect migration background","4","","",""
"No","2010","Lower Saxony","no migration background","1","","",""
"No","2010","Lower Saxony","direct migration background","92","0.499562943761589","0.434085167700017","0.565040719823162"
"No","2010","Lower Saxony","indirect migration background","19","","",""
"No","2010","Bremen","no migration background","","","",""
"No","2010","Bremen","direct migration background","8","","",""
"No","2010","Bremen","indirect migration background","","","",""
"No","2010","North Rhine-Westphalia","no migration background","2","","",""
"No","2010","North Rhine-Westphalia","direct migration background","396","0.505506959843949","0.4724925302473","0.538521389440598"
"No","2010","North Rhine-Westphalia","indirect migration background","112","0.318682152054956","0.26922550666319","0.368138797446722"
"No","2010","Hesse","no migration background","","","",""
"No","2010","Hesse","direct migration background","149","0.535757790303295","0.48050776491021","0.59100781569638"
"No","2010","Hesse","indirect migration background","24","","",""
"No","2010","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","2010","Rhineland-Palatinate,Saarland","direct migration background","74","0.451343755054678","0.381137902308081","0.521549607801275"
"No","2010","Rhineland-Palatinate,Saarland","indirect migration background","16","","",""
"No","2010","Baden-Württemberg","no migration background","","","",""
"No","2010","Baden-Württemberg","direct migration background","257","0.644763516163591","0.602474795342251","0.687052236984931"
"No","2010","Baden-Württemberg","indirect migration background","75","0.330356563359703","0.268762712102637","0.39195041461677"
"No","2010","Bavaria","no migration background","2","","",""
"No","2010","Bavaria","direct migration background","218","0.643421472060061","0.598716671148214","0.688126272971909"
"No","2010","Bavaria","indirect migration background","37","0.239481518167396","0.178477273530294","0.300485762804498"
"No","2010","Berlin","no migration background","","","",""
"No","2010","Berlin","direct migration background","57","0.571815687561576","0.477170867399282","0.66646050772387"
"No","2010","Berlin","indirect migration background","11","","",""
"No","2010","Brandenburg","no migration background","","","",""
"No","2010","Brandenburg","direct migration background","9","","",""
"No","2010","Brandenburg","indirect migration background","","","",""
"No","2010","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2010","Mecklenburg-Western Pomerania","direct migration background","4","","",""
"No","2010","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2010","Saxony","no migration background","","","",""
"No","2010","Saxony","direct migration background","11","","",""
"No","2010","Saxony","indirect migration background","1","","",""
"No","2010","Saxony-Anhalt","no migration background","","","",""
"No","2010","Saxony-Anhalt","direct migration background","7","","",""
"No","2010","Saxony-Anhalt","indirect migration background","","","",""
"No","2010","Thuringia","no migration background","","","",""
"No","2010","Thuringia","direct migration background","6","","",""
"No","2010","Thuringia","indirect migration background","","","",""
"Yes","2011","Schleswig-Holstein","no migration background","629","1","1","1"
"Yes","2011","Schleswig-Holstein","direct migration background","42","0.377259120393129","0.259426652278737","0.495091588507521"
"Yes","2011","Schleswig-Holstein","indirect migration background","13","","",""
"Yes","2011","Hamburg","no migration background","301","1","1","1"
"Yes","2011","Hamburg","direct migration background","8","","",""
"Yes","2011","Hamburg","indirect migration background","11","","",""
"Yes","2011","Lower Saxony","no migration background","1821","0.998484117975077","0.99669821426721","1.00027002168294"
"Yes","2011","Lower Saxony","direct migration background","128","0.585213407942341","0.513437566556115","0.656989249328567"
"Yes","2011","Lower Saxony","indirect migration background","42","0.705387895989053","0.584910369998583","0.825865421979523"
"Yes","2011","Bremen","no migration background","116","1","1","1"
"Yes","2011","Bremen","direct migration background","12","","",""
"Yes","2011","Bremen","indirect migration background","4","","",""
"Yes","2011","North Rhine-Westphalia","no migration background","3601","0.998690242087717","0.997509632311572","0.999870851863863"
"Yes","2011","North Rhine-Westphalia","direct migration background","366","0.521932153676468","0.482128567952131","0.561735739400805"
"Yes","2011","North Rhine-Westphalia","indirect migration background","172","0.696166089167143","0.638926460881825","0.753405717452461"
"Yes","2011","Hesse","no migration background","1224","1","1","1"
"Yes","2011","Hesse","direct migration background","113","0.499758536316506","0.430635944190049","0.568881128442963"
"Yes","2011","Hesse","indirect migration background","57","0.624843827537283","0.519405775984868","0.730281879089697"
"Yes","2011","Rhineland-Palatinate,Saarland","no migration background","1061","1","1","1"
"Yes","2011","Rhineland-Palatinate,Saarland","direct migration background","96","0.534959879955927","0.456940214776081","0.612979545135772"
"Yes","2011","Rhineland-Palatinate,Saarland","indirect migration background","49","0.730491766998847","0.622625637907862","0.838357896089833"
"Yes","2011","Baden-Württemberg","no migration background","2140","0.999376513556026","0.998319659344007","1.00043336776804"
"Yes","2011","Baden-Württemberg","direct migration background","209","0.43554701931294","0.386773482904384","0.484320555721496"
"Yes","2011","Baden-Württemberg","indirect migration background","129","0.759353806873222","0.696199446308717","0.822508167437727"
"Yes","2011","Bavaria","no migration background","2959","0.999210960446672","0.998199939282395","1.00022198161095"
"Yes","2011","Bavaria","direct migration background","186","0.424503314322924","0.372195931949912","0.476810696695937"
"Yes","2011","Bavaria","indirect migration background","112","0.734767177220764","0.66137847659505","0.808155877846479"
"Yes","2011","Berlin","no migration background","739","1","1","1"
"Yes","2011","Berlin","direct migration background","29","","",""
"Yes","2011","Berlin","indirect migration background","23","","",""
"Yes","2011","Brandenburg","no migration background","892","1","1","1"
"Yes","2011","Brandenburg","direct migration background","19","","",""
"Yes","2011","Brandenburg","indirect migration background","10","","",""
"Yes","2011","Mecklenburg-Western Pomerania","no migration background","528","1","1","1"
"Yes","2011","Mecklenburg-Western Pomerania","direct migration background","6","","",""
"Yes","2011","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Yes","2011","Saxony","no migration background","1423","1","1","1"
"Yes","2011","Saxony","direct migration background","21","","",""
"Yes","2011","Saxony","indirect migration background","12","","",""
"Yes","2011","Saxony-Anhalt","no migration background","884","1","1","1"
"Yes","2011","Saxony-Anhalt","direct migration background","17","","",""
"Yes","2011","Saxony-Anhalt","indirect migration background","11","","",""
"Yes","2011","Thuringia","no migration background","915","1","1","1"
"Yes","2011","Thuringia","direct migration background","13","","",""
"Yes","2011","Thuringia","indirect migration background","8","","",""
"No","2011","Schleswig-Holstein","no migration background","","","",""
"No","2011","Schleswig-Holstein","direct migration background","23","","",""
"No","2011","Schleswig-Holstein","indirect migration background","2","","",""
"No","2011","Hamburg","no migration background","","","",""
"No","2011","Hamburg","direct migration background","13","","",""
"No","2011","Hamburg","indirect migration background","5","","",""
"No","2011","Lower Saxony","no migration background","2","","",""
"No","2011","Lower Saxony","direct migration background","53","0.414786592057659","0.343010750671433","0.486562433443885"
"No","2011","Lower Saxony","indirect migration background","13","","",""
"No","2011","Bremen","no migration background","","","",""
"No","2011","Bremen","direct migration background","6","","",""
"No","2011","Bremen","indirect migration background","2","","",""
"No","2011","North Rhine-Westphalia","no migration background","4","","",""
"No","2011","North Rhine-Westphalia","direct migration background","239","0.478067846323532","0.438264260599195","0.517871432047869"
"No","2011","North Rhine-Westphalia","indirect migration background","76","0.303833910832857","0.246594282547539","0.361073539118175"
"No","2011","Hesse","no migration background","","","",""
"No","2011","Hesse","direct migration background","88","0.500241463683494","0.431118871557037","0.569364055809951"
"No","2011","Hesse","indirect migration background","24","","",""
"No","2011","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","2011","Rhineland-Palatinate,Saarland","direct migration background","61","0.465040120044073","0.387020454864228","0.543059785223919"
"No","2011","Rhineland-Palatinate,Saarland","indirect migration background","16","","",""
"No","2011","Baden-Württemberg","no migration background","3","","",""
"No","2011","Baden-Württemberg","direct migration background","188","0.56445298068706","0.515679444278504","0.613226517095616"
"No","2011","Baden-Württemberg","indirect migration background","47","0.240646193126778","0.177491832562273","0.303800553691283"
"No","2011","Bavaria","no migration background","4","","",""
"No","2011","Bavaria","direct migration background","157","0.575496685677076","0.523189303304064","0.627804068050088"
"No","2011","Bavaria","indirect migration background","27","","",""
"No","2011","Berlin","no migration background","","","",""
"No","2011","Berlin","direct migration background","31","0.494331068576478","0.367824069228408","0.620838067924547"
"No","2011","Berlin","indirect migration background","5","","",""
"No","2011","Brandenburg","no migration background","","","",""
"No","2011","Brandenburg","direct migration background","6","","",""
"No","2011","Brandenburg","indirect migration background","","","",""
"No","2011","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2011","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No","2011","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2011","Saxony","no migration background","","","",""
"No","2011","Saxony","direct migration background","6","","",""
"No","2011","Saxony","indirect migration background","2","","",""
"No","2011","Saxony-Anhalt","no migration background","","","",""
"No","2011","Saxony-Anhalt","direct migration background","","","",""
"No","2011","Saxony-Anhalt","indirect migration background","","","",""
"No","2011","Thuringia","no migration background","","","",""
"No","2011","Thuringia","direct migration background","1","","",""
"No","2011","Thuringia","indirect migration background","","","",""
"Yes","2012","Schleswig-Holstein","no migration background","858","1","1","1"
"Yes","2012","Schleswig-Holstein","direct migration background","60","0.431650487862453","0.333082455375121","0.530218520349785"
"Yes","2012","Schleswig-Holstein","indirect migration background","23","","",""
"Yes","2012","Hamburg","no migration background","371","1","1","1"
"Yes","2012","Hamburg","direct migration background","20","","",""
"Yes","2012","Hamburg","indirect migration background","16","","",""
"Yes","2012","Lower Saxony","no migration background","2239","0.99907121912246","0.997809743278698","1.00033269496622"
"Yes","2012","Lower Saxony","direct migration background","167","0.604104978206453","0.544661030329634","0.663548926083272"
"Yes","2012","Lower Saxony","indirect migration background","61","0.794500490438877","0.703657007950077","0.885343972927677"
"Yes","2012","Bremen","no migration background","158","1","1","1"
"Yes","2012","Bremen","direct migration background","20","","",""
"Yes","2012","Bremen","indirect migration background","7","","",""
"Yes","2012","North Rhine-Westphalia","no migration background","4286","0.998719446737388","0.997649308156525","0.999789585318252"
"Yes","2012","North Rhine-Westphalia","direct migration background","535","0.519183688264529","0.48655979319734","0.551807583331717"
"Yes","2012","North Rhine-Westphalia","indirect migration background","267","0.73904283633046","0.693488114349937","0.784597558310982"
"Yes","2012","Hesse","no migration background","1493","0.997851637743121","0.995503846186234","1.00019942930001"
"Yes","2012","Hesse","direct migration background","170","0.444506784737139","0.388463549756898","0.50055001971738"
"Yes","2012","Hesse","indirect migration background","94","0.703196038161206","0.621114088254598","0.785277988067813"
"Yes","2012","Rhineland-Palatinate,Saarland","no migration background","1294","1","1","1"
"Yes","2012","Rhineland-Palatinate,Saarland","direct migration background","116","0.536790979769108","0.466623103092024","0.606958856446192"
"Yes","2012","Rhineland-Palatinate,Saarland","indirect migration background","69","0.74772579110298","0.656462511441432","0.838989070764527"
"Yes","2012","Baden-Württemberg","no migration background","2609","0.999323771385563","0.998326658023426","1.0003208847477"
"Yes","2012","Baden-Württemberg","direct migration background","267","0.412085056618601","0.368984794573231","0.455185318663971"
"Yes","2012","Baden-Württemberg","indirect migration background","175","0.691688980234844","0.632771788017727","0.75060617245196"
"Yes","2012","Bavaria","no migration background","3639","0.999155076911851","0.998211573350107","1.00009858047359"
"Yes","2012","Bavaria","direct migration background","269","0.410762056360714","0.367725576158849","0.453798536562579"
"Yes","2012","Bavaria","indirect migration background","189","0.71173644484675","0.653070668608261","0.77040222108524"
"Yes","2012","Berlin","no migration background","917","1","1","1"
"Yes","2012","Berlin","direct migration background","42","0.533407756499734","0.42608113325452","0.640734379744949"
"Yes","2012","Berlin","indirect migration background","37","0.841299997142026","0.734540690357245","0.948059303926807"
"Yes","2012","Brandenburg","no migration background","1060","1","1","1"
"Yes","2012","Brandenburg","direct migration background","24","","",""
"Yes","2012","Brandenburg","indirect migration background","8","","",""
"Yes","2012","Mecklenburg-Western Pomerania","no migration background","623","1","1","1"
"Yes","2012","Mecklenburg-Western Pomerania","direct migration background","10","","",""
"Yes","2012","Mecklenburg-Western Pomerania","indirect migration background","9","","",""
"Yes","2012","Saxony","no migration background","1790","1","1","1"
"Yes","2012","Saxony","direct migration background","28","","",""
"Yes","2012","Saxony","indirect migration background","19","","",""
"Yes","2012","Saxony-Anhalt","no migration background","1005","1","1","1"
"Yes","2012","Saxony-Anhalt","direct migration background","17","","",""
"Yes","2012","Saxony-Anhalt","indirect migration background","16","","",""
"Yes","2012","Thuringia","no migration background","1055","1","1","1"
"Yes","2012","Thuringia","direct migration background","12","","",""
"Yes","2012","Thuringia","indirect migration background","14","","",""
