"plh0173","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"6 on Scale 1 to 10","1989","Part Time","111","0.0927323412471709","0.0764495233627651","0.109015159131577","6"
"7 on Scale 1 to 10","1989","Part Time","180","0.140456882928932","0.120951630066945","0.159962135790919","7"
"7 on Scale 1 to 10","1989","Not Working","21","","","","7"
"7 on Scale 1 to 10","1989","Full Time","743","0.169244902526856","0.158114800323524","0.180375004730187","7"
"8 on Scale 1 to 10","1989","Full Time","1189","0.279603935411804","0.266282158638462","0.292925712185147","8"
"8 on Scale 1 to 10","1989","Part Time","315","0.260211963731836","0.235582014301736","0.284841913161936","8"
"8 on Scale 1 to 10","1989","Not Working","15","","","","8"
"9 on Scale 1 to 10","1989","Full Time","599","0.142408311889275","0.13203511079659","0.15278151298196","9"
"9 on Scale 1 to 10","1989","Part Time","159","0.137330480026561","0.118008486417739","0.156652473635383","9"
"9 on Scale 1 to 10","1989","Not Working","14","","","","9"
"0 Completely dissatisfied","1990","Full Time","23","","","","0"
"0 Completely dissatisfied","1990","Part Time","7","","","","0"
"0 Completely dissatisfied","1990","Not Working","5","","","","0"
"1 on Scale 1 to 10","1990","Full Time","17","","","","1"
"1 on Scale 1 to 10","1990","Part Time","5","","","","1"
"1 on Scale 1 to 10","1990","Not Working","1","","","","1"
"10 Completely satisfied","1990","Full Time","528","0.115707069931653","0.106148544226277","0.125265595637029","10"
"10 Completely satisfied","1990","Part Time","153","0.116286189169189","0.0986277981855237","0.133944580152855","10"
"10 Completely satisfied","1990","Not Working","15","","","","10"
"2 on Scale 1 to 10","1990","Part Time","20","","","","2"
"2 on Scale 1 to 10","1990","Full Time","67","0.0158268855978633","0.0120974220388002","0.0195563491569264","2"
"2 on Scale 1 to 10","1990","Not Working","3","","","","2"
"3 on Scale 1 to 10","1990","Full Time","119","0.0267216830608208","0.0219026121551577","0.0315407539664839","3"
"3 on Scale 1 to 10","1990","Part Time","36","0.0236922090468664","0.0153144591008735","0.0320699589928593","3"
"3 on Scale 1 to 10","1990","Not Working","4","","","","3"
"4 on Scale 1 to 10","1990","Full Time","150","0.0366644507825816","0.0310484873225163","0.042280414242647","4"
"4 on Scale 1 to 10","1990","Not Working","8","","","","4"
"4 on Scale 1 to 10","1990","Part Time","55","0.0430456805995575","0.031865685037768","0.0542256761613471","4"
"5 on Scale 1 to 10","1990","Full Time","426","0.100058568123144","0.0910915684674771","0.109025567778812","5"
"5 on Scale 1 to 10","1990","Not Working","15","","","","5"
"5 on Scale 1 to 10","1990","Part Time","157","0.115945679916284","0.0983097648189799","0.133581595013588","5"
"6 on Scale 1 to 10","1990","Full Time","407","0.0899991119874217","0.0814474031043985","0.0985508208704449","6"
"6 on Scale 1 to 10","1990","Not Working","10","","","","6"
"6 on Scale 1 to 10","1990","Part Time","125","0.10223920168508","0.0855505872212476","0.118927816148912","6"
"7 on Scale 1 to 10","1990","Not Working","10","","","","7"
"7 on Scale 1 to 10","1990","Full Time","813","0.186607738873021","0.174965735217639","0.198249742528402","7"
"7 on Scale 1 to 10","1990","Part Time","214","0.17063979820406","0.149917257650955","0.191362338757164","7"
"8 on Scale 1 to 10","1990","Part Time","307","0.242830116699555","0.219210155591903","0.266450077807207","8"
"8 on Scale 1 to 10","1990","Full Time","1119","0.264431333273262","0.251252378853685","0.277610287692839","8"
"8 on Scale 1 to 10","1990","Not Working","29","","","","8"
"9 on Scale 1 to 10","1990","Not Working","9","","","","9"
"9 on Scale 1 to 10","1990","Part Time","187","0.153494304632279","0.133638279527304","0.173350329737255","9"
"9 on Scale 1 to 10","1990","Full Time","633","0.154111088573675","0.143321956784899","0.164900220362452","9"
"0 Completely dissatisfied","1991","Full Time","19","","","","0"
"0 Completely dissatisfied","1991","Part Time","8","","","","0"
"0 Completely dissatisfied","1991","Not Working","2","","","","0"
"1 on Scale 1 to 10","1991","Full Time","16","","","","1"
"1 on Scale 1 to 10","1991","Part Time","5","","","","1"
"1 on Scale 1 to 10","1991","Not Working","","","","","1"
"10 Completely satisfied","1991","Full Time","491","0.110508603064147","0.101151804446071","0.119865401682224","10"
"10 Completely satisfied","1991","Part Time","160","0.113517764571438","0.0963460492960574","0.130689479846819","10"
"10 Completely satisfied","1991","Not Working","26","","","","10"
"2 on Scale 1 to 10","1991","Part Time","25","","","","2"
"2 on Scale 1 to 10","1991","Not Working","7","","","","2"
"2 on Scale 1 to 10","1991","Full Time","55","0.014240777320395","0.0107047905276905","0.0177767641130994","2"
"3 on Scale 1 to 10","1991","Full Time","120","0.0307988303442127","0.0256425984786678","0.0359550622097576","3"
"3 on Scale 1 to 10","1991","Part Time","44","0.035078262552923","0.0251193520983028","0.0450371730075433","3"
"3 on Scale 1 to 10","1991","Not Working","5","","","","3"
"4 on Scale 1 to 10","1991","Full Time","151","0.0366400982252374","0.0310330930187875","0.0422471034316873","4"
"4 on Scale 1 to 10","1991","Part Time","58","0.0415029723371038","0.0307065036169352","0.0522994410572724","4"
"4 on Scale 1 to 10","1991","Not Working","5","","","","4"
"5 on Scale 1 to 10","1991","Full Time","460","0.113040370517863","0.1035904735229","0.122490267512827","5"
"5 on Scale 1 to 10","1991","Not Working","18","","","","5"
"5 on Scale 1 to 10","1991","Part Time","143","0.103165735927557","0.0867004005317911","0.119631071323324","5"
"6 on Scale 1 to 10","1991","Full Time","433","0.0998180987166695","0.0908721140984534","0.108764083334886","6"
"6 on Scale 1 to 10","1991","Part Time","111","0.0797428264189425","0.0650790049881285","0.0944066478497564","6"
"6 on Scale 1 to 10","1991","Not Working","23","","","","6"
"7 on Scale 1 to 10","1991","Full Time","742","0.174195012615055","0.162875832492073","0.185514192738038","7"
"7 on Scale 1 to 10","1991","Part Time","211","0.181912537088468","0.161030256390109","0.202794817786827","7"
"7 on Scale 1 to 10","1991","Not Working","18","","","","7"
"8 on Scale 1 to 10","1991","Part Time","351","0.263591298603203","0.239742212817058","0.287440384389349","8"
"8 on Scale 1 to 10","1991","Not Working","29","","","","8"
"8 on Scale 1 to 10","1991","Full Time","1231","0.275926450766123","0.262586741307534","0.289266160224711","8"
"9 on Scale 1 to 10","1991","Not Working","25","","","","9"
"9 on Scale 1 to 10","1991","Part Time","195","0.150807553112189","0.131436137755105","0.170178968469272","9"
"9 on Scale 1 to 10","1991","Full Time","595","0.137548422998144","0.127269359946251","0.147827486050036","9"
"0 Completely dissatisfied","1992","Full Time","39","0.00675689633961719","0.00471640843626403","0.00879738424297035","0"
"0 Completely dissatisfied","1992","Part Time","17","","","","0"
"0 Completely dissatisfied","1992","Not Working","1","","","","0"
"1 on Scale 1 to 10","1992","Full Time","26","","","","1"
"1 on Scale 1 to 10","1992","Not Working","3","","","","1"
"1 on Scale 1 to 10","1992","Part Time","14","","","","1"
"10 Completely satisfied","1992","Full Time","631","0.103958762758492","0.0963567749845157","0.111560750532469","10"
"10 Completely satisfied","1992","Part Time","195","0.113154119083074","0.0981790300454519","0.128129208120696","10"
"10 Completely satisfied","1992","Not Working","11","","","","10"
"2 on Scale 1 to 10","1992","Full Time","79","0.012549260552145","0.00977658275288766","0.0153219383514023","2"
"2 on Scale 1 to 10","1992","Part Time","26","","","","2"
"2 on Scale 1 to 10","1992","Not Working","3","","","","2"
"3 on Scale 1 to 10","1992","Full Time","158","0.0236783850663069","0.0198912995782183","0.0274654705543955","3"
"3 on Scale 1 to 10","1992","Not Working","1","","","","3"
"3 on Scale 1 to 10","1992","Part Time","53","0.0331767357155467","0.0247103017514222","0.0416431696796712","3"
"4 on Scale 1 to 10","1992","Part Time","72","0.0412238792495487","0.0318257116454116","0.0506220468536859","4"
"4 on Scale 1 to 10","1992","Full Time","219","0.0318453122284472","0.0274718261427487","0.0362187983141458","4"
"4 on Scale 1 to 10","1992","Not Working","7","","","","4"
"5 on Scale 1 to 10","1992","Full Time","636","0.0991757501478615","0.0917309096338262","0.106620590661897","5"
"5 on Scale 1 to 10","1992","Not Working","19","","","","5"
"5 on Scale 1 to 10","1992","Part Time","212","0.107685297745944","0.0930315947937276","0.122339000698161","5"
"6 on Scale 1 to 10","1992","Full Time","570","0.0874374662890157","0.0804016787492884","0.094473253828743","6"
"6 on Scale 1 to 10","1992","Part Time","140","0.0733199388915304","0.0609977997323715","0.0856420780506894","6"
"6 on Scale 1 to 10","1992","Not Working","15","","","","6"
"7 on Scale 1 to 10","1992","Full Time","1072","0.173371463476767","0.163942224957736","0.182800701995799","7"
"7 on Scale 1 to 10","1992","Part Time","262","0.14933397185551","0.132485170678258","0.166182773032762","7"
"7 on Scale 1 to 10","1992","Not Working","21","","","","7"
"8 on Scale 1 to 10","1992","Part Time","474","0.290815715330317","0.26934736666251","0.312284063998124","8"
"8 on Scale 1 to 10","1992","Not Working","35","0.268361897650283","0.194432506041829","0.342291289258736","8"
"8 on Scale 1 to 10","1992","Full Time","1838","0.301142115726983","0.289715626871978","0.312568604581987","8"
"9 on Scale 1 to 10","1992","Not Working","22","","","","9"
"9 on Scale 1 to 10","1992","Part Time","254","0.157533282872198","0.140311714880092","0.174754850864303","9"
"9 on Scale 1 to 10","1992","Full Time","924","0.156617232551679","0.147564811383694","0.165669653719665","9"
"0 Completely dissatisfied","1993","Full Time","39","0.00643410459401275","0.00440610925928898","0.00846209992873652","0"
"0 Completely dissatisfied","1993","Part Time","20","","","","0"
"0 Completely dissatisfied","1993","Not Working","3","","","","0"
"1 on Scale 1 to 10","1993","Full Time","38","0.00641176080644873","0.00438726709179922","0.00843625452109824","1"
"1 on Scale 1 to 10","1993","Part Time","11","","","","1"
"1 on Scale 1 to 10","1993","Not Working","2","","","","1"
"10 Completely satisfied","1993","Full Time","558","0.0924466712816069","0.0850997350302478","0.0997936075329661","10"
"10 Completely satisfied","1993","Part Time","198","0.118434792950459","0.102796366918251","0.134073218982668","10"
"10 Completely satisfied","1993","Not Working","18","","","","10"
"2 on Scale 1 to 10","1993","Part Time","34","0.0174157724988493","0.0110846249828647","0.0237469200148339","2"
"2 on Scale 1 to 10","1993","Full Time","100","0.016682381313495","0.0134337495397502","0.0199310130872398","2"
"2 on Scale 1 to 10","1993","Not Working","3","","","","2"
"3 on Scale 1 to 10","1993","Full Time","191","0.0306596754039144","0.0262870077324988","0.0350323430753299","3"
"3 on Scale 1 to 10","1993","Part Time","60","0.0358662090860858","0.0268663117143993","0.0448661064577722","3"
"3 on Scale 1 to 10","1993","Not Working","7","","","","3"
"4 on Scale 1 to 10","1993","Part Time","64","0.0362531970255319","0.0272066926446708","0.0452997014063929","4"
"4 on Scale 1 to 10","1993","Full Time","247","0.0429438695582886","0.0378017301374028","0.0480860089791744","4"
"4 on Scale 1 to 10","1993","Not Working","12","","","","4"
"5 on Scale 1 to 10","1993","Full Time","689","0.111196944873923","0.103222990388682","0.119170899359164","5"
"5 on Scale 1 to 10","1993","Part Time","223","0.130352165119835","0.114057066186262","0.146647264053409","5"
"5 on Scale 1 to 10","1993","Not Working","28","","","","5"
"6 on Scale 1 to 10","1993","Part Time","151","0.085150084361303","0.0716420040367144","0.0986581646858915","6"
"6 on Scale 1 to 10","1993","Full Time","595","0.0955902212471119","0.088132366620765","0.103048075873459","6"
"6 on Scale 1 to 10","1993","Not Working","15","","","","6"
"7 on Scale 1 to 10","1993","Full Time","1088","0.182945527396992","0.173139096790015","0.192751958003969","7"
"7 on Scale 1 to 10","1993","Part Time","269","0.16833253596761","0.150223928454341","0.18644114348088","7"
"7 on Scale 1 to 10","1993","Not Working","37","0.184622341752616","0.127137862959136","0.242106820546096","7"
