"plj0588","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Sometimes","2016","Employed","Couple + C. LE 16 ","","","","","3"
"Sometimes","2016","Employed","Couple + C. GT 16 ","","","","","3"
"Sometimes","2016","Not Employed","1-pers.-HH","272","0.29559476039954","0.266377603668345","0.324811917130735","3"
"Sometimes","2016","Not Employed","Couple + C. LE 16 ","484","0.288447711611522","0.267501233548677","0.309394189674367","3"
"Sometimes","2016","Employed","1-pers.-HH","","","","","3"
"Very often","2016","Not Employed","1-pers.-HH","99","0.109999011505179","0.0899649994257786","0.13003302358458","1"
"Very often","2016","Not Employed","Couple + C. LE and GT 16","20","","","","1"
"Very often","2016","Employed","1-pers.-HH","","","","","1"
"Very often","2016","Employed","(Married) couple without C. ","","","","","1"
"Very often","2016","Employed","Single parent ","","","","","1"
"Very often","2016","Employed","Couple + C. LE 16 ","","","","","1"
"Very often","2016","Employed","Couple + C. LE and GT 16","","","","","1"
"Very often","2016","Not Employed","(Married) couple without C. ","10","","","","1"
"Very often","2016","Not Employed","Single parent ","36","0.103368820353782","0.0710561685972454","0.135681472110319","1"
"Very often","2016","Not Employed","Couple + C. LE 16 ","108","0.0546936426599218","0.0441805917818249","0.0652066935380187","1"
"Very often","2016","Not Employed","Couple + C. GT 16 ","5","","","","1"
"Very often","2016","Employed","Couple + C. GT 16 ","","","","","1"
"Never","2017","Employed","(Married) couple without C. ","1362","0.286071723839575","0.272914389867689","0.299229057811461","5"
"Never","2017","Not Employed","1-pers.-HH","630","0.305212746639674","0.286347936036382","0.324077557242967","5"
"Never","2017","Not Employed","(Married) couple without C. ","1392","0.361018019246348","0.345793110888903","0.376242927603794","5"
"Never","2017","Not Employed","Single parent ","195","0.217553060168959","0.189382561708219","0.2457235586297","5"
"Never","2017","Not Employed","Couple + C. LE 16 ","593","0.2730170041423","0.252953116898605","0.293080891385995","5"
"Never","2017","Not Employed","Couple + C. GT 16 ","258","0.269425863791766","0.239704892565668","0.299146835017865","5"
"Never","2017","Not Employed","Couple + C. LE and GT 16","281","0.296903064571598","0.266042278222255","0.327763850920941","5"
"Never","2017","Employed","1-pers.-HH","605","0.27394330024676","0.255374714676673","0.292511885816847","5"
"Never","2017","Employed","Single parent ","418","0.268279808369223","0.246433097502303","0.290126519236143","5"
"Never","2017","Employed","Couple + C. LE 16 ","1601","0.312155953812763","0.299431198987181","0.324880708638346","5"
"Never","2017","Employed","Couple + C. GT 16 ","750","0.30030061642781","0.282164484375004","0.318436748480616","5"
"Never","2017","Employed","Couple + C. LE and GT 16","526","0.330636394346514","0.308174079297111","0.353098709395917","5"
"Often","2017","Not Employed","(Married) couple without C. ","149","0.0369361980518018","0.030957597099889","0.0429147990037146","2"
"Often","2017","Not Employed","Single parent ","117","0.158945338544305","0.133980975245008","0.183909701843602","2"
"Often","2017","Not Employed","Couple + C. LE 16 ","171","0.0714846009517425","0.0598819051092482","0.0830872967942368","2"
"Often","2017","Not Employed","1-pers.-HH","272","0.0899269902730194","0.0782075103006503","0.101646470245389","2"
"Often","2017","Not Employed","Couple + C. GT 16 ","64","0.0792694766411847","0.0611714811986355","0.0973674720837339","2"
"Often","2017","Not Employed","Couple + C. LE and GT 16","80","0.0643999446017641","0.0478201207730142","0.080979768430514","2"
"Often","2017","Employed","1-pers.-HH","127","0.0552960957467051","0.0457800109720743","0.0648121805213359","2"
"Often","2017","Employed","(Married) couple without C. ","181","0.0373671897248164","0.031845414942839","0.0428889645067938","2"
"Often","2017","Employed","Single parent ","127","0.0770137250423671","0.0638674948039079","0.0901599552808263","2"
"Often","2017","Employed","Couple + C. LE 16 ","214","0.0389930086692407","0.0336771274602945","0.0443088898781869","2"
"Often","2017","Employed","Couple + C. GT 16 ","105","0.044112134597128","0.035987696705487","0.052236572488769","2"
"Often","2017","Employed","Couple + C. LE and GT 16","77","0.0377261333004052","0.0286287052065204","0.0468235613942901","2"
"Rarely ","2017","Not Employed","(Married) couple without C. ","1530","0.393881421399839","0.378392988154272","0.409369854645406","4"
"Rarely ","2017","Not Employed","1-pers.-HH","687","0.33416403005387","0.314840401925765","0.353487658181976","4"
"Rarely ","2017","Not Employed","Single parent ","261","0.340857779231825","0.308493893756788","0.373221664706861","4"
"Rarely ","2017","Not Employed","Couple + C. LE 16 ","528","0.372278506083692","0.350507646097921","0.394049366069463","4"
