"year","hgtyp1hh","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2001","Couple + C. GT 16 ","East Germany","41.89","40","685","33","40","46","53","70","41.08","42.7","2.5","80","40","42"
"2001","Couple + C. GT 16 ","West Germany","37.11","40","1591","17","35","44","50","70","36.48","37.74","1","80","39","40"
"2001","Couple + C. LE 16","East Germany","42.28","40","680","30","39","50","55.5","75","41.44","43.12","2","80","40","42"
"2001","Couple + C. LE 16","West Germany","37.82","40","2742","15","30","45","55","72","37.27","38.37","1.5","80","40","40"
"2001","Couple + C. LE and GT 16","East Germany","41.34","40","345","27.5","39","47","55","72","40.11","42.57","2","80","40","40"
"2001","Couple + C. LE and GT 16","West Germany","35.83","39","812","14","30","42","50","70","34.88","36.78","1.5","80","38.5","40"
"2001","Single parent","East Germany","38.22","40","168","22","36","44","50","60","36.65","39.79","5","65","40","40"
"2001","Single parent","West Germany","35.47","38.5","484","19.5","30","41.5","47","60","34.35","36.59","2","80","38","39"
"2002","(Married) couple without C.","East Germany","41","40","696","25","38.5","46","55","70","40.12","41.88","1.5","75","40","42"
"2002","(Married) couple without C.","West Germany","38.54","40","2678","20","35","45","52","70","38.06","39.02","1","80","40","40"
"2002","1-pers.-HH","East Germany","41.93","41","250","30","40","48","50","70","40.58","43.28","3","80","40","42"
"2002","1-pers.-HH","West Germany","40.1","40","1121","25","38","45","50","70","39.39","40.81","2","80","40","40"
"2002","Couple + C. GT 16 ","East Germany","40.95","40","740","30","40","45","51","72","40.16","41.74","2","75","40","42"
"2002","Couple + C. GT 16 ","West Germany","36.05","39","1738","15","30","42","50","70","35.43","36.67","1","80","39","40"
"2002","Couple + C. LE 16","East Germany","42.32","42","641","30","38","48","55","70","41.47","43.17","2.5","80","40","42"
"2002","Couple + C. LE 16","West Germany","36.97","40","2820","13","25","45","55","70","36.4","37.54","1.5","80","40","40"
"2002","Couple + C. LE and GT 16","East Germany","42.07","40","303","30","40","45","55","70","40.91","43.23","7","80","40","42"
"2002","Couple + C. LE and GT 16","West Germany","35.18","38.5","962","12","25","42","50","70","34.25","36.11","2","80","38.5","40"
"2002","Single parent","East Germany","39.33","40","170","25","36","45","50","60","37.72","40.94","4","80","40","40"
"2002","Single parent","West Germany","34.84","38.5","505","18","27","40","46","70","33.72","35.96","1","80","38","39.5"
"2003","(Married) couple without C.","East Germany","39.46","40","726","20","36","45","50","70","38.58","40.34","2","80","40","42"
"2003","(Married) couple without C.","West Germany","38.3","40","2515","19.3","35","45","50","70","37.81","38.79","2","80","40","40"
"2003","1-pers.-HH","East Germany","41.62","40.5","246","30","40","47","50","65","40.16","43.08","5","75","40","42"
"2003","1-pers.-HH","West Germany","39.77","40","1105","25","37.5","45","50","70","39.06","40.48","2","80","40","40"
"2003","Couple + C. GT 16 ","East Germany","41.31","40","719","30","40","45","50","70","40.51","42.11","2","80","40","42"
"2003","Couple + C. GT 16 ","West Germany","36.07","39","1711","15","30","42","50","70","35.44","36.7","1","80","39","40"
"2003","Couple + C. LE 16","East Germany","42.25","40","586","30","37.5","50","55","75","41.3","43.2","4.5","80","40","42"
"2003","Couple + C. LE 16","West Germany","36.43","40","2622","12.5","25","45","50","72","35.83","37.03","1","80","39.5","40"
"2003","Couple + C. LE and GT 16","East Germany","40.76","40","258","25","38","46","50","75","39.45","42.07","4","80","40","42"
"2003","Couple + C. LE and GT 16","West Germany","35.69","38.5","936","12","27.5","42.5","50","70","34.76","36.62","2","80","38.5","39.5"
"2003","Single parent","East Germany","39.73","40","156","30","38","45","50","60","38.16","41.3","4","70","40","40"
"2003","Single parent","West Germany","34.41","38.38","474","18","29","40","45","60","33.32","35.5","1","75","38","39"
"2004","(Married) couple without C.","East Germany","40.94","40","713","25","37","45","55","72","40.06","41.82","4","80","40","41"
"2004","(Married) couple without C.","West Germany","38.23","40","2511","20","35","45","50","70","37.74","38.72","2","80","40","40"
"2004","1-pers.-HH","East Germany","37.87","40","262","10","32","46","53","72","36.13","39.61","4","80","40","42"
"2004","1-pers.-HH","West Germany","39.54","40","1028","25","37.5","45","50","70","38.79","40.29","1.5","80","40","40"
"2004","Couple + C. GT 16 ","East Germany","40.76","40","708","30","39","45","50","70","39.97","41.55","2","72","40","41"
"2004","Couple + C. GT 16 ","West Germany","35.85","39","1682","15","30","42","50","70","35.21","36.49","1","80","40","40"
"2004","Couple + C. LE 16","East Germany","40.13","40","539","25","37","47","50","70","39.15","41.11","3","80","40","42"
"2004","Couple + C. LE 16","West Germany","36.76","40","2423","14","25","45","50","70","36.15","37.37","1","80","40","40"
"2004","Couple + C. LE and GT 16","East Germany","40.77","40","227","26","38","45","50","70","39.24","42.3","4","80","40","42"
"2004","Couple + C. LE and GT 16","West Germany","36.08","40","854","12","30","43","50","70","35.13","37.03","1","80","38.5","40"
"2004","Single parent","East Germany","38.51","40","164","20","38","42","48","78","36.72","40.3","4","80","40","40"
"2004","Single parent","West Germany","34.87","38.5","458","19.5","30","40","45","70","33.73","36.01","1","80","37.5","39"
"2005","(Married) couple without C.","East Germany","40.69","40","677","24","36.5","48","55","75","39.77","41.61","2","80","40","42"
"2005","(Married) couple without C.","West Germany","38.32","40","2415","20","35","45","50","70","37.8","38.84","1","80","40","40"
"2005","1-pers.-HH","East Germany","42.28","42","273","30","40","50","56","70","40.81","43.75","2","75","40","42"
