"pld0044","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Sometimes","2003","Hesse","(Married) couple without C. ","53","0.100530474519073","0.0750971553530884","0.125963793685057"
"Sometimes","2003","Hesse","Single parent ","6","","",""
"Sometimes","2003","Hesse","Couple + C. LE 16 ","51","0.148299915501617","0.109897022788879","0.186702808214354"
"Sometimes","2003","Hesse","Couple + C. GT 16 ","48","0.266831302413417","0.209419522299957","0.324243082526877"
"Sometimes","2003","Hesse","Couple + C. LE and GT 16","22","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","1-pers.-HH","14","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","(Married) couple without C. ","37","0.104800334079991","0.0746706812933748","0.134929986866608"
"Sometimes","2003","Rhineland-Palatinate,Saarland","Single parent ","11","","",""
"Sometimes","2003","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","42","0.168797498482897","0.124923673420362","0.212671323545431"
"Sometimes","2003","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","37","0.155028973016859","0.102733207648501","0.207324738385217"
"Sometimes","2003","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","25","","",""
"Sometimes","2003","Baden-Württemberg","1-pers.-HH","51","0.130869327276896","0.0941464197203505","0.167592234833441"
"Sometimes","2003","Baden-Württemberg","(Married) couple without C. ","76","0.0994204754431944","0.0787756946524069","0.120065256233982"
"Sometimes","2003","Baden-Württemberg","Single parent ","20","","",""
"Sometimes","2003","Baden-Württemberg","Couple + C. LE 16 ","62","0.0991573650839229","0.0754008213720747","0.122913908795771"
"Sometimes","2003","Baden-Württemberg","Couple + C. GT 16 ","85","0.170127815213668","0.135939132535901","0.204316497891435"
"Sometimes","2003","Baden-Württemberg","Couple + C. LE and GT 16","38","0.152582065266264","0.111478925683241","0.193685204849287"
"Sometimes","2003","Bavaria","1-pers.-HH","76","0.177396326500349","0.13996064628279","0.214832006717909"
"Sometimes","2003","Bavaria","(Married) couple without C. ","118","0.110704101766277","0.0910696586451271","0.130338544887427"
"Sometimes","2003","Bavaria","Single parent ","41","0.289451939565059","0.221677048417439","0.357226830712679"
"Sometimes","2003","Bavaria","Couple + C. LE 16 ","94","0.158570700001645","0.130618470178392","0.186522929824899"
"Sometimes","2003","Bavaria","Couple + C. GT 16 ","84","0.112968795534044","0.0873606730398379","0.13857691802825"
"Sometimes","2003","Bavaria","Couple + C. LE and GT 16","44","0.180253549871349","0.132980576625821","0.227526523116877"
"Sometimes","2003","Berlin","1-pers.-HH","37","0.166490118689583","0.114862427812452","0.218117809566714"
"Sometimes","2003","Berlin","(Married) couple without C. ","33","0.130702367691179","0.0865605657602464","0.174844169622111"
"Sometimes","2003","Berlin","Single parent ","19","","",""
"Sometimes","2003","Berlin","Couple + C. LE 16 ","27","","",""
"Sometimes","2003","Berlin","Couple + C. GT 16 ","31","0.206051034247695","0.139052119780582","0.273049948714807"
"Sometimes","2003","Berlin","Couple + C. LE and GT 16","8","","",""
"Sometimes","2003","Brandenburg","1-pers.-HH","11","","",""
"Sometimes","2003","Brandenburg","(Married) couple without C. ","31","0.0836570044735927","0.0544833907266605","0.112830618220525"
"Sometimes","2003","Brandenburg","Single parent ","8","","",""
"Sometimes","2003","Brandenburg","Couple + C. LE 16 ","12","","",""
"Sometimes","2003","Brandenburg","Couple + C. GT 16 ","14","","",""
"Sometimes","2003","Brandenburg","Couple + C. LE and GT 16","10","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","1-pers.-HH","6","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","(Married) couple without C. ","11","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","Single parent ","5","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","9","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","18","","",""
"Sometimes","2003","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","2","","",""
"Sometimes","2003","Saxony","1-pers.-HH","38","0.188209962733346","0.135468760380046","0.240951165086646"
"Sometimes","2003","Saxony","(Married) couple without C. ","37","0.062122992815205","0.0423936191548157","0.0818523664755942"
"Sometimes","2003","Saxony","Single parent ","12","","",""
"Sometimes","2003","Saxony","Couple + C. LE 16 ","19","","",""
"Sometimes","2003","Saxony","Couple + C. GT 16 ","41","0.140546490852033","0.101857407342677","0.179235574361388"
"Sometimes","2003","Saxony","Couple + C. LE and GT 16","13","","",""
"Sometimes","2003","Saxony-Anhalt","1-pers.-HH","16","","",""
"Sometimes","2003","Saxony-Anhalt","(Married) couple without C. ","23","","",""
"Sometimes","2003","Saxony-Anhalt","Single parent ","7","","",""
"Sometimes","2003","Saxony-Anhalt","Couple + C. LE 16 ","11","","",""
"Sometimes","2003","Saxony-Anhalt","Couple + C. GT 16 ","38","0.133291389406965","0.0891731400877386","0.177409638726192"
"Sometimes","2003","Saxony-Anhalt","Couple + C. LE and GT 16","10","","",""
"Sometimes","2003","Thuringia","1-pers.-HH","15","","",""
"Sometimes","2003","Thuringia","(Married) couple without C. ","12","","",""
"Sometimes","2003","Thuringia","Single parent ","5","","",""
"Sometimes","2003","Thuringia","Couple + C. LE 16 ","11","","",""
"Sometimes","2003","Thuringia","Couple + C. GT 16 ","30","0.113878739953787","0.0716132284885044","0.15614425141907"
"Sometimes","2003","Thuringia","Couple + C. LE and GT 16","12","","",""
"Rarely","2003","Schleswig-Holstein","1-pers.-HH","44","0.492022477719449","0.393041948226973","0.591003007211924"
"Rarely","2003","Schleswig-Holstein","(Married) couple without C. ","135","0.552503677141081","0.491233356608993","0.613773997673169"
"Rarely","2003","Schleswig-Holstein","Single parent ","14","","",""
"Rarely","2003","Schleswig-Holstein","Couple + C. LE 16 ","71","0.517309105718203","0.430742035244872","0.603876176191533"
"Rarely","2003","Schleswig-Holstein","Couple + C. GT 16 ","38","0.294675129719485","0.204870891291484","0.384479368147487"
"Rarely","2003","Schleswig-Holstein","Couple + C. LE and GT 16","23","","",""
"Rarely","2003","Hamburg","1-pers.-HH","35","0.434610490829016","0.320110403371947","0.549110578286084"
"Rarely","2003","Hamburg","(Married) couple without C. ","36","0.349900049423467","0.255950962818109","0.443849136028825"
"Rarely","2003","Hamburg","Single parent ","5","","",""
"Rarely","2003","Hamburg","Couple + C. LE 16 ","31","0.623969554843588","0.502413561179743","0.745525548507433"
"Rarely","2003","Hamburg","Couple + C. GT 16 ","6","","",""
"Rarely","2003","Hamburg","Couple + C. LE and GT 16","9","","",""
"Rarely","2003","Lower Saxony","1-pers.-HH","70","0.288365014717309","0.227386043850337","0.349343985584282"
"Rarely","2003","Lower Saxony","(Married) couple without C. ","161","0.250189809613996","0.215705442768309","0.284674176459683"
"Rarely","2003","Lower Saxony","Single parent ","30","0.231109821573066","0.149701118411538","0.312518524734593"
"Rarely","2003","Lower Saxony","Couple + C. LE 16 ","150","0.383486140941427","0.336420668633347","0.430551613249506"
"Rarely","2003","Lower Saxony","Couple + C. GT 16 ","104","0.226764123097213","0.1833880983185","0.270140147875926"
"Rarely","2003","Lower Saxony","Couple + C. LE and GT 16","41","0.343004788932139","0.26492563249591","0.421083945368368"
"Rarely","2003","Bremen","1-pers.-HH","8","","",""
"Rarely","2003","Bremen","(Married) couple without C. ","17","","",""
"Rarely","2003","Bremen","Single parent ","1","","",""
"Rarely","2003","Bremen","Couple + C. LE 16 ","12","","",""
"Rarely","2003","Bremen","Couple + C. GT 16 ","10","","",""
"Rarely","2003","Bremen","Couple + C. LE and GT 16","3","","",""
