"pgfamstd","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"2","1988","Single parent ","East Germany","","","",""
"2","1988","Couple + C. LE 16 ","West Germany","23","","",""
"2","1988","Couple + C. LE 16 ","East Germany","","","",""
"2","1988","Couple + C. GT 16 ","West Germany","10","","",""
"2","1988","Couple + C. GT 16 ","East Germany","","","",""
"2","1988","Couple + C. LE and GT 16","West Germany","6","","",""
"2","1988","Couple + C. LE and GT 16","East Germany","","","",""
"3","1988","1-pers.-HH","West Germany","403","0.360661081749718","0.33143477593823","0.389887387561207"
"3","1988","1-pers.-HH","East Germany","","","",""
"3","1988","(Married) couple without C. ","West Germany","238","0.0861366419973749","0.074635404313746","0.0976378796810038"
"3","1988","(Married) couple without C. ","East Germany","","","",""
"3","1988","Single parent ","West Germany","234","0.469708859047812","0.426050461210535","0.513367256885089"
"3","1988","Single parent ","East Germany","","","",""
"3","1988","Couple + C. LE 16 ","West Germany","28","","",""
"3","1988","Couple + C. LE 16 ","East Germany","","","",""
"3","1988","Couple + C. GT 16 ","West Germany","909","0.399227078605543","0.378799648809","0.419654508402086"
"3","1988","Couple + C. GT 16 ","East Germany","","","",""
"3","1988","Couple + C. LE and GT 16","West Germany","413","0.363395463333631","0.334802581187024","0.391988345480237"
"3","1988","Couple + C. LE and GT 16","East Germany","","","",""
"4","1988","1-pers.-HH","West Germany","143","0.12628332293797","0.10606630827502","0.14650033760092"
"4","1988","1-pers.-HH","East Germany","","","",""
"4","1988","(Married) couple without C. ","West Germany","52","0.0180577623115716","0.0125991165112378","0.0235164081119054"
"4","1988","(Married) couple without C. ","East Germany","","","",""
"4","1988","Single parent ","West Germany","93","0.187405733665863","0.153268797012416","0.22154267031931"
"4","1988","Single parent ","East Germany","","","",""
"4","1988","Couple + C. LE 16 ","West Germany","12","","",""
"4","1988","Couple + C. LE 16 ","East Germany","","","",""
"4","1988","Couple + C. GT 16 ","West Germany","15","","",""
"4","1988","Couple + C. GT 16 ","East Germany","","","",""
"4","1988","Couple + C. LE and GT 16","West Germany","6","","",""
"4","1988","Couple + C. LE and GT 16","East Germany","","","",""
"5","1988","1-pers.-HH","West Germany","392","0.453287111624393","0.422988337717692","0.483585885531094"
"5","1988","1-pers.-HH","East Germany","","","",""
