"pgfamstd","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Widowed","1993","higher vocational","40","0.101001140073509","0.0793778693471184","0.1226244107999","5"
"Widowed","1993","higher education","43","0.0307149394647158","0.0223616177933577","0.0390682611360739","5"
"Divorced","1994","in school","","","","","4"
"Divorced","1994","inadequately","19","","","","4"
"Divorced","1994","general elemantary","96","0.0511524377229052","0.0425026497347291","0.0598022257110812","4"
"Divorced","1994","middle vocational","351","0.0678326809178091","0.0617518225601529","0.0739135392754653","4"
"Divorced","1994","vocational + Abi","12","","","","4"
"Divorced","1994","higher vocational","29","","","","4"
"Divorced","1994","higher education","106","0.0826146261709181","0.0693472600077371","0.0958819923340991","4"
"Married","1994","in school","","","","","1"
"Married","1994","inadequately","422","0.630872607597334","0.590761036946371","0.670984178248297","1"
"Married","1994","higher education","1230","0.671192238533892","0.648552321472221","0.693832155595564","1"
"Married","1994","middle vocational","4276","0.610715694049733","0.598924672093405","0.622506716006061","1"
"Married","1994","vocational + Abi","210","0.474362241113538","0.424930786441115","0.523793695785962","1"
"Married","1994","higher vocational","567","0.672062220491931","0.638619575520258","0.705504865463604","1"
"Married","1994","general elemantary","1368","0.488930226419204","0.46930396345524","0.508556489383168","1"
"Married, but separated","1994","vocational + Abi","9","","","","2"
"Married, but separated","1994","higher vocational","11","","","","2"
"Married, but separated","1994","higher education","30","0.0246294730079644","0.0171599527015793","0.0320989933143494","2"
"Married, but separated","1994","inadequately","22","","","","2"
"Married, but separated","1994","general elemantary","66","0.0277012519833294","0.0212577252570296","0.0341447787096292","2"
"Married, but separated","1994","middle vocational","142","0.0225649637789307","0.0189735972431423","0.0261563303147192","2"
"Married, but separated","1994","in school","","","","","2"
"Single","1994","in school","240","1","1","1","3"
"Single","1994","inadequately","69","0.207835714676339","0.174108660207512","0.241562769145167","3"
"Single","1994","middle vocational","1421","0.202913489907669","0.193188108332737","0.212638871482601","3"
"Single","1994","vocational + Abi","156","0.435593044743544","0.386508846181276","0.484677243305811","3"
"Single","1994","higher vocational","111","0.1592634040465","0.133196579770504","0.185330228322497","3"
"Single","1994","higher education","242","0.187943109887847","0.169115865040304","0.206770354735391","3"
"Single","1994","general elemantary","644","0.214340563571069","0.198228787333141","0.230452339808997","3"
"Widowed","1994","in school","","","","","5"
"Widowed","1994","inadequately","24","","","","5"
"Widowed","1994","general elemantary","318","0.217875520303493","0.201668012842925","0.23408302776406","5"
"Widowed","1994","middle vocational","379","0.0959731713458576","0.0888501533327566","0.103096189358959","5"
"Widowed","1994","vocational + Abi","5","","","","5"
"Widowed","1994","higher vocational","39","0.102658503486936","0.081037467900013","0.124279539073859","5"
"Widowed","1994","higher education","46","0.033620552399378","0.0249338167926844","0.0423072880060715","5"
"Divorced","1995","vocational + Abi","14","","","","4"
"Divorced","1995","in school","","","","","4"
"Divorced","1995","inadequately","15","","","","4"
"Divorced","1995","general elemantary","105","0.0563922650180473","0.0473389969126956","0.065445533123399","4"
"Divorced","1995","middle vocational","381","0.0720431003749432","0.0658639358420683","0.0782222649078182","4"
