"pgfamstd","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Married, but separated","1987","16-34 y.","Single parent ","15","","","","2"
"Married, but separated","1987","16-34 y.","Couple + C. LE and GT 16","9","","","","2"
"Married, but separated","1987","35-65 y.","1-pers.-HH","80","0.116890467925685","0.0857909972331592","0.147989938618212","2"
"Married, but separated","1987","35-65 y.","Couple + C. LE 16 ","5","","","","2"
"Married, but separated","1987","35-65 y.","Couple + C. LE and GT 16","2","","","","2"
"Married, but separated","1987","66 and older","1-pers.-HH","4","","","","2"
"Married, but separated","1987","16-34 y.","(Married) couple without C. ","1","","","","2"
"Married, but separated","1987","66 and older","Couple + C. LE 16 ","","","","","2"
"Married, but separated","1987","35-65 y.","Couple + C. GT 16 ","8","","","","2"
"Married, but separated","1987","66 and older","(Married) couple without C. ","1","","","","2"
"Married, but separated","1987","66 and older","Single parent ","","","","","2"
"Married, but separated","1987","66 and older","Couple + C. LE and GT 16","","","","","2"
"Single","1987","66 and older","(Married) couple without C. ","2","","","","3"
"Single","1987","66 and older","Couple + C. LE and GT 16","1","","","","3"
"Single","1987","16-34 y.","1-pers.-HH","269","0.882245625834001","0.846190901076047","0.918300350591955","3"
"Single","1987","16-34 y.","(Married) couple without C. ","221","0.363258565013921","0.324647262836861","0.401869867190981","3"
"Single","1987","16-34 y.","Single parent ","229","0.873265777316365","0.833211829545604","0.913319725087126","3"
"Single","1987","66 and older","Couple + C. GT 16 ","","","","","3"
"Single","1987","16-34 y.","Couple + C. LE 16 ","25","","","","3"
"Single","1987","35-65 y.","(Married) couple without C. ","19","","","","3"
"Single","1987","35-65 y.","Single parent ","26","","","","3"
"Single","1987","35-65 y.","Couple + C. GT 16 ","15","","","","3"
"Single","1987","35-65 y.","Couple + C. LE and GT 16","2","","","","3"
"Single","1987","66 and older","1-pers.-HH","42","0.112539569244905","0.0802945952274617","0.144784543262348","3"
"Single","1987","66 and older","Single parent ","","","","","3"
"Single","1987","66 and older","Couple + C. LE 16 ","","","","","3"
"Single","1987","16-34 y.","Couple + C. GT 16 ","851","0.97396436613899","0.96348483402755","0.984443898250431","3"
"Single","1987","16-34 y.","Couple + C. LE and GT 16","496","0.964908604846961","0.949227969253844","0.980589240440078","3"
"Single","1987","35-65 y.","1-pers.-HH","123","0.313012390440842","0.268126341424046","0.357898439457637","3"
"Single","1987","35-65 y.","Couple + C. LE 16 ","3","","","","3"
"Widowed","1987","35-65 y.","Couple + C. LE 16 ","3","","","","5"
"Widowed","1987","16-34 y.","1-pers.-HH","2","","","","5"
"Widowed","1987","16-34 y.","(Married) couple without C. ","","","","","5"
"Widowed","1987","16-34 y.","Couple + C. LE 16 ","","","","","5"
"Widowed","1987","16-34 y.","Couple + C. LE and GT 16","","","","","5"
"Widowed","1987","35-65 y.","Single parent ","84","0.372034986742019","0.308165067602838","0.435904905881199","5"
"Widowed","1987","16-34 y.","Couple + C. GT 16 ","","","","","5"
"Widowed","1987","35-65 y.","1-pers.-HH","97","0.269172352192774","0.226240574500943","0.312104129884605","5"
"Widowed","1987","35-65 y.","(Married) couple without C. ","15","","","","5"
