"pgfamstd","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1","2001","Not Employed","1-pers.-HH","","","",""
"1","2001","Not Employed","(Married) couple without C. ","3215","0.938073475137567","0.930021555333445","0.946125394941689"
"1","2001","Not Employed","Single parent ","2","","",""
"1","2001","Not Employed","Couple + C. LE 16 ","837","0.893998409768926","0.874340053431204","0.913656766106648"
"1","2001","Not Employed","Couple + C. GT 16 ","600","0.576063416831106","0.546271654615503","0.605855179046709"
"1","2001","Not Employed","Couple + C. LE and GT 16","173","0.359255306336888","0.315647351476014","0.402863261197763"
"1","2001","Employed","1-pers.-HH","","","",""
"1","2001","Employed","(Married) couple without C. ","2520","0.760113516688315","0.745881130710208","0.774345902666423"
"1","2001","Employed","Single parent ","8","","",""
"1","2001","Employed","Couple + C. LE 16 ","3378","0.883830296961552","0.873674359189598","0.893986234733506"
"1","2001","Employed","Couple + C. GT 16 ","1525","0.583134245206159","0.56413517884094","0.602133311571378"
"1","2001","Employed","Couple + C. LE and GT 16","876","0.670175930545958","0.644470072015626","0.69588178907629"
"2","2001","Not Employed","1-pers.-HH","51","0.0304216365862109","0.0214476836608955","0.0393955895115264"
"2","2001","Not Employed","(Married) couple without C. ","24","","",""
"2","2001","Not Employed","Single parent ","37","0.0955366703719721","0.0659812714801055","0.125092069263839"
"2","2001","Not Employed","Couple + C. LE 16 ","12","","",""
"2","2001","Not Employed","Couple + C. GT 16 ","7","","",""
"2","2001","Not Employed","Couple + C. LE and GT 16","3","","",""
"2","2001","Employed","1-pers.-HH","110","0.0601009367376488","0.0483218682876415","0.0718800051876562"
"2","2001","Employed","(Married) couple without C. ","42","0.0108052897655513","0.00735945301823498","0.0142511265128676"
"2","2001","Employed","Single parent ","82","0.102739164323307","0.0809663203479714","0.124512008298643"
"2","2001","Employed","Couple + C. LE 16 ","39","0.0103685727387414","0.00715797882670221","0.0135791666507805"
"2","2001","Employed","Couple + C. GT 16 ","13","","",""
"2","2001","Employed","Couple + C. LE and GT 16","14","","",""
"3","2001","Not Employed","1-pers.-HH","253","0.179323314746565","0.15927834204335","0.199368287449779"
"3","2001","Not Employed","(Married) couple without C. ","69","0.0161506385332422","0.0119394778710764","0.0203617991954081"
"3","2001","Not Employed","Single parent ","177","0.481590833358874","0.431352903551545","0.531828763166203"
"3","2001","Not Employed","Couple + C. LE 16 ","58","0.0551698035054446","0.0405900480194864","0.0697495589914028"
"3","2001","Not Employed","Couple + C. GT 16 ","439","0.408634411799773","0.378999332738338","0.438269490861208"
"3","2001","Not Employed","Couple + C. LE and GT 16","284","0.629962724053236","0.586079171491967","0.673846276614504"
"3","2001","Employed","1-pers.-HH","1016","0.655370310687618","0.631817136574206","0.67892348480103"
"3","2001","Employed","(Married) couple without C. ","713","0.179908240674419","0.167105812475631","0.192710668873208"
"3","2001","Employed","Single parent ","330","0.433164032858355","0.39763014854526","0.468697917171451"
"3","2001","Employed","Couple + C. LE 16 ","251","0.0616541743751496","0.054030719120659","0.0692776296296402"
"3","2001","Employed","Couple + C. GT 16 ","978","0.386707417436956","0.367941276055136","0.405473558818775"
"3","2001","Employed","Couple + C. LE and GT 16","368","0.307555344765053","0.28232340145418","0.332787288075927"
"4","2001","Not Employed","1-pers.-HH","200","0.132152261512784","0.114456872679626","0.149847650345941"
"4","2001","Not Employed","(Married) couple without C. ","54","0.0150567582635099","0.0109884486283198","0.0191250678987"
"4","2001","Not Employed","Single parent ","62","0.171329838856345","0.133445156835732","0.209214520876957"
"4","2001","Not Employed","Couple + C. LE 16 ","32","0.0351841793866876","0.0234184579775517","0.0469499007958235"
"4","2001","Not Employed","Couple + C. GT 16 ","8","","",""
"4","2001","Not Employed","Couple + C. LE and GT 16","3","","",""
"4","2001","Employed","1-pers.-HH","338","0.219375390844173","0.198866376464975","0.239884405223371"
"4","2001","Employed","(Married) couple without C. ","160","0.0435091241850809","0.0367097931965228","0.0503084551736391"
"4","2001","Employed","Single parent ","254","0.362861299621612","0.32838067626303","0.397341922980194"
"4","2001","Employed","Couple + C. LE 16 ","150","0.0433661953974412","0.0369105796529871","0.0498218111418952"
"4","2001","Employed","Couple + C. GT 16 ","63","0.0222567916807088","0.0165722747925845","0.0279413085688332"
"4","2001","Employed","Couple + C. LE and GT 16","20","","",""
"5","2001","Not Employed","1-pers.-HH","901","0.657429284192872","0.632632196238383","0.68222637214736"
"5","2001","Not Employed","(Married) couple without C. ","80","0.0248156296502048","0.0196186780333709","0.0300125812670386"
"5","2001","Not Employed","Single parent ","101","0.240903256964797","0.197907441273108","0.283899072656486"
"5","2001","Not Employed","Couple + C. LE 16 ","3","","",""
"5","2001","Not Employed","Couple + C. GT 16 ","3","","",""
"5","2001","Not Employed","Couple + C. LE and GT 16","2","","",""
"5","2001","Employed","1-pers.-HH","98","0.0640439776945086","0.0519101845468332","0.0761777708421841"
"5","2001","Employed","(Married) couple without C. ","23","","",""
"5","2001","Employed","Single parent ","73","0.0917341574116984","0.0710346591250083","0.112433655698389"
"5","2001","Employed","Couple + C. LE 16 ","6","","",""
"5","2001","Employed","Couple + C. GT 16 ","8","","",""
"5","2001","Employed","Couple + C. LE and GT 16","7","","",""
"6","2001","Not Employed","1-pers.-HH","2","","",""
"6","2001","Not Employed","(Married) couple without C. ","","","",""
"6","2001","Not Employed","Single parent ","1","","",""
"6","2001","Not Employed","Couple + C. LE 16 ","","","",""
"6","2001","Not Employed","Couple + C. GT 16 ","","","",""
"6","2001","Not Employed","Couple + C. LE and GT 16","","","",""
"6","2001","Employed","1-pers.-HH","2","","",""
"6","2001","Employed","(Married) couple without C. ","","","",""
"6","2001","Employed","Single parent ","","","",""
"6","2001","Employed","Couple + C. LE 16 ","","","",""
"6","2001","Employed","Couple + C. GT 16 ","","","",""
"6","2001","Employed","Couple + C. LE and GT 16","","","",""
"7","2001","Not Employed","1-pers.-HH","","","",""
"7","2001","Not Employed","(Married) couple without C. ","","","",""
"7","2001","Not Employed","Single parent ","","","",""
"7","2001","Not Employed","Couple + C. LE 16 ","","","",""
"7","2001","Not Employed","Couple + C. GT 16 ","","","",""
"7","2001","Not Employed","Couple + C. LE and GT 16","","","",""
"7","2001","Employed","1-pers.-HH","","","",""
"7","2001","Employed","(Married) couple without C. ","","","",""
"7","2001","Employed","Single parent ","","","",""
"7","2001","Employed","Couple + C. LE 16 ","","","",""
"7","2001","Employed","Couple + C. GT 16 ","","","",""
"7","2001","Employed","Couple + C. LE and GT 16","","","",""
"8","2001","Not Employed","1-pers.-HH","","","",""
"8","2001","Not Employed","(Married) couple without C. ","","","",""
"8","2001","Not Employed","Single parent ","","","",""
"8","2001","Not Employed","Couple + C. LE 16 ","","","",""
"8","2001","Not Employed","Couple + C. GT 16 ","","","",""
"8","2001","Not Employed","Couple + C. LE and GT 16","","","",""
"8","2001","Employed","1-pers.-HH","","","",""
"8","2001","Employed","(Married) couple without C. ","","","",""
"8","2001","Employed","Single parent ","","","",""
"8","2001","Employed","Couple + C. LE 16 ","","","",""
"8","2001","Employed","Couple + C. GT 16 ","","","",""
"8","2001","Employed","Couple + C. LE and GT 16","","","",""
"1","2002","Not Employed","1-pers.-HH","","","",""
"1","2002","Not Employed","(Married) couple without C. ","3308","0.930315601932944","0.921954104473721","0.938677099392167"
"1","2002","Not Employed","Single parent ","1","","",""
"1","2002","Not Employed","Couple + C. LE 16 ","807","0.910931892392052","0.892239291643825","0.92962449314028"
"1","2002","Not Employed","Couple + C. GT 16 ","609","0.560557022957089","0.532117891858804","0.588996154055375"
"1","2002","Not Employed","Couple + C. LE and GT 16","170","0.337543989426704","0.29621947012568","0.378868508727728"
"1","2002","Employed","1-pers.-HH","1","","",""
"1","2002","Employed","(Married) couple without C. ","2914","0.759802222622388","0.746404939245637","0.773199505999139"
"1","2002","Employed","Single parent ","5","","",""
"1","2002","Employed","Couple + C. LE 16 ","3409","0.884151343151036","0.874065466202662","0.89423722009941"
"1","2002","Employed","Couple + C. GT 16 ","1720","0.605096788333137","0.587102722037738","0.623090854628536"
"1","2002","Employed","Couple + C. LE and GT 16","1003","0.659810113485979","0.63543287152551","0.684187355446447"
"2","2002","Not Employed","1-pers.-HH","56","0.0346871408000192","0.0250916280829645","0.044282653517074"
"2","2002","Not Employed","(Married) couple without C. ","25","","",""
"2","2002","Not Employed","Single parent ","29","","",""
"2","2002","Not Employed","Couple + C. LE 16 ","8","","",""
"2","2002","Not Employed","Couple + C. GT 16 ","7","","",""
"2","2002","Not Employed","Couple + C. LE and GT 16","4","","",""
"2","2002","Employed","1-pers.-HH","106","0.0521869642104473","0.0411892519124032","0.0631846765084914"
"2","2002","Employed","(Married) couple without C. ","43","0.010591757520503","0.00738139742540548","0.0138021176156005"
"2","2002","Employed","Single parent ","90","0.107173883072918","0.0852679562709579","0.129079809874879"
"2","2002","Employed","Couple + C. LE 16 ","43","0.0109265653692249","0.0076504366177209","0.0142026941207289"
"2","2002","Employed","Couple + C. GT 16 ","19","","",""
"2","2002","Employed","Couple + C. LE and GT 16","14","","",""
"3","2002","Not Employed","1-pers.-HH","256","0.181574757917232","0.161360065730111","0.201789450104353"
"3","2002","Not Employed","(Married) couple without C. ","73","0.0211771529257294","0.0164490494920156","0.0259052563594431"
"3","2002","Not Employed","Single parent ","178","0.497144255261037","0.445990446029131","0.548298064492943"
"3","2002","Not Employed","Couple + C. LE 16 ","48","0.0496258610549933","0.0353741504016202","0.0638775717083664"
"3","2002","Not Employed","Couple + C. GT 16 ","542","0.42454802183606","0.396226074255992","0.452869969416127"
"3","2002","Not Employed","Couple + C. LE and GT 16","322","0.638447572858197","0.596460813181489","0.680434332534905"
"3","2002","Employed","1-pers.-HH","1008","0.662466561387729","0.639083553224912","0.685849569550545"
"3","2002","Employed","(Married) couple without C. ","733","0.182879778643754","0.170756843149066","0.195002714138442"
"3","2002","Employed","Single parent ","345","0.446592626692528","0.411387010418167","0.481798242966889"
"3","2002","Employed","Couple + C. LE 16 ","255","0.0639557559246525","0.0562450726371033","0.0716664392122016"
"3","2002","Employed","Couple + C. GT 16 ","1018","0.367859011528513","0.350108158231084","0.385609864825941"
"3","2002","Employed","Couple + C. LE and GT 16","403","0.310836557165873","0.28702205288171","0.334651061450036"
"4","2002","Not Employed","1-pers.-HH","214","0.147815068653336","0.129203791867914","0.166426345438758"
"4","2002","Not Employed","(Married) couple without C. ","63","0.0172931854998406","0.0130121323734265","0.0215742386262546"
"4","2002","Not Employed","Single parent ","59","0.191853969643981","0.151568783408654","0.232139155879308"
"4","2002","Not Employed","Couple + C. LE 16 ","26","","",""
"4","2002","Not Employed","Couple + C. GT 16 ","10","","",""
"4","2002","Not Employed","Couple + C. LE and GT 16","4","","",""
"4","2002","Employed","1-pers.-HH","347","0.216155182370647","0.195800802738781","0.236509562002513"
"4","2002","Employed","(Married) couple without C. ","190","0.0405309081214126","0.0343466069211034","0.0467152093217217"
"4","2002","Employed","Single parent ","254","0.361246538393623","0.327229054591073","0.395264022196172"
"4","2002","Employed","Couple + C. LE 16 ","150","0.0389840209190149","0.0328842506550845","0.0450837911829453"
"4","2002","Employed","Couple + C. GT 16 ","69","0.0192551887886186","0.0141966689276343","0.024313708649603"
"4","2002","Employed","Couple + C. LE and GT 16","28","","",""
"5","2002","Not Employed","1-pers.-HH","870","0.635546871963556","0.610309477156009","0.660784266771102"
"5","2002","Not Employed","(Married) couple without C. ","93","0.0240011705358307","0.0189749447574034","0.0290273963142579"
"5","2002","Not Employed","Single parent ","100","0.240663629332831","0.196927797510243","0.284399461155418"
"5","2002","Not Employed","Couple + C. LE 16 ","3","","",""
"5","2002","Not Employed","Couple + C. GT 16 ","2","","",""
"5","2002","Not Employed","Couple + C. LE and GT 16","3","","",""
"5","2002","Employed","1-pers.-HH","106","0.0674713968405804","0.0550677060859119","0.0798750875952489"
"5","2002","Employed","(Married) couple without C. ","26","","",""
"5","2002","Employed","Single parent ","72","0.0786932101213945","0.059625239548336","0.097761180694453"
"5","2002","Employed","Couple + C. LE 16 ","9","","",""
"5","2002","Employed","Couple + C. GT 16 ","9","","",""
"5","2002","Employed","Couple + C. LE and GT 16","3","","",""
"6","2002","Not Employed","1-pers.-HH","1","","",""
"6","2002","Not Employed","(Married) couple without C. ","","","",""
"6","2002","Not Employed","Single parent ","","","",""
"6","2002","Not Employed","Couple + C. LE 16 ","","","",""
"6","2002","Not Employed","Couple + C. GT 16 ","","","",""
"6","2002","Not Employed","Couple + C. LE and GT 16","","","",""
"6","2002","Employed","1-pers.-HH","3","","",""
"6","2002","Employed","(Married) couple without C. ","","","",""
"6","2002","Employed","Single parent ","","","",""
"6","2002","Employed","Couple + C. LE 16 ","","","",""
"6","2002","Employed","Couple + C. GT 16 ","","","",""
"6","2002","Employed","Couple + C. LE and GT 16","","","",""
"7","2002","Not Employed","1-pers.-HH","","","",""
"7","2002","Not Employed","(Married) couple without C. ","","","",""
"7","2002","Not Employed","Single parent ","","","",""
"7","2002","Not Employed","Couple + C. LE 16 ","","","",""
"7","2002","Not Employed","Couple + C. GT 16 ","","","",""
"7","2002","Not Employed","Couple + C. LE and GT 16","","","",""
"7","2002","Employed","1-pers.-HH","","","",""
"7","2002","Employed","(Married) couple without C. ","","","",""
"7","2002","Employed","Single parent ","","","",""
"7","2002","Employed","Couple + C. LE 16 ","2","","",""
"7","2002","Employed","Couple + C. GT 16 ","","","",""
"7","2002","Employed","Couple + C. LE and GT 16","","","",""
"8","2002","Not Employed","1-pers.-HH","","","",""
"8","2002","Not Employed","(Married) couple without C. ","","","",""
"8","2002","Not Employed","Single parent ","","","",""
"8","2002","Not Employed","Couple + C. LE 16 ","","","",""
"8","2002","Not Employed","Couple + C. GT 16 ","","","",""
"8","2002","Not Employed","Couple + C. LE and GT 16","","","",""
"8","2002","Employed","1-pers.-HH","","","",""
"8","2002","Employed","(Married) couple without C. ","","","",""
"8","2002","Employed","Single parent ","","","",""
"8","2002","Employed","Couple + C. LE 16 ","","","",""
"8","2002","Employed","Couple + C. GT 16 ","","","",""
"8","2002","Employed","Couple + C. LE and GT 16","","","",""
"1","2003","Not Employed","1-pers.-HH","","","",""
"1","2003","Not Employed","(Married) couple without C. ","3305","0.931635167412002","0.923350832684016","0.939919502139988"
"1","2003","Not Employed","Single parent ","1","","",""
"1","2003","Not Employed","Couple + C. LE 16 ","705","0.872808662073549","0.849849178149122","0.895768145997977"
"1","2003","Not Employed","Couple + C. GT 16 ","608","0.557006196323908","0.528699801648317","0.585312590999499"
"1","2003","Not Employed","Couple + C. LE and GT 16","169","0.355642554126576","0.31376642614543","0.397518682107722"
"1","2003","Employed","1-pers.-HH","1","","",""
"1","2003","Employed","(Married) couple without C. ","2685","0.730627304927923","0.716416950632236","0.74483765922361"
"1","2003","Employed","Single parent ","6","","",""
"1","2003","Employed","Couple + C. LE 16 ","3117","0.872931508913737","0.862012585036457","0.883850432791017"
"1","2003","Employed","Couple + C. GT 16 ","1685","0.600045167329742","0.581805064864465","0.618285269795018"
"1","2003","Employed","Couple + C. LE and GT 16","931","0.689246723789744","0.664485788433898","0.714007659145591"
"2","2003","Not Employed","1-pers.-HH","54","0.0332822174555233","0.0239592477407933","0.0426051871702533"
"2","2003","Not Employed","(Married) couple without C. ","20","","",""
"2","2003","Not Employed","Single parent ","27","","",""
"2","2003","Not Employed","Couple + C. LE 16 ","6","","",""
"2","2003","Not Employed","Couple + C. GT 16 ","6","","",""
"2","2003","Not Employed","Couple + C. LE and GT 16","2","","",""
"2","2003","Employed","1-pers.-HH","114","0.059567458349708","0.0476649755301049","0.0714699411693112"
"2","2003","Employed","(Married) couple without C. ","53","0.0137363416279056","0.0100080298057547","0.0174646534500565"
"2","2003","Employed","Single parent ","93","0.115106626278699","0.0919707988277451","0.138242453729653"
"2","2003","Employed","Couple + C. LE 16 ","54","0.0115482554814203","0.00804552481487609","0.0150509861479646"
"2","2003","Employed","Couple + C. GT 16 ","17","","",""
"2","2003","Employed","Couple + C. LE and GT 16","11","","",""
"3","2003","Not Employed","1-pers.-HH","262","0.187578496821417","0.167288568006538","0.207868425636296"
"3","2003","Not Employed","(Married) couple without C. ","79","0.0231564553216207","0.0182194127787267","0.0280934978645147"
"3","2003","Not Employed","Single parent ","203","0.555393020209306","0.505884384884278","0.604901655534335"
"3","2003","Not Employed","Couple + C. LE 16 ","70","0.079400245802138","0.0607699315321925","0.0980305600720836"
"3","2003","Not Employed","Couple + C. GT 16 ","553","0.424471784157241","0.396306545070729","0.452637023243753"
"3","2003","Not Employed","Couple + C. LE and GT 16","321","0.623632995066217","0.581252449187036","0.666013540945399"
"3","2003","Employed","1-pers.-HH","958","0.656034187679366","0.632145621717148","0.679922753641584"
"3","2003","Employed","(Married) couple without C. ","787","0.198731045022967","0.185948945716861","0.211513144329072"
"3","2003","Employed","Single parent ","321","0.42485197030737","0.389017743425939","0.4606861971888"
"3","2003","Employed","Couple + C. LE 16 ","259","0.0726219203722652","0.0641138104041747","0.0811300303403557"
"3","2003","Employed","Couple + C. GT 16 ","997","0.368707830699631","0.350744527103128","0.386671134296134"
"3","2003","Employed","Couple + C. LE and GT 16","366","0.290895402207654","0.266596009922445","0.315194794492863"
"4","2003","Not Employed","1-pers.-HH","228","0.160092010265006","0.141033059939158","0.179150960590854"
"4","2003","Not Employed","(Married) couple without C. ","65","0.0158112934340464","0.0117164131273847","0.019906173740708"
"4","2003","Not Employed","Single parent ","60","0.152487206554961","0.116670764287177","0.188303648822744"
"4","2003","Not Employed","Couple + C. LE 16 ","27","","",""
"4","2003","Not Employed","Couple + C. GT 16 ","12","","",""
"4","2003","Not Employed","Couple + C. LE and GT 16","5","","",""
"4","2003","Employed","1-pers.-HH","342","0.216831557096588","0.196108298892628","0.237554815300548"
"4","2003","Employed","(Married) couple without C. ","190","0.0485006392170911","0.0416195347277391","0.0553817437064431"
"4","2003","Employed","Single parent ","246","0.369630759109256","0.334638582199541","0.40462293601897"
"4","2003","Employed","Couple + C. LE 16 ","136","0.0410341704419578","0.0345306993797068","0.0475376415042088"
"4","2003","Employed","Couple + C. GT 16 ","62","0.020366293256278","0.0151071175035573","0.0256254690089987"
"4","2003","Employed","Couple + C. LE and GT 16","27","","",""
"5","2003","Not Employed","1-pers.-HH","877","0.618727683003637","0.593483245195388","0.643972120811886"
"5","2003","Not Employed","(Married) couple without C. ","96","0.0248079047493256","0.0197021675998765","0.0299136418987748"
"5","2003","Not Employed","Single parent ","96","0.209760805327546","0.169197432195983","0.25032417845911"
"5","2003","Not Employed","Couple + C. LE 16 ","1","","",""
"5","2003","Not Employed","Couple + C. GT 16 ","4","","",""
"5","2003","Not Employed","Couple + C. LE and GT 16","5","","",""
"5","2003","Employed","1-pers.-HH","101","0.0656612526433431","0.053205328184739","0.0781171771019473"
"5","2003","Employed","(Married) couple without C. ","27","","",""
"5","2003","Employed","Single parent ","65","0.0831620733941154","0.0631451032219667","0.103179043566264"
"5","2003","Employed","Couple + C. LE 16 ","6","","",""
"5","2003","Employed","Couple + C. GT 16 ","10","","",""
"5","2003","Employed","Couple + C. LE and GT 16","6","","",""
"6","2003","Not Employed","1-pers.-HH","1","","",""
"6","2003","Not Employed","(Married) couple without C. ","","","",""
"6","2003","Not Employed","Single parent ","","","",""
"6","2003","Not Employed","Couple + C. LE 16 ","","","",""
"6","2003","Not Employed","Couple + C. GT 16 ","","","",""
"6","2003","Not Employed","Couple + C. LE and GT 16","","","",""
"6","2003","Employed","1-pers.-HH","3","","",""
"6","2003","Employed","(Married) couple without C. ","","","",""
"6","2003","Employed","Single parent ","","","",""
"6","2003","Employed","Couple + C. LE 16 ","","","",""
"6","2003","Employed","Couple + C. GT 16 ","","","",""
"6","2003","Employed","Couple + C. LE and GT 16","1","","",""
"7","2003","Not Employed","1-pers.-HH","","","",""
"7","2003","Not Employed","(Married) couple without C. ","","","",""
"7","2003","Not Employed","Single parent ","","","",""
"7","2003","Not Employed","Couple + C. LE 16 ","","","",""
"7","2003","Not Employed","Couple + C. GT 16 ","","","",""
"7","2003","Not Employed","Couple + C. LE and GT 16","","","",""
"7","2003","Employed","1-pers.-HH","","","",""
"7","2003","Employed","(Married) couple without C. ","2","","",""
"7","2003","Employed","Single parent ","","","",""
"7","2003","Employed","Couple + C. LE 16 ","2","","",""
"7","2003","Employed","Couple + C. GT 16 ","","","",""
"7","2003","Employed","Couple + C. LE and GT 16","","","",""
"8","2003","Not Employed","1-pers.-HH","","","",""
"8","2003","Not Employed","(Married) couple without C. ","","","",""
"8","2003","Not Employed","Single parent ","","","",""
"8","2003","Not Employed","Couple + C. LE 16 ","","","",""
"8","2003","Not Employed","Couple + C. GT 16 ","","","",""
"8","2003","Not Employed","Couple + C. LE and GT 16","","","",""
"8","2003","Employed","1-pers.-HH","","","",""
"8","2003","Employed","(Married) couple without C. ","","","",""
"8","2003","Employed","Single parent ","","","",""
"8","2003","Employed","Couple + C. LE 16 ","","","",""
"8","2003","Employed","Couple + C. GT 16 ","","","",""
"8","2003","Employed","Couple + C. LE and GT 16","","","",""
"1","2004","Not Employed","1-pers.-HH","2","","",""
"1","2004","Not Employed","(Married) couple without C. ","3303","0.929179899918548","0.920754504823752","0.937605295013343"
"1","2004","Not Employed","Single parent ","2","","",""
"1","2004","Not Employed","Couple + C. LE 16 ","652","0.843349527662718","0.817508430307214","0.869190625018222"
"1","2004","Not Employed","Couple + C. GT 16 ","597","0.532251534295485","0.504032559337822","0.560470509253148"
"1","2004","Not Employed","Couple + C. LE and GT 16","164","0.308124301295785","0.269217415267538","0.347031187324032"
"1","2004","Employed","1-pers.-HH","","","",""
"1","2004","Employed","(Married) couple without C. ","2570","0.708332058951665","0.693706114040908","0.722958003862421"
"1","2004","Employed","Single parent ","5","","",""
"1","2004","Employed","Couple + C. LE 16 ","2890","0.858515956376644","0.846632138455019","0.870399774298269"
"1","2004","Employed","Couple + C. GT 16 ","1670","0.608744577458607","0.590407439272828","0.627081715644387"
"1","2004","Employed","Couple + C. LE and GT 16","887","0.696507452897908","0.671009590618862","0.722005315176953"
"2","2004","Not Employed","1-pers.-HH","45","0.028314166358671","0.0197081745231307","0.0369201581942112"
"2","2004","Not Employed","(Married) couple without C. ","25","","",""
"2","2004","Not Employed","Single parent ","31","0.0844856517419081","0.0569892494811239","0.111982054002692"
"2","2004","Not Employed","Couple + C. LE 16 ","9","","",""
"2","2004","Not Employed","Couple + C. GT 16 ","9","","",""
"2","2004","Not Employed","Couple + C. LE and GT 16","4","","",""
"2","2004","Employed","1-pers.-HH","116","0.0681643696854147","0.0552234040805241","0.0811053352903053"
"2","2004","Employed","(Married) couple without C. ","56","0.0182322031103306","0.0139270846834607","0.0225373215372006"
"2","2004","Employed","Single parent ","84","0.108001498481341","0.0850575910653021","0.13094540589738"
"2","2004","Employed","Couple + C. LE 16 ","39","0.0123903089428943","0.00861839469486754","0.0161622231909211"
"2","2004","Employed","Couple + C. GT 16 ","14","","",""
"2","2004","Employed","Couple + C. LE and GT 16","13","","",""
"3","2004","Not Employed","1-pers.-HH","272","0.199558408891147","0.178821885590833","0.220294932191461"
"3","2004","Not Employed","(Married) couple without C. ","82","0.0245447707915737","0.0194626466988958","0.0296268948842515"
"3","2004","Not Employed","Single parent ","205","0.521753213738316","0.472366467723643","0.571139959752989"
"3","2004","Not Employed","Couple + C. LE 16 ","77","0.105717758720943","0.0838576372036291","0.127577880238258"
"3","2004","Not Employed","Couple + C. GT 16 ","585","0.452540295012422","0.42439010733379","0.480690482691053"
"3","2004","Not Employed","Couple + C. LE and GT 16","357","0.662930499762275","0.623097484089348","0.702763515435201"
"3","2004","Employed","1-pers.-HH","919","0.658990036445746","0.634648876312353","0.683331196579139"
"3","2004","Employed","(Married) couple without C. ","846","0.212412094170189","0.199250749100191","0.225573439240188"
"3","2004","Employed","Single parent ","307","0.433091594623345","0.396463295333488","0.469719893913201"
"3","2004","Employed","Couple + C. LE 16 ","256","0.0880633347062268","0.0784004238329999","0.0977262455794537"
"3","2004","Employed","Couple + C. GT 16 ","954","0.35999716559509","0.341961826611839","0.378032504578341"
"3","2004","Employed","Couple + C. LE and GT 16","309","0.270615337203118","0.24597643301984","0.295254241386395"
"4","2004","Not Employed","1-pers.-HH","250","0.174694272472251","0.154993517604104","0.194395027340397"
"4","2004","Not Employed","(Married) couple without C. ","61","0.0164143760925424","0.0122410686448686","0.0205876835402163"
"4","2004","Not Employed","Single parent ","65","0.165615511229318","0.128863134332742","0.202367888125894"
"4","2004","Not Employed","Couple + C. LE 16 ","22","","",""
"4","2004","Not Employed","Couple + C. GT 16 ","8","","",""
"4","2004","Not Employed","Couple + C. LE and GT 16","12","","",""
"4","2004","Employed","1-pers.-HH","320","0.209618837140152","0.188718573740629","0.230519100539675"
"4","2004","Employed","(Married) couple without C. ","206","0.0520554818109541","0.0449074606221181","0.0592035029997901"
"4","2004","Employed","Single parent ","244","0.372659213941751","0.336917273880819","0.408401154002682"
"4","2004","Employed","Couple + C. LE 16 ","114","0.0391465841344764","0.0325335071719873","0.0457596610969656"
"4","2004","Employed","Couple + C. GT 16 ","73","0.020717051459798","0.0153652266462658","0.0260688762733302"
"4","2004","Employed","Couple + C. LE and GT 16","34","0.0235165908716724","0.0151125822734865","0.0319205994698582"
"5","2004","Not Employed","1-pers.-HH","858","0.595206009052747","0.569738481395986","0.620673536709509"
"5","2004","Not Employed","(Married) couple without C. ","90","0.0238962022680092","0.0188800056820417","0.0289123988539767"
"5","2004","Not Employed","Single parent ","90","0.222967490568706","0.181815373400969","0.264119607736443"
"5","2004","Not Employed","Couple + C. LE 16 ","","","",""
"5","2004","Not Employed","Couple + C. GT 16 ","2","","",""
"5","2004","Not Employed","Couple + C. LE and GT 16","4","","",""
"5","2004","Employed","1-pers.-HH","100","0.062611269533146","0.0501717262932347","0.0750508127730573"
"5","2004","Employed","(Married) couple without C. ","30","0.00680662526492674","0.0041609047561418","0.00945234577371167"
"5","2004","Employed","Single parent ","63","0.0783297357122476","0.0584678011284751","0.0981916702960202"
"5","2004","Employed","Couple + C. LE 16 ","3","","",""
"5","2004","Employed","Couple + C. GT 16 ","10","","",""
"5","2004","Employed","Couple + C. LE and GT 16","6","","",""
"6","2004","Not Employed","1-pers.-HH","","","",""
"6","2004","Not Employed","(Married) couple without C. ","","","",""
"6","2004","Not Employed","Single parent ","","","",""
"6","2004","Not Employed","Couple + C. LE 16 ","","","",""
"6","2004","Not Employed","Couple + C. GT 16 ","","","",""
"6","2004","Not Employed","Couple + C. LE and GT 16","","","",""
"6","2004","Employed","1-pers.-HH","1","","",""
"6","2004","Employed","(Married) couple without C. ","","","",""
"6","2004","Employed","Single parent ","","","",""
"6","2004","Employed","Couple + C. LE 16 ","","","",""
"6","2004","Employed","Couple + C. GT 16 ","","","",""
"6","2004","Employed","Couple + C. LE and GT 16","","","",""
"7","2004","Not Employed","1-pers.-HH","","","",""
"7","2004","Not Employed","(Married) couple without C. ","","","",""
"7","2004","Not Employed","Single parent ","","","",""
"7","2004","Not Employed","Couple + C. LE 16 ","","","",""
"7","2004","Not Employed","Couple + C. GT 16 ","","","",""
"7","2004","Not Employed","Couple + C. LE and GT 16","","","",""
"7","2004","Employed","1-pers.-HH","1","","",""
"7","2004","Employed","(Married) couple without C. ","2","","",""
"7","2004","Employed","Single parent ","","","",""
"7","2004","Employed","Couple + C. LE 16 ","2","","",""
"7","2004","Employed","Couple + C. GT 16 ","","","",""
"7","2004","Employed","Couple + C. LE and GT 16","","","",""
"8","2004","Not Employed","1-pers.-HH","","","",""
"8","2004","Not Employed","(Married) couple without C. ","","","",""
"8","2004","Not Employed","Single parent ","","","",""
"8","2004","Not Employed","Couple + C. LE 16 ","","","",""
"8","2004","Not Employed","Couple + C. GT 16 ","","","",""
"8","2004","Not Employed","Couple + C. LE and GT 16","","","",""
