"pgfamstd","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"2","1988","35-65 y.","no migration background","89","0.0297966146879166","0.0241345607183365","0.0354586686574967"
"2","1988","35-65 y.","direct migration background","31","0.0222736717017097","0.0150200635468262","0.0295272798565932"
"2","1988","35-65 y.","indirect migration background","2","","",""
"2","1988","66 and older","no migration background","12","","",""
"2","1988","66 and older","direct migration background","","","",""
"2","1988","66 and older","indirect migration background","","","",""
"3","1988","16-34 y.","no migration background","1554","0.613787624570316","0.595179938368126","0.632395310772507"
"3","1988","16-34 y.","direct migration background","429","0.4050558319688","0.374900108466572","0.435211555471029"
"3","1988","16-34 y.","indirect migration background","166","0.833626422842572","0.78135567683755","0.885897168847594"
"3","1988","35-65 y.","no migration background","168","0.063697402693288","0.0555648267885779","0.0718299785979982"
"3","1988","35-65 y.","direct migration background","35","0.0359878327972568","0.0268326159869139","0.0451430496075997"
"3","1988","35-65 y.","indirect migration background","1","","",""
"3","1988","66 and older","no migration background","55","0.0656430612802823","0.0501058166778597","0.0811803058827049"
"3","1988","66 and older","direct migration background","4","","",""
"3","1988","66 and older","indirect migration background","1","","",""
"4","1988","16-34 y.","no migration background","51","0.0238371884215602","0.0180073185534936","0.0296670582896269"
"4","1988","16-34 y.","direct migration background","16","","",""
"4","1988","16-34 y.","indirect migration background","2","","",""
"4","1988","35-65 y.","no migration background","203","0.0661420157582027","0.0578656765759628","0.0744183549404426"
"4","1988","35-65 y.","direct migration background","54","0.0646887034950663","0.0525982708432464","0.0767791361468863"
"4","1988","35-65 y.","indirect migration background","4","","",""
"4","1988","66 and older","no migration background","23","","",""
"4","1988","66 and older","direct migration background","3","","",""
"4","1988","66 and older","indirect migration background","","","",""
"5","1988","16-34 y.","no migration background","2","","",""
"5","1988","16-34 y.","direct migration background","1","","",""
"5","1988","16-34 y.","indirect migration background","","","",""
"5","1988","35-65 y.","no migration background","181","0.0596794959747541","0.0517907190447311","0.067568272904777"
"5","1988","35-65 y.","direct migration background","46","0.0600969528342291","0.0484149506349684","0.0717789550334898"
"5","1988","35-65 y.","indirect migration background","","","",""
"5","1988","66 and older","no migration background","378","0.4514276956558","0.420207600597047","0.482647790714554"
"5","1988","66 and older","direct migration background","20","","",""
"5","1988","66 and older","indirect migration background","1","","",""
"6","1988","16-34 y.","no migration background","","","",""
"6","1988","16-34 y.","direct migration background","20","","",""
"6","1988","16-34 y.","indirect migration background","1","","",""
"6","1988","35-65 y.","no migration background","","","",""
"6","1988","35-65 y.","direct migration background","42","0.0289734498003708","0.0207289334130608","0.0372179661876808"
