"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1992","35-65 y.","higher vocational","2046.13","1891.93","365","767","1176","2608","3403","5601","1935.44","2156.82","0","6135","1585","1879"
"1992","35-65 y.","in school","","","","","","","","","","","","","",""
"1992","35-65 y.","inadequately","1489.99","1534","238","767","1074","1829","2147","2965","1417.14","1562.84","230","4090","1406","1585"
"1992","35-65 y.","middle vocational","1733.7","1672","2391","665","1023","2199","2810","5012","1694.44","1772.96","0","15339","1432","1534"
"1992","35-65 y.","vocational + Abi","1986.21","2027.11","101","665","1125","2608","3231","5113","1807.64","2164.78","102","5113","1534","2045"
"1992","66 and older","general elemantary","","","","","","","","","","","","","",""
"1992","66 and older","higher education","","","","","","","","","","","","","",""
"1992","66 and older","higher vocational","","","","","","","","","","","","","",""
"1992","66 and older","in school","","","","","","","","","","","","","",""
"1992","66 and older","inadequately","","","","","","","","","","","","","",""
"1992","66 and older","middle vocational","","","","","","","","","","","","","",""
"1992","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1993","16-34 y.","general elemantary","1033.62","764.46","692","311","460","1585","1943","3835","974.56","1092.68","0","7669","741","1023"
"1993","16-34 y.","higher education","2127.26","2017.74","338","818","1278","2812","3375","6135","2009.1","2245.42","133","10226","1573","1818"
"1993","16-34 y.","higher vocational","1849.43","1738","169","920","1483","2301","2761","3681","1736.5","1962.36","235","4518","1636","1790"
"1993","16-34 y.","in school","","","","","","","","","","","","","",""
"1993","16-34 y.","inadequately","1214.75","1334.53","71","276","665","1636","1897","2045","1045.98","1383.52","58","4602","1125","1432"
"1993","16-34 y.","middle vocational","1508.99","1483","1838","575","1023","1917","2403","3579","1474.1","1543.88","0","15339","1380","1432"
"1993","16-34 y.","vocational + Abi","1591.36","1596.69","146","640","1150","1994","2556","3236","1473.07","1709.65","112","3323","1534","1770"
"1993","35-65 y.","general elemantary","1359.29","1432","627","271","752","1841","2225","3527","1300.44","1418.14","0","5113","1432","1570"
"1993","35-65 y.","higher education","2896.54","2653.52","893","1125","1654","3681","4678","10226","2783.09","3009.99","0","20452","1994","2150"
"1993","35-65 y.","higher vocational","2203.63","2045","347","818","1323","2812","3835","5752","2081.48","2325.78","0","6647","1738","2045"
"1993","35-65 y.","in school","","","","","","","","","","","","","",""
"1993","35-65 y.","inadequately","1512.3","1534","233","818","1176","1892","2096","3068","1440.01","1584.59","143","3170","1432","1636"
"1993","35-65 y.","middle vocational","1878.08","1790","2289","690","1176","2301","3068","5369","1830.87","1925.29","0","28121","1580","1636"
"1993","35-65 y.","vocational + Abi","2053.6","2096","109","690","1329","2761","3305","4704","1889.74","2217.46","102","4704","1636","2096"
"1993","66 and older","general elemantary","","","","","","","","","","","","","",""
"1993","66 and older","higher education","","","","","","","","","","","","","",""
"1993","66 and older","higher vocational","","","","","","","","","","","","","",""
"1993","66 and older","in school","","","","","","","","","","","","","",""
"1993","66 and older","inadequately","","","","","","","","","","","","","",""
"1993","66 and older","middle vocational","","","","","","","","","","","","","",""
"1993","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1994","16-34 y.","general elemantary","1061.39","799.63","583","302","460","1585","2030","2863","990.51","1132.27","0","7669","744","1023"
"1994","16-34 y.","higher education","2172.75","2074.12","350","818","1370","2812","3681","5113","2051.36","2294.14","0","10226","1790","2045"
"1994","16-34 y.","higher vocational","1970.99","1790","182","1125","1534","2403","3011","4346","1858.82","2083.16","205","4908","1687","1841"
"1994","16-34 y.","in school","","","","","","","","","","","","","",""
"1994","16-34 y.","inadequately","1181.4","1195.75","64","387","614","1636","1843","2812","998.84","1363.96","92","3579","1176","1636"
"1994","16-34 y.","middle vocational","1560.82","1534","1745","614","1074","1989","2501","3579","1527.06","1594.58","0","8692","1470","1534"
"1994","16-34 y.","vocational + Abi","1547.71","1534","159","409","1074","1891","2659","3323","1422.51","1672.91","51","4857","1534","1750"
"1994","35-65 y.","general elemantary","1428.48","1483","552","307","818","1943","2352","4090","1358.17","1498.79","0","7669","1524","1636"
"1994","35-65 y.","higher education","2951.16","2761","898","1176","1790","3681","4704","9203","2835.26","3067.06","0","20452","2147","2352"
"1994","35-65 y.","higher vocational","2085.4","1997.31","340","920","1381","2659","3170","5113","1977.01","2193.79","0","6335","1790","2045"
"1994","35-65 y.","in school","","","","","","","","","","","","","",""
"1994","35-65 y.","inadequately","1491.97","1534","205","762","1125","1841","2147","2914","1407.37","1576.57","102","3426","1406","1636"
"1994","35-65 y.","middle vocational","1954.97","1841","2228","752","1278","2403","3068","5624","1904.76","2005.18","0","25565","1642","1738"
"1994","35-65 y.","vocational + Abi","2006.04","1958.07","96","677","1176","2684","3451","3988","1822.66","2189.42","77","4125","1636","2071"
"1994","66 and older","general elemantary","","","","","","","","","","","","","",""
"1994","66 and older","higher education","","","","","","","","","","","","","",""
"1994","66 and older","higher vocational","","","","","","","","","","","","","",""
"1994","66 and older","in school","","","","","","","","","","","","","",""
"1994","66 and older","inadequately","","","","","","","","","","","","","",""
"1994","66 and older","middle vocational","","","","","","","","","","","","","",""
"1994","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1995","16-34 y.","general elemantary","1073.66","716","596","332","460","1636","2071","3068","1009.2","1138.12","0","6135","716","997"
"1995","16-34 y.","higher education","2264.09","2147","360","920","1355","2914","3477","5113","2055.19","2472.99","0","32603","1873","2147"
"1995","16-34 y.","higher vocational","2137.93","1888.43","192","1138","1534","2556","3068","7414","2010.16","2265.7","0","7414","1790","1943"
"1995","16-34 y.","in school","","","","","","","","","","","","","",""
