"year","hgtyp1hh","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2007","1-pers.-HH","(2c_voc) vocational maturity certificate","24.99","8","143","2","4","20","35","300","14.13","35.85","1","580","8","14"
"2007","1-pers.-HH","(3a) lower tertiary education","22.03","8.8","122","3","5","27","50","110","10.72","33.34","1","600","7","12"
"2007","1-pers.-HH","(3b) higher tertiary education","29.33","8","220","2","4","16","45","550","17.64","41.02","1","638","8","12"
"2007","Couple + C. GT 16 ","(0) in school","","","","","","","","","","","","","",""
"2007","Couple + C. GT 16 ","(1a) inadequately completed","","","","","","","","","","","","","",""
"2007","Couple + C. GT 16 ","(1b) general elementary school","20.66","10","114","2","4","24","30","280","15.02","26.3","1","280","5","13"
"2007","Couple + C. GT 16 ","(1c) basic vocational qualification","16","9","412","1","3","20","30","180","12.15","19.85","1","525","8","11"
"2007","Couple + C. GT 16 ","(2a) intermediate vocational","24.34","12","564","1","5","25","45","430","20.88","27.8","1","700","10","12"
"2007","Couple + C. GT 16 ","(2b) intermediate general qualification","14.09","6","86","2","2","18","25","80","0.08","28.1","1","600","5","15"
"2007","Couple + C. GT 16 ","(2c_gen) general maturity certificate","25.19","10","95","2","3","25","35","530","12.44","37.94","1","530","8","20"
"2007","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","20.19","10","133","2","5","25","50","130","11.46","28.92","1","450","8","15"
"2007","Couple + C. GT 16 ","(3a) lower tertiary education","29.01","14.74","170","1","6","30","75","360","20.11","37.91","1","450","9","15"
"2007","Couple + C. GT 16 ","(3b) higher tertiary education","23.89","12.38","316","2","6","25","50","170","16.59","31.19","1","700","10","14"
"2007","Couple + C. LE 16","(0) in school","","","","","","","","","","","","","",""
"2007","Couple + C. LE 16","(1a) inadequately completed","","","","","","","","","","","","","",""
"2007","Couple + C. LE 16","(1b) general elementary school","11.66","5","89","1","2","17","25","70","8.85","14.47","1","70","3","8"
"2007","Couple + C. LE 16","(1c) basic vocational qualification","17.44","9","513","1","3","20","36","150","13.3","21.58","1","720","9","12"
"2007","Couple + C. LE 16","(2a) intermediate vocational","20.08","10","747","2","3","22","40","180","16.03","24.13","1","999","10","12"
"2007","Couple + C. LE 16","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2007","Couple + C. LE 16","(2c_gen) general maturity certificate","23.64","6","35","3","4","20","60","150","11.68","35.6","1","150","5","20"
"2007","Couple + C. LE 16","(2c_voc) vocational maturity certificate","24.57","11","309","2","4","20","36","600","19.26","29.88","1","600","10","12"
"2007","Couple + C. LE 16","(3a) lower tertiary education","28.88","15","227","2","8","30","55","400","19.71","38.05","1","630","13","18"
"2007","Couple + C. LE 16","(3b) higher tertiary education","28.67","13","443","2","5","30","60","330","22.36","34.98","1","620","12","15"
"2007","Couple + C. LE and GT 16","(0) in school","","","","","","","","","","","","","",""
"2007","Couple + C. LE and GT 16","(1a) inadequately completed","","","","","","","","","","","","","",""
"2007","Couple + C. LE and GT 16","(1b) general elementary school","10.07","7","59","2","3","15","20","38","7.79","12.35","1","40","5","10"
"2007","Couple + C. LE and GT 16","(1c) basic vocational qualification","15.95","10","178","1","4","20","40","82","9.87","22.03","1","500","9","13"
"2007","Couple + C. LE and GT 16","(2a) intermediate vocational","20.12","12","211","2","5","25","30","80","12.13","28.11","1","600","8","12"
