"erwst","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Full-time","2012","Full Time","Female","2693","0.805501660374673","0.792320600935886","0.818682719813459"
"Full-time","2012","Part Time","Male","551","0.307075704784854","0.285616454980615","0.328534954589093"
"Full-time","2012","Part Time","Female","654","0.126251631301479","0.117628590308895","0.134874672294064"
"Full-time","2012","Not Working","Male","106","0.025700262380789","0.0208601695656643","0.0305403551959138"
"Full-time","2012","Not Working","Female","62","0.00777260002699891","0.0055957556914048","0.00994944436259301"
"Part-time","2012","Full Time","Male","110","0.0152093986848816","0.0123380927969106","0.0180807045728526"
"Part-time","2012","Full Time","Female","463","0.104838220662551","0.0946365867325717","0.115039854592531"
"Part-time","2012","Part Time","Male","297","0.152377721932075","0.135658701367446","0.169096742496704"
"Part-time","2012","Part Time","Female","2942","0.470766160865817","0.457807050635693","0.48372527109594"
"Part-time","2012","Not Working","Male","17","","",""
"Part-time","2012","Not Working","Female","124","0.00968482431111408","0.00725725746910186","0.0121123911531263"
"Non-working","2012","Full Time","Male","189","0.0279663462770341","0.0240981365926295","0.0318345559614386"
"Non-working","2012","Full Time","Female","106","0.0293942930673772","0.0237694283787393","0.0350191577560151"
"Non-working","2012","Part Time","Male","481","0.292757959409597","0.271589595045457","0.313926323773738"
"Non-working","2012","Part Time","Female","928","0.179983075140705","0.170008922631165","0.189957227650245"
"Non-working","2012","Not Working","Male","3863","0.954073777974744","0.947671125069452","0.960476430880035"
"Non-working","2012","Not Working","Female","5853","0.962730159655602","0.958034791381716","0.967425527929488"
"Other","2012","Full Time","Male","246","0.0424961586542005","0.0377635936088713","0.0472287236995297"
"Other","2012","Full Time","Female","202","0.060265825895399","0.0523408633941299","0.0681907883966682"
"Other","2012","Part Time","Male","446","0.247788613873473","0.227704182668093","0.267873045078854"
"Other","2012","Part Time","Female","1175","0.222999132691998","0.212191984635228","0.233806280748769"
"Other","2012","Not Working","Male","120","0.0167213979157751","0.0127993472150975","0.0206434486164527"
"Other","2012","Not Working","Female","213","0.0198124160062849","0.0163581011210238","0.023266730891546"
"Full-time","2013","Full Time","Male","5883","0.914797343337343","0.907962289010119","0.921632397664568"
"Full-time","2013","Full Time","Female","2534","0.788691567176878","0.774807213549229","0.802575920804527"
"Full-time","2013","Part Time","Male","531","0.299545808731642","0.277911002480962","0.321180614982322"
"Full-time","2013","Part Time","Female","570","0.121180265250445","0.112524257841452","0.129836272659439"
"Full-time","2013","Not Working","Male","1504","0.140588595417457","0.131920977845871","0.149256212989043"
"Full-time","2013","Not Working","Female","659","0.0398919511572444","0.0356625115082028","0.0441213908062859"
"Part-time","2013","Full Time","Male","99","0.0144482454050333","0.0115267834991445","0.0173697073109221"
"Part-time","2013","Full Time","Female","478","0.117571895562688","0.106617079773691","0.128526711351685"
"Part-time","2013","Part Time","Male","289","0.155547411017744","0.138429508584385","0.172665313451104"
"Part-time","2013","Part Time","Female","2856","0.484293199061073","0.471037355070483","0.497549043051663"
"Part-time","2013","Not Working","Male","122","0.0133020903616957","0.0104453143532072","0.0161588663701841"
"Part-time","2013","Not Working","Female","618","0.0351976723581292","0.0312151678037348","0.0391801769125236"
"Non-working","2013","Full Time","Male","181","0.0295350701852285","0.0253901909483566","0.0336799494221005"
"Non-working","2013","Full Time","Female","103","0.0333946113207323","0.0272841154390591","0.0395051072024055"
"Non-working","2013","Part Time","Male","454","0.28019304621833","0.258981700971339","0.301404391465322"
"Non-working","2013","Part Time","Female","837","0.162714183262362","0.152923762829686","0.172504603695037"
"Non-working","2013","Not Working","Male","4193","0.809651286461821","0.799862065822745","0.819440507100897"
"Non-working","2013","Not Working","Female","6358","0.882775051270654","0.875822964422948","0.889727138118359"
"Other","2013","Full Time","Male","246","0.041219341072395","0.0363523213065717","0.0460863608382182"
"Other","2013","Full Time","Female","206","0.0603419259397016","0.052243359268321","0.0684404926110821"
"Other","2013","Part Time","Male","448","0.264713734032283","0.243876120378084","0.285551347686482"
"Other","2013","Part Time","Female","1197","0.23181235242612","0.220619166532087","0.243005538320153"
"Other","2013","Not Working","Male","359","0.036458027759026","0.0317843792922021","0.04113167622585"
"Other","2013","Not Working","Female","590","0.0421353252139726","0.0377936694022888","0.0464769810256564"
"Full-time","2014","Full Time","Male","6147","0.914038114359844","0.907339692480093","0.920736536239595"
"Full-time","2014","Full Time","Female","2673","0.795347203558492","0.782013551201245","0.80868085591574"
"Full-time","2014","Part Time","Male","594","0.286076938639917","0.266013318272598","0.306140559007236"
"Full-time","2014","Part Time","Female","592","0.112138771507773","0.103892153505354","0.120385389510192"
"Full-time","2014","Not Working","Male","161","0.0324550054240725","0.0270315055467925","0.0378785053013525"
"Full-time","2014","Not Working","Female","77","0.00766035093358674","0.00542842546026061","0.00989227640691286"
"Part-time","2014","Full Time","Male","124","0.0197551942088669","0.0164297834023176","0.0230806050154161"
"Part-time","2014","Full Time","Female","469","0.107499968119099","0.0972630272493532","0.117736908988845"
"Part-time","2014","Part Time","Male","317","0.168118554003261","0.151515777815881","0.184721330190642"
"Part-time","2014","Part Time","Female","2849","0.474476662608366","0.461426111054263","0.48752721416247"
"Part-time","2014","Not Working","Male","22","","",""
"Part-time","2014","Not Working","Female","128","0.0146720992135609","0.0115941482131742","0.0177500502139477"
"Non-working","2014","Full Time","Male","170","0.0208214138043833","0.0174093005442494","0.0242335270645172"
"Non-working","2014","Full Time","Female","134","0.0339312938334979","0.0279476446398754","0.0399149430271205"
"Non-working","2014","Part Time","Male","522","0.27536688821667","0.255535317294975","0.295198459138364"
"Non-working","2014","Part Time","Female","858","0.16688945864361","0.157144248630273","0.176634668656948"
"Non-working","2014","Not Working","Male","3730","0.934382538593144","0.926804177833064","0.941960899353224"
"Non-working","2014","Not Working","Female","5422","0.955094935652059","0.949793467990208","0.960396403313911"
"Other","2014","Full Time","Male","286","0.0453852776269057","0.040411241453332","0.0503593138004795"
"Other","2014","Full Time","Female","241","0.0632215344889106","0.0551786307196384","0.0712644382581828"
"Other","2014","Part Time","Male","516","0.270437619140152","0.250717617834081","0.290157620446224"
"Other","2014","Part Time","Female","1325","0.24649510724025","0.235231626390887","0.257758588089614"
"Other","2014","Not Working","Male","188","0.0292311100230732","0.02407545576875","0.0343867642773965"
"Other","2014","Not Working","Female","235","0.0225726142007928","0.018770209265807","0.0263750191357786"
"Full-time","2015","Full Time","Male","5702","0.901018049565109","0.893623149615393","0.908412949514824"
"Full-time","2015","Full Time","Female","2454","0.800265147414056","0.786538964275041","0.813991330553071"
"Full-time","2015","Part Time","Male","520","0.291651033720696","0.270717417489749","0.312584649951642"
"Full-time","2015","Part Time","Female","577","0.120945892264306","0.112190626204558","0.129701158324055"
"Full-time","2015","Not Working","Male","601","0.0574386255141728","0.0507087971210358","0.0641684539073098"
"Full-time","2015","Not Working","Female","275","0.0195202784173242","0.0160923848790908","0.0229481719555575"
"Part-time","2015","Full Time","Male","131","0.0230072204441581","0.0192947303180974","0.0267197105702188"
"Part-time","2015","Full Time","Female","472","0.117539338903117","0.106482137765613","0.128596540040621"
"Part-time","2015","Part Time","Male","297","0.15581695224432","0.139113181071274","0.172520723417367"
"Part-time","2015","Part Time","Female","2796","0.498356344538407","0.484930746488051","0.511781942588763"
"Part-time","2015","Not Working","Male","68","0.00940325205630798","0.00661177129490186","0.0121947328177141"
"Part-time","2015","Not Working","Female","196","0.0130127781672058","0.0102047219913881","0.0158208343430235"
"Non-working","2015","Full Time","Male","171","0.0280058317200712","0.0239203467187343","0.0320913167214082"
"Non-working","2015","Full Time","Female","116","0.0274948900579806","0.0218808197079109","0.0331089604080504"
"Non-working","2015","Part Time","Male","509","0.271554419565894","0.2510703680253","0.292038471106489"
"Non-working","2015","Part Time","Female","834","0.159622426075431","0.149787974101815","0.169456878049046"
"Non-working","2015","Not Working","Male","3700","0.899756046515308","0.891069670374668","0.908442422655948"
"Non-working","2015","Not Working","Female","5429","0.93320088819526","0.927014489163145","0.939387287227375"
"Other","2015","Full Time","Male","261","0.047968898270662","0.042677225337417","0.053260571203907"
"Other","2015","Full Time","Female","217","0.0547006236248462","0.0468935776786935","0.0625076695709988"
"Other","2015","Part Time","Male","485","0.28097759446909","0.260276375330183","0.301678813607997"
"Other","2015","Part Time","Female","1121","0.221075337121856","0.2099328059322","0.232217868311512"
"Other","2015","Not Working","Male","223","0.033402075914211","0.0282050269359963","0.0385991248924257"
"Other","2015","Not Working","Female","357","0.0342660552202104","0.0297586581597212","0.0387734522806997"
"Full-time","2016","Full Time","Male","5412","0.904962348020381","0.897513196983453","0.912411499057309"
"Full-time","2016","Full Time","Female","2473","0.799754269621532","0.785966191016153","0.813542348226911"
"Full-time","2016","Part Time","Male","553","0.30093583696704","0.279944316379271","0.32192735755481"
"Full-time","2016","Part Time","Female","605","0.136578950013954","0.127192848306351","0.145965051721558"
"Full-time","2016","Not Working","Male","211","0.0165484785008481","0.0134288646622488","0.0196680923394473"
"Full-time","2016","Not Working","Female","47","0.00658616000276217","0.00466489325802214","0.0085074267475022"
"Part-time","2016","Full Time","Male","134","0.0296032940714881","0.0252981434309751","0.0339084447120011"
"Part-time","2016","Full Time","Female","485","0.121195844995083","0.109951510645371","0.132440179344795"
"Part-time","2016","Part Time","Male","325","0.162576095345007","0.145689214201824","0.179462976488191"
"Part-time","2016","Part Time","Female","2684","0.489255558714786","0.475592379542084","0.502918737887487"
"Part-time","2016","Not Working","Male","116","0.00910432845788789","0.00678168124779122","0.0114269756679846"
"Part-time","2016","Not Working","Female","108","0.0113493009882536","0.00883329065902769","0.0138653113174795"
"Non-working","2016","Full Time","Male","168","0.0241193407700803","0.0202223915375759","0.0280162900025847"
"Non-working","2016","Full Time","Female","100","0.0272822717934132","0.0216694983086103","0.0328950452782161"
"Non-working","2016","Part Time","Male","467","0.257572048235672","0.237558460552111","0.277585635919233"
"Non-working","2016","Part Time","Female","756","0.161212026814924","0.151161082397331","0.171262971232517"
"Non-working","2016","Not Working","Male","5765","0.943651377258718","0.938012498372918","0.949290256144518"
"Non-working","2016","Not Working","Female","6403","0.956362474556975","0.951510173427192","0.961214775686757"
"Other","2016","Full Time","Male","240","0.0413150171380504","0.0362598489806255","0.0463701852954752"
"Other","2016","Full Time","Female","178","0.0517676135899714","0.0441339977694654","0.0594012294104775"
"Other","2016","Part Time","Male","489","0.27891601945228","0.258391259885608","0.299440779018953"
"Other","2016","Part Time","Female","1097","0.212953464456336","0.201763605419908","0.224143323492763"
"Other","2016","Not Working","Male","332","0.0306958157825457","0.0264777343622438","0.0349138972028475"
"Other","2016","Not Working","Female","251","0.0257020644520095","0.0219433760900769","0.0294607528139422"
"Full-time","2017","Full Time","Male","6154","0.914608515023592","0.907936714609373","0.921280315437811"
"Full-time","2017","Full Time","Female","2855","0.794663167928935","0.781706721459304","0.807619614398566"
"Full-time","2017","Part Time","Male","692","0.300103586352071","0.281000383097496","0.319206789606646"
"Full-time","2017","Part Time","Female","655","0.117445059221858","0.109040550648986","0.12584956779473"
"Full-time","2017","Not Working","Male","339","0.0215119981351142","0.0181224516998451","0.0249015445703834"
"Full-time","2017","Not Working","Female","62","0.00983202578763945","0.00760493274957435","0.0120591188257046"
"Part-time","2017","Full Time","Male","132","0.0191822997067982","0.015907666766291","0.0224569326473053"
"Part-time","2017","Full Time","Female","531","0.113975199570977","0.103782503980497","0.124167895161458"
"Part-time","2017","Part Time","Male","416","0.178755476887365","0.16278493539767","0.194726018377061"
"Part-time","2017","Part Time","Female","3054","0.509412090068071","0.496361891547686","0.522462288588457"
"Part-time","2017","Not Working","Male","131","0.00738733663744961","0.00538675024487017","0.00938792303002905"
"Part-time","2017","Not Working","Female","122","0.0120682630755879","0.00960365270784918","0.0145328734433266"
"Non-working","2017","Full Time","Male","174","0.0243011649149544","0.0206250457388396","0.0279772840910691"
"Non-working","2017","Full Time","Female","119","0.0335481421880627","0.0277726994226973","0.039323584953428"
"Non-working","2017","Part Time","Male","550","0.257439922667965","0.239215345286948","0.275664500048982"
"Non-working","2017","Part Time","Female","805","0.150505326995543","0.141171057417457","0.15983959657363"
"Non-working","2017","Not Working","Male","6180","0.938624037315279","0.933016548005853","0.944231526624705"
"Non-working","2017","Not Working","Female","7073","0.94959032255743","0.944651908305073","0.954528736809788"
"Other","2017","Full Time","Male","280","0.0419080203546558","0.0371242500548581","0.0466917906544536"
"Other","2017","Full Time","Female","229","0.0578134903120251","0.0503275912011525","0.0652993894228977"
"Other","2017","Part Time","Male","553","0.263701014092599","0.245334077746989","0.282067950438209"
"Other","2017","Part Time","Female","1123","0.222637523714527","0.211777393272119","0.233497654156935"
"Other","2017","Not Working","Male","388","0.0324766279121571","0.0283352996421931","0.0366179561821212"
"Other","2017","Not Working","Female","283","0.0285093885793422","0.0247529553493115","0.032265821809373"
"Full-time","2018","Full Time","Male","5818","0.918266179862826","0.911589172515697","0.924943187209954"
"Full-time","2018","Full Time","Female","2785","0.806812305738557","0.793956777983127","0.819667833493986"
"Full-time","2018","Part Time","Male","718","0.290093920581249","0.271911717543833","0.308276123618666"
"Full-time","2018","Part Time","Female","624","0.111609431902354","0.103301179893058","0.119917683911649"
"Full-time","2018","Not Working","Male","368","0.0224138437182273","0.0186456806850845","0.0261820067513701"
"Full-time","2018","Not Working","Female","68","0.00744496377778846","0.00539273045098673","0.00949719710459019"
"Part-time","2018","Full Time","Male","155","0.0180680408993397","0.0148217092136788","0.0213143725850007"
"Part-time","2018","Full Time","Female","512","0.115456137898707","0.10505017858342","0.125862097213994"
"Part-time","2018","Part Time","Male","501","0.218185074991468","0.20163723778336","0.234732912199577"
"Part-time","2018","Part Time","Female","2957","0.510017851093509","0.496827994901118","0.5232077072859"
"Part-time","2018","Not Working","Male","159","0.00936233040134329","0.00691076550318645","0.0118138952995001"
"Part-time","2018","Not Working","Female","138","0.0112419866502085","0.00872497814257491","0.013758995157842"
"Non-working","2018","Full Time","Male","202","0.0267502340418856","0.0228176989424367","0.0306827691413345"
"Non-working","2018","Full Time","Female","126","0.029793703495587","0.0242575488371363","0.0353298581540377"
"Non-working","2018","Part Time","Male","577","0.226401394699681","0.209633670200649","0.243169119198714"
"Non-working","2018","Part Time","Female","833","0.161500592812467","0.151791119255524","0.171210066369409"
"Non-working","2018","Not Working","Male","5053","0.937511503168241","0.931350061588731","0.943672944747752"
"Non-working","2018","Not Working","Female","6297","0.960836488245437","0.95620539313649","0.965467583354383"
"Other","2018","Full Time","Male","292","0.0369155451959489","0.0323200375775203","0.0415110528143775"
"Other","2018","Full Time","Female","200","0.0479378528671497","0.0409814317898308","0.0548942739444685"
"Other","2018","Part Time","Male","597","0.265319609727601","0.247630310002402","0.2830089094528"
"Other","2018","Part Time","Female","1104","0.216872124191671","0.205998471655438","0.227745776727904"
"Other","2018","Not Working","Male","348","0.0307123227121881","0.0263201776990475","0.0351044677253286"
"Other","2018","Not Working","Female","237","0.0204765613265665","0.017095492027632","0.023857630625501"
"Full-time","2019","Full Time","Male","6473","0.907178254859211","0.900445986441598","0.913910523276825"
"Full-time","2019","Full Time","Female","2841","0.787887694547826","0.774766692891626","0.801008696204027"
"Full-time","2019","Part Time","Male","799","0.308273896789676","0.290092263318373","0.32645553026098"
"Full-time","2019","Part Time","Female","665","0.123038651764905","0.114179318984477","0.131897984545333"
"Full-time","2019","Not Working","Male","390","0.0400111316382406","0.0347377647955894","0.0452844984808918"
"Full-time","2019","Not Working","Female","133","0.0169195810855274","0.0137282992532992","0.0201108629177556"
"Part-time","2019","Full Time","Male","180","0.0247730769648687","0.0211670160412453","0.0283791378884922"
"Part-time","2019","Full Time","Female","560","0.127922571637726","0.117202368545497","0.138642774729954"
"Part-time","2019","Part Time","Male","552","0.231508492127336","0.214901138264908","0.248115845989763"
"Part-time","2019","Part Time","Female","2910","0.527831303245868","0.51436692900523","0.541295677486505"
"Part-time","2019","Not Working","Male","119","0.0115547114538312","0.00867916532809356","0.0144302575795689"
"Part-time","2019","Not Working","Female","153","0.0200279696485084","0.0165613903723179","0.0234945489246988"
"Non-working","2019","Full Time","Male","203","0.0299090579000781","0.0259572317188459","0.0338608840813104"
"Non-working","2019","Full Time","Female","126","0.0329511456425442","0.0272217163242511","0.0386805749608372"
"Non-working","2019","Part Time","Male","564","0.234630926907206","0.217945953345945","0.251315900468467"
"Non-working","2019","Part Time","Female","777","0.172047770397765","0.161868487793464","0.182227053002066"
"Non-working","2019","Not Working","Male","4470","0.907592027005049","0.899799747426133","0.915384306583965"
"Non-working","2019","Not Working","Female","5667","0.930864140334969","0.924586872378292","0.937141408291646"
"Other","2019","Full Time","Male","281","0.038139610275842","0.0336960161053293","0.0425832044463547"
"Other","2019","Full Time","Female","202","0.0512385881719036","0.0441619175361913","0.0583152588076159"
"Other","2019","Part Time","Male","563","0.225586684175782","0.209130066624315","0.242043301727249"
"Other","2019","Part Time","Female","929","0.177082274591463","0.166786577383561","0.187377971799364"
"Other","2019","Not Working","Male","327","0.0408421299028795","0.0355165892203819","0.0461676705853771"
"Other","2019","Not Working","Female","321","0.0321883089309954","0.0278209353133645","0.0365556825486263"
