"erwst","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Part-time","2000","Lower Saxony","(1b) general elementary school","18","","",""
"Part-time","2000","Lower Saxony","(1c) basic vocational qualification","83","0.108118306027408","0.0852285256636514","0.131008086391165"
"Part-time","2000","Lower Saxony","(2b) intermediate general qualification","3","","",""
"Part-time","2000","Lower Saxony","(2a) intermediate vocational","63","0.130764328737361","0.100666304577973","0.160862352896749"
"Part-time","2000","Lower Saxony","(2c_gen) general maturity certificate","6","","",""
"Part-time","2000","Lower Saxony","(2c_voc) vocational maturity certificate","15","","",""
"Part-time","2000","Lower Saxony","(3a) lower tertiary education","12","","",""
"Part-time","2000","Lower Saxony","(3b) higher tertiary education","21","","",""
"Part-time","2000","Bremen","(0) in school","","","",""
"Part-time","2000","Bremen","(1a) inadequately completed","","","",""
"Part-time","2000","Bremen","(1b) general elementary school","3","","",""
"Part-time","2000","Bremen","(1c) basic vocational qualification","5","","",""
"Part-time","2000","Bremen","(2b) intermediate general qualification","","","",""
"Part-time","2000","Bremen","(2a) intermediate vocational","3","","",""
"Part-time","2000","Bremen","(2c_gen) general maturity certificate","2","","",""
"Part-time","2000","Bremen","(2c_voc) vocational maturity certificate","2","","",""
"Part-time","2000","Bremen","(3a) lower tertiary education","","","",""
"Part-time","2000","Bremen","(3b) higher tertiary education","7","","",""
"Part-time","2000","North Rhine-Westphalia","(0) in school","","","",""
"Part-time","2000","North Rhine-Westphalia","(1a) inadequately completed","8","","",""
"Part-time","2000","North Rhine-Westphalia","(1b) general elementary school","44","0.0641482883981261","0.0456094342826426","0.0826871425136097"
"Part-time","2000","North Rhine-Westphalia","(1c) basic vocational qualification","176","0.0888604680145809","0.0757373824305941","0.101983553598568"
"Part-time","2000","North Rhine-Westphalia","(2b) intermediate general qualification","9","","",""
"Part-time","2000","North Rhine-Westphalia","(2a) intermediate vocational","145","0.15126428589616","0.127763802211833","0.174764769580486"
"Part-time","2000","North Rhine-Westphalia","(2c_gen) general maturity certificate","22","","",""
"Part-time","2000","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","64","0.117365780999446","0.0886026155293279","0.146128946469564"
"Part-time","2000","North Rhine-Westphalia","(3a) lower tertiary education","26","","",""
"Part-time","2000","North Rhine-Westphalia","(3b) higher tertiary education","66","0.156268554906121","0.122569433574117","0.189967676238124"
"Part-time","2000","Hesse","(0) in school","","","",""
"Part-time","2000","Hesse","(1a) inadequately completed","1","","",""
"Part-time","2000","Hesse","(1b) general elementary school","22","","",""
"Part-time","2000","Hesse","(1c) basic vocational qualification","42","0.0777906151131929","0.0546581003474313","0.100923129878954"
"Part-time","2000","Hesse","(2b) intermediate general qualification","3","","",""
"Part-time","2000","Hesse","(2a) intermediate vocational","61","0.171730568986675","0.13140429715293","0.212056840820421"
"Part-time","2000","Hesse","(2c_gen) general maturity certificate","7","","",""
"Part-time","2000","Hesse","(2c_voc) vocational maturity certificate","14","","",""
"Part-time","2000","Hesse","(3a) lower tertiary education","6","","",""
"Part-time","2000","Hesse","(3b) higher tertiary education","19","","",""
"Part-time","2000","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Part-time","2000","Rhineland-Palatinate,Saarland","(1a) inadequately completed","1","","",""
"Part-time","2000","Rhineland-Palatinate,Saarland","(1b) general elementary school","16","","",""
"Part-time","2000","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","43","0.0692778978596194","0.0485768878161413","0.0899789079030975"
"Part-time","2000","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","2","","",""
"Part-time","2000","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","41","0.145801581890563","0.102055557973205","0.189547605807921"
"Part-time","2000","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","3","","",""
"Part-time","2000","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","12","","",""
"Part-time","2000","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","5","","",""
"Part-time","2000","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","8","","",""
"Part-time","2000","Baden-Württemberg","(0) in school","","","",""
"Part-time","2000","Baden-Württemberg","(1a) inadequately completed","9","","",""
"Part-time","2000","Baden-Württemberg","(1b) general elementary school","47","0.0852580270850386","0.0617905942237845","0.108725459946293"
"Part-time","2000","Baden-Württemberg","(1c) basic vocational qualification","75","0.0792518559071902","0.0620742974539183","0.0964294143604622"
"Part-time","2000","Baden-Württemberg","(2b) intermediate general qualification","2","","",""
"Part-time","2000","Baden-Württemberg","(2a) intermediate vocational","75","0.130684703110617","0.101489321974794","0.159880084246439"
"Part-time","2000","Baden-Württemberg","(2c_gen) general maturity certificate","10","","",""
"Part-time","2000","Baden-Württemberg","(2c_voc) vocational maturity certificate","18","","",""
"Part-time","2000","Baden-Württemberg","(3a) lower tertiary education","12","","",""
"Part-time","2000","Baden-Württemberg","(3b) higher tertiary education","27","","",""
"Part-time","2000","Bavaria","(0) in school","1","","",""
"Part-time","2000","Bavaria","(1a) inadequately completed","3","","",""
"Part-time","2000","Bavaria","(1b) general elementary school","43","0.0914351298792653","0.0642241632731555","0.118646096485375"
"Part-time","2000","Bavaria","(1c) basic vocational qualification","135","0.0958420467111343","0.0800806070030153","0.111603486419253"
"Part-time","2000","Bavaria","(2b) intermediate general qualification","6","","",""
"Part-time","2000","Bavaria","(2a) intermediate vocational","90","0.114928673745622","0.0908148108356644","0.139042536655579"
"Part-time","2000","Bavaria","(2c_gen) general maturity certificate","4","","",""
"Part-time","2000","Bavaria","(2c_voc) vocational maturity certificate","13","","",""
"Part-time","2000","Bavaria","(3a) lower tertiary education","15","","",""
"Part-time","2000","Bavaria","(3b) higher tertiary education","31","0.128798711574742","0.0892076854555496","0.168389737693934"
"Part-time","2000","Berlin","(0) in school","","","",""
"Part-time","2000","Berlin","(1a) inadequately completed","","","",""
"Part-time","2000","Berlin","(1b) general elementary school","4","","",""
"Part-time","2000","Berlin","(1c) basic vocational qualification","7","","",""
"Part-time","2000","Berlin","(2b) intermediate general qualification","1","","",""
"Part-time","2000","Berlin","(2a) intermediate vocational","20","","",""
"Part-time","2000","Berlin","(2c_gen) general maturity certificate","5","","",""
"Part-time","2000","Berlin","(2c_voc) vocational maturity certificate","6","","",""
"Part-time","2000","Berlin","(3a) lower tertiary education","9","","",""
"Part-time","2000","Berlin","(3b) higher tertiary education","17","","",""
"Part-time","2000","Brandenburg","(0) in school","1","","",""
"Part-time","2000","Brandenburg","(1a) inadequately completed","","","",""
"Part-time","2000","Brandenburg","(1b) general elementary school","","","",""
"Part-time","2000","Brandenburg","(1c) basic vocational qualification","3","","",""
"Part-time","2000","Brandenburg","(2b) intermediate general qualification","","","",""
"Part-time","2000","Brandenburg","(2a) intermediate vocational","25","","",""
"Part-time","2000","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Part-time","2000","Brandenburg","(2c_voc) vocational maturity certificate","3","","",""
"Part-time","2000","Brandenburg","(3a) lower tertiary education","15","","",""
"Part-time","2000","Brandenburg","(3b) higher tertiary education","6","","",""
"Part-time","2000","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Part-time","2000","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Part-time","2000","Mecklenburg-Western Pomerania","(1b) general elementary school","2","","",""
"Part-time","2000","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","10","","",""
"Part-time","2000","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","1","","",""
"Part-time","2000","Mecklenburg-Western Pomerania","(2a) intermediate vocational","21","","",""
"Part-time","2000","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","1","","",""
"Part-time","2000","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Part-time","2000","Mecklenburg-Western Pomerania","(3a) lower tertiary education","7","","",""
"Part-time","2000","Mecklenburg-Western Pomerania","(3b) higher tertiary education","5","","",""
"Part-time","2000","Saxony","(0) in school","","","",""
"Part-time","2000","Saxony","(1a) inadequately completed","","","",""
"Part-time","2000","Saxony","(1b) general elementary school","4","","",""
"Part-time","2000","Saxony","(1c) basic vocational qualification","18","","",""
"Part-time","2000","Saxony","(2b) intermediate general qualification","","","",""
"Part-time","2000","Saxony","(2a) intermediate vocational","64","0.0893627405224527","0.0676812958917937","0.111044185153112"
"Part-time","2000","Saxony","(2c_gen) general maturity certificate","","","",""
"Part-time","2000","Saxony","(2c_voc) vocational maturity certificate","4","","",""
"Part-time","2000","Saxony","(3a) lower tertiary education","26","","",""
"Part-time","2000","Saxony","(3b) higher tertiary education","10","","",""
"Part-time","2000","Saxony-Anhalt","(0) in school","","","",""
"Part-time","2000","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Part-time","2000","Saxony-Anhalt","(1b) general elementary school","","","",""
"Part-time","2000","Saxony-Anhalt","(1c) basic vocational qualification","7","","",""
"Part-time","2000","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"Part-time","2000","Saxony-Anhalt","(2a) intermediate vocational","33","0.0870690274659927","0.056557637922363","0.117580417009623"
"Part-time","2000","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"Part-time","2000","Saxony-Anhalt","(2c_voc) vocational maturity certificate","1","","",""
"Part-time","2000","Saxony-Anhalt","(3a) lower tertiary education","17","","",""
"Part-time","2000","Saxony-Anhalt","(3b) higher tertiary education","3","","",""
"Part-time","2000","Thuringia","(0) in school","","","",""
"Part-time","2000","Thuringia","(1a) inadequately completed","","","",""
"Part-time","2000","Thuringia","(1b) general elementary school","","","",""
"Part-time","2000","Thuringia","(1c) basic vocational qualification","10","","",""
"Part-time","2000","Thuringia","(2b) intermediate general qualification","","","",""
"Part-time","2000","Thuringia","(2a) intermediate vocational","31","0.0768168044715677","0.0509133826447438","0.102720226298392"
"Part-time","2000","Thuringia","(2c_gen) general maturity certificate","","","",""
"Part-time","2000","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"Part-time","2000","Thuringia","(3a) lower tertiary education","9","","",""
"Part-time","2000","Thuringia","(3b) higher tertiary education","10","","",""
"Non-working","2000","Schleswig-Holstein","(0) in school","12","","",""
"Non-working","2000","Schleswig-Holstein","(1a) inadequately completed","4","","",""
"Non-working","2000","Schleswig-Holstein","(1b) general elementary school","53","0.635071143231081","0.530873845070836","0.739268441391326"
"Non-working","2000","Schleswig-Holstein","(1c) basic vocational qualification","127","0.479026518396046","0.418420545926175","0.539632490865918"
"Non-working","2000","Schleswig-Holstein","(2b) intermediate general qualification","11","","",""
"Non-working","2000","Schleswig-Holstein","(2a) intermediate vocational","36","0.257214644709325","0.188623933808754","0.325805355609897"
"Non-working","2000","Schleswig-Holstein","(2c_gen) general maturity certificate","6","","",""
"Non-working","2000","Schleswig-Holstein","(2c_voc) vocational maturity certificate","18","","",""
"Non-working","2000","Schleswig-Holstein","(3a) lower tertiary education","7","","",""
"Non-working","2000","Schleswig-Holstein","(3b) higher tertiary education","15","","",""
"Non-working","2000","Hamburg","(0) in school","4","","",""
"Non-working","2000","Hamburg","(1a) inadequately completed","","","",""
"Non-working","2000","Hamburg","(1b) general elementary school","22","","",""
"Non-working","2000","Hamburg","(1c) basic vocational qualification","47","0.567031456093534","0.461071883809158","0.672991028377909"
"Non-working","2000","Hamburg","(2b) intermediate general qualification","4","","",""
"Non-working","2000","Hamburg","(2a) intermediate vocational","28","","",""
"Non-working","2000","Hamburg","(2c_gen) general maturity certificate","","","",""
"Non-working","2000","Hamburg","(2c_voc) vocational maturity certificate","5","","",""
"Non-working","2000","Hamburg","(3a) lower tertiary education","5","","",""
"Non-working","2000","Hamburg","(3b) higher tertiary education","12","","",""
"Non-working","2000","Lower Saxony","(0) in school","34","0.946416462011193","0.872854436933905","1.01997848708848"
"Non-working","2000","Lower Saxony","(1a) inadequately completed","22","","",""
"Non-working","2000","Lower Saxony","(1b) general elementary school","172","0.717655731090608","0.662297933958803","0.773013528222413"
"Non-working","2000","Lower Saxony","(1c) basic vocational qualification","312","0.45589021726788","0.419177900854813","0.492602533680948"
"Non-working","2000","Lower Saxony","(2b) intermediate general qualification","35","0.534959335111077","0.424269780404986","0.645648889817168"
"Non-working","2000","Lower Saxony","(2a) intermediate vocational","151","0.330813325185473","0.288809415939688","0.372817234431258"
"Non-working","2000","Lower Saxony","(2c_gen) general maturity certificate","25","","",""
"Non-working","2000","Lower Saxony","(2c_voc) vocational maturity certificate","49","0.339303013415664","0.26378429021045","0.414821736620878"
"Non-working","2000","Lower Saxony","(3a) lower tertiary education","23","","",""
"Non-working","2000","Lower Saxony","(3b) higher tertiary education","34","0.270454995757102","0.197904498585912","0.343005492928292"
"Non-working","2000","Bremen","(0) in school","3","","",""
"Non-working","2000","Bremen","(1a) inadequately completed","","","",""
"Non-working","2000","Bremen","(1b) general elementary school","18","","",""
"Non-working","2000","Bremen","(1c) basic vocational qualification","35","0.60847052297493","0.485984882452834","0.730956163497027"
"Non-working","2000","Bremen","(2b) intermediate general qualification","4","","",""
"Non-working","2000","Bremen","(2a) intermediate vocational","13","","",""
"Non-working","2000","Bremen","(2c_gen) general maturity certificate","2","","",""
"Non-working","2000","Bremen","(2c_voc) vocational maturity certificate","7","","",""
"Non-working","2000","Bremen","(3a) lower tertiary education","1","","",""
"Non-working","2000","Bremen","(3b) higher tertiary education","4","","",""
"Non-working","2000","North Rhine-Westphalia","(0) in school","106","0.933401445259691","0.88783283249477","0.978970058024612"
"Non-working","2000","North Rhine-Westphalia","(1a) inadequately completed","107","0.696998640855696","0.623699670971158","0.770297610740234"
"Non-working","2000","North Rhine-Westphalia","(1b) general elementary school","425","0.657666140693314","0.621764483098005","0.693567798288622"
"Non-working","2000","North Rhine-Westphalia","(1c) basic vocational qualification","880","0.503855595608364","0.480796285499911","0.526914905716816"
"Non-working","2000","North Rhine-Westphalia","(2b) intermediate general qualification","67","0.425307996215815","0.345925581036438","0.504690411395191"
"Non-working","2000","North Rhine-Westphalia","(2a) intermediate vocational","252","0.302329787988288","0.272207502408188","0.332452073568389"
"Non-working","2000","North Rhine-Westphalia","(2c_gen) general maturity certificate","103","0.51057641836511","0.440947713426336","0.580205123303884"
"Non-working","2000","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","125","0.256009216854024","0.217007194125228","0.295011239582821"
"Non-working","2000","North Rhine-Westphalia","(3a) lower tertiary education","70","0.293290764893127","0.236742667818879","0.349838861967375"
"Non-working","2000","North Rhine-Westphalia","(3b) higher tertiary education","90","0.21017893003545","0.172366062989885","0.247991797081016"
"Non-working","2000","Hesse","(0) in school","28","","",""
"Non-working","2000","Hesse","(1a) inadequately completed","33","0.738481659308153","0.607130232060584","0.869833086555723"
"Non-working","2000","Hesse","(1b) general elementary school","142","0.665859580050346","0.604089250951614","0.727629909149078"
"Non-working","2000","Hesse","(1c) basic vocational qualification","233","0.483357577266858","0.440198338689138","0.526516815844578"
"Non-working","2000","Hesse","(2b) intermediate general qualification","33","0.558801577199085","0.435207393491685","0.682395760906484"
"Non-working","2000","Hesse","(2a) intermediate vocational","99","0.344472950600693","0.293662701588671","0.395283199612715"
"Non-working","2000","Hesse","(2c_gen) general maturity certificate","33","0.521180991243485","0.398793204970802","0.643568777516168"
"Non-working","2000","Hesse","(2c_voc) vocational maturity certificate","45","0.365261472635051","0.284038183995553","0.446484761274548"
"Non-working","2000","Hesse","(3a) lower tertiary education","23","","",""
"Non-working","2000","Hesse","(3b) higher tertiary education","39","0.231290342338306","0.169171782853949","0.293408901822662"
"Non-working","2000","Rhineland-Palatinate,Saarland","(0) in school","24","","",""
"Non-working","2000","Rhineland-Palatinate,Saarland","(1a) inadequately completed","15","","",""
"Non-working","2000","Rhineland-Palatinate,Saarland","(1b) general elementary school","189","0.7419942909204","0.689215301852665","0.794773279988134"
"Non-working","2000","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","266","0.481496211858512","0.440762257167995","0.522230166549029"
"Non-working","2000","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","19","","",""
"Non-working","2000","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","71","0.322717700425073","0.264764911256426","0.38067048959372"
"Non-working","2000","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","20","","",""
"Non-working","2000","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","29","","",""
"Non-working","2000","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","14","","",""
"Non-working","2000","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","27","","",""
"Non-working","2000","Baden-Württemberg","(0) in school","54","0.788913404341094","0.688935714015785","0.888891094666404"
"Non-working","2000","Baden-Württemberg","(1a) inadequately completed","50","0.442661645483496","0.340609343048545","0.544713947918447"
"Non-working","2000","Baden-Württemberg","(1b) general elementary school","306","0.631774051330154","0.591243106468557","0.672304996191752"
"Non-working","2000","Baden-Württemberg","(1c) basic vocational qualification","375","0.429988088585873","0.398506512513541","0.461469664658205"
"Non-working","2000","Baden-Württemberg","(2b) intermediate general qualification","34","0.559675586039942","0.447325858500077","0.672025313579808"
"Non-working","2000","Baden-Württemberg","(2a) intermediate vocational","143","0.29443641711223","0.254956434642342","0.333916399582118"
"Non-working","2000","Baden-Württemberg","(2c_gen) general maturity certificate","79","0.555651139878424","0.470884637169694","0.640417642587153"
"Non-working","2000","Baden-Württemberg","(2c_voc) vocational maturity certificate","59","0.324625249274156","0.257870718564352","0.391379779983961"
"Non-working","2000","Baden-Württemberg","(3a) lower tertiary education","49","0.312268465323757","0.240906941127133","0.38362998952038"
"Non-working","2000","Baden-Württemberg","(3b) higher tertiary education","71","0.276081225894764","0.220441419795029","0.331721031994499"
"Non-working","2000","Bavaria","(0) in school","37","0.823104899033881","0.714014970290451","0.932194827777312"
"Non-working","2000","Bavaria","(1a) inadequately completed","22","","",""
"Non-working","2000","Bavaria","(1b) general elementary school","247","0.601235317536812","0.555008920899038","0.647461714174586"
"Non-working","2000","Bavaria","(1c) basic vocational qualification","543","0.435428272971358","0.408881388057661","0.461975157885056"
"Non-working","2000","Bavaria","(2b) intermediate general qualification","25","","",""
"Non-working","2000","Bavaria","(2a) intermediate vocational","202","0.347545223523387","0.311541756500133","0.38354869054664"
"Non-working","2000","Bavaria","(2c_gen) general maturity certificate","61","0.638632957955273","0.540468536471835","0.73679737943871"
"Non-working","2000","Bavaria","(2c_voc) vocational maturity certificate","80","0.440659418517704","0.372364283907604","0.508954553127804"
"Non-working","2000","Bavaria","(3a) lower tertiary education","49","0.29815370543905","0.234112253948932","0.362195156929168"
"Non-working","2000","Bavaria","(3b) higher tertiary education","72","0.266446212646705","0.214194262758958","0.318698162534453"
"Non-working","2000","Berlin","(0) in school","26","","",""
"Non-working","2000","Berlin","(1a) inadequately completed","5","","",""
"Non-working","2000","Berlin","(1b) general elementary school","24","","",""
"Non-working","2000","Berlin","(1c) basic vocational qualification","87","0.596137051711181","0.516817639539202","0.67545646388316"
"Non-working","2000","Berlin","(2b) intermediate general qualification","17","","",""
"Non-working","2000","Berlin","(2a) intermediate vocational","80","0.391568772196021","0.327361920323817","0.455775624068226"
"Non-working","2000","Berlin","(2c_gen) general maturity certificate","32","0.682966493767312","0.553988573540305","0.81194441399432"
"Non-working","2000","Berlin","(2c_voc) vocational maturity certificate","21","","",""
"Non-working","2000","Berlin","(3a) lower tertiary education","27","","",""
"Non-working","2000","Berlin","(3b) higher tertiary education","46","0.314511807287058","0.23704297420024","0.391980640373876"
"Non-working","2000","Brandenburg","(0) in school","22","","",""
"Non-working","2000","Brandenburg","(1a) inadequately completed","2","","",""
"Non-working","2000","Brandenburg","(1b) general elementary school","60","0.86123491745615","0.781932290331613","0.940537544580688"
"Non-working","2000","Brandenburg","(1c) basic vocational qualification","172","0.819148674955538","0.768403568462739","0.869893781448337"
"Non-working","2000","Brandenburg","(2b) intermediate general qualification","9","","",""
"Non-working","2000","Brandenburg","(2a) intermediate vocational","92","0.276807832934703","0.228680134462775","0.324935531406631"
"Non-working","2000","Brandenburg","(2c_gen) general maturity certificate","16","","",""
"Non-working","2000","Brandenburg","(2c_voc) vocational maturity certificate","11","","",""
"Non-working","2000","Brandenburg","(3a) lower tertiary education","58","0.368205537782924","0.294388054827572","0.442023020738276"
"Non-working","2000","Brandenburg","(3b) higher tertiary education","29","","",""
"Non-working","2000","Mecklenburg-Western Pomerania","(0) in school","18","","",""
"Non-working","2000","Mecklenburg-Western Pomerania","(1a) inadequately completed","3","","",""
"Non-working","2000","Mecklenburg-Western Pomerania","(1b) general elementary school","19","","",""
"Non-working","2000","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","89","0.734500247189925","0.658295632845602","0.810704861534247"
"Non-working","2000","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","5","","",""
"Non-working","2000","Mecklenburg-Western Pomerania","(2a) intermediate vocational","55","0.221351365565248","0.166114364721617","0.276588366408878"
"Non-working","2000","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","5","","",""
"Non-working","2000","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","3","","",""
"Non-working","2000","Mecklenburg-Western Pomerania","(3a) lower tertiary education","27","","",""
"Non-working","2000","Mecklenburg-Western Pomerania","(3b) higher tertiary education","10","","",""
"Non-working","2000","Saxony","(0) in school","36","1","1","1"
"Non-working","2000","Saxony","(1a) inadequately completed","6","","",""
"Non-working","2000","Saxony","(1b) general elementary school","79","0.828551587269985","0.755408293017971","0.901694881521999"
"Non-working","2000","Saxony","(1c) basic vocational qualification","324","0.770522069064241","0.730869692540095","0.810174445588387"
"Non-working","2000","Saxony","(2b) intermediate general qualification","25","","",""
"Non-working","2000","Saxony","(2a) intermediate vocational","178","0.28065180902509","0.246501804212144","0.314801813838036"
"Non-working","2000","Saxony","(2c_gen) general maturity certificate","31","0.679563936042852","0.547551961148268","0.811575910937436"
"Non-working","2000","Saxony","(2c_voc) vocational maturity certificate","15","","",""
"Non-working","2000","Saxony","(3a) lower tertiary education","70","0.435261958508537","0.36655005643133","0.503973860585744"
"Non-working","2000","Saxony","(3b) higher tertiary education","42","0.300880898922271","0.233122263687049","0.368639534157492"
"Non-working","2000","Saxony-Anhalt","(0) in school","22","","",""
"Non-working","2000","Saxony-Anhalt","(1a) inadequately completed","2","","",""
"Non-working","2000","Saxony-Anhalt","(1b) general elementary school","56","0.853029315157296","0.770083131663947","0.935975498650646"
"Non-working","2000","Saxony-Anhalt","(1c) basic vocational qualification","218","0.778941265395305","0.731827680117501","0.826054850673109"
"Non-working","2000","Saxony-Anhalt","(2b) intermediate general qualification","10","","",""
"Non-working","2000","Saxony-Anhalt","(2a) intermediate vocational","92","0.29578379788726","0.246392394515344","0.345175201259177"
"Non-working","2000","Saxony-Anhalt","(2c_gen) general maturity certificate","22","","",""
"Non-working","2000","Saxony-Anhalt","(2c_voc) vocational maturity certificate","11","","",""
"Non-working","2000","Saxony-Anhalt","(3a) lower tertiary education","45","0.39072098223982","0.31047091647782","0.47097104800182"
"Non-working","2000","Saxony-Anhalt","(3b) higher tertiary education","23","","",""
"Non-working","2000","Thuringia","(0) in school","25","","",""
"Non-working","2000","Thuringia","(1a) inadequately completed","1","","",""
"Non-working","2000","Thuringia","(1b) general elementary school","39","0.850926101087446","0.752205039552768","0.949647162622124"
"Non-working","2000","Thuringia","(1c) basic vocational qualification","237","0.769144032182341","0.722830391563365","0.815457672801318"
"Non-working","2000","Thuringia","(2b) intermediate general qualification","9","","",""
"Non-working","2000","Thuringia","(2a) intermediate vocational","92","0.260716619493787","0.218011995339816","0.303421243647759"
"Non-working","2000","Thuringia","(2c_gen) general maturity certificate","19","","",""
"Non-working","2000","Thuringia","(2c_voc) vocational maturity certificate","10","","",""
"Non-working","2000","Thuringia","(3a) lower tertiary education","34","0.382758806409978","0.289342763136248","0.476174849683708"
"Non-working","2000","Thuringia","(3b) higher tertiary education","17","","",""
"Other","2000","Schleswig-Holstein","(0) in school","3","","",""
"Other","2000","Schleswig-Holstein","(1a) inadequately completed","2","","",""
"Other","2000","Schleswig-Holstein","(1b) general elementary school","5","","",""
"Other","2000","Schleswig-Holstein","(1c) basic vocational qualification","13","","",""
"Other","2000","Schleswig-Holstein","(2b) intermediate general qualification","6","","",""
"Other","2000","Schleswig-Holstein","(2a) intermediate vocational","10","","",""
"Other","2000","Schleswig-Holstein","(2c_gen) general maturity certificate","5","","",""
"Other","2000","Schleswig-Holstein","(2c_voc) vocational maturity certificate","5","","",""
"Other","2000","Schleswig-Holstein","(3a) lower tertiary education","2","","",""
"Other","2000","Schleswig-Holstein","(3b) higher tertiary education","1","","",""
"Other","2000","Hamburg","(0) in school","","","",""
"Other","2000","Hamburg","(1a) inadequately completed","1","","",""
"Other","2000","Hamburg","(1b) general elementary school","2","","",""
"Other","2000","Hamburg","(1c) basic vocational qualification","1","","",""
"Other","2000","Hamburg","(2b) intermediate general qualification","2","","",""
"Other","2000","Hamburg","(2a) intermediate vocational","3","","",""
"Other","2000","Hamburg","(2c_gen) general maturity certificate","4","","",""
"Other","2000","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Other","2000","Hamburg","(3a) lower tertiary education","","","",""
"Other","2000","Hamburg","(3b) higher tertiary education","1","","",""
"Other","2000","Lower Saxony","(0) in school","1","","",""
"Other","2000","Lower Saxony","(1a) inadequately completed","2","","",""
"Other","2000","Lower Saxony","(1b) general elementary school","20","","",""
"Other","2000","Lower Saxony","(1c) basic vocational qualification","25","","",""
"Other","2000","Lower Saxony","(2b) intermediate general qualification","34","0.370492846875053","0.263318452492754","0.477667241257353"
"Other","2000","Lower Saxony","(2a) intermediate vocational","21","","",""
"Other","2000","Lower Saxony","(2c_gen) general maturity certificate","17","","",""
"Other","2000","Lower Saxony","(2c_voc) vocational maturity certificate","9","","",""
"Other","2000","Lower Saxony","(3a) lower tertiary education","5","","",""
"Other","2000","Lower Saxony","(3b) higher tertiary education","4","","",""
"Other","2000","Bremen","(0) in school","1","","",""
"Other","2000","Bremen","(1a) inadequately completed","","","",""
"Other","2000","Bremen","(1b) general elementary school","","","",""
"Other","2000","Bremen","(1c) basic vocational qualification","3","","",""
"Other","2000","Bremen","(2b) intermediate general qualification","1","","",""
"Other","2000","Bremen","(2a) intermediate vocational","1","","",""
"Other","2000","Bremen","(2c_gen) general maturity certificate","","","",""
"Other","2000","Bremen","(2c_voc) vocational maturity certificate","1","","",""
"Other","2000","Bremen","(3a) lower tertiary education","","","",""
"Other","2000","Bremen","(3b) higher tertiary education","1","","",""
"Other","2000","North Rhine-Westphalia","(0) in school","8","","",""
"Other","2000","North Rhine-Westphalia","(1a) inadequately completed","2","","",""
"Other","2000","North Rhine-Westphalia","(1b) general elementary school","62","0.0785225726386443","0.0581696659505554","0.0988754793267332"
"Other","2000","North Rhine-Westphalia","(1c) basic vocational qualification","43","0.0225182701775513","0.0156758292745893","0.0293607110805133"
"Other","2000","North Rhine-Westphalia","(2b) intermediate general qualification","54","0.3561101059214","0.279223106859064","0.432997104983736"
"Other","2000","North Rhine-Westphalia","(2a) intermediate vocational","36","0.0411916221879398","0.0281571719203846","0.0542260724554949"
"Other","2000","North Rhine-Westphalia","(2c_gen) general maturity certificate","45","0.23491914865635","0.175867997092041","0.29397030022066"
"Other","2000","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","27","","",""
"Other","2000","North Rhine-Westphalia","(3a) lower tertiary education","5","","",""
"Other","2000","North Rhine-Westphalia","(3b) higher tertiary education","8","","",""
"Other","2000","Hesse","(0) in school","4","","",""
"Other","2000","Hesse","(1a) inadequately completed","","","",""
"Other","2000","Hesse","(1b) general elementary school","17","","",""
"Other","2000","Hesse","(1c) basic vocational qualification","26","","",""
"Other","2000","Hesse","(2b) intermediate general qualification","18","","",""
"Other","2000","Hesse","(2a) intermediate vocational","14","","",""
