"erwst","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Full-time","2012","16-34 y.","East Germany","522","0.418472189240168","0.393466084855982","0.443478293624353"
"Full-time","2012","35-65 y.","West Germany","6306","0.546302485797897","0.537624079348884","0.554980892246911"
"Full-time","2012","35-65 y.","East Germany","1896","0.561955293074883","0.545468697741836","0.578441888407929"
"Full-time","2012","66 and older","West Germany","49","0.0119763183455319","0.00858658689811934","0.0153660497929445"
"Full-time","2012","66 and older","East Germany","7","","",""
"Part-time","2012","16-34 y.","West Germany","516","0.0798424741512016","0.0726111144209771","0.0870738338814261"
"Part-time","2012","16-34 y.","East Germany","154","0.0748611470720565","0.0615210437423232","0.0882012504017899"
"Part-time","2012","35-65 y.","West Germany","2655","0.16667339792949","0.160176875149084","0.173169920709897"
"Part-time","2012","35-65 y.","East Germany","546","0.13617168669397","0.124775015925046","0.147568357462895"
"Part-time","2012","66 and older","West Germany","76","0.0149052049533234","0.0111292401469632","0.0186811697596835"
"Part-time","2012","66 and older","East Germany","6","","",""
"Non-working","2012","16-34 y.","West Germany","2113","0.314787366893021","0.302396741985614","0.327177991800429"
"Non-working","2012","16-34 y.","East Germany","600","0.351279068872208","0.327080895357899","0.375477242386516"
"Non-working","2012","35-65 y.","West Germany","2860","0.23178391416028","0.224428222047812","0.239139606272747"
"Non-working","2012","35-65 y.","East Germany","870","0.256984728817497","0.24246450185481","0.271504955780184"
"Non-working","2012","66 and older","West Germany","3700","0.941888128805045","0.934597717325174","0.949178540284916"
"Non-working","2012","66 and older","East Germany","1277","0.976509634674522","0.968295540941931","0.984723728407113"
"Other","2012","16-34 y.","West Germany","1048","0.186911688141283","0.176511074323161","0.197312301959406"
"Other","2012","16-34 y.","East Germany","219","0.155387594815568","0.137023716986988","0.173751472644148"
"Other","2012","35-65 y.","West Germany","821","0.0552402021123327","0.0512579520313868","0.0592224521932785"
"Other","2012","35-65 y.","East Germany","167","0.0448882914136502","0.0380078785563315","0.0517687042709689"
"Other","2012","66 and older","West Germany","131","0.0312303478960995","0.0258101065663806","0.0366505892258183"
"Other","2012","66 and older","East Germany","16","","",""
"Full-time","2013","16-34 y.","West Germany","2188","0.39643548616782","0.384965818628412","0.407905153707227"
"Full-time","2013","16-34 y.","East Germany","488","0.416455033308219","0.391098726137706","0.441811340478732"
"Full-time","2013","35-65 y.","West Germany","7063","0.539106650761135","0.53091781471929","0.547295486802979"
"Full-time","2013","35-65 y.","East Germany","1880","0.558702617099458","0.542327147151028","0.575078087047889"
"Full-time","2013","66 and older","West Germany","53","0.0107274080718665","0.00747505545591197","0.013979760687821"
"Full-time","2013","66 and older","East Germany","9","","",""
"Part-time","2013","16-34 y.","West Germany","633","0.0792799727042217","0.0729449487654426","0.0856149966430009"
"Part-time","2013","16-34 y.","East Germany","176","0.111863031066037","0.0956506035163933","0.128075458615681"
"Part-time","2013","35-65 y.","West Germany","2990","0.17225908314313","0.16605578167081","0.178462384615451"
"Part-time","2013","35-65 y.","East Germany","589","0.143026663990407","0.131480707865323","0.154572620115491"
"Part-time","2013","66 and older","West Germany","64","0.0132755685662939","0.00966216272999793","0.01688897440259"
"Part-time","2013","66 and older","East Germany","10","","",""
"Non-working","2013","16-34 y.","West Germany","2692","0.323319693551553","0.312352119704199","0.334287267398907"
"Non-working","2013","16-34 y.","East Germany","548","0.312550150413343","0.288708015036305","0.336392285790382"
"Non-working","2013","35-65 y.","West Germany","3192","0.228074466935288","0.221181429331741","0.234967504538834"
"Non-working","2013","35-65 y.","East Germany","882","0.250525796518871","0.236235464672246","0.264816128365496"
"Non-working","2013","66 and older","West Germany","3591","0.940290917053309","0.932810194344453","0.947771639762164"
"Non-working","2013","66 and older","East Germany","1221","0.975924677623827","0.967447574295534","0.984401780952119"
"Other","2013","16-34 y.","West Germany","1474","0.200964847576405","0.191568789091106","0.210360906061704"
"Other","2013","16-34 y.","East Germany","240","0.159131785212401","0.140316655425849","0.177946914998952"
"Other","2013","35-65 y.","West Germany","989","0.0605597991604473","0.0566413754678073","0.0644782228530873"
"Other","2013","35-65 y.","East Germany","181","0.0477449223912631","0.0407129365443025","0.0547769082382237"
"Other","2013","66 and older","West Germany","146","0.035706106308531","0.0298478523990596","0.0415643602180025"
"Other","2013","66 and older","East Germany","16","","",""
"Full-time","2014","16-34 y.","West Germany","1841","0.391618878822196","0.3791470129016","0.404090744742792"
"Full-time","2014","16-34 y.","East Germany","421","0.40305456074122","0.376088062472462","0.430021059009979"
"Full-time","2014","35-65 y.","West Germany","6197","0.539158761089558","0.530393066609487","0.547924455569629"
"Full-time","2014","35-65 y.","East Germany","1723","0.557263235160251","0.540034570365852","0.57449189995465"
"Full-time","2014","66 and older","West Germany","55","0.0116931961366396","0.00826210436250138","0.0151242879107779"
"Full-time","2014","66 and older","East Germany","7","","",""
"Part-time","2014","16-34 y.","West Germany","495","0.0839630836751053","0.0768768994764562","0.0910492678737544"
"Part-time","2014","16-34 y.","East Germany","140","0.104092861816064","0.0873041533177246","0.120881570314403"
"Part-time","2014","35-65 y.","West Germany","2665","0.178420188750479","0.171687334623893","0.185153042877064"
"Part-time","2014","35-65 y.","East Germany","529","0.14492498698333","0.132714798314553","0.157135175652107"
"Part-time","2014","66 and older","West Germany","73","0.0157062257682573","0.0117378013627699","0.0196746501737447"
"Part-time","2014","66 and older","East Germany","7","","",""
"Non-working","2014","16-34 y.","West Germany","2216","0.311700074262649","0.299865052163371","0.323535096361927"
"Non-working","2014","16-34 y.","East Germany","504","0.324482053047172","0.298743205224451","0.350220900869893"
"Non-working","2014","35-65 y.","West Germany","2653","0.218323818703918","0.211059141406422","0.225588496001414"
"Non-working","2014","35-65 y.","East Germany","782","0.251702179371824","0.236648961067343","0.266755397676306"
"Non-working","2014","66 and older","West Germany","3481","0.932857146411385","0.924869344363351","0.940844948459419"
"Non-working","2014","66 and older","East Germany","1200","0.978056429975012","0.969899099885575","0.98621376006445"
"Other","2014","16-34 y.","West Germany","1332","0.21271796324005","0.202261639689632","0.223174286790468"
"Other","2014","16-34 y.","East Germany","206","0.168370524395544","0.147798677433414","0.188942371357673"
"Other","2014","35-65 y.","West Germany","907","0.0640972314560443","0.0597901078999744","0.0684043550121143"
"Other","2014","35-65 y.","East Germany","159","0.046109598484595","0.0388352593992453","0.0533839375699446"
"Other","2014","66 and older","West Germany","162","0.0397434316837182","0.0335082925345533","0.0459785708328831"
"Other","2014","66 and older","East Germany","25","","",""
"Full-time","2015","16-34 y.","West Germany","1963","0.407910330483437","0.395527765708495","0.420292895258379"
"Full-time","2015","16-34 y.","East Germany","414","0.411508643216299","0.384007226905524","0.439010059527073"
"Full-time","2015","35-65 y.","West Germany","6053","0.534220200666107","0.525365760820689","0.543074640511526"
"Full-time","2015","35-65 y.","East Germany","1639","0.557623010435806","0.540054072401876","0.575191948469737"
"Full-time","2015","66 and older","West Germany","52","0.0127877663733388","0.00918104369918679","0.0163944890474908"
"Full-time","2015","66 and older","East Germany","8","","",""
"Part-time","2015","16-34 y.","West Germany","514","0.0805476049912513","0.0736907422723331","0.0874044677101696"
"Part-time","2015","16-34 y.","East Germany","145","0.118604252084858","0.100535375963266","0.136673128206451"
"Part-time","2015","35-65 y.","West Germany","2707","0.19054371025082","0.183572557102606","0.197514863399034"
"Part-time","2015","35-65 y.","East Germany","511","0.151006739922352","0.13834104011823","0.163672439726473"
"Part-time","2015","66 and older","West Germany","72","0.0149428261898986","0.0110482766666677","0.0188373757131294"
"Part-time","2015","66 and older","East Germany","11","","",""
"Non-working","2015","16-34 y.","West Germany","2303","0.307640239119806","0.296011784715948","0.319268693523664"
"Non-working","2015","16-34 y.","East Germany","458","0.303535406344592","0.277840340469023","0.329230472220161"
"Non-working","2015","35-65 y.","West Germany","2592","0.21205321270228","0.204797476462584","0.219308948941976"
"Non-working","2015","35-65 y.","East Germany","769","0.241362205286157","0.226225520276747","0.256498890295567"
"Non-working","2015","66 and older","West Germany","3444","0.929169530882634","0.920934453616718","0.937404608148549"
"Non-working","2015","66 and older","East Germany","1193","0.964295475691507","0.953971929852107","0.974619021530908"
"Other","2015","16-34 y.","West Germany","1271","0.203901825405506","0.19375036826217","0.214053282548842"
"Other","2015","16-34 y.","East Germany","213","0.166351698354251","0.145540332224582","0.18716306448392"
"Other","2015","35-65 y.","West Germany","840","0.0631828763807927","0.0588643286819785","0.0675014240796069"
"Other","2015","35-65 y.","East Germany","151","0.0500080443556848","0.0422979658044055","0.0577181229069642"
"Other","2015","66 and older","West Germany","160","0.043099876554129","0.0365808694004643","0.0496188837077937"
"Other","2015","66 and older","East Germany","29","","",""
"Full-time","2016","16-34 y.","West Germany","1722","0.399161080230053","0.387882044985552","0.410440115474554"
"Full-time","2016","16-34 y.","East Germany","359","0.351426901439383","0.327567096410806","0.37528670646796"
"Full-time","2016","35-65 y.","West Germany","5569","0.542848195229003","0.534150973517238","0.551545416940767"
"Full-time","2016","35-65 y.","East Germany","1581","0.560104930426282","0.542981507907256","0.577228352945307"
"Full-time","2016","66 and older","West Germany","60","0.0132110511755056","0.00949009407805371","0.0169320082729575"
"Full-time","2016","66 and older","East Germany","10","","",""
"Part-time","2016","16-34 y.","West Germany","474","0.074393334290698","0.0683496874347935","0.0804369811466025"
"Part-time","2016","16-34 y.","East Germany","134","0.129021282526491","0.112267827963399","0.145774737089582"
"Part-time","2016","35-65 y.","West Germany","2629","0.195127453368288","0.188208604115751","0.202046302620826"
"Part-time","2016","35-65 y.","East Germany","526","0.159501828398737","0.146870979277312","0.172132677520161"
"Part-time","2016","66 and older","West Germany","76","0.0183000534905094","0.0139319853975037","0.0226681215835152"
"Part-time","2016","66 and older","East Germany","13","","",""
"Non-working","2016","16-34 y.","West Germany","3814","0.33938254651177","0.32847722172194","0.3502878713016"
"Non-working","2016","16-34 y.","East Germany","841","0.363199735060832","0.339164725317437","0.387234744804226"
"Non-working","2016","35-65 y.","West Germany","3592","0.200595339613677","0.193604088842292","0.207586590385063"
"Non-working","2016","35-65 y.","East Germany","961","0.232639164249737","0.218063694597669","0.247214633901806"
"Non-working","2016","66 and older","West Germany","3327","0.927118167173436","0.918646848386187","0.935589485960685"
"Non-working","2016","66 and older","East Germany","1142","0.959395927099194","0.948191395701109","0.970600458497278"
"Other","2016","16-34 y.","West Germany","1232","0.187063038967479","0.178081696467659","0.196044381467299"
"Other","2016","16-34 y.","East Germany","204","0.156352080973295","0.138201004939278","0.174503157007313"
"Other","2016","35-65 y.","West Germany","813","0.0614290117890318","0.0572369135623838","0.0656211100156799"
"Other","2016","35-65 y.","East Germany","160","0.0477540769252444","0.040397748396342","0.0551104054541469"
"Other","2016","66 and older","West Germany","154","0.0413707281605492","0.0348807122403125","0.047860744080786"
"Other","2016","66 and older","East Germany","27","","",""
"Full-time","2017","16-34 y.","West Germany","2074","0.39942087903899","0.388989721100429","0.409852036977552"
"Full-time","2017","16-34 y.","East Germany","456","0.423502819893232","0.399646896350725","0.447358743435739"
"Full-time","2017","35-65 y.","West Germany","6298","0.542606085733674","0.534386953996803","0.550825217470546"
"Full-time","2017","35-65 y.","East Germany","1847","0.568327349622624","0.55211146538011","0.584543233865137"
"Full-time","2017","66 and older","West Germany","74","0.0160121560832436","0.0120420487073745","0.0199822634591127"
"Full-time","2017","66 and older","East Germany","8","","",""
"Part-time","2017","16-34 y.","West Germany","597","0.0845242762095666","0.0785998516854179","0.0904487007337152"
"Part-time","2017","16-34 y.","East Germany","129","0.105948957776139","0.0910896359553983","0.12080827959688"
"Part-time","2017","35-65 y.","West Germany","2972","0.194077516887135","0.187552634773999","0.200602399000271"
"Part-time","2017","35-65 y.","East Germany","585","0.166388458365647","0.154195543289237","0.178581373442056"
"Part-time","2017","66 and older","West Germany","90","0.01679878431438","0.0127339522353352","0.0208636163934248"
"Part-time","2017","66 and older","East Germany","13","","",""
"Non-working","2017","16-34 y.","West Germany","4432","0.323902556619265","0.313936029348665","0.333869083889864"
"Non-working","2017","16-34 y.","East Germany","837","0.334584106696539","0.311803319567664","0.357364893825414"
"Non-working","2017","35-65 y.","West Germany","3961","0.199902809982395","0.1933047046814","0.206500915283389"
"Non-working","2017","35-65 y.","East Germany","997","0.223045747366998","0.209416910655268","0.236674584078727"
"Non-working","2017","66 and older","West Germany","3483","0.914501847413072","0.905657757731769","0.923345937094375"
"Non-working","2017","66 and older","East Germany","1191","0.964785929307026","0.954551522724099","0.975020335889953"
"Other","2017","16-34 y.","West Germany","1366","0.192152288132179","0.183761175426369","0.200543400837988"
"Other","2017","16-34 y.","East Germany","226","0.135964115634089","0.119416038817508","0.152512192450671"
"Other","2017","35-65 y.","West Germany","882","0.0634135873967961","0.0593928703794669","0.0674343044141252"
"Other","2017","35-65 y.","East Germany","155","0.0422384446447321","0.0356535815564263","0.0488233077330378"
"Other","2017","66 and older","West Germany","193","0.0526872121893045","0.0456210794978348","0.0597533448807742"
"Other","2017","66 and older","East Germany","34","0.020079694232571","0.0122910297465936","0.0278683587185483"
"Full-time","2018","16-34 y.","West Germany","2080","0.413666186629083","0.402445992514885","0.42488638074328"
"Full-time","2018","16-34 y.","East Germany","444","0.387345825597389","0.362968135616118","0.411723515578659"
"Full-time","2018","35-65 y.","West Germany","6007","0.552102785163271","0.543614749924673","0.56059082040187"
"Full-time","2018","35-65 y.","East Germany","1777","0.580060216119674","0.563593550689152","0.596526881550196"
"Full-time","2018","66 and older","West Germany","64","0.0154948076503679","0.0115863006698079","0.0194033146309278"
"Full-time","2018","66 and older","East Germany","9","","",""
"Part-time","2018","16-34 y.","West Germany","648","0.0960833785789341","0.0893692259748872","0.102797531182981"
"Part-time","2018","16-34 y.","East Germany","137","0.117874355775449","0.101737820150625","0.134010891400274"
"Part-time","2018","35-65 y.","West Germany","2910","0.203252637189461","0.196383749176496","0.210121525202426"
"Part-time","2018","35-65 y.","East Germany","609","0.160190312506099","0.147953052835478","0.172427572176719"
"Part-time","2018","66 and older","West Germany","103","0.0229898135443123","0.0182471090890335","0.027732517999591"
"Part-time","2018","66 and older","East Germany","15","","",""
"Non-working","2018","16-34 y.","West Germany","3333","0.302957014477434","0.292487581146621","0.313426447808246"
"Non-working","2018","16-34 y.","East Germany","710","0.351872182356681","0.327974366554633","0.37576999815873"
"Non-working","2018","35-65 y.","West Germany","3477","0.189617905179137","0.182926880764665","0.196308929593609"
"Non-working","2018","35-65 y.","East Germany","906","0.212044205193508","0.19840654884833","0.225681861538686"
"Non-working","2018","66 and older","West Germany","3460","0.904595116270492","0.895298579006641","0.913891653534344"
"Non-working","2018","66 and older","East Germany","1202","0.945027306857686","0.932452130067996","0.957602483647375"
"Other","2018","16-34 y.","West Germany","1340","0.187293420314549","0.178404867911206","0.196181972717892"
"Other","2018","16-34 y.","East Germany","243","0.142907636270481","0.125393975151209","0.160421297389752"
"Other","2018","35-65 y.","West Germany","791","0.0550266724681305","0.0511343893301068","0.0589189556061542"
"Other","2018","35-65 y.","East Germany","159","0.0477052661807198","0.04059404045297","0.0548164919084695"
"Other","2018","66 and older","West Germany","209","0.0569202625348274","0.0495883640032714","0.0642521610663835"
"Other","2018","66 and older","East Germany","36","0.0290866725178648","0.0198150516240617","0.038358293411668"
"Full-time","2019","16-34 y.","West Germany","1996","0.424704007332194","0.412696677221991","0.436711337442398"
"Full-time","2019","16-34 y.","East Germany","409","0.395924904319154","0.369442078807198","0.42240772983111"
"Full-time","2019","35-65 y.","West Germany","6637","0.546069503369925","0.537668861455452","0.554470145284399"
"Full-time","2019","35-65 y.","East Germany","2012","0.58463107812171","0.568409320056945","0.600852836186475"
"Full-time","2019","66 and older","West Germany","172","0.0172951291388025","0.0132336553482796","0.0213566029293254"
"Full-time","2019","66 and older","East Germany","46","0.014892286119879","0.00835574136716869","0.0214288308725894"
"Part-time","2019","16-34 y.","West Germany","613","0.11284988426788","0.105163772198508","0.120535996337253"
"Part-time","2019","16-34 y.","East Germany","126","0.135050120318552","0.116542294559093","0.153557946078012"
"Part-time","2019","35-65 y.","West Germany","2959","0.211757390493531","0.204863838225284","0.218650942761778"
"Part-time","2019","35-65 y.","East Germany","580","0.161166647485094","0.149063024086946","0.173270270883242"
"Part-time","2019","66 and older","West Germany","151","0.0249117206385307","0.0200562198753876","0.0297672214016738"
"Part-time","2019","66 and older","East Germany","31","0.0111272896346674","0.00546632312637163","0.0167882561429632"
"Non-working","2019","16-34 y.","West Germany","2677","0.294321657390657","0.283251033371709","0.305392281409605"
"Non-working","2019","16-34 y.","East Germany","559","0.315915078196793","0.29074105491172","0.341089101481865"
"Non-working","2019","35-65 y.","West Germany","3133","0.186901185083197","0.180323523546749","0.193478846619645"
"Non-working","2019","35-65 y.","East Germany","805","0.211090251097287","0.197656796217921","0.224523705976653"
"Non-working","2019","66 and older","West Germany","3421","0.910950773763737","0.902077727913153","0.91982381961432"
"Non-working","2019","66 and older","East Germany","1192","0.946988191544232","0.934896577256604","0.95907980583186"
"Other","2019","16-34 y.","West Germany","1224","0.168124451009268","0.159039926183904","0.177208975834633"
"Other","2019","16-34 y.","East Germany","216","0.153109897165501","0.133610211780483","0.172609582550518"
"Other","2019","35-65 y.","West Germany","764","0.0552719210533467","0.051416254018941","0.0591275880877524"
"Other","2019","35-65 y.","East Germany","148","0.0431120232959085","0.0364259717146554","0.0497980748771616"
"Other","2019","66 and older","West Germany","214","0.0468423764589303","0.0402595558667794","0.0534251970510811"
"Other","2019","66 and older","East Germany","50","0.0269922327012213","0.0182463579917889","0.0357381074106536"
