"erwst","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Non-working","1987","(1c) basic vocational qualification","Female","779","0.587635958742034","0.562514395769971","0.612757521714097"
"Non-working","1987","(2b) intermediate general qualification","Male","75","0.385364578080969","0.312632071218992","0.458097084942946"
"Non-working","1987","(2b) intermediate general qualification","Female","120","0.506845728524592","0.446192051784336","0.567499405264847"
"Non-working","1987","(2a) intermediate vocational","Male","115","0.243268130756321","0.208198774824114","0.278337486688528"
"Non-working","1987","(2a) intermediate vocational","Female","313","0.451448094308048","0.415998364665195","0.486897823950901"
"Non-working","1987","(2c_gen) general maturity certificate","Male","126","0.603557074463634","0.540202225718726","0.666911923208543"
"Non-working","1987","(2c_gen) general maturity certificate","Female","83","0.578092453563997","0.499837890229466","0.656347016898527"
"Non-working","1987","(2c_voc) vocational maturity certificate","Male","71","0.389191423523513","0.326180134093322","0.452202712953704"
"Non-working","1987","(2c_voc) vocational maturity certificate","Female","62","0.354718694274865","0.284036774395506","0.425400614154225"
"Non-working","1987","(3a) lower tertiary education","Male","42","0.282274650664844","0.215776917782023","0.348772383547664"
"Non-working","1987","(3a) lower tertiary education","Female","32","0.490372779676003","0.375695826274862","0.605049733077144"
"Non-working","1987","(3b) higher tertiary education","Male","34","0.134286037557645","0.0969287149911745","0.171643360124115"
"Non-working","1987","(3b) higher tertiary education","Female","53","0.340165515770006","0.269972853672039","0.410358177867972"
"Other","1987","(0) in school","Male","","","",""
"Other","1987","(0) in school","Female","","","",""
"Other","1987","(1a) inadequately completed","Male","","","",""
"Other","1987","(1a) inadequately completed","Female","","","",""
"Other","1987","(1b) general elementary school","Male","104","0.119539537450521","0.0977298549662195","0.141349219934822"
"Other","1987","(1b) general elementary school","Female","88","0.0466886082027516","0.0363641144867426","0.0570131019187605"
"Other","1987","(1c) basic vocational qualification","Male","","","",""
"Other","1987","(1c) basic vocational qualification","Female","59","0.0325372322795169","0.023482835649988","0.0415916289090457"
"Other","1987","(2b) intermediate general qualification","Male","72","0.446023225152155","0.371736984103396","0.520309466200915"
"Other","1987","(2b) intermediate general qualification","Female","72","0.219924877034341","0.169675205139882","0.270174548928801"
"Other","1987","(2a) intermediate vocational","Male","","","",""
"Other","1987","(2a) intermediate vocational","Female","36","0.0439534839011304","0.0293506779179395","0.0585562898843212"
"Other","1987","(2c_gen) general maturity certificate","Male","45","0.212165025902941","0.159212720194039","0.265117331611842"
"Other","1987","(2c_gen) general maturity certificate","Female","37","0.283223734922067","0.211830180179316","0.354617289664819"
"Other","1987","(2c_voc) vocational maturity certificate","Male","","","",""
"Other","1987","(2c_voc) vocational maturity certificate","Female","","","",""
"Other","1987","(3a) lower tertiary education","Male","","","",""
"Other","1987","(3a) lower tertiary education","Female","","","",""
"Other","1987","(3b) higher tertiary education","Male","","","",""
"Other","1987","(3b) higher tertiary education","Female","","","",""
"Full-time","1988","(0) in school","Male","","","",""
"Full-time","1988","(0) in school","Female","","","",""
"Full-time","1988","(1a) inadequately completed","Male","235","0.664632075733317","0.612495293496833","0.716768857969801"
"Full-time","1988","(1a) inadequately completed","Female","132","0.241885608017412","0.201918641980888","0.281852574053936"
"Full-time","1988","(1b) general elementary school","Male","503","0.498029886674663","0.464217558070384","0.531842215278941"
"Full-time","1988","(1b) general elementary school","Female","294","0.13465856318415","0.117383756351441","0.15193337001686"
"Full-time","1988","(1c) basic vocational qualification","Male","1477","0.675131498901497","0.654667896428034","0.69559510137496"
"Full-time","1988","(1c) basic vocational qualification","Female","397","0.239340052615708","0.217163131155111","0.261516974076305"
