"erwst","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Non-working","2012","Employed","direct migration background","167","0.104715246262399","0.0909222589217319","0.118508233603066"
"Non-working","2012","Employed","indirect migration background","114","0.125249315292435","0.104089396825454","0.146409233759416"
"Other","2012","Not Employed","no migration background","269","0.0167404012719924","0.0140515896052918","0.019429212938693"
"Other","2012","Not Employed","direct migration background","24","","",""
"Other","2012","Not Employed","indirect migration background","40","0.099169290905407","0.0710494135886338","0.12728916822218"
"Other","2012","Employed","no migration background","1671","0.111468071058982","0.106445783314659","0.116490358803305"
"Other","2012","Employed","direct migration background","225","0.118802343310707","0.104226893903586","0.133377792717828"
"Other","2012","Employed","indirect migration background","173","0.179400516331033","0.154872545094129","0.203928487567937"
"Full-time","2013","Not Employed","no migration background","280","0.0191006721327075","0.0161670539682055","0.0220342902972094"
"Full-time","2013","Not Employed","direct migration background","1541","0.270866700360997","0.258149349604934","0.283584051117059"
"Full-time","2013","Not Employed","indirect migration background","342","0.247443154602968","0.224415511316297","0.270470797889639"
"Full-time","2013","Employed","no migration background","8105","0.615174437079113","0.607195889025921","0.623152985132305"
"Full-time","2013","Employed","direct migration background","962","0.576074631025185","0.552841524507544","0.599307737542826"
"Full-time","2013","Employed","indirect migration background","451","0.596653677397296","0.56438792328576","0.628919431508832"
"Part-time","2013","Not Employed","no migration background","136","0.0070021734862499","0.00521503739737892","0.00878930957512087"
"Part-time","2013","Not Employed","direct migration background","510","0.0824375208699035","0.074567141641341","0.090307900098466"
"Part-time","2013","Not Employed","indirect migration background","94","0.059297807000532","0.0466944130759197","0.0719012009251443"
"Part-time","2013","Employed","no migration background","3202","0.175305422715524","0.169070414748741","0.181540430682307"
"Part-time","2013","Employed","direct migration background","353","0.185278757598382","0.16701288013533","0.203544635061433"
"Part-time","2013","Employed","indirect migration background","167","0.152842627274377","0.129175480576386","0.176509773972368"
"Non-working","2013","Not Employed","no migration background","7650","0.953463810437003","0.948949259479948","0.957978361394057"
"Non-working","2013","Not Employed","direct migration background","2198","0.571900345479339","0.55774084303902","0.586059847919659"
"Non-working","2013","Not Employed","indirect migration background","703","0.542269439710953","0.515683339608879","0.568855539813026"
"Non-working","2013","Employed","no migration background","1293","0.0926190630341553","0.0878652971974791","0.0973728288708315"
"Non-working","2013","Employed","direct migration background","187","0.10448906781249","0.09010790250854","0.118870233116439"
"Non-working","2013","Employed","indirect migration background","95","0.0838907716467238","0.0656571754890269","0.102124367804421"
"Other","2013","Not Employed","no migration background","297","0.0204333439440401","0.0174011724394657","0.0234655154486145"
"Other","2013","Not Employed","direct migration background","442","0.0747954332897605","0.0672675686800525","0.0823232978994686"
"Other","2013","Not Employed","indirect migration background","210","0.150989598685548","0.131883494702486","0.17009570266861"
"Other","2013","Employed","no migration background","1686","0.116901077171208","0.111632337966754","0.122169816375662"
"Other","2013","Employed","direct migration background","236","0.134157543563943","0.118134308917915","0.150180778209972"
"Other","2013","Employed","indirect migration background","175","0.166612923681603","0.142104276974438","0.191121570388768"
"Full-time","2014","Not Employed","no migration background","122","0.0121516769811022","0.00968014280600489","0.0146232111561996"
"Full-time","2014","Not Employed","direct migration background","89","0.0517481105293931","0.0414078604625528","0.0620883605962335"
"Full-time","2014","Not Employed","indirect migration background","27","","",""
"Full-time","2014","Employed","no migration background","7459","0.609615607230307","0.601267171778536","0.617964042682078"
"Full-time","2014","Employed","direct migration background","1885","0.565326113301248","0.548709984913957","0.58194224168854"
"Full-time","2014","Employed","indirect migration background","662","0.544984499232736","0.517714903663728","0.572254094801743"
"Part-time","2014","Not Employed","no migration background","87","0.00873264209286388","0.00663383940629634","0.0108314447794314"
"Part-time","2014","Not Employed","direct migration background","39","0.0119310858144706","0.00686286488968589","0.0169993067392553"
"Part-time","2014","Not Employed","indirect migration background","24","","",""
"Part-time","2014","Employed","no migration background","2900","0.181066116584926","0.174476292131745","0.187655941038108"
"Part-time","2014","Employed","direct migration background","664","0.173499189015498","0.160806053778299","0.186192324252697"
"Part-time","2014","Employed","indirect migration background","195","0.125403163490796","0.107267572050816","0.143538754930776"
"Non-working","2014","Not Employed","no migration background","7066","0.957657075676436","0.953114535120314","0.962199616232557"
"Non-working","2014","Not Employed","direct migration background","1560","0.906695816128972","0.893118832323988","0.920272799933956"
"Non-working","2014","Not Employed","indirect migration background","526","0.845777208704695","0.818033797090551","0.873520620318839"
"Non-working","2014","Employed","no migration background","1146","0.0859784419121849","0.0811810650452593","0.0907758187791105"
"Non-working","2014","Employed","direct migration background","377","0.123294895913394","0.112274483246688","0.1343153085801"
"Non-working","2014","Employed","indirect migration background","161","0.125462996573454","0.107323699676607","0.143602293470301"
"Other","2014","Not Employed","no migration background","274","0.0214586052495983","0.0181897647903132","0.0247274457088834"
"Other","2014","Not Employed","direct migration background","75","0.0296249875271644","0.0217105359677","0.0375394390866287"
"Other","2014","Not Employed","indirect migration background","74","0.0914553332691281","0.0693123946201516","0.113598271918105"
"Other","2014","Employed","no migration background","1612","0.123339834272581","0.11771255915109","0.128967109394073"
"Other","2014","Employed","direct migration background","493","0.13787980176986","0.126323130076198","0.149436473463522"
"Other","2014","Employed","indirect migration background","263","0.204149340703014","0.182076241903558","0.226222439502471"
"Full-time","2015","Not Employed","no migration background","116","0.0106389343658688","0.00827391091603084","0.0130039578157067"
"Full-time","2015","Not Employed","direct migration background","731","0.153397684989278","0.140506528642348","0.166288841336207"
"Full-time","2015","Not Employed","indirect migration background","29","","",""
"Full-time","2015","Employed","no migration background","7001","0.60431731711492","0.595737428655728","0.612897205574112"
"Full-time","2015","Employed","direct migration background","1644","0.569612629143056","0.551880158806354","0.587345099479758"
"Full-time","2015","Employed","indirect migration background","608","0.565263235197397","0.537098014100374","0.593428456294419"
"Part-time","2015","Not Employed","no migration background","53","0.00544299840277365","0.00374693172539766","0.00713906508014964"
"Part-time","2015","Not Employed","direct migration background","196","0.0383633616923765","0.0314925732562181","0.0452341501285349"
"Part-time","2015","Not Employed","indirect migration background","15","","",""
"Part-time","2015","Employed","no migration background","2864","0.189230537013454","0.182357955449309","0.1961031185776"
"Part-time","2015","Employed","direct migration background","632","0.203292921785662","0.188879730703185","0.217706112868139"
"Part-time","2015","Employed","indirect migration background","200","0.115860421258259","0.097675870431677","0.134044972084841"
"Non-working","2015","Not Employed","no migration background","6763","0.956617814561054","0.951921751459137","0.96131387766297"
"Non-working","2015","Not Employed","direct migration background","1870","0.760854838258532","0.745595895289791","0.776113781227273"
"Non-working","2015","Not Employed","indirect migration background","496","0.808857518074469","0.777857033876067","0.839858002272871"
"Non-working","2015","Employed","no migration background","1127","0.0873836907037154","0.0824287905780482","0.0923385908293826"
"Non-working","2015","Employed","direct migration background","351","0.103099154909565","0.0922086140944744","0.113989695724656"
"Non-working","2015","Employed","indirect migration background","152","0.133115197123453","0.113814672019571","0.152415722227336"
"Other","2015","Not Employed","no migration background","297","0.027300252670304","0.0235437671992768","0.0310567381413312"
"Other","2015","Not Employed","direct migration background","205","0.0473841150598136","0.0397840371605806","0.0549841929590465"
"Other","2015","Not Employed","indirect migration background","78","0.115132530611656","0.089967816932752","0.14029724429056"
"Other","2015","Employed","no migration background","1486","0.11906845516791","0.11338588194275","0.12475102839307"
"Other","2015","Employed","direct migration background","368","0.123995294161717","0.112191938356724","0.135798649966709"
"Other","2015","Employed","indirect migration background","230","0.185761146420891","0.163664418781437","0.207857874060345"
"Full-time","2016","Not Employed","no migration background","51","0.00701482436008688","0.00501668551676373","0.00901296320341004"
"Full-time","2016","Not Employed","direct migration background","195","0.0284704689585948","0.0242612028743875","0.0326797350428021"
"Full-time","2016","Not Employed","indirect migration background","12","","",""
"Full-time","2016","Employed","no migration background","6568","0.611793140959403","0.602940214624953","0.620646067293853"
"Full-time","2016","Employed","direct migration background","1903","0.577312920421809","0.560639702248454","0.593986138595164"
"Full-time","2016","Employed","indirect migration background","572","0.553730582124318","0.525037232147189","0.582423932101446"
"Part-time","2016","Not Employed","no migration background","62","0.00765910722741631","0.00557190082505033","0.00974631362978228"
"Part-time","2016","Not Employed","direct migration background","147","0.0204675845465001","0.0168839495475119","0.0240512195454884"
"Part-time","2016","Not Employed","indirect migration background","15","","",""
"Part-time","2016","Employed","no migration background","2741","0.189966521417581","0.182840568217334","0.197092474617827"
"Part-time","2016","Employed","direct migration background","670","0.198753727622926","0.185284429658537","0.212223025587314"
"Part-time","2016","Employed","indirect migration background","217","0.140478853148628","0.120421796691745","0.160535909605511"
"Non-working","2016","Not Employed","no migration background","6352","0.962897617954299","0.958372427816295","0.967422808092304"
"Non-working","2016","Not Employed","direct migration background","5369","0.914966709666628","0.907907140376921","0.922026278956334"
"Non-working","2016","Not Employed","indirect migration background","447","0.857006011215999","0.827314774529081","0.886697247902916"
"Non-working","2016","Employed","no migration background","995","0.0848418997941679","0.0797800855591741","0.0899037140291616"
"Non-working","2016","Employed","direct migration background","357","0.096936186307663","0.0869498429793205","0.106922529636006"
"Non-working","2016","Employed","indirect migration background","139","0.141081960992025","0.120988949015192","0.161174972968859"
"Other","2016","Not Employed","no migration background","237","0.0224284504581973","0.0188834214675114","0.0259734794488833"
"Other","2016","Not Employed","direct migration background","286","0.0360952368282776","0.0313743555633823","0.0408161180931729"
"Other","2016","Not Employed","indirect migration background","60","0.10013617740568","0.0746760036688708","0.125596351142489"
"Other","2016","Employed","no migration background","1337","0.113398437828849","0.107638461105704","0.119158414551993"
"Other","2016","Employed","direct migration background","442","0.126997165647602","0.115758644966833","0.138235686328372"
"Other","2016","Employed","indirect migration background","225","0.164708603735029","0.143298903618642","0.186118303851417"
"Full-time","2017","Not Employed","no migration background","68","0.00861724748380057","0.00646883210187079","0.0107656628657304"
"Full-time","2017","Not Employed","direct migration background","315","0.0399773426104934","0.035352891909484","0.0446017933115028"
"Full-time","2017","Not Employed","indirect migration background","18","","",""
"Full-time","2017","Employed","no migration background","7823","0.612275495160058","0.604083203868372","0.620467786451744"
"Full-time","2017","Employed","direct migration background","1899","0.562711525436237","0.546204346394093","0.579218704478382"
"Full-time","2017","Employed","indirect migration background","634","0.557052206358604","0.529678913173307","0.584425499543901"
"Part-time","2017","Not Employed","no migration background","69","0.00874185274644587","0.0065780960800607","0.0109056094128311"
"Part-time","2017","Not Employed","direct migration background","176","0.0163605666583607","0.0133660303185055","0.019355102998216"
"Part-time","2017","Not Employed","indirect migration background","8","","",""
"Part-time","2017","Employed","no migration background","3170","0.191062003695731","0.184451796031239","0.197672211360223"
"Part-time","2017","Employed","direct migration background","708","0.18765557481385","0.174662953555604","0.200648196072097"
"Part-time","2017","Employed","indirect migration background","255","0.156689727134811","0.136658074260189","0.176721380009434"
"Non-working","2017","Not Employed","no migration background","6731","0.959723688138251","0.955153740276205","0.964293636000297"
"Non-working","2017","Not Employed","direct migration background","6025","0.892259215419874","0.884940277904249","0.8995781529355"
"Non-working","2017","Not Employed","indirect migration background","497","0.87431085753419","0.847191839353035","0.901429875715344"
"Non-working","2017","Employed","no migration background","1074","0.0815645301085708","0.0769625438758582","0.0861665163412834"
"Non-working","2017","Employed","direct migration background","436","0.123518261301497","0.112569046848705","0.134467475754289"
"Non-working","2017","Employed","indirect migration background","138","0.101228648395412","0.084606806089975","0.117850490700849"
"Other","2017","Not Employed","no migration background","242","0.0229172116315027","0.0194389691113665","0.0263954541516389"
"Other","2017","Not Employed","direct migration background","378","0.0514028753112715","0.046190363407252","0.0566153872152911"
"Other","2017","Not Employed","indirect migration background","51","0.0815927597545037","0.0591985570174142","0.103986962491593"
"Other","2017","Employed","no migration background","1521","0.11509797103564","0.109731957654783","0.120463984416497"
"Other","2017","Employed","direct migration background","426","0.126114638448415","0.115067344169144","0.137161932727686"
"Other","2017","Employed","indirect migration background","238","0.185029418111172","0.163630383267267","0.206428452955078"
"Full-time","2018","Not Employed","no migration background","51","0.00733807251567588","0.00531944471746485","0.00935670031388691"
"Full-time","2018","Not Employed","direct migration background","369","0.0377277763885226","0.0325947118626461","0.0428608409143992"
"Full-time","2018","Not Employed","indirect migration background","16","","",""
"Full-time","2018","Employed","no migration background","7384","0.603914913283936","0.595537486717532","0.61229233985034"
"Full-time","2018","Employed","direct migration background","1931","0.587757385079043","0.571675659122922","0.603839111035164"
"Full-time","2018","Employed","indirect migration background","630","0.543085914375105","0.516100455309039","0.570071373441171"
"Part-time","2018","Not Employed","no migration background","63","0.00645850555526874","0.00456387912729051","0.00835313198324697"
"Part-time","2018","Not Employed","direct migration background","219","0.0235736318422032","0.0194863918243079","0.0276608718600986"
"Part-time","2018","Not Employed","indirect migration background","15","","",""
"Part-time","2018","Employed","no migration background","3135","0.199587012445875","0.192740778914579","0.206433245977172"
"Part-time","2018","Employed","direct migration background","745","0.198828214650665","0.185788772938245","0.211867656363085"
"Part-time","2018","Employed","indirect migration background","245","0.145433819098293","0.126335997895784","0.164531640300801"
"Non-working","2018","Not Employed","no migration background","6521","0.965880542973618","0.961586886132001","0.970174199815236"
"Non-working","2018","Not Employed","direct migration background","4401","0.907682362630154","0.899883946011299","0.91548077924901"
"Non-working","2018","Not Employed","indirect migration background","428","0.831518185019013","0.798969861295511","0.864066508742516"
"Non-working","2018","Employed","no migration background","1122","0.0841881963821643","0.079432027927061","0.0889443648372675"
"Non-working","2018","Employed","direct migration background","448","0.107732801678192","0.0976035209255134","0.11786208243087"
"Non-working","2018","Employed","indirect migration background","168","0.109877542948154","0.092935818397832","0.126819267498477"
"Other","2018","Not Employed","no migration background","232","0.020322878955437","0.0169855526974718","0.0236602052134022"
"Other","2018","Not Employed","direct migration background","304","0.03101622913912","0.0263458741309443","0.0356865841472956"
"Other","2018","Not Employed","indirect migration background","49","0.0879564504396686","0.0633268214250644","0.112586079454273"
"Other","2018","Employed","no migration background","1452","0.112309877888025","0.106901485682473","0.117718270093576"
"Other","2018","Employed","direct migration background","475","0.1056815985921","0.0956376856867778","0.115725511497423"
"Other","2018","Employed","indirect migration background","266","0.201602723578448","0.179868907446201","0.223336539710696"
"Full-time","2019","Not Employed","no migration background","209","0.0259906462832605","0.0222378382227464","0.0297434543437745"
"Full-time","2019","Not Employed","direct migration background","296","0.0333825550038633","0.0279595949852586","0.0388055150224681"
"Full-time","2019","Not Employed","indirect migration background","19","","",""
"Full-time","2019","Employed","no migration background","8130","0.608681535942609","0.60051333802096","0.616849733864258"
"Full-time","2019","Employed","direct migration background","1949","0.571121341555762","0.554949892985179","0.587292790126345"
"Full-time","2019","Employed","indirect migration background","701","0.529281809705538","0.50232433673288","0.556239282678197"
"Part-time","2019","Not Employed","no migration background","118","0.0147835047487159","0.0119369418184957","0.017630067678936"
"Part-time","2019","Not Employed","direct migration background","141","0.0227269919377309","0.0182278651454671","0.0272261187299947"
"Part-time","2019","Not Employed","indirect migration background","13","","",""
"Part-time","2019","Employed","no migration background","3186","0.206890749694861","0.200111165434703","0.213670333955018"
"Part-time","2019","Employed","direct migration background","748","0.214735091814436","0.201317421465609","0.228152762163262"
"Part-time","2019","Employed","indirect migration background","269","0.192519292890793","0.1712252360107","0.213813349770885"
"Non-working","2019","Not Employed","no migration background","6261","0.923236395975058","0.916957252792876","0.92951553915724"
"Non-working","2019","Not Employed","direct migration background","3498","0.919572311970482","0.91136227643198","0.927782347508984"
"Non-working","2019","Not Employed","indirect migration background","382","0.871162776518465","0.840712450398588","0.901613102638341"
"Non-working","2019","Employed","no migration background","1077","0.0866698177448942","0.0819609784927784","0.09137865699701"
"Non-working","2019","Employed","direct migration background","453","0.110533470237706","0.100288063148601","0.12077887732681"
"Non-working","2019","Employed","indirect migration background","140","0.138868247896076","0.120191920303147","0.157544575489004"
"Other","2019","Not Employed","no migration background","317","0.0359894529929661","0.0315961134923439","0.0403827924935882"
"Other","2019","Not Employed","direct migration background","280","0.0243181410879236","0.0196679735134672","0.0289683086623799"
"Other","2019","Not Employed","indirect migration background","51","0.0830502253662345","0.0579680733145731","0.108132377417896"
"Other","2019","Employed","no migration background","1321","0.0977578966176363","0.0927873575959427","0.10272843563933"
"Other","2019","Employed","direct migration background","448","0.103610096392096","0.0936522131792169","0.113567979604975"
"Other","2019","Employed","indirect migration background","207","0.139330649507593","0.120628276990753","0.158033022024434"
