"erwst","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Non-working","2011","no migration background","Female","5942","0.489193568278431","0.480673976252635","0.497713160304227"
"Non-working","2011","direct migration background","Male","488","0.3775124598978","0.352535199474201","0.4024897203214"
"Non-working","2011","direct migration background","Female","1002","0.521119040197226","0.498237451514268","0.544000628880185"
"Non-working","2011","indirect migration background","Male","193","0.30761176588144","0.271631376175679","0.3435921555872"
"Non-working","2011","indirect migration background","Female","355","0.390784804481452","0.356499146367012","0.425070462595892"
"Other","2011","no migration background","Male","579","0.0577376312587006","0.0533983123372201","0.0620769501801812"
"Other","2011","no migration background","Female","1275","0.085513518886595","0.0807474942330168","0.0902795435401732"
"Other","2011","direct migration background","Male","66","0.0523459006576932","0.0408701768692029","0.0638216244461835"
"Other","2011","direct migration background","Female","192","0.104971174285572","0.0909314862444485","0.119010862326695"
"Other","2011","indirect migration background","Male","77","0.15408624441838","0.125939087743444","0.182233401093316"
"Other","2011","indirect migration background","Female","121","0.154980105211471","0.12955107866536","0.180409131757582"
"Full-time","2012","no migration background","Male","5917","0.528708219518312","0.519327707857639","0.538088731178986"
"Full-time","2012","no migration background","Female","2967","0.257399750855794","0.249870335081396","0.264929166630193"
"Full-time","2012","direct migration background","Male","830","0.568624870928518","0.54235111010631","0.594898631750726"
"Full-time","2012","direct migration background","Female","295","0.201449356310104","0.182416991585461","0.220481721034748"
"Full-time","2012","indirect migration background","Male","344","0.532219959118178","0.492849368365709","0.571590549870646"
"Full-time","2012","indirect migration background","Female","147","0.256694350917203","0.225577759048895","0.28781094278551"
"Part-time","2012","no migration background","Male","355","0.031267965448865","0.0279973822140216","0.0345385486837084"
"Part-time","2012","no migration background","Female","3001","0.169972788679049","0.163504110604646","0.176441466753453"
"Part-time","2012","direct migration background","Male","47","0.0307518538928128","0.0215931312749262","0.0399105765106994"
"Part-time","2012","direct migration background","Female","369","0.203005387622824","0.183918283072316","0.222092492173332"
"Part-time","2012","indirect migration background","Male","","","",""
"Part-time","2012","indirect migration background","Female","159","0.1946864294684","0.166479845032164","0.222893013904635"
"Non-working","2012","no migration background","Male","3946","0.378672027544674","0.369556839565402","0.387787215523947"
"Non-working","2012","no migration background","Female","5704","0.485742169980861","0.477134749207988","0.494349590753734"
"Non-working","2012","direct migration background","Male","423","0.347284210005513","0.322026943683102","0.372541476327923"
"Non-working","2012","direct migration background","Female","858","0.4960280768232","0.472302603874935","0.519753549771466"
"Non-working","2012","indirect migration background","Male","164","0.298047114235565","0.261955861937552","0.334138366533577"
"Non-working","2012","indirect migration background","Female","325","0.369098578168239","0.334722835433901","0.403474320902577"
"Other","2012","no migration background","Male","660","0.0613517874881483","0.0568421814560613","0.0658613935202352"
"Other","2012","no migration background","Female","1280","0.0868852904842949","0.0820344670012132","0.0917361139673767"
"Other","2012","direct migration background","Male","65","0.0533390651731567","0.041418366966837","0.0652597633794764"
"Other","2012","direct migration background","Female","184","0.0995171792438716","0.0853120456524887","0.113722312835254"
"Other","2012","indirect migration background","Male","87","0.135850411201504","0.10881515737069","0.162885665032318"
"Other","2012","indirect migration background","Female","126","0.179520641446159","0.15218110310341","0.206860179788908"
"Full-time","2013","no migration background","Male","5604","0.519417553773454","0.509793517590001","0.529041589956907"
"Full-time","2013","no migration background","Female","2781","0.243942998645795","0.236352197534076","0.251533799757514"
"Full-time","2013","direct migration background","Male","1766","0.565109655659448","0.547041859038236","0.58317745228066"
"Full-time","2013","direct migration background","Female","737","0.213437325538628","0.19993425883349","0.226940392243766"
"Full-time","2013","indirect migration background","Male","548","0.513117210691796","0.48308427546397","0.543150145919623"
"Full-time","2013","indirect migration background","Female","245","0.267466653926173","0.242135929695047","0.292797378157299"
"Part-time","2013","no migration background","Male","348","0.0296516044491382","0.026384199751743","0.0329190091465335"
"Part-time","2013","no migration background","Female","2990","0.182099389933597","0.175278034566256","0.188920745300939"
"Part-time","2013","direct migration background","Male","124","0.0447911598305955","0.0372524979092469","0.0523298217519441"
"Part-time","2013","direct migration background","Female","739","0.189550391493082","0.176633562427675","0.202467220558489"
"Part-time","2013","indirect migration background","Male","38","0.0404765730628965","0.0286350671461763","0.0523180789796166"
"Part-time","2013","indirect migration background","Female","223","0.163941543134055","0.142754911466433","0.185128174801678"
"Non-working","2013","no migration background","Male","3705","0.385020072089878","0.375646888141357","0.3943932560384"
"Non-working","2013","no migration background","Female","5238","0.48373881415724","0.474905852018252","0.492571776296227"
"Non-working","2013","direct migration background","Male","816","0.33304582426549","0.315868759976001","0.350222888554978"
"Non-working","2013","direct migration background","Female","1569","0.464076116386759","0.447640850813486","0.480511381960031"
"Non-working","2013","indirect migration background","Male","307","0.310341612975356","0.282543565353681","0.338139660597032"
"Non-working","2013","indirect migration background","Female","491","0.387127187479835","0.359252429892696","0.415001945066975"
"Other","2013","no migration background","Male","696","0.0659107696875295","0.0611312158484207","0.0706903235266384"
"Other","2013","no migration background","Female","1287","0.0902187972633683","0.0851549201257542","0.0952826744009823"
"Other","2013","direct migration background","Male","186","0.0570533602444666","0.0485999271588068","0.0655067933301264"
"Other","2013","direct migration background","Female","492","0.132936166581531","0.121747516998672","0.14412481616439"
"Other","2013","indirect migration background","Male","171","0.136064603269951","0.115463499442093","0.156665707097809"
"Other","2013","indirect migration background","Female","214","0.181464615459936","0.159409273766879","0.203519957152994"
"Full-time","2014","no migration background","Male","5027","0.513168452039071","0.50312598983191","0.523210914246232"
"Full-time","2014","no migration background","Female","2554","0.244737936846614","0.236757803655533","0.252718070037695"
"Full-time","2014","direct migration background","Male","1409","0.565065665006141","0.545060348495012","0.585070981517269"
"Full-time","2014","direct migration background","Female","565","0.203325739222819","0.188479063429995","0.218172415015644"
"Full-time","2014","indirect migration background","Male","466","0.494818321220273","0.462190242315308","0.527446400125237"
"Full-time","2014","indirect migration background","Female","223","0.266681235533526","0.239674499043141","0.293687972023911"
"Part-time","2014","no migration background","Male","335","0.0385782895544077","0.0347088388252508","0.0424477402835646"
"Part-time","2014","no migration background","Female","2652","0.184066377997401","0.176873125498422","0.19125963049638"
"Part-time","2014","direct migration background","Male","106","0.0360768323890705","0.0285516067032912","0.0436020580748498"
"Part-time","2014","direct migration background","Female","597","0.189266063947253","0.174816052094793","0.203716075799713"
"Part-time","2014","indirect migration background","Male","","","",""
"Part-time","2014","indirect migration background","Female","197","0.175075378810143","0.151866767828723","0.198283989791563"
"Non-working","2014","no migration background","Male","3465","0.375967115737919","0.366235173049729","0.38569905842611"
"Non-working","2014","no migration background","Female","4747","0.4774068262991","0.468135607384726","0.486678045213474"
"Non-working","2014","direct migration background","Male","681","0.333696078453309","0.314667959544935","0.352724197361684"
"Non-working","2014","direct migration background","Female","1256","0.477238332625059","0.458813133967731","0.495663531282387"
"Non-working","2014","indirect migration background","Male","276","0.334322171358787","0.303535732363756","0.365108610353818"
"Non-working","2014","indirect migration background","Female","411","0.35569600901254","0.326460249178852","0.384931768846228"
"Other","2014","no migration background","Male","689","0.0722861426686019","0.0670831235528892","0.0774891617843145"
"Other","2014","no migration background","Female","1197","0.0937888588568849","0.0883775667052551","0.0992001510085148"
"Other","2014","direct migration background","Male","163","0.0651614241514796","0.0552016906723976","0.0751211576305617"
"Other","2014","direct migration background","Female","405","0.130169864204869","0.117757197253641","0.142582531156096"
"Other","2014","indirect migration background","Male","138","0.141726792575765","0.118966199239065","0.164487385912466"
"Other","2014","indirect migration background","Female","199","0.202547376643792","0.178003382676138","0.227091370611445"
"Full-time","2015","no migration background","Male","4700","0.508767421400933","0.498482426633827","0.519052416168038"
"Full-time","2015","no migration background","Female","2417","0.244323547535381","0.23615562445018","0.252491470620582"
"Full-time","2015","direct migration background","Male","1691","0.56251084459221","0.543993495936393","0.581028193248026"
"Full-time","2015","direct migration background","Female","684","0.222011455440596","0.207701117854893","0.236321793026298"
"Full-time","2015","indirect migration background","Male","432","0.534815439372754","0.500984078518375","0.568646800227134"
"Full-time","2015","indirect migration background","Female","205","0.290819748942288","0.262284482305034","0.319355015579542"
"Part-time","2015","no migration background","Male","323","0.0360505872820438","0.0322154215080895","0.0398857530559981"
"Part-time","2015","no migration background","Female","2594","0.1948924154951","0.187362580488751","0.20242225050145"
"Part-time","2015","direct migration background","Male","134","0.0449218903480858","0.0371901338989914","0.0526536467971803"
"Part-time","2015","direct migration background","Female","694","0.213666461179757","0.199552557011152","0.227780365348362"
"Part-time","2015","indirect migration background","Male","39","0.043700363584587","0.0298345813967784","0.0575661457723955"
"Part-time","2015","indirect migration background","Female","176","0.13805927066124","0.116384068351424","0.159734472971056"
"Non-working","2015","no migration background","Male","3368","0.37798716053379","0.368011560084649","0.387962760982931"
"Non-working","2015","no migration background","Female","4522","0.471681838934951","0.462192556359449","0.481171121510453"
"Non-working","2015","direct migration background","Male","765","0.336584442722674","0.318945621720044","0.354223263725304"
"Non-working","2015","direct migration background","Female","1456","0.440794758507798","0.42369935273873","0.457890164276866"
"Non-working","2015","indirect migration background","Male","247","0.287757050100267","0.257050436842867","0.318463663357667"
"Non-working","2015","indirect migration background","Female","401","0.370315755046168","0.339974106103797","0.400657403988539"
"Other","2015","no migration background","Male","685","0.0771948307832336","0.071703849460409","0.0826858121060582"
"Other","2015","no migration background","Female","1098","0.0891021980345674","0.0836866792346658","0.0945177168344691"
"Other","2015","direct migration background","Male","167","0.0559828223370304","0.0474016415619498","0.064564003112111"
"Other","2015","direct migration background","Female","406","0.123527324871849","0.112197419186212","0.134857230557486"
"Other","2015","indirect migration background","Male","117","0.133727146942392","0.11064150288665","0.156812790998133"
"Other","2015","indirect migration background","Female","191","0.200805225350304","0.17563393416636","0.225976516534249"
"Full-time","2016","no migration background","Male","4309","0.514324946448454","0.50366536978922","0.524984523107687"
"Full-time","2016","no migration background","Female","2310","0.253710034283897","0.245137741625648","0.262282326942147"
"Full-time","2016","direct migration background","Male","1480","0.507980796277806","0.494135978331285","0.521825614224327"
"Full-time","2016","direct migration background","Female","618","0.230106979289595","0.217644857494991","0.242569101084199"
"Full-time","2016","indirect migration background","Male","387","0.503478817573824","0.468140618465382","0.538817016682266"
"Full-time","2016","indirect migration background","Female","197","0.290686795845373","0.261313111396988","0.320060480293758"
"Part-time","2016","no migration background","Male","340","0.0421763667305938","0.0378896417597673","0.0464630917014204"
"Part-time","2016","no migration background","Female","2463","0.194957765477857","0.187153105841292","0.202762425114422"
"Part-time","2016","direct migration background","Male","200","0.0481147281821783","0.04218815164854","0.0540413047158165"
"Part-time","2016","direct migration background","Female","617","0.213624305385953","0.201488956206988","0.225759654564918"
"Part-time","2016","indirect migration background","Male","35","0.0491572207044343","0.0338768835207254","0.0644375578881432"
"Part-time","2016","indirect migration background","Female","197","0.166108800796447","0.142033164881952","0.190184436710943"
"Non-working","2016","no migration background","Male","3176","0.37086982823865","0.360567644946245","0.381172011531055"
"Non-working","2016","no migration background","Female","4171","0.466894893608491","0.457066323280849","0.476723463936133"
"Non-working","2016","direct migration background","Male","2998","0.377824574122441","0.364397725185007","0.391251423059875"
"Non-working","2016","direct migration background","Female","2747","0.437441308387285","0.422753543234871","0.4521290735397"
"Non-working","2016","indirect migration background","Male","236","0.316112863163006","0.283250542966861","0.348975183359152"
"Non-working","2016","indirect migration background","Female","350","0.381923847754656","0.350494444694129","0.413353250815183"
"Other","2016","no migration background","Male","620","0.0726288585823029","0.0670937051725591","0.0781640119920467"
"Other","2016","no migration background","Female","954","0.0844373066297546","0.0789597661440236","0.0899148471154856"
"Other","2016","direct migration background","Male","331","0.0660799014175746","0.0592003181857542","0.072959484649395"
"Other","2016","direct migration background","Female","400","0.118827406937167","0.109246630529994","0.128408183344341"
"Other","2016","indirect migration background","Male","111","0.131251098558735","0.107384884646395","0.155117312471075"
"Other","2016","indirect migration background","Female","174","0.161280555603524","0.137488820726369","0.185072290480679"
"Full-time","2017","no migration background","Male","5122","0.522076200093004","0.512102737290759","0.532049662895249"
"Full-time","2017","no migration background","Female","2769","0.252935870854203","0.244835303859264","0.261036437849142"
"Full-time","2017","direct migration background","Male","1634","0.511738175346136","0.498531344128112","0.524945006564161"
"Full-time","2017","direct migration background","Female","580","0.225417871518","0.213670035792257","0.237165707243744"
"Full-time","2017","indirect migration background","Male","429","0.505117752662528","0.471506408428799","0.538729096896257"
"Full-time","2017","indirect migration background","Female","223","0.289237101319619","0.260979237985396","0.317494964653842"
"Part-time","2017","no migration background","Male","419","0.0433096289471383","0.0392454050204791","0.0473738528737974"
"Part-time","2017","no migration background","Female","2820","0.199287293194536","0.191843240676389","0.206731345712683"
"Part-time","2017","direct migration background","Male","227","0.0332406010884415","0.0285042709086368","0.0379769312682461"
"Part-time","2017","direct migration background","Female","657","0.206872531188065","0.195484389387184","0.218260672988946"
"Part-time","2017","indirect migration background","Male","33","0.0412393668408436","0.0278718814129049","0.0546068522687824"
"Part-time","2017","indirect migration background","Female","230","0.192299936024982","0.167737888138311","0.216861983911653"
"Non-working","2017","no migration background","Male","3401","0.363385964355957","0.353782633876713","0.372989294835201"
"Non-working","2017","no migration background","Female","4404","0.458393033789287","0.449107809703325","0.467678257875249"
"Non-working","2017","direct migration background","Male","3238","0.384020391677246","0.371170228416618","0.396870554937874"
"Non-working","2017","direct migration background","Female","3223","0.444741078538424","0.430769954402693","0.458712202674154"
"Non-working","2017","indirect migration background","Male","265","0.313724260977473","0.282530912017806","0.344917609937141"
"Non-working","2017","indirect migration background","Female","370","0.348100537846623","0.318411740604274","0.377789335088971"
"Other","2017","no migration background","Male","694","0.0712282066039012","0.0660927364567704","0.0763636767510319"
"Other","2017","no migration background","Female","1069","0.0893838021619741","0.0840672710241142","0.0947003332998341"
"Other","2017","direct migration background","Male","404","0.0710008318881757","0.0642152403152192","0.0777864234611322"
"Other","2017","direct migration background","Female","400","0.122968518755511","0.113735695570468","0.132201341940554"
"Other","2017","indirect migration background","Male","123","0.139918619519155","0.116597673863348","0.163239565174962"
"Other","2017","indirect migration background","Female","166","0.170362424808777","0.146931951676838","0.193792897940715"
"Full-time","2018","no migration background","Male","4788","0.521371651014963","0.511210800721573","0.531532501308353"
"Full-time","2018","no migration background","Female","2647","0.253251337189484","0.245001844356938","0.261500830022029"
"Full-time","2018","direct migration background","Male","1708","0.53774162852657","0.523448313737403","0.552034943315738"
"Full-time","2018","direct migration background","Female","592","0.245650245132311","0.232659328940577","0.258641161324044"
"Full-time","2018","indirect migration background","Male","408","0.53338904046178","0.499428832795423","0.567349248128137"
"Full-time","2018","indirect migration background","Female","238","0.295713006435838","0.267256625490404","0.324169387381271"
"Part-time","2018","no migration background","Male","469","0.0483814757952957","0.0440170397236639","0.0527459118669275"
"Part-time","2018","no migration background","Female","2729","0.206333628982097","0.198657042499922","0.214010215464272"
"Part-time","2018","direct migration background","Male","301","0.0507106400303023","0.0444206118736884","0.0570006681869161"
"Part-time","2018","direct migration background","Female","663","0.215974662636746","0.203556388165841","0.228392937107652"
"Part-time","2018","indirect migration background","Male","45","0.0698970086749446","0.0525403692505919","0.0872536480992973"
"Part-time","2018","indirect migration background","Female","215","0.16606377509324","0.142859206877119","0.189268343309362"
"Non-working","2018","no migration background","Male","3339","0.3599413856985","0.35017839439196","0.369704377005041"
"Non-working","2018","no migration background","Female","4304","0.453889494998471","0.444444983923334","0.463334006073608"
"Non-working","2018","direct migration background","Male","2256","0.346832341919227","0.333187268797017","0.360477415041436"
"Non-working","2018","direct migration background","Female","2593","0.446516253293747","0.431513675916475","0.461518830671018"
"Non-working","2018","indirect migration background","Male","237","0.2414827425013","0.212348977785415","0.270616507217185"
"Non-working","2018","indirect migration background","Female","359","0.347469995810613","0.317778743456492","0.377161248164734"
"Other","2018","no migration background","Male","689","0.070305487491241","0.0651052655096945","0.0755057094727874"
"Other","2018","no migration background","Female","995","0.0865255388299481","0.0811923800919057","0.0918586975679904"
"Other","2018","direct migration background","Male","409","0.0647153895239007","0.0576622996812602","0.0717684793665413"
"Other","2018","direct migration background","Female","370","0.0918588389371966","0.083142543154483","0.10057513471991"
"Other","2018","indirect migration background","Male","139","0.155231208361975","0.130580507275695","0.179881909448256"
"Other","2018","indirect migration background","Female","176","0.190753222660309","0.166254352843138","0.21525209247748"
"Full-time","2019","no migration background","Male","5492","0.526377203738667","0.516573367084305","0.53618104039303"
"Full-time","2019","no migration background","Female","2845","0.260191740217847","0.251857983758003","0.268525496677691"
"Full-time","2019","direct migration background","Male","1704","0.539207257227463","0.523986713656076","0.554427800798851"
"Full-time","2019","direct migration background","Female","541","0.231342510376961","0.217742081903651","0.244942938850271"
"Full-time","2019","indirect migration background","Male","466","0.533970688771536","0.500175825989502","0.567765551553569"
"Full-time","2019","indirect migration background","Female","253","0.293282964237018","0.264240845774056","0.32232508269998"
"Part-time","2019","no migration background","Male","531","0.0526449523012349","0.0482599887619098","0.05702991584056"
"Part-time","2019","no migration background","Female","2772","0.214080949862037","0.2062896057921","0.221872293931973"
"Part-time","2019","direct migration background","Male","275","0.0568218662876131","0.0497529296032255","0.0638908029720007"
"Part-time","2019","direct migration background","Female","614","0.234058191986666","0.220402357385841","0.24771402658749"
"Part-time","2019","indirect migration background","Male","45","0.0760162403489323","0.0580618474740273","0.0939706332238372"
"Part-time","2019","indirect migration background","Female","237","0.236784762684143","0.209666461122309","0.263903064245978"
"Non-working","2019","no migration background","Male","3265","0.3511898321999","0.341817211930425","0.360562452469375"
"Non-working","2019","no migration background","Female","4069","0.446427209464243","0.436984488419735","0.455869930508751"
"Non-working","2019","direct migration background","Male","1756","0.353466679551792","0.338869492301214","0.368063866802369"
"Non-working","2019","direct migration background","Female","2195","0.434630565816149","0.418642912123079","0.450618219509219"
"Non-working","2019","indirect migration background","Male","216","0.267065833509796","0.237093054531815","0.297038612487777"
"Non-working","2019","indirect migration background","Female","306","0.338980170626238","0.308783679191796","0.369176662060681"
"Other","2019","no migration background","Male","676","0.069788011760198","0.0647852178732226","0.0747908056471734"
"Other","2019","no migration background","Female","961","0.0793001004558735","0.0741675836439578","0.0844326172677891"
"Other","2019","direct migration background","Male","385","0.0505041969331317","0.0438175292096052","0.0571908646566582"
"Other","2019","direct migration background","Female","343","0.0999687318202243","0.0902944367951885","0.10964302684526"
"Other","2019","indirect migration background","Male","110","0.122947237369736","0.100700946580218","0.145193528159253"
"Other","2019","indirect migration background","Female","148","0.1309521024526","0.109432205458832","0.152471999446368"
