"erwst","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Non-working","2009","higher education","1275","0.302610677059373","0.288460757424663","0.316760596694083","5"
"Non-working","2009","higher vocational","481","0.381169431891468","0.355145977445845","0.40719288633709","5"
"Other","2009","in school","85","0.163299847253156","0.131092819613199","0.195506874893113","6"
"Other","2009","inadequately","20","","","","6"
"Other","2009","general elemantary","291","0.133332202703606","0.117854580623071","0.14880982478414","6"
"Other","2009","middle vocational","653","0.0777984232602938","0.07229871612748","0.0832981303931076","6"
"Other","2009","vocational + Abi","66","0.0581818902267926","0.0436950037686162","0.0726687766849691","6"
"Other","2009","higher vocational","57","0.0428277280364215","0.0319790303547623","0.0536764257180807","6"
"Other","2009","higher education","139","0.0498493795614303","0.0431458996933355","0.0565528594295251","6"
"Part-time","2009","in school","3","","","","2"
"Part-time","2009","inadequately","8","","","","2"
"Part-time","2009","general elemantary","113","0.0606206283182966","0.0497553436910326","0.0714859129455606","2"
"Part-time","2009","middle vocational","1036","0.103179141781819","0.0969333134791453","0.109424970084492","2"
"Part-time","2009","higher education","501","0.109650787960537","0.100026684780465","0.119274891140608","2"
"Part-time","2009","vocational + Abi","161","0.156239426060682","0.133769452770521","0.178709399350843","2"
"Part-time","2009","higher vocational","159","0.100081981038534","0.084001484503518","0.11616247757355","2"
"Full-time","2010","higher education","2709","0.530469214381303","0.517140844230464","0.543797584532142","1"
"Full-time","2010","higher vocational","809","0.480545162989908","0.456208239933733","0.504882086046082","1"
"Full-time","2010","general elemantary","411","0.159318111824504","0.145074442351024","0.173561781297984","1"
"Full-time","2010","in school","2","","","","1"
"Full-time","2010","inadequately","57","0.200133383648531","0.157914465722455","0.242352301574607","1"
"Full-time","2010","middle vocational","4311","0.374953736617905","0.366219325888952","0.383688147346858","1"
"Full-time","2010","vocational + Abi","685","0.481637989310588","0.457990067592523","0.505285911028654","1"
"Non-working","2010","in school","570","0.835698249365994","0.808403613563433","0.862992885168555","5"
"Non-working","2010","inadequately","236","0.684798509543311","0.635773907394255","0.733823111692367","5"
"Non-working","2010","general elemantary","1514","0.614099149832929","0.595152580556243","0.633045719109616","5"
"Non-working","2010","middle vocational","5036","0.44172548040008","0.432765876400267","0.450685084399894","5"
"Non-working","2010","vocational + Abi","552","0.287365412101591","0.265948013247906","0.308782810955277","5"
"Non-working","2010","higher education","1679","0.310312477700898","0.297957535432048","0.322667419969749","5"
"Non-working","2010","higher vocational","537","0.372947988863645","0.349392041025098","0.396503936702192","5"
"Other","2010","in school","134","0.156346713323224","0.129594615638066","0.183098811008381","6"
"Other","2010","inadequately","37","0.0870003751975646","0.0572608243055254","0.116739926089604","6"
"Other","2010","general elemantary","429","0.157066824746355","0.142905226428241","0.171228423064468","6"
"Other","2010","middle vocational","957","0.0798400290419803","0.0749497831464573","0.0847302749375033","6"
"Other","2010","vocational + Abi","137","0.0721845352882019","0.0599364298938906","0.0844326406825133","6"
"Other","2010","higher vocational","69","0.0369651410654509","0.0277745836113116","0.0461556985195902","6"
"Other","2010","higher education","198","0.0429122214524384","0.0374999284408289","0.0483245144640479","6"
"Part-time","2010","in school","2","","","","2"
"Part-time","2010","inadequately","15","","","","2"
"Part-time","2010","higher education","800","0.11630608646536","0.107744247214464","0.124867925716257","2"
"Part-time","2010","higher vocational","204","0.109541707080997","0.0943284848142739","0.124754929347719","2"
"Part-time","2010","general elemantary","182","0.0695159135962123","0.0596173982940759","0.0794144288983487","2"
"Part-time","2010","middle vocational","1497","0.103480753940034","0.0979853668825137","0.108976140997555","2"
"Part-time","2010","vocational + Abi","341","0.158812063299618","0.141513728798548","0.176110397800689","2"
"Full-time","2011","higher education","3179","0.53421497448223","0.52182332263643","0.54660662632803","1"
"Full-time","2011","higher vocational","966","0.520355163377816","0.497657313178155","0.543053013577476","1"
"Full-time","2011","general elemantary","516","0.170181191835502","0.156894580583184","0.18346780308782","1"
"Full-time","2011","in school","3","","","","1"
"Full-time","2011","middle vocational","5105","0.380085195340724","0.372033045224196","0.388137345457253","1"
"Full-time","2011","inadequately","70","0.212858194780608","0.173285205571867","0.25243118398935","1"
"Full-time","2011","vocational + Abi","831","0.505157463112397","0.483300140551303","0.527014785673491","1"
"Non-working","2011","in school","731","0.809874429001151","0.784152209457838","0.835596648544463","5"
"Non-working","2011","general elemantary","1818","0.61578753963251","0.598589934148322","0.632985145116697","5"
"Non-working","2011","inadequately","264","0.633491149684534","0.586906837325997","0.680075462043072","5"
"Non-working","2011","higher education","1807","0.308820254734035","0.297343296452629","0.320297213015441","5"
"Non-working","2011","middle vocational","5895","0.44474570493799","0.436502288754656","0.452989121121323","5"
"Non-working","2011","vocational + Abi","580","0.282834012012602","0.263144918497921","0.302523105527283","5"
"Non-working","2011","higher vocational","600","0.356988708494504","0.335221063601357","0.378756353387651","5"
"Other","2011","in school","156","0.181955820652313","0.156665712446179","0.207245928858447","6"
"Other","2011","inadequately","44","0.0955089588272105","0.0670937160976174","0.123924201556804","6"
"Other","2011","general elemantary","499","0.14289817696394","0.130524568646544","0.155271785281337","6"
"Other","2011","middle vocational","1012","0.0698930765704173","0.065663577836081","0.0741225753047535","6"
"Other","2011","higher vocational","65","0.0376250747865221","0.0289796618854033","0.046270487687641","6"
"Other","2011","higher education","234","0.0417796699442386","0.0368092440180579","0.0467500958704194","6"
"Other","2011","vocational + Abi","152","0.0530644283261623","0.0432647454290535","0.062864111223271","6"
"Part-time","2011","higher education","1005","0.115185100839496","0.107254560472473","0.12311564120652","2"
"Part-time","2011","in school","4","","","","2"
"Part-time","2011","inadequately","33","0.0581416967076465","0.0355179871784302","0.0807654062368628","2"
"Part-time","2011","higher vocational","230","0.0850310533411584","0.0723584202403909","0.097703686441926","2"
"Part-time","2011","middle vocational","1948","0.105276023150869","0.100184887658937","0.110367158642801","2"
"Part-time","2011","vocational + Abi","447","0.158944096548839","0.142960125099964","0.174928067997714","2"
"Part-time","2011","general elemantary","240","0.0711330915680479","0.0620448597015259","0.0802213234345699","2"
"Full-time","2012","higher education","3125","0.527909346754251","0.51544471017296","0.540373983335542","1"
"Full-time","2012","general elemantary","527","0.186417238870194","0.172483778145057","0.200350699595332","1"
"Full-time","2012","higher vocational","939","0.530468639740376","0.507508636993408","0.553428642487344","1"
"Full-time","2012","in school","1","","","","1"
"Full-time","2012","inadequately","77","0.21750460181515","0.17645515118739","0.258554052442911","1"
"Full-time","2012","middle vocational","4900","0.373436002209254","0.36530759241755","0.381564412000959","1"
"Full-time","2012","vocational + Abi","867","0.51328251536718","0.491216623372138","0.535348407362222","1"
"Non-working","2012","in school","707","0.778876262861821","0.751927376718009","0.805825149005633","5"
"Non-working","2012","general elemantary","1710","0.591106637045957","0.573517155375372","0.608696118716542","5"
"Non-working","2012","inadequately","234","0.625476685582567","0.577317712202626","0.673635658962508","5"
"Non-working","2012","higher education","1833","0.317309376098595","0.305688451970075","0.328930300227115","5"
"Non-working","2012","middle vocational","5639","0.443191271912444","0.434843637975222","0.451538905849666","5"
"Non-working","2012","vocational + Abi","502","0.263825393089739","0.244369396010863","0.283281390168614","5"
"Non-working","2012","higher vocational","588","0.349739799250867","0.327800341401237","0.371679257100496","5"
"Other","2012","in school","197","0.206022836957913","0.179759458637751","0.232286215278075","6"
"Other","2012","inadequately","45","0.0953408603273976","0.0661185701430216","0.124563150511774","6"
"Other","2012","general elemantary","509","0.144826790562271","0.132235605993928","0.157417975130614","6"
"Other","2012","middle vocational","1086","0.0746604505755682","0.0702436209725507","0.0790772801785856","6"
"Other","2012","higher vocational","52","0.0244627840603267","0.0173558115075704","0.031569756613083","6"
"Other","2012","higher education","236","0.0381743586854566","0.0333900268483915","0.0429586905225217","6"
"Other","2012","vocational + Abi","142","0.0579661852333988","0.0476498514511898","0.0682825190156078","6"
"Part-time","2012","higher education","968","0.116606918461697","0.108593341722922","0.124620495200472","2"
"Part-time","2012","in school","6","","","","2"
"Part-time","2012","inadequately","32","0.0616778522748849","0.0377406806772869","0.0856150238724829","2"
"Part-time","2012","higher vocational","236","0.0953287769484307","0.0818184090658141","0.108839144831047","2"
"Part-time","2012","middle vocational","1979","0.108712275302734","0.103481536491873","0.113943014113594","2"
"Part-time","2012","vocational + Abi","460","0.164925906309682","0.148542216234186","0.181309596385179","2"
"Part-time","2012","general elemantary","255","0.0776493335215775","0.0680744832245388","0.0872241838186161","2"
"Full-time","2013","higher education","3479","0.523544858798851","0.511742375496707","0.535347342100994","1"
"Full-time","2013","inadequately","119","0.182762834408325","0.152703509327161","0.212822159489488","1"
"Full-time","2013","general elemantary","773","0.183942695109337","0.171664515775774","0.1962208744429","1"
"Full-time","2013","higher vocational","899","0.512313550873485","0.488793588788306","0.535833512958664","1"
"Full-time","2013","in school","1","","","","1"
"Full-time","2013","middle vocational","5259","0.362380697158688","0.354482846868045","0.370278547449331","1"
"Full-time","2013","vocational + Abi","1066","0.518202547995156","0.498102839672375","0.538302256317937","1"
"Non-working","2013","in school","844","0.789193267949657","0.764810793220165","0.81357574267915","5"
"Non-working","2013","inadequately","375","0.594896834051382","0.556714288735811","0.633079379366953","5"
"Non-working","2013","general elemantary","1967","0.591593995735693","0.576016762979146","0.60717122849224","5"
"Non-working","2013","middle vocational","5614","0.444337174037883","0.436173086796541","0.452501261279226","5"
"Non-working","2013","higher education","1930","0.304834679320888","0.293956363280217","0.315712995361558","5"
"Non-working","2013","vocational + Abi","579","0.259218058190534","0.241590768020786","0.276845348360283","5"
"Non-working","2013","higher vocational","543","0.364299541773341","0.341655501105832","0.386943582440851","5"
"Other","2013","in school","225","0.20563938597008","0.181478889208768","0.229799882731392","6"
"Other","2013","inadequately","76","0.124347129090345","0.098681902804513","0.150012355376177","6"
"Other","2013","general elemantary","764","0.161050132455181","0.149401339684039","0.172698925226324","6"
"Other","2013","middle vocational","1247","0.0790868063358678","0.0746526907724727","0.0835209218992629","6"
"Other","2013","higher vocational","58","0.0275116239578301","0.019815028248693","0.0352082196669672","6"
"Other","2013","higher education","328","0.0456157630767738","0.0406851089683908","0.0505464171851568","6"
"Other","2013","vocational + Abi","181","0.0576047337811152","0.0482322786797366","0.0669771888824939","6"
"Part-time","2013","in school","5","","","","2"
"Part-time","2013","higher education","1142","0.126004698803488","0.118162581116948","0.133846816490028","2"
"Part-time","2013","inadequately","65","0.0979932024499486","0.0748691413103041","0.121117263589593","2"
"Part-time","2013","higher vocational","235","0.0958752833953436","0.0820215810357418","0.109728985754945","2"
"Part-time","2013","general elemantary","321","0.0634131766997885","0.0556899968580969","0.0711363565414801","2"
"Part-time","2013","middle vocational","2110","0.114195322467561","0.108969690940611","0.119420953994511","2"
"Part-time","2013","vocational + Abi","548","0.164974660033194","0.15004444089194","0.179904879174449","2"
"Full-time","2014","higher education","3076","0.518703812912696","0.506308652840958","0.531098972984433","1"
"Full-time","2014","inadequately","87","0.159970577240525","0.128030192916776","0.191910961564273","1"
"Full-time","2014","general elemantary","648","0.187538084132257","0.17410567497806","0.200970493286454","1"
"Full-time","2014","higher vocational","817","0.509386257332845","0.484891024816673","0.533881489849018","1"
"Full-time","2014","in school","","","","","1"
"Full-time","2014","middle vocational","4567","0.354538825106459","0.346192690663373","0.362884959549546","1"
"Full-time","2014","vocational + Abi","940","0.515728039038954","0.494136657101264","0.537319420976643","1"
"Non-working","2014","general elemantary","1687","0.567714726091141","0.55066733326886","0.584762118913421","5"
"Non-working","2014","in school","697","0.812622800275917","0.786870461772603","0.838375138779231","5"
"Non-working","2014","inadequately","316","0.637322608394592","0.595432379167836","0.679212837621348","5"
"Non-working","2014","middle vocational","5021","0.443637989854748","0.434970137366839","0.452305842342657","5"
"Non-working","2014","higher education","1841","0.310456516161586","0.298978484244247","0.321934548078926","5"
"Non-working","2014","higher vocational","511","0.36223237985593","0.338681183827615","0.385783575884245","5"
"Non-working","2014","vocational + Abi","472","0.242256546728812","0.223745786161305","0.260767307296319","5"
"Other","2014","in school","182","0.18025383094953","0.154885274914019","0.205622386985041","6"
"Other","2014","inadequately","63","0.143426070077018","0.112886050706943","0.173966089447093","6"
"Other","2014","general elemantary","637","0.166645532662098","0.153821654295965","0.17946941102823","6"
"Other","2014","middle vocational","1186","0.0838945296623991","0.079057731402454","0.0887313279223442","6"
"Other","2014","vocational + Abi","163","0.0617690629876041","0.05136828593602","0.0721698400391883","6"
"Other","2014","higher vocational","66","0.0357327364211298","0.0266373752548369","0.0448280975874227","6"
"Other","2014","higher education","300","0.0485813629498131","0.0432479294620714","0.0539147964375547","6"
"Part-time","2014","in school","3","","","","2"
"Part-time","2014","higher education","1025","0.122258307975905","0.114131710235482","0.130384905716328","2"
"Part-time","2014","inadequately","40","0.0592807442878646","0.0387048048328864","0.0798566837428428","2"
"Part-time","2014","general elemantary","272","0.0781016571145047","0.0688678816500927","0.0873354325789166","2"
"Part-time","2014","middle vocational","1846","0.117928655376393","0.112301616135895","0.123555694616891","2"
"Part-time","2014","higher vocational","206","0.0926486263900943","0.0784418566156016","0.106855396164587","2"
"Part-time","2014","vocational + Abi","483","0.18024635124463","0.16363900172322","0.19685370076604","2"
"Full-time","2015","higher education","3126","0.508377190889559","0.496183315900529","0.520571065878589","1"
"Full-time","2015","higher vocational","785","0.515566595624624","0.490614547555269","0.54051864369398","1"
"Full-time","2015","general elemantary","625","0.191295714875812","0.177501099626112","0.205090330125511","1"
"Full-time","2015","middle vocational","4409","0.357674863504549","0.349186588476456","0.366163138532643","1"
"Full-time","2015","in school","2","","","","1"
"Full-time","2015","inadequately","99","0.166436940394629","0.134963005290864","0.197910875498394","1"
"Full-time","2015","vocational + Abi","986","0.49446858442026","0.473432657616888","0.515504511223632","1"
"Non-working","2015","general elemantary","1632","0.567658201941101","0.550283427722884","0.585032976159318","5"
"Non-working","2015","higher education","1928","0.308899524437634","0.29762983589918","0.320169212976088","5"
"Non-working","2015","in school","594","0.759747166861378","0.729726032653139","0.789768301069616","5"
"Non-working","2015","inadequately","329","0.607077098686075","0.565807281105288","0.648346916266861","5"
"Non-working","2015","higher vocational","497","0.355793684074047","0.331890355679331","0.379697012468762","5"
"Non-working","2015","middle vocational","4955","0.440095964461586","0.431305167170622","0.448886761752551","5"
"Non-working","2015","vocational + Abi","528","0.26224942288308","0.24374266796893","0.280756177797229","5"
"Other","2015","in school","181","0.238572992432985","0.208623941113121","0.26852204375285","6"
"Other","2015","general elemantary","589","0.160866072479354","0.147980314546389","0.173751830412318","6"
"Other","2015","middle vocational","1079","0.0833704873457911","0.0784749444327021","0.0882660302588802","6"
"Other","2015","higher vocational","55","0.0273750413324691","0.019228057238903","0.0355220254260352","6"
"Other","2015","higher education","326","0.0454950280735929","0.0404122193811885","0.0505778367659973","6"
"Other","2015","inadequately","53","0.125193581732895","0.0972292808796121","0.153157882586177","6"
"Other","2015","vocational + Abi","156","0.0650457908122474","0.0546699573198824","0.0754216243046125","6"
"Part-time","2015","in school","1","","","","2"
"Part-time","2015","higher education","1077","0.137228256599214","0.128835542531593","0.145620970666835","2"
"Part-time","2015","inadequately","57","0.101292379186402","0.0757974064758512","0.126787351896952","2"
"Part-time","2015","general elemantary","277","0.0801800107037336","0.0706554144400675","0.0897046069673997","2"
"Part-time","2015","middle vocational","1806","0.118858684688074","0.113127610686786","0.124589758689361","2"
"Part-time","2015","higher vocational","204","0.10126467896886","0.0862023658401785","0.116326992097541","2"
"Part-time","2015","vocational + Abi","500","0.178236201884413","0.162133836168079","0.194338567600746","2"
"Full-time","2016","higher education","2877","0.502491415048526","0.49051112896594","0.514471701131112","1"
"Full-time","2016","general elemantary","537","0.179244334353397","0.16668710710476","0.191801561602034","1"
"Full-time","2016","higher vocational","714","0.526395259363632","0.500370459915009","0.552420058812254","1"
"Full-time","2016","in school","1","","","","1"
"Full-time","2016","inadequately","120","0.170318213036274","0.154001758229603","0.186634667842945","1"
"Full-time","2016","middle vocational","4025","0.364434995615165","0.355776362314569","0.373093628915761","1"
"Full-time","2016","vocational + Abi","944","0.515852475911121","0.494693793360031","0.537011158462211","1"
"Non-working","2016","in school","615","0.83988146580579","0.813566156507082","0.866196775104498","5"
"Non-working","2016","inadequately","1734","0.654932892685102","0.634298596458281","0.675567188911923","5"
"Non-working","2016","general elemantary","2196","0.582960044608619","0.566817487997386","0.599102601219853","5"
"Non-working","2016","higher education","2456","0.316595480630483","0.305450126946144","0.327740834314822","5"
"Non-working","2016","middle vocational","5086","0.429021372536034","0.420116889470317","0.43792585560175","5"
"Non-working","2016","higher vocational","452","0.336175063896802","0.311552520276214","0.360797607517389","5"
"Non-working","2016","vocational + Abi","548","0.242437979262972","0.224293419722816","0.260582538803128","5"
"Other","2016","in school","129","0.15808499453245","0.131905688705577","0.184264300359324","6"
"Other","2016","general elemantary","577","0.152767681215443","0.140989422462594","0.164545939968292","6"
"Other","2016","middle vocational","1030","0.0826510859976987","0.077697144427274","0.0876050275681234","6"
"Other","2016","higher vocational","56","0.0348341098259465","0.0252769966881904","0.0443912229637026","6"
"Other","2016","higher education","316","0.0413228885469842","0.0365538142166419","0.0460919628773265","6"
"Other","2016","inadequately","113","0.0920522026334823","0.0795038414619335","0.104600563805031","6"
"Other","2016","vocational + Abi","146","0.0605168224809767","0.0504215146115407","0.0706121303504127","6"
"Part-time","2016","in school","1","","","","2"
"Part-time","2016","higher education","1042","0.139590215774007","0.131286303823393","0.147894127724621","2"
"Part-time","2016","general elemantary","274","0.0850279398225404","0.0758962987030622","0.0941595809420185","2"
"Part-time","2016","inadequately","72","0.082696691645142","0.0707419546561161","0.0946514286341679","2"
"Part-time","2016","middle vocational","1727","0.123892545851103","0.11796519549333","0.129819896208875","2"
"Part-time","2016","higher vocational","192","0.102595566913621","0.0867801083234351","0.118411025503806","2"
"Part-time","2016","vocational + Abi","505","0.18119272234493","0.164884815289036","0.197500629400824","2"
"Full-time","2017","higher education","3333","0.512012262194778","0.500687584850832","0.523336939538724","1"
"Full-time","2017","general elemantary","683","0.199490406570018","0.1871218168735","0.211858996266537","1"
"Full-time","2017","higher vocational","807","0.528779127520135","0.50389669942552","0.55366155561475","1"
"Full-time","2017","in school","2","","","","1"
"Full-time","2017","middle vocational","4607","0.368387968522886","0.360111646286547","0.376664290759225","1"
"Full-time","2017","vocational + Abi","1033","0.47954382591307","0.459388105573306","0.499699546252834","1"
"Full-time","2017","inadequately","188","0.185402692302719","0.17067839628727","0.200126988318168","1"
"Non-working","2017","in school","677","0.824355069465499","0.798389605745796","0.850320533185202","5"
"Non-working","2017","inadequately","2236","0.660811186587258","0.642873580196432","0.678748792978085","5"
"Non-working","2017","general elemantary","2398","0.557973969778789","0.542602804345285","0.573345135212294","5"
"Non-working","2017","middle vocational","5333","0.423777405885923","0.415298818196988","0.432255993574859","5"
"Non-working","2017","higher education","2610","0.30031507300289","0.289929725671103","0.310700420334678","5"
"Non-working","2017","vocational + Abi","599","0.261290531627674","0.243565347365405","0.279015715889943","5"
"Non-working","2017","higher vocational","476","0.334135796701352","0.310623357653053","0.357648235749651","5"
"Other","2017","in school","145","0.170405001423084","0.14474862327932","0.196061379566848","6"
"Other","2017","inadequately","147","0.0885010692960247","0.0777399517025303","0.0992621868895191","6"
"Other","2017","general elemantary","616","0.161029535642264","0.149653210107287","0.172405861177242","6"
"Other","2017","middle vocational","1158","0.0838601100826424","0.0791043702709106","0.0886158498943741","6"
"Other","2017","vocational + Abi","169","0.0628169141783233","0.0530278176814834","0.0726060106751632","6"
"Other","2017","higher vocational","41","0.0250928431164351","0.017296339023758","0.0328893472091122","6"
"Other","2017","higher education","354","0.0497169670690892","0.044792491324126","0.0546414428140523","6"
"Part-time","2017","in school","1","","","","2"
"Part-time","2017","higher education","1187","0.137955697733243","0.13014273387205","0.145768661594435","2"
"Part-time","2017","inadequately","105","0.0652850518139978","0.0559255764154762","0.0746445272125195","2"
"Part-time","2017","general elemantary","313","0.0815060880089284","0.0730375377310511","0.0899746382868057","2"
"Part-time","2017","middle vocational","1951","0.123974515508549","0.118320147696926","0.129628883320171","2"
"Part-time","2017","vocational + Abi","559","0.196348728280933","0.180322181555871","0.212375275005994","2"
"Part-time","2017","higher vocational","222","0.111992232662078","0.0962724810349904","0.127711984289166","2"
"Full-time","2018","higher education","3208","0.510639353443059","0.498972235165814","0.522306471720303","1"
"Full-time","2018","inadequately","230","0.172157141261189","0.156298887937982","0.188015394584397","1"
"Full-time","2018","general elemantary","676","0.197203180848776","0.184340836891138","0.210065524806415","1"
"Full-time","2018","higher vocational","747","0.528450532184706","0.502800826058097","0.554100238311314","1"
"Full-time","2018","vocational + Abi","990","0.490328504144335","0.469500573287666","0.511156435001004","1"
"Full-time","2018","middle vocational","4298","0.367165830653954","0.358629448230885","0.375702213077024","1"
"Full-time","2018","in school","4","","","","1"
"Non-working","2018","in school","575","0.823672144499864","0.795480709215489","0.85186357978424","5"
"Non-working","2018","inadequately","1665","0.633668980163441","0.613430078145317","0.653907882181566","5"
"Non-working","2018","general elemantary","2031","0.546049187837942","0.529954571772186","0.562143803903697","5"
"Non-working","2018","middle vocational","4944","0.421850714679737","0.413104962542676","0.430596466816799","5"
"Non-working","2018","higher education","2301","0.302535920744728","0.291814771656445","0.313257069833011","5"
"Non-working","2018","higher vocational","452","0.32234310335814","0.298328206980462","0.346357999735818","5"
"Non-working","2018","vocational + Abi","535","0.256182952759987","0.237995764540528","0.274370140979446","5"
"Other","2018","in school","120","0.169651430008509","0.141887015578619","0.197415844438398","6"
"Other","2018","inadequately","152","0.0961542633349507","0.0837705666599409","0.108537960009961","6"
"Other","2018","general elemantary","627","0.161664419661056","0.149763609902033","0.173565229420079","6"
"Other","2018","middle vocational","1099","0.0814173003032304","0.0765742915565479","0.0862603090499129","6"
"Other","2018","vocational + Abi","144","0.0622361201870141","0.0521708511002576","0.0723013892737707","6"
"Other","2018","higher vocational","44","0.0296450571276108","0.0209302445530224","0.0383598697021992","6"
"Other","2018","higher education","363","0.0457745252772728","0.0408966648775723","0.0506523856769733","6"
"Part-time","2018","in school","3","","","","2"
"Part-time","2018","higher education","1180","0.14105020053494","0.132926335784167","0.149174065285714","2"
"Part-time","2018","higher vocational","212","0.119561307329544","0.1028903138341","0.136232300824987","2"
"Part-time","2018","vocational + Abi","544","0.191252422908664","0.174866634093679","0.207638211723648","2"
"Part-time","2018","middle vocational","1908","0.129566154363078","0.123618969438401","0.135513339287755","2"
"Part-time","2018","inadequately","130","0.0980196152404187","0.0855292850393925","0.110509945441445","2"
"Part-time","2018","general elemantary","342","0.0950832116522256","0.0856008485013598","0.104565574803091","2"
"Full-time","2019","higher education","3776","0.513231582555099","0.502027476032945","0.524435689077253","1"
"Full-time","2019","higher vocational","949","0.531403501725591","0.507484575469073","0.555322427982109","1"
"Full-time","2019","in school","2","","","","1"
"Full-time","2019","inadequately","294","0.19094228800835","0.173546259676055","0.208338316340646","1"
"Full-time","2019","general elemantary","687","0.201282787161699","0.187608847951614","0.214956726371784","1"
"Full-time","2019","middle vocational","4308","0.367021160203675","0.358308346056921","0.37573397435043","1"
"Full-time","2019","vocational + Abi","1072","0.49774562719258","0.477140875715497","0.518350378669663","1"
"Non-working","2019","in school","483","0.816594790980881","0.785782718225912","0.847406863735851","5"
"Non-working","2019","inadequately","1369","0.57513460555022","0.553255995715299","0.59701321538514","5"
"Non-working","2019","general elemantary","1746","0.541056679178779","0.524062714455757","0.558050643901801","5"
"Non-working","2019","middle vocational","4566","0.417730419535931","0.408815274675811","0.426645564396051","5"
"Non-working","2019","higher education","2190","0.301054881981553","0.290772263528943","0.311337500434163","5"
"Non-working","2019","higher vocational","456","0.316556007999078","0.294261047882873","0.338850968115283","5"
"Non-working","2019","vocational + Abi","497","0.247044160449865","0.229270624377848","0.264817696521882","5"
"Other","2019","in school","120","0.182390586214307","0.151644776845406","0.213136395583208","6"
"Other","2019","inadequately","178","0.10760676846736","0.0938914081120673","0.121322128822654","6"
"Other","2019","general elemantary","566","0.155467296121551","0.143110053808046","0.167824538435056","6"
"Other","2019","middle vocational","989","0.0737755714960422","0.0690502353423978","0.0785009076496866","6"
"Other","2019","vocational + Abi","161","0.0646478340588244","0.0545141733728012","0.0747814947448475","6"
"Other","2019","higher vocational","59","0.0315729557143007","0.0231914696123488","0.0399544418162525","6"
"Other","2019","higher education","351","0.0358610836282795","0.0316929574552106","0.0400292098013484","6"
"Part-time","2019","in school","1","","","","2"
"Part-time","2019","higher education","1328","0.149852451835068","0.141851559505269","0.157853344164868","2"
"Part-time","2019","inadequately","120","0.126316337974069","0.111612992397153","0.141019683550986","2"
"Part-time","2019","general elemantary","304","0.102193237537971","0.0918633327322097","0.112523142343732","2"
"Part-time","2019","higher vocational","208","0.120467534561031","0.10486515269261","0.136069916429452","2"
"Part-time","2019","middle vocational","1893","0.141472848764351","0.135172974685301","0.147772722843401","2"
"Part-time","2019","vocational + Abi","532","0.190562378298731","0.17437740206891","0.206747354528551","2"
