"transab_cat2","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","2010","no migration background","Rural Area","6095","0.894270277910456","0.88729679397144","0.901243761849472"
"Very low transfer dependency","2010","direct migration background","Urban Area","1548","0.749589729310574","0.731751324272894","0.767428134348254"
"Very low transfer dependency","2010","direct migration background","Rural Area","365","0.750269345996005","0.715691783575392","0.784846908416618"
"Very low transfer dependency","2010","indirect migration background","Urban Area","711","0.754489727920916","0.72776089961401","0.781218556227823"
"Very low transfer dependency","2010","indirect migration background","Rural Area","135","0.796700119838729","0.742268100501611","0.851132139175847"
"Low transfer dependency","2010","no migration background","Urban Area","883","0.0452656469092741","0.0416389635165227","0.0488923303020256"
"Low transfer dependency","2010","no migration background","Rural Area","719","0.052090020428047","0.047050633873199","0.0571294069828951"
"Low transfer dependency","2010","direct migration background","Urban Area","318","0.119182654084509","0.105842292723619","0.132523015445398"
"Low transfer dependency","2010","direct migration background","Rural Area","115","0.144174335265266","0.116114412112975","0.172234258417556"
"Low transfer dependency","2010","indirect migration background","Urban Area","131","0.102583612806554","0.0837404233516778","0.121426802261431"
"Low transfer dependency","2010","indirect migration background","Rural Area","37","0.087585851978016","0.0493517029565793","0.125820000999453"
"High transfer dependency","2010","no migration background","Urban Area","358","0.0198786333870348","0.0174435311834323","0.0223137355906374"
"High transfer dependency","2010","no migration background","Rural Area","311","0.0249702290500194","0.0214315835079007","0.028508874592138"
"High transfer dependency","2010","direct migration background","Urban Area","144","0.0421850167256989","0.0339086816665529","0.050461351784845"
"High transfer dependency","2010","direct migration background","Rural Area","45","0.0393016912768571","0.0237796448393097","0.0548237377144044"
"High transfer dependency","2010","indirect migration background","Urban Area","66","0.0643025911518772","0.0490690674694016","0.0795361148343528"
"High transfer dependency","2010","indirect migration background","Rural Area","21","","",""
"Very high transfer dependency","2010","no migration background","Urban Area","478","0.0296822359623721","0.0267215707495502","0.0326429011751941"
"Very high transfer dependency","2010","no migration background","Rural Area","344","0.0286694726114776","0.0248849575988951","0.0324539876240601"
"Very high transfer dependency","2010","direct migration background","Urban Area","256","0.0890425998792185","0.0773161625085652","0.100769037249872"
"Very high transfer dependency","2010","direct migration background","Rural Area","77","0.0662546274618725","0.0463858024514823","0.0861234524722627"
"Very high transfer dependency","2010","indirect migration background","Urban Area","88","0.0786240681206521","0.0619087514351985","0.0953393848061057"
"Very high transfer dependency","2010","indirect migration background","Rural Area","17","","",""
"Very low transfer dependency","2011","no migration background","Urban Area","12860","0.902388602168778","0.897637975666978","0.907139228670578"
"Very low transfer dependency","2011","no migration background","Rural Area","7429","0.88145114937896","0.874812428978309","0.888089869779611"
"Very low transfer dependency","2011","direct migration background","Urban Area","1660","0.767150961116643","0.750428952095283","0.783872970138003"
"Very low transfer dependency","2011","direct migration background","Rural Area","484","0.743368781654913","0.712518464678804","0.774219098631021"
"Very low transfer dependency","2011","indirect migration background","Urban Area","798","0.78020037018557","0.756076808333014","0.804323932038126"
"Very low transfer dependency","2011","indirect migration background","Rural Area","172","0.775275936325753","0.724343883608557","0.826207989042948"
"Low transfer dependency","2011","no migration background","Urban Area","1087","0.0445609119436166","0.0412581113195921","0.0478637125676411"
"Low transfer dependency","2011","no migration background","Rural Area","878","0.0575256496358466","0.0527437317328325","0.0623075675388607"
"Low transfer dependency","2011","direct migration background","Urban Area","341","0.0911691903678447","0.0797804319274008","0.102557948808289"
"Low transfer dependency","2011","direct migration background","Rural Area","150","0.142162463610058","0.117496520710417","0.166828406509698"
"Low transfer dependency","2011","indirect migration background","Urban Area","162","0.0861805103680866","0.0698326990489476","0.102528321687226"
"Low transfer dependency","2011","indirect migration background","Rural Area","42","0.140210445364709","0.0978437583147615","0.182577132414656"
"High transfer dependency","2011","no migration background","Urban Area","478","0.0253765099566564","0.0228591912433678","0.0278938286699449"
"High transfer dependency","2011","no migration background","Rural Area","382","0.0283634254617393","0.0249541048275545","0.0317727460959241"
"High transfer dependency","2011","direct migration background","Urban Area","180","0.0624363719674453","0.052863769652336","0.0720089742825545"
"High transfer dependency","2011","direct migration background","Rural Area","67","0.0706367998140322","0.0525396170639319","0.0887339825641324"
"High transfer dependency","2011","indirect migration background","Urban Area","75","0.0579904756663225","0.0443750613939738","0.0716058899386711"
"High transfer dependency","2011","indirect migration background","Rural Area","25","","",""
"Very high transfer dependency","2011","no migration background","Urban Area","568","0.0276739759309491","0.0250482732063867","0.0302996786555116"
"Very high transfer dependency","2011","no migration background","Rural Area","419","0.0326597755234538","0.0290094398607787","0.0363101111861289"
"Very high transfer dependency","2011","direct migration background","Urban Area","273","0.0792434765480669","0.0685562510175368","0.089930702078597"
"Very high transfer dependency","2011","direct migration background","Rural Area","69","0.0438319549209973","0.0293720558505033","0.0582918539914912"
"Very high transfer dependency","2011","indirect migration background","Urban Area","97","0.0756286437800206","0.060226141792488","0.0910311457675532"
"Very high transfer dependency","2011","indirect migration background","Rural Area","19","","",""
"Very low transfer dependency","2012","no migration background","Urban Area","12729","0.906941860358333","0.902235941230635","0.911647779486031"
"Very low transfer dependency","2012","no migration background","Rural Area","7551","0.885517988830203","0.878958180943756","0.89207779671665"
"Very low transfer dependency","2012","direct migration background","Urban Area","1624","0.788997084255949","0.772167706853608","0.80582646165829"
"Very low transfer dependency","2012","direct migration background","Rural Area","548","0.799280275253746","0.7709709514944","0.827589599013092"
"Very low transfer dependency","2012","indirect migration background","Urban Area","823","0.809389140853203","0.786188128374347","0.832590153332058"
"Very low transfer dependency","2012","indirect migration background","Rural Area","192","0.799917574211798","0.751289339046538","0.848545809377058"
"Low transfer dependency","2012","no migration background","Urban Area","924","0.0423334612497256","0.0390718920402421","0.045595030459209"
"Low transfer dependency","2012","no migration background","Rural Area","764","0.054915577134494","0.0502219684363637","0.0596091858326243"
"Low transfer dependency","2012","direct migration background","Urban Area","275","0.0909636457630448","0.0791029360367171","0.102824355489372"
"Low transfer dependency","2012","direct migration background","Rural Area","104","0.0831548017851504","0.0636394405390087","0.102670163031292"
"Low transfer dependency","2012","indirect migration background","Urban Area","123","0.0865948628634027","0.0699824689394586","0.103207256787347"
"Low transfer dependency","2012","indirect migration background","Rural Area","37","0.125152718701643","0.0849321983997783","0.165373239003507"
"High transfer dependency","2012","no migration background","Urban Area","437","0.0213304269952268","0.0189899985359488","0.0236708554545048"
"High transfer dependency","2012","no migration background","Rural Area","371","0.0292973311785899","0.0258229221617823","0.0327717401953975"
"High transfer dependency","2012","direct migration background","Urban Area","153","0.0549592629417924","0.0455591767246365","0.0643593491589483"
"High transfer dependency","2012","direct migration background","Rural Area","65","0.0836199369924433","0.0640550359730503","0.103184838011836"
"High transfer dependency","2012","indirect migration background","Urban Area","75","0.0396218641745313","0.0280994623594289","0.0511442659896337"
"High transfer dependency","2012","indirect migration background","Rural Area","17","","",""
"Very high transfer dependency","2012","no migration background","Urban Area","550","0.0293942513967147","0.0266581626218842","0.0321303401715452"
"Very high transfer dependency","2012","no migration background","Rural Area","364","0.030269102856713","0.0267393102221729","0.033798895491253"
"Very high transfer dependency","2012","direct migration background","Urban Area","206","0.0650800070392135","0.0549058803452554","0.0752541337331717"
"Very high transfer dependency","2012","direct migration background","Rural Area","52","0.03394498596866","0.0211460558653619","0.0467439160719582"
"Very high transfer dependency","2012","indirect migration background","Urban Area","80","0.0643941321088634","0.049895599585225","0.0788926646325018"
"Very high transfer dependency","2012","indirect migration background","Rural Area","14","","",""
"Very low transfer dependency","2013","no migration background","Urban Area","12225","0.909598584558607","0.904839705971668","0.914357463145546"
"Very low transfer dependency","2013","no migration background","Rural Area","7217","0.883981428427796","0.877186536624269","0.890776320231323"
"Very low transfer dependency","2013","direct migration background","Urban Area","3376","0.775450256181753","0.763667471348697","0.787233041014809"
"Very low transfer dependency","2013","direct migration background","Rural Area","1104","0.791937333986149","0.771670343679334","0.812204324292964"
"Very low transfer dependency","2013","indirect migration background","Urban Area","1320","0.75167025131858","0.731821168086497","0.771519334550664"
"Very low transfer dependency","2013","indirect migration background","Rural Area","287","0.74688654528411","0.702821195316219","0.790951895252002"
"Low transfer dependency","2013","no migration background","Urban Area","817","0.0430038692040083","0.0396371958729383","0.0463705425350782"
"Low transfer dependency","2013","no migration background","Rural Area","651","0.0568585163513523","0.0519451018469013","0.0617719308558033"
"Low transfer dependency","2013","direct migration background","Urban Area","590","0.0928246417258708","0.0846307172543531","0.101018566197388"
"Low transfer dependency","2013","direct migration background","Rural Area","174","0.0871512913548136","0.0730686834460506","0.101233899263577"
"Low transfer dependency","2013","indirect migration background","Urban Area","211","0.0915619890430392","0.0783119348323353","0.104812043253743"
"Low transfer dependency","2013","indirect migration background","Rural Area","34","0.100233118710413","0.0697974454283273","0.130668791992498"
"High transfer dependency","2013","no migration background","Urban Area","440","0.0204192706111643","0.0180721665195544","0.0227663747027742"
"High transfer dependency","2013","no migration background","Rural Area","309","0.0263822019930744","0.0229816690150931","0.0297827349710557"
"High transfer dependency","2013","direct migration background","Urban Area","366","0.0513201964265516","0.0450897570347814","0.0575506358183218"
"High transfer dependency","2013","direct migration background","Rural Area","109","0.0532836575572214","0.0420698338836592","0.0644974812307835"
"High transfer dependency","2013","indirect migration background","Urban Area","131","0.0552783227403095","0.0447794718929293","0.0657771735876898"
"High transfer dependency","2013","indirect migration background","Rural Area","25","","",""
"Very high transfer dependency","2013","no migration background","Urban Area","466","0.0269782756262202","0.0242894633412417","0.0296670879111986"
"Very high transfer dependency","2013","no migration background","Rural Area","356","0.032777853227777","0.0289999521029633","0.0365557543525907"
"Very high transfer dependency","2013","direct migration background","Urban Area","486","0.0804049056658247","0.0727267963774567","0.0880830149541927"
"Very high transfer dependency","2013","direct migration background","Rural Area","154","0.0676277171018164","0.0550904230336138","0.0801650111700191"
"Very high transfer dependency","2013","indirect migration background","Urban Area","158","0.101489436898071","0.0876159888551241","0.115362884941018"
"Very high transfer dependency","2013","indirect migration background","Rural Area","28","","",""
"Very low transfer dependency","2014","no migration background","Urban Area","11264","0.90718076371896","0.902138375178903","0.912223152259017"
"Very low transfer dependency","2014","no migration background","Rural Area","6672","0.884896815384013","0.877815154861268","0.891978475906758"
"Very low transfer dependency","2014","direct migration background","Urban Area","2648","0.751896589857279","0.738228613586197","0.765564566128362"
"Very low transfer dependency","2014","direct migration background","Rural Area","860","0.770973417081056","0.747899250388767","0.794047583773346"
"Very low transfer dependency","2014","indirect migration background","Urban Area","1137","0.742603821155588","0.720873680782056","0.764333961529121"
"Very low transfer dependency","2014","indirect migration background","Rural Area","269","0.773461327295316","0.729794542462652","0.817128112127981"
"Low transfer dependency","2014","no migration background","Urban Area","704","0.0434504495425546","0.0399078564752478","0.0469930426098613"
"Low transfer dependency","2014","no migration background","Rural Area","587","0.0561669690499199","0.051058000863028","0.0612759372368117"
"Low transfer dependency","2014","direct migration background","Urban Area","469","0.102076074949949","0.0924955226825995","0.111656627217299"
"Low transfer dependency","2014","direct migration background","Rural Area","196","0.107288764327098","0.0902947492524782","0.124282779401718"
"Low transfer dependency","2014","indirect migration background","Urban Area","187","0.102295688858253","0.0872338424235283","0.117357535292978"
"Low transfer dependency","2014","indirect migration background","Rural Area","40","0.109335838754333","0.076782240652025","0.141889436856641"
"High transfer dependency","2014","no migration background","Urban Area","340","0.0219623305291594","0.0194155741766555","0.0245090868816633"
"High transfer dependency","2014","no migration background","Rural Area","269","0.0266414045437756","0.0230681816255358","0.0302146274620153"
"High transfer dependency","2014","direct migration background","Urban Area","305","0.058571691287842","0.0511407077224508","0.0660026748532332"
"High transfer dependency","2014","direct migration background","Rural Area","101","0.0495033655440464","0.0375921514245766","0.0614145796635162"
"High transfer dependency","2014","indirect migration background","Urban Area","89","0.0443716060987967","0.0341367912298287","0.0546064209677648"
"High transfer dependency","2014","indirect migration background","Rural Area","33","0.0832165650813563","0.0544028664246814","0.112030263738031"
"Very high transfer dependency","2014","no migration background","Urban Area","414","0.027406456209326","0.0245694353567944","0.0302434770618575"
"Very high transfer dependency","2014","no migration background","Rural Area","274","0.0322948110222915","0.0283721297078577","0.0362174923367252"
"Very high transfer dependency","2014","direct migration background","Urban Area","414","0.0874556439049295","0.0785158047652376","0.0963954830446213"
"Very high transfer dependency","2014","direct migration background","Rural Area","117","0.0722344530477989","0.0580191968347291","0.0864497092608687"
"Very high transfer dependency","2014","indirect migration background","Urban Area","142","0.110728883887362","0.0951322654046229","0.1263255023701"
"Very high transfer dependency","2014","indirect migration background","Rural Area","11","","",""
"Very low transfer dependency","2015","no migration background","Urban Area","10848","0.9122224542399","0.907183222527245","0.917261685952556"
"Very low transfer dependency","2015","no migration background","Rural Area","6447","0.889454412020568","0.882337385677554","0.896571438363581"
"Very low transfer dependency","2015","direct migration background","Urban Area","3122","0.764513717163105","0.752038833215658","0.776988601110552"
"Very low transfer dependency","2015","direct migration background","Rural Area","1072","0.804088143942071","0.783874121169649","0.824302166714493"
"Very low transfer dependency","2015","indirect migration background","Urban Area","1059","0.748693760975961","0.726321069339335","0.771066452612587"
"Very low transfer dependency","2015","indirect migration background","Rural Area","265","0.804016161364783","0.762068148855361","0.845964173874206"
"Low transfer dependency","2015","no migration background","Urban Area","613","0.0407335926320308","0.0372133855819988","0.0442537996820628"
"Low transfer dependency","2015","no migration background","Rural Area","506","0.0510903457763972","0.0460929025034373","0.0560877890493572"
"Low transfer dependency","2015","direct migration background","Urban Area","463","0.0900091128732153","0.0815947191761116","0.0984235065703191"
"Low transfer dependency","2015","direct migration background","Rural Area","166","0.0925980890701797","0.0778351978840007","0.107360980256359"
"Low transfer dependency","2015","indirect migration background","Urban Area","145","0.0805472591441338","0.0665108963845102","0.0945836219037574"
"Low transfer dependency","2015","indirect migration background","Rural Area","34","0.0929845830741355","0.0622956578998288","0.123673508248442"
"High transfer dependency","2015","no migration background","Urban Area","274","0.0186478243670518","0.0162387580120786","0.0210568907220249"
"High transfer dependency","2015","no migration background","Rural Area","246","0.022930680208208","0.0195333545698257","0.0263280058465902"
"High transfer dependency","2015","direct migration background","Urban Area","321","0.0580322340512531","0.051158167514084","0.0649063005884222"
"High transfer dependency","2015","direct migration background","Rural Area","91","0.0406550378060926","0.0305969564062949","0.0507131192058903"
"High transfer dependency","2015","indirect migration background","Urban Area","113","0.0755436696362345","0.0619133282455062","0.0891740110269627"
"High transfer dependency","2015","indirect migration background","Rural Area","21","","",""
"Very high transfer dependency","2015","no migration background","Urban Area","378","0.028396128761017","0.0254381406843302","0.0313541168377037"
"Very high transfer dependency","2015","no migration background","Rural Area","258","0.0365245619948272","0.0322668247992316","0.0407822991904228"
"Very high transfer dependency","2015","direct migration background","Urban Area","538","0.0874449359124265","0.0791395859404909","0.0957502858843621"
"Very high transfer dependency","2015","direct migration background","Rural Area","152","0.0626587291816564","0.0503160277773463","0.0750014305859665"
"Very high transfer dependency","2015","indirect migration background","Urban Area","127","0.0952153102436706","0.0800765430854322","0.110354077401909"
"Very high transfer dependency","2015","indirect migration background","Rural Area","24","","",""
"Very low transfer dependency","2016","no migration background","Urban Area","10110","0.909752746665405","0.904460991611758","0.915044501719052"
"Very low transfer dependency","2016","no migration background","Rural Area","6066","0.892187784052214","0.884895219053893","0.899480349050534"
"Very low transfer dependency","2016","direct migration background","Urban Area","2511","0.766141350329826","0.752325856918717","0.779956843740935"
"Very low transfer dependency","2016","direct migration background","Rural Area","912","0.795861571210157","0.773507943009424","0.81821519941089"
"Very low transfer dependency","2016","indirect migration background","Urban Area","970","0.745867693336242","0.722451845301633","0.769283541370851"
"Very low transfer dependency","2016","indirect migration background","Rural Area","247","0.803850326938941","0.761265366485179","0.846435287392703"
"Low transfer dependency","2016","no migration background","Urban Area","550","0.0401847722231004","0.0365577883680358","0.0438117560781651"
"Low transfer dependency","2016","no migration background","Rural Area","497","0.0620551473230977","0.0563823699014329","0.0677279247447626"
"Low transfer dependency","2016","direct migration background","Urban Area","416","0.0885841488946134","0.0793100541791443","0.0978582436100825"
"Low transfer dependency","2016","direct migration background","Rural Area","176","0.122175328958163","0.104013377041235","0.140337280875091"
"Low transfer dependency","2016","indirect migration background","Urban Area","155","0.100582608591931","0.084405863525895","0.116759353657966"
"Low transfer dependency","2016","indirect migration background","Rural Area","50","0.119135515408519","0.084393898131357","0.15387713268568"
"High transfer dependency","2016","no migration background","Urban Area","281","0.0236884051608036","0.0208798485397156","0.0264969617818916"
"High transfer dependency","2016","no migration background","Rural Area","145","0.014927535050965","0.012076212651758","0.0177788574501719"
"High transfer dependency","2016","direct migration background","Urban Area","243","0.0529949688170275","0.0456830949091587","0.0603068427248962"
"High transfer dependency","2016","direct migration background","Rural Area","48","0.0261057786333343","0.0172629523823598","0.0349486048843087"
"High transfer dependency","2016","indirect migration background","Urban Area","104","0.0775087570113986","0.0631272113091193","0.0918903027136779"
"High transfer dependency","2016","indirect migration background","Rural Area","15","","",""
"Very high transfer dependency","2016","no migration background","Urban Area","322","0.0263740759506909","0.0234146618433216","0.0293334900580603"
"Very high transfer dependency","2016","no migration background","Rural Area","240","0.0308295335737235","0.026765083914113","0.034893983233334"
"Very high transfer dependency","2016","direct migration background","Urban Area","436","0.0922795319585331","0.0828331829841965","0.10172588093287"
"Very high transfer dependency","2016","direct migration background","Rural Area","113","0.0558573211983455","0.0431215356159815","0.0685931067807095"
"Very high transfer dependency","2016","indirect migration background","Urban Area","99","0.0760409410604288","0.0617848927343476","0.0902969893865099"
"Very high transfer dependency","2016","indirect migration background","Rural Area","22","","",""
"Very low transfer dependency","2017","no migration background","Urban Area","11353","0.918039232819916","0.913239940982541","0.922838524657292"
"Very low transfer dependency","2017","no migration background","Rural Area","7040","0.901727639188865","0.895208575583046","0.908246702794685"
"Very low transfer dependency","2017","direct migration background","Urban Area","2516","0.756306507472765","0.744306849387843","0.768306165557686"
"Very low transfer dependency","2017","direct migration background","Rural Area","916","0.733563898919613","0.713407515198421","0.753720282640805"
"Very low transfer dependency","2017","indirect migration background","Urban Area","1110","0.769183967291988","0.747710009175764","0.790657925408213"
"Very low transfer dependency","2017","indirect migration background","Rural Area","263","0.833935017865116","0.793965297379431","0.873904738350801"
"Low transfer dependency","2017","no migration background","Urban Area","564","0.035641028098425","0.0323973480792511","0.0388847081175988"
"Low transfer dependency","2017","no migration background","Rural Area","534","0.0509190095064247","0.0461048170956829","0.0557332019171665"
"Low transfer dependency","2017","direct migration background","Urban Area","411","0.0825462832263271","0.0748542911053392","0.090238275347315"
"Low transfer dependency","2017","direct migration background","Rural Area","176","0.106733007414771","0.0926551317830467","0.120810883046495"
"Low transfer dependency","2017","indirect migration background","Urban Area","163","0.0916505316427475","0.0769457702616525","0.106355293023842"
"Low transfer dependency","2017","indirect migration background","Rural Area","36","0.0999139312533098","0.0677046511770795","0.13212321132954"
"High transfer dependency","2017","no migration background","Urban Area","309","0.0206997308704464","0.0182086729947375","0.0231907887461553"
"High transfer dependency","2017","no migration background","Rural Area","204","0.0179184802916414","0.0150134130507557","0.0208235475325272"
"High transfer dependency","2017","direct migration background","Urban Area","344","0.0633219166295197","0.0565146902757507","0.0701291429832887"
"High transfer dependency","2017","direct migration background","Rural Area","135","0.0426924745354416","0.0334752852125187","0.0519096638583645"
"High transfer dependency","2017","indirect migration background","Urban Area","86","0.0587184214392854","0.0467369275788676","0.0706999152997032"
"High transfer dependency","2017","indirect migration background","Rural Area","21","","",""
"Very high transfer dependency","2017","no migration background","Urban Area","323","0.0256200082112125","0.0228556307562783","0.0283843856661466"
"Very high transfer dependency","2017","no migration background","Rural Area","232","0.0294348710130685","0.0257333924090813","0.0331363496170556"
"Very high transfer dependency","2017","direct migration background","Urban Area","1646","0.0978252926713887","0.0895216454782759","0.106128939864501"
"Very high transfer dependency","2017","direct migration background","Rural Area","621","0.117010619130175","0.102355562987035","0.131665675273314"
"Very high transfer dependency","2017","indirect migration background","Urban Area","120","0.0804470796259791","0.0665856664330297","0.0943084928189284"
"Very high transfer dependency","2017","indirect migration background","Rural Area","13","","",""
"Very low transfer dependency","2018","no migration background","Urban Area","10950","0.922513344474971","0.91775542073058","0.927271268219362"
"Very low transfer dependency","2018","no migration background","Rural Area","6755","0.899296329864039","0.892558458148125","0.906034201579953"
"Very low transfer dependency","2018","direct migration background","Urban Area","2459","0.751519360287086","0.74040585265743","0.762632867916743"
"Very low transfer dependency","2018","direct migration background","Rural Area","865","0.727716144466151","0.708183160582024","0.747249128350277"
"Very low transfer dependency","2018","indirect migration background","Urban Area","1091","0.797351221905536","0.776696782067252","0.81800566174382"
"Very low transfer dependency","2018","indirect migration background","Rural Area","260","0.827629721955686","0.78742311056355","0.867836333347822"
"Low transfer dependency","2018","no migration background","Urban Area","570","0.0370145324139352","0.0336547303622075","0.040374334465663"
"Low transfer dependency","2018","no migration background","Rural Area","474","0.049193268094768","0.0443510132773657","0.0540355229121704"
"Low transfer dependency","2018","direct migration background","Urban Area","478","0.0830326990621187","0.0759363284395053","0.0901290696847322"
"Low transfer dependency","2018","direct migration background","Rural Area","174","0.077421979630129","0.0656943476597699","0.0891496116004881"
"Low transfer dependency","2018","indirect migration background","Urban Area","151","0.068688679487556","0.0556927717632185","0.0816845872118934"
"Low transfer dependency","2018","indirect migration background","Rural Area","39","0.0794488161597664","0.0506605222766739","0.108237110042859"
"High transfer dependency","2018","no migration background","Urban Area","287","0.0178064819251473","0.0154530302557514","0.0201599335945432"
"High transfer dependency","2018","no migration background","Rural Area","216","0.0231885521943344","0.0198188550840715","0.0265582493045973"
"High transfer dependency","2018","direct migration background","Urban Area","516","0.0501787727946821","0.0445642126218429","0.0557933329675213"
"High transfer dependency","2018","direct migration background","Rural Area","170","0.083532456409023","0.0713912228971371","0.095673689920909"
"High transfer dependency","2018","indirect migration background","Urban Area","124","0.0620382562738164","0.0496434726900955","0.0744330398575372"
"High transfer dependency","2018","indirect migration background","Rural Area","25","","",""
"Very high transfer dependency","2018","no migration background","Urban Area","323","0.0226656411859462","0.0200169990808064","0.0253142832910861"
"Very high transfer dependency","2018","no migration background","Rural Area","218","0.0283218498468585","0.0246076035013697","0.0320360961923473"
"Very high transfer dependency","2018","direct migration background","Urban Area","2355","0.115269167856113","0.10705626005705","0.123482075655175"
"Very high transfer dependency","2018","direct migration background","Rural Area","786","0.111329419494697","0.0975271019509228","0.125131737038472"
"Very high transfer dependency","2018","indirect migration background","Urban Area","89","0.0719218423330913","0.0586466973763528","0.0851969872898298"
"Very high transfer dependency","2018","indirect migration background","Rural Area","15","","",""
"Very low transfer dependency","2019","no migration background","Urban Area","10711","0.930449670575163","0.925825750765762","0.935073590384563"
"Very low transfer dependency","2019","no migration background","Rural Area","6870","0.901340585044271","0.894655583944273","0.908025586144268"
"Very low transfer dependency","2019","direct migration background","Urban Area","2210","0.76051249143515","0.748684410907953","0.772340571962347"
"Very low transfer dependency","2019","direct migration background","Rural Area","809","0.710237528856447","0.689543020208617","0.730932037504277"
"Very low transfer dependency","2019","indirect migration background","Urban Area","1042","0.800161105562017","0.778531706381894","0.821790504742139"
"Very low transfer dependency","2019","indirect migration background","Rural Area","268","0.807998644244577","0.766436685475244","0.849560603013909"
"Low transfer dependency","2019","no migration background","Urban Area","478","0.0351553401406668","0.0318077012415649","0.0385029790397687"
"Low transfer dependency","2019","no migration background","Rural Area","418","0.0539794419652101","0.0489135930380626","0.0590452908923575"
"Low transfer dependency","2019","direct migration background","Urban Area","363","0.0761131873126066","0.0687636668698718","0.0834627077553415"
"Low transfer dependency","2019","direct migration background","Rural Area","171","0.12287610026238","0.10790007979714","0.13785212072762"
"Low transfer dependency","2019","indirect migration background","Urban Area","103","0.0674770998116633","0.0539088545637643","0.0810453450595623"
"Low transfer dependency","2019","indirect migration background","Rural Area","44","0.160808034667693","0.12204452653952","0.199571542795866"
"High transfer dependency","2019","no migration background","Urban Area","214","0.0167302256290693","0.0143989077281671","0.0190615435299714"
"High transfer dependency","2019","no migration background","Rural Area","185","0.0211188517053782","0.0178956470286585","0.024342056382098"
"High transfer dependency","2019","direct migration background","Urban Area","403","0.0539523306423234","0.047690788917887","0.0602138723667598"
"High transfer dependency","2019","direct migration background","Rural Area","184","0.0538670496070191","0.0435686456986319","0.0641654535154062"
"High transfer dependency","2019","indirect migration background","Urban Area","79","0.0631607469333438","0.0500032918471757","0.0763182020195119"
"High transfer dependency","2019","indirect migration background","Rural Area","18","","",""
"Very high transfer dependency","2019","no migration background","Urban Area","224","0.0176647636551015","0.0152703563346353","0.0200591709755676"
"Very high transfer dependency","2019","no migration background","Rural Area","171","0.0235611212851412","0.0201608915502122","0.0269613510200702"
"Very high transfer dependency","2019","direct migration background","Urban Area","2025","0.10942199060992","0.100770161097617","0.118073820122224"
"Very high transfer dependency","2019","direct migration background","Rural Area","682","0.113019321274154","0.0985760466194767","0.12746259592883"
"Very high transfer dependency","2019","indirect migration background","Urban Area","89","0.0692010476929763","0.055473277330919","0.0829288180550335"
"Very high transfer dependency","2019","indirect migration background","Rural Area","15","","",""
