"transab_cat2","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","2004","North Rhine-Westphalia","West Germany","204","0.0487681164216577","0.0424898169445099","0.0550464158988055","1"
"Low transfer dependency","2004","North Rhine-Westphalia","East Germany","","","","","1"
"Low transfer dependency","2004","Hesse","East Germany","","","","","1"
"Low transfer dependency","2004","Hesse","West Germany","64","0.0546365946545348","0.0428859711364348","0.0663872181726348","1"
"Low transfer dependency","2004","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Low transfer dependency","2004","Rhineland-Palatinate,Saarland","West Germany","68","0.0681761197382795","0.054448467626976","0.081903771849583","1"
"Low transfer dependency","2004","Baden-Württemberg","West Germany","139","0.055805995260606","0.0469894457791593","0.0646225447420528","1"
"Low transfer dependency","2004","Baden-Württemberg","East Germany","","","","","1"
"Low transfer dependency","2004","Bavaria","West Germany","178","0.0563516682231805","0.0481718591696641","0.0645314772766968","1"
"Low transfer dependency","2004","Bavaria","East Germany","","","","","1"
"Low transfer dependency","2004","Berlin","West Germany","22","","","","1"
"Low transfer dependency","2004","Berlin","East Germany","44","0.123121768680417","0.0897319786308749","0.156511558729959","1"
"Low transfer dependency","2004","Brandenburg","West Germany","","","","","1"
"Low transfer dependency","2004","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Low transfer dependency","2004","Mecklenburg-Western Pomerania","East Germany","61","0.109980102442","0.0828003111359812","0.137159893748019","1"
"Low transfer dependency","2004","Saxony-Anhalt","East Germany","93","0.103053017673327","0.0834604674818331","0.12264556786482","1"
"Low transfer dependency","2004","Brandenburg","East Germany","105","0.111628544444507","0.091089078616953","0.132168010272062","1"
"Low transfer dependency","2004","Thuringia","East Germany","87","0.0922991961745382","0.0737759545763478","0.110822437772729","1"
"Low transfer dependency","2004","Saxony","West Germany","","","","","1"
"Low transfer dependency","2004","Saxony","East Germany","153","0.0976613804736594","0.0828877104648614","0.112435050482457","1"
"Low transfer dependency","2004","Saxony-Anhalt","West Germany","","","","","1"
"Low transfer dependency","2004","Thuringia","West Germany","","","","","1"
"Very high transfer dependency","2004","Schleswig-Holstein","West Germany","21","","","","3"
"Very high transfer dependency","2004","Schleswig-Holstein","East Germany","","","","","3"
"Very high transfer dependency","2004","Hamburg","East Germany","","","","","3"
"Very high transfer dependency","2004","Hamburg","West Germany","4","","","","3"
"Very high transfer dependency","2004","Lower Saxony","East Germany","","","","","3"
"Very high transfer dependency","2004","Lower Saxony","West Germany","47","0.0327135527896267","0.0246768170352059","0.0407502885440475","3"
"Very high transfer dependency","2004","Bremen","West Germany","2","","","","3"
"Very high transfer dependency","2004","Bremen","East Germany","","","","","3"
"Very high transfer dependency","2004","North Rhine-Westphalia","West Germany","99","0.0321135205582057","0.0269744212663589","0.0372526198500525","3"
"Very high transfer dependency","2004","North Rhine-Westphalia","East Germany","","","","","3"
"Very high transfer dependency","2004","Hesse","East Germany","","","","","3"
"Very high transfer dependency","2004","Hesse","West Germany","26","","","","3"
"Very high transfer dependency","2004","Rhineland-Palatinate,Saarland","West Germany","33","0.0263131765210774","0.0175953245012979","0.0350310285408569","3"
"Very high transfer dependency","2004","Baden-Württemberg","East Germany","","","","","3"
"Very high transfer dependency","2004","Baden-Württemberg","West Germany","25","","","","3"
"Very high transfer dependency","2004","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Very high transfer dependency","2004","Bavaria","West Germany","42","0.020234233884382","0.0152397662621541","0.02522870150661","3"
"Very high transfer dependency","2004","Saxony-Anhalt","East Germany","56","0.0610024632249735","0.0455789561489617","0.0764259703009853","3"
"Very high transfer dependency","2004","Thuringia","West Germany","","","","","3"
"Very high transfer dependency","2004","Thuringia","East Germany","55","0.0660501964083901","0.0501557467167565","0.0819446461000236","3"
"Very high transfer dependency","2004","Bavaria","East Germany","","","","","3"
"Very high transfer dependency","2004","Berlin","West Germany","34","0.0973937547288867","0.0695313764528955","0.125256133004878","3"
"Very high transfer dependency","2004","Berlin","East Germany","25","","","","3"
"Very high transfer dependency","2004","Brandenburg","West Germany","","","","","3"
"Very high transfer dependency","2004","Brandenburg","East Germany","34","0.051408400242707","0.0370051370126938","0.0658116634727202","3"
"Very high transfer dependency","2004","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Very high transfer dependency","2004","Mecklenburg-Western Pomerania","East Germany","28","","","","3"
"Very high transfer dependency","2004","Saxony","West Germany","","","","","3"
"Very high transfer dependency","2004","Saxony","East Germany","78","0.0660604245789112","0.053698893591302","0.0784219555665204","3"
"Very high transfer dependency","2004","Saxony-Anhalt","West Germany","","","","","3"
"Very low transfer dependency","2004","Schleswig-Holstein","West Germany","601","0.895700267991355","0.872469679234511","0.918930856748199","0"
"Very low transfer dependency","2004","Schleswig-Holstein","East Germany","","","","","0"
"Very low transfer dependency","2004","Hamburg","West Germany","278","0.909008204638817","0.876189449646133","0.941826959631501","0"
"Very low transfer dependency","2004","Hamburg","East Germany","","","","","0"
"Very low transfer dependency","2004","Lower Saxony","West Germany","1684","0.890681912830015","0.876584298998933","0.904779526661097","0"
"Very low transfer dependency","2004","Lower Saxony","East Germany","","","","","0"
"Very low transfer dependency","2004","Bremen","West Germany","141","0.864933397909235","0.813249082183951","0.916617713634519","0"
"Very low transfer dependency","2004","Bremen","East Germany","","","","","0"
"Very low transfer dependency","2004","North Rhine-Westphalia","West Germany","4128","0.898113471910448","0.889295781946523","0.906931161874372","0"
"Very low transfer dependency","2004","North Rhine-Westphalia","East Germany","","","","","0"
"Very low transfer dependency","2004","Hesse","West Germany","1328","0.895320092886153","0.879491564594906","0.9111486211774","0"
"Very low transfer dependency","2004","Hesse","East Germany","","","","","0"
"Very low transfer dependency","2004","Rhineland-Palatinate,Saarland","West Germany","1174","0.891170709776021","0.874209119928708","0.908132299623335","0"
"Very low transfer dependency","2004","Rhineland-Palatinate,Saarland","East Germany","","","","","0"
"Very low transfer dependency","2004","Baden-Württemberg","West Germany","2416","0.925295946064444","0.915197837956051","0.935394054172836","0"
"Very low transfer dependency","2004","Baden-Württemberg","East Germany","","","","","0"
"Very low transfer dependency","2004","Bavaria","West Germany","2795","0.90548291934047","0.895105724533848","0.915860114147093","0"
"Very low transfer dependency","2004","Bavaria","East Germany","","","","","0"
"Very low transfer dependency","2004","Berlin","West Germany","369","0.807437497811989","0.77038275698278","0.844492238641197","0"
"Very low transfer dependency","2004","Berlin","East Germany","293","0.755208248020069","0.711515599253965","0.798900896786173","0"
"Very low transfer dependency","2004","Brandenburg","West Germany","","","","","0"
"Very low transfer dependency","2004","Brandenburg","East Germany","738","0.805494246695273","0.779677491109003","0.831311002281544","0"
"Very low transfer dependency","2004","Mecklenburg-Western Pomerania","West Germany","","","","","0"
"Very low transfer dependency","2004","Saxony","East Germany","1252","0.786225079958121","0.765822080636559","0.806628079279683","0"
"Very low transfer dependency","2004","Mecklenburg-Western Pomerania","East Germany","402","0.784445337154956","0.748722227744554","0.820168446565358","0"
"Very low transfer dependency","2004","Saxony","West Germany","","","","","0"
"Very low transfer dependency","2004","Saxony-Anhalt","East Germany","753","0.793204644758622","0.767104660887209","0.819304628630034","0"
"Very low transfer dependency","2004","Thuringia","West Germany","","","","","0"
"Very low transfer dependency","2004","Thuringia","East Germany","764","0.789831994582149","0.763758614580394","0.815905374583904","0"
"Very low transfer dependency","2004","Saxony-Anhalt","West Germany","","","","","0"
"High transfer dependency","2005","Hamburg","East Germany","","","","","2"
"High transfer dependency","2005","Lower Saxony","East Germany","","","","","2"
"High transfer dependency","2005","Schleswig-Holstein","East Germany","","","","","2"
"High transfer dependency","2005","Lower Saxony","West Germany","28","","","","2"
"High transfer dependency","2005","Bremen","East Germany","","","","","2"
"High transfer dependency","2005","Schleswig-Holstein","West Germany","18","","","","2"
"High transfer dependency","2005","Hamburg","West Germany","3","","","","2"
"High transfer dependency","2005","Bremen","West Germany","12","","","","2"
"High transfer dependency","2005","North Rhine-Westphalia","West Germany","99","0.0279635145191854","0.0230584989938918","0.0328685300444791","2"
"High transfer dependency","2005","North Rhine-Westphalia","East Germany","","","","","2"
"High transfer dependency","2005","Hesse","West Germany","15","","","","2"
"High transfer dependency","2005","Hesse","East Germany","","","","","2"
"High transfer dependency","2005","Rhineland-Palatinate,Saarland","West Germany","20","","","","2"
"High transfer dependency","2005","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"High transfer dependency","2005","Baden-Württemberg","West Germany","30","0.0109780334432982","0.00690973256783912","0.0150463343187572","2"
"High transfer dependency","2005","Baden-Württemberg","East Germany","","","","","2"
"High transfer dependency","2005","Bavaria","West Germany","33","0.0117672152687026","0.00783904517408622","0.0156953853633189","2"
"High transfer dependency","2005","Bavaria","East Germany","","","","","2"
"High transfer dependency","2005","Berlin","West Germany","17","","","","2"
"High transfer dependency","2005","Berlin","East Germany","11","","","","2"
"High transfer dependency","2005","Brandenburg","West Germany","","","","","2"
"High transfer dependency","2005","Brandenburg","East Germany","47","0.056986995761997","0.0416967501621534","0.0722772413618405","2"
"High transfer dependency","2005","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"High transfer dependency","2005","Mecklenburg-Western Pomerania","East Germany","21","","","","2"
"High transfer dependency","2005","Saxony","West Germany","","","","","2"
"High transfer dependency","2005","Saxony","East Germany","48","0.0436919266022991","0.0333921421576365","0.0539917110469616","2"
"High transfer dependency","2005","Saxony-Anhalt","West Germany","","","","","2"
"High transfer dependency","2005","Saxony-Anhalt","East Germany","32","0.0376078158387651","0.0250023423336426","0.0502132893438877","2"
"High transfer dependency","2005","Thuringia","West Germany","","","","","2"
"High transfer dependency","2005","Thuringia","East Germany","36","0.0413612528409341","0.0282644303870043","0.0544580752948639","2"
"Low transfer dependency","2005","Schleswig-Holstein","West Germany","46","0.0749626690174036","0.054671918971482","0.0952534190633252","1"
"Low transfer dependency","2005","Schleswig-Holstein","East Germany","","","","","1"
"Low transfer dependency","2005","Hamburg","East Germany","","","","","1"
"Low transfer dependency","2005","Hamburg","West Germany","9","","","","1"
"Low transfer dependency","2005","Lower Saxony","West Germany","132","0.0758644048207903","0.0635845214961169","0.0881442881454637","1"
"Low transfer dependency","2005","Lower Saxony","East Germany","","","","","1"
"Low transfer dependency","2005","Bremen","West Germany","15","","","","1"
"Low transfer dependency","2005","Bremen","East Germany","","","","","1"
"Low transfer dependency","2005","North Rhine-Westphalia","West Germany","171","0.0405111286149466","0.0346455566369843","0.0463767005929089","1"
"Low transfer dependency","2005","North Rhine-Westphalia","East Germany","","","","","1"
"Low transfer dependency","2005","Hesse","East Germany","","","","","1"
"Low transfer dependency","2005","Hesse","West Germany","92","0.0709390774118354","0.0573200331888691","0.0845581216348018","1"
"Low transfer dependency","2005","Rhineland-Palatinate,Saarland","West Germany","58","0.0581539369430468","0.0450961362601486","0.071211737625945","1"
"Low transfer dependency","2005","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Low transfer dependency","2005","Baden-Württemberg","West Germany","144","0.0551231272083128","0.0462126214734347","0.0640336329431909","1"
"Low transfer dependency","2005","Baden-Württemberg","East Germany","","","","","1"
"Low transfer dependency","2005","Bavaria","West Germany","171","0.0597355487354206","0.0511024790953879","0.0683686183754533","1"
"Low transfer dependency","2005","Bavaria","East Germany","","","","","1"
"Low transfer dependency","2005","Berlin","West Germany","20","","","","1"
"Low transfer dependency","2005","Berlin","East Germany","21","","","","1"
"Low transfer dependency","2005","Brandenburg","East Germany","94","0.0898973433773583","0.0710310597492563","0.10876362700546","1"
"Low transfer dependency","2005","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Low transfer dependency","2005","Mecklenburg-Western Pomerania","East Germany","65","0.193565665649175","0.158934926872251","0.228196404426099","1"
"Low transfer dependency","2005","Brandenburg","West Germany","","","","","1"
"Low transfer dependency","2005","Thuringia","West Germany","","","","","1"
"Low transfer dependency","2005","Saxony","West Germany","","","","","1"
"Low transfer dependency","2005","Saxony","East Germany","158","0.104365099026033","0.0889597417015642","0.119770456350502","1"
"Low transfer dependency","2005","Saxony-Anhalt","West Germany","","","","","1"
"Low transfer dependency","2005","Saxony-Anhalt","East Germany","77","0.109310125482741","0.0886355063114283","0.129984744654053","1"
"Low transfer dependency","2005","Thuringia","East Germany","115","0.134163539915012","0.111746575759751","0.156580504070272","1"
"Very high transfer dependency","2005","Schleswig-Holstein","East Germany","","","","","3"
"Very high transfer dependency","2005","Schleswig-Holstein","West Germany","22","","","","3"
"Very high transfer dependency","2005","Hamburg","West Germany","6","","","","3"
"Very high transfer dependency","2005","Hamburg","East Germany","","","","","3"
"Very high transfer dependency","2005","Lower Saxony","West Germany","45","0.0319482784188017","0.0237922191170527","0.0401043377205507","3"
"Very high transfer dependency","2005","Lower Saxony","East Germany","","","","","3"
"Very high transfer dependency","2005","Bremen","West Germany","","","","","3"
"Very high transfer dependency","2005","Bremen","East Germany","","","","","3"
"Very high transfer dependency","2005","North Rhine-Westphalia","East Germany","","","","","3"
"Very high transfer dependency","2005","North Rhine-Westphalia","West Germany","119","0.0380372540964078","0.0323462757676374","0.0437282324251782","3"
"Very high transfer dependency","2005","Hesse","West Germany","19","","","","3"
"Very high transfer dependency","2005","Hesse","East Germany","","","","","3"
"Very high transfer dependency","2005","Baden-Württemberg","West Germany","36","0.0207071614920197","0.015147294589276","0.0262670283947633","3"
"Very high transfer dependency","2005","Rhineland-Palatinate,Saarland","West Germany","30","0.0322376051124658","0.0223826132965973","0.0420925969283343","3"
"Very high transfer dependency","2005","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Very high transfer dependency","2005","Baden-Württemberg","East Germany","","","","","3"
"Very high transfer dependency","2005","Bavaria","West Germany","48","0.0254785899703959","0.0197386520640114","0.0312185278767803","3"
"Very high transfer dependency","2005","Saxony-Anhalt","East Germany","50","0.0702421308389735","0.0533093676463865","0.0871748940315605","3"
"Very high transfer dependency","2005","Thuringia","West Germany","","","","","3"
"Very high transfer dependency","2005","Thuringia","East Germany","51","0.0889063647216152","0.0701870674604728","0.107625661982758","3"
"Very high transfer dependency","2005","Bavaria","East Germany","","","","","3"
"Very high transfer dependency","2005","Berlin","West Germany","32","0.081055395130578","0.0546056149638851","0.107505175297271","3"
"Very high transfer dependency","2005","Berlin","East Germany","23","","","","3"
"Very high transfer dependency","2005","Brandenburg","West Germany","","","","","3"
"Very high transfer dependency","2005","Brandenburg","East Germany","44","0.0586435464294653","0.0431462869609654","0.0741408058979653","3"
"Very high transfer dependency","2005","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Very high transfer dependency","2005","Mecklenburg-Western Pomerania","East Germany","24","","","","3"
"Very high transfer dependency","2005","Saxony","West Germany","","","","","3"
"Very high transfer dependency","2005","Saxony","East Germany","69","0.0707258858956298","0.0578080505434693","0.0836437212477903","3"
"Very high transfer dependency","2005","Saxony-Anhalt","West Germany","","","","","3"
"Very low transfer dependency","2005","Schleswig-Holstein","West Germany","561","0.85404582561256","0.826841071925529","0.88125057929959","0"
"Very low transfer dependency","2005","Schleswig-Holstein","East Germany","","","","","0"
"Very low transfer dependency","2005","Hamburg","West Germany","274","0.933244756987858","0.904616353121007","0.96187316085471","0"
"Very low transfer dependency","2005","Hamburg","East Germany","","","","","0"
"Very low transfer dependency","2005","Lower Saxony","West Germany","1581","0.876433187603866","0.861170968192274","0.891695407015457","0"
"Very low transfer dependency","2005","Lower Saxony","East Germany","","","","","0"
"Very low transfer dependency","2005","Bremen","West Germany","120","0.841373235595883","0.782316151120171","0.900430320071596","0"
"Very low transfer dependency","2005","Bremen","East Germany","","","","","0"
"Very low transfer dependency","2005","North Rhine-Westphalia","West Germany","3951","0.89348810276946","0.884310131928687","0.902666073610234","0"
"Very low transfer dependency","2005","North Rhine-Westphalia","East Germany","","","","","0"
"Very low transfer dependency","2005","Hesse","West Germany","1239","0.897923610592971","0.8818629238664","0.913984297319543","0"
"Very low transfer dependency","2005","Hesse","East Germany","","","","","0"
"Very low transfer dependency","2005","Rhineland-Palatinate,Saarland","West Germany","1126","0.888370497851886","0.870800283133934","0.905940712569838","0"
"Very low transfer dependency","2005","Rhineland-Palatinate,Saarland","East Germany","","","","","0"
"Very low transfer dependency","2005","Baden-Württemberg","West Germany","2310","0.913191677856369","0.90219884880868","0.924184506904059","0"
"Very low transfer dependency","2005","Bavaria","West Germany","2643","0.903018646025481","0.892238707418227","0.913798584632734","0"
"Very low transfer dependency","2005","Baden-Württemberg","East Germany","","","","","0"
"Very low transfer dependency","2005","Bavaria","East Germany","","","","","0"
"Very low transfer dependency","2005","Berlin","West Germany","340","0.772967476711534","0.732368874106453","0.813566079316616","0"
"Very low transfer dependency","2005","Berlin","East Germany","279","0.823763307411764","0.782900872081604","0.864625742741923","0"
"Very low transfer dependency","2005","Brandenburg","West Germany","","","","","0"
"Very low transfer dependency","2005","Brandenburg","East Germany","698","0.794472114431179","0.767819338664102","0.821124890198257","0"
"Very low transfer dependency","2005","Mecklenburg-Western Pomerania","West Germany","","","","","0"
"Very low transfer dependency","2005","Saxony","West Germany","","","","","0"
"Very low transfer dependency","2005","Saxony","East Germany","1238","0.781217088476038","0.760385557296469","0.802048619655608","0"
"Very low transfer dependency","2005","Mecklenburg-Western Pomerania","East Germany","390","0.720505722233827","0.681171708381185","0.759839736086468","0"
"Very low transfer dependency","2005","Saxony-Anhalt","West Germany","","","","","0"
"Very low transfer dependency","2005","Thuringia","West Germany","","","","","0"
"Very low transfer dependency","2005","Saxony-Anhalt","East Germany","716","0.78283992783952","0.755520566820853","0.810159288858188","0"
"Very low transfer dependency","2005","Thuringia","East Germany","686","0.735568842522439","0.706561390432278","0.7645762946126","0"
"High transfer dependency","2006","Lower Saxony","West Germany","51","0.0250225142697803","0.0181617068767617","0.0318833216627989","2"
"High transfer dependency","2006","Schleswig-Holstein","East Germany","","","","","2"
"High transfer dependency","2006","Hamburg","East Germany","","","","","2"
"High transfer dependency","2006","Lower Saxony","East Germany","","","","","2"
"High transfer dependency","2006","Bremen","West Germany","7","","","","2"
"High transfer dependency","2006","Schleswig-Holstein","West Germany","13","","","","2"
"High transfer dependency","2006","Bremen","East Germany","","","","","2"
"High transfer dependency","2006","North Rhine-Westphalia","West Germany","106","0.0256361014123984","0.0210688411757996","0.0302033616489972","2"
"High transfer dependency","2006","North Rhine-Westphalia","East Germany","","","","","2"
"High transfer dependency","2006","Hamburg","West Germany","7","","","","2"
"High transfer dependency","2006","Hesse","West Germany","15","","","","2"
"High transfer dependency","2006","Hesse","East Germany","","","","","2"
"High transfer dependency","2006","Rhineland-Palatinate,Saarland","West Germany","22","","","","2"
"High transfer dependency","2006","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"High transfer dependency","2006","Baden-Württemberg","West Germany","51","0.0197279695422677","0.0145266645010413","0.0249292745834942","2"
"High transfer dependency","2006","Baden-Württemberg","East Germany","","","","","2"
"High transfer dependency","2006","Bavaria","West Germany","54","0.0202330285734272","0.0153294187740441","0.0251366383728102","2"
"High transfer dependency","2006","Bavaria","East Germany","","","","","2"
"High transfer dependency","2006","Berlin","West Germany","12","","","","2"
"High transfer dependency","2006","Berlin","East Germany","25","","","","2"
"High transfer dependency","2006","Brandenburg","West Germany","","","","","2"
"High transfer dependency","2006","Brandenburg","East Germany","30","0.0225955379325981","0.013095339744178","0.0320957361210181","2"
"High transfer dependency","2006","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"High transfer dependency","2006","Mecklenburg-Western Pomerania","East Germany","35","0.0780985976033028","0.0559733712411582","0.100223823965447","2"
"High transfer dependency","2006","Saxony","West Germany","","","","","2"
"High transfer dependency","2006","Saxony","East Germany","52","0.0420643301648742","0.0322315215457359","0.0518971387840126","2"
"High transfer dependency","2006","Saxony-Anhalt","East Germany","37","0.0778961028787329","0.0605967274199591","0.0951954783375067","2"
"High transfer dependency","2006","Saxony-Anhalt","West Germany","","","","","2"
"High transfer dependency","2006","Thuringia","West Germany","","","","","2"
"High transfer dependency","2006","Thuringia","East Germany","41","0.0445243246851056","0.0314973540073827","0.0575512953628285","2"
"Low transfer dependency","2006","Schleswig-Holstein","West Germany","46","0.0777244389227757","0.0575713142193978","0.0978775636261536","1"
"Low transfer dependency","2006","Schleswig-Holstein","East Germany","","","","","1"
"Low transfer dependency","2006","Hamburg","East Germany","","","","","1"
"Low transfer dependency","2006","Hamburg","West Germany","10","","","","1"
"Low transfer dependency","2006","Lower Saxony","West Germany","107","0.05180776064779","0.0420722649421691","0.0615432563534109","1"
"Low transfer dependency","2006","Lower Saxony","East Germany","","","","","1"
"Low transfer dependency","2006","Bremen","West Germany","6","","","","1"
"Low transfer dependency","2006","Bremen","East Germany","","","","","1"
"Low transfer dependency","2006","North Rhine-Westphalia","West Germany","217","0.0538630501263101","0.0473393851708192","0.060386715081801","1"
"Low transfer dependency","2006","North Rhine-Westphalia","East Germany","","","","","1"
"Low transfer dependency","2006","Hesse","West Germany","76","0.0569951597137384","0.0452315765287772","0.0687587428986996","1"
"Low transfer dependency","2006","Hesse","East Germany","","","","","1"
"Low transfer dependency","2006","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Low transfer dependency","2006","Rhineland-Palatinate,Saarland","West Germany","69","0.0759059652656819","0.0615804000839045","0.0902315304474594","1"
"Low transfer dependency","2006","Baden-Württemberg","West Germany","130","0.0470819394448133","0.0391596122333658","0.0550042666562607","1"
"Low transfer dependency","2006","Baden-Württemberg","East Germany","","","","","1"
"Low transfer dependency","2006","Bavaria","West Germany","192","0.058589516205889","0.0504100769688468","0.0667689554429311","1"
"Low transfer dependency","2006","Bavaria","East Germany","","","","","1"
"Low transfer dependency","2006","Berlin","West Germany","31","0.0978292680131569","0.0701646296909126","0.125493906335401","1"
"Low transfer dependency","2006","Berlin","East Germany","25","","","","1"
"Low transfer dependency","2006","Brandenburg","West Germany","","","","","1"
"Low transfer dependency","2006","Brandenburg","East Germany","70","0.0793476189890914","0.0620694007910914","0.0966258371870915","1"
"Low transfer dependency","2006","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Low transfer dependency","2006","Saxony-Anhalt","East Germany","68","0.0635416667312485","0.0477961774347959","0.0792871560277011","1"
"Low transfer dependency","2006","Mecklenburg-Western Pomerania","East Germany","53","0.122332038148723","0.0953136712152139","0.149350405082232","1"
"Low transfer dependency","2006","Thuringia","West Germany","","","","","1"
"Low transfer dependency","2006","Saxony-Anhalt","West Germany","","","","","1"
"Low transfer dependency","2006","Thuringia","East Germany","97","0.11373206439477","0.0936800075462295","0.133784121243311","1"
"Low transfer dependency","2006","Saxony","West Germany","","","","","1"
"Low transfer dependency","2006","Saxony","East Germany","157","0.102017384192978","0.0871914017501836","0.116843366635773","1"
"Very high transfer dependency","2006","Schleswig-Holstein","East Germany","","","","","3"
"Very high transfer dependency","2006","Hamburg","East Germany","","","","","3"
"Very high transfer dependency","2006","Schleswig-Holstein","West Germany","31","0.0428170777852189","0.0275786827898811","0.0580554727805567","3"
"Very high transfer dependency","2006","Hamburg","West Germany","16","","","","3"
"Very high transfer dependency","2006","Bremen","West Germany","6","","","","3"
"Very high transfer dependency","2006","Lower Saxony","West Germany","68","0.0473335289051804","0.0380059841114128","0.0566610736989481","3"
"Very high transfer dependency","2006","Lower Saxony","East Germany","","","","","3"
"Very high transfer dependency","2006","North Rhine-Westphalia","West Germany","160","0.0521662852554368","0.0457404408199989","0.0585921296908747","3"
"Very high transfer dependency","2006","North Rhine-Westphalia","East Germany","","","","","3"
"Very high transfer dependency","2006","Bremen","East Germany","","","","","3"
"Very high transfer dependency","2006","Hesse","West Germany","31","0.0334016265700935","0.0242842368791055","0.0425190162610816","3"
"Very high transfer dependency","2006","Hesse","East Germany","","","","","3"
"Very high transfer dependency","2006","Rhineland-Palatinate,Saarland","West Germany","43","0.037454465965182","0.027184283153009","0.0477246487773549","3"
"Very high transfer dependency","2006","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Very high transfer dependency","2006","Baden-Württemberg","West Germany","42","0.0184461925054822","0.0134134089988581","0.0234789760121064","3"
"Very high transfer dependency","2006","Baden-Württemberg","East Germany","","","","","3"
"Very high transfer dependency","2006","Bavaria","West Germany","49","0.0249971247038638","0.019559965671367","0.0304342837363605","3"
"Very high transfer dependency","2006","Saxony-Anhalt","East Germany","58","0.0706479036066599","0.0541084022677919","0.0871874049455279","3"
"Very high transfer dependency","2006","Thuringia","West Germany","","","","","3"
"Very high transfer dependency","2006","Thuringia","East Germany","50","0.075858941362723","0.0591362001411731","0.092581682584273","3"
"Very high transfer dependency","2006","Bavaria","East Germany","","","","","3"
"Very high transfer dependency","2006","Berlin","West Germany","31","0.0853919800123842","0.0593680865434151","0.111415873481353","3"
"Very high transfer dependency","2006","Berlin","East Germany","24","","","","3"
"Very high transfer dependency","2006","Brandenburg","West Germany","","","","","3"
"Very high transfer dependency","2006","Brandenburg","East Germany","59","0.0857466933786663","0.067847802315343","0.10364558444199","3"
"Very high transfer dependency","2006","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Very high transfer dependency","2006","Mecklenburg-Western Pomerania","East Germany","29","","","","3"
"Very high transfer dependency","2006","Saxony","West Germany","","","","","3"
"Very high transfer dependency","2006","Saxony","East Germany","86","0.0980326122108817","0.0834668528681366","0.112598371553627","3"
"Very high transfer dependency","2006","Saxony-Anhalt","West Germany","","","","","3"
"Very low transfer dependency","2006","Schleswig-Holstein","West Germany","588","0.853006291688046","0.826352516245666","0.879660067130426","0"
"Very low transfer dependency","2006","Schleswig-Holstein","East Germany","","","","","0"
"Very low transfer dependency","2006","Hamburg","West Germany","279","0.902774916330818","0.869901132227346","0.93564870043429","0"
"Very low transfer dependency","2006","Hamburg","East Germany","","","","","0"
"Very low transfer dependency","2006","Lower Saxony","West Germany","1765","0.875836196177249","0.861351099095688","0.89032129325881","0"
"Very low transfer dependency","2006","Lower Saxony","East Germany","","","","","0"
"Very low transfer dependency","2006","Bremen","West Germany","127","0.890402889972755","0.83973130432015","0.94107447562536","0"
"Very low transfer dependency","2006","Bremen","East Germany","","","","","0"
"Very low transfer dependency","2006","North Rhine-Westphalia","West Germany","4117","0.868334563205855","0.858563347261731","0.878105779149979","0"
"Very low transfer dependency","2006","North Rhine-Westphalia","East Germany","","","","","0"
"Very low transfer dependency","2006","Hesse","West Germany","1370","0.894998704803457","0.879443626167846","0.910553783439069","0"
"Very low transfer dependency","2006","Hesse","East Germany","","","","","0"
"Very low transfer dependency","2006","Rhineland-Palatinate,Saarland","West Germany","1179","0.860143746967959","0.841383342796241","0.878904151139677","0"
"Very low transfer dependency","2006","Baden-Württemberg","West Germany","2523","0.914743898507437","0.904298853393022","0.925188943621852","0"
"Very low transfer dependency","2006","Rhineland-Palatinate,Saarland","East Germany","","","","","0"
"Very low transfer dependency","2006","Baden-Württemberg","East Germany","","","","","0"
"Very low transfer dependency","2006","Bavaria","West Germany","2872","0.89618033051682","0.885556978215951","0.906803682817689","0"
"Very low transfer dependency","2006","Bavaria","East Germany","","","","","0"
"Very low transfer dependency","2006","Berlin","West Germany","369","0.791922386618216","0.754121654008184","0.829723119228247","0"
"Very low transfer dependency","2006","Berlin","East Germany","279","0.806896557398307","0.765718611584822","0.848074503211791","0"
"Very low transfer dependency","2006","Brandenburg","West Germany","","","","","0"
"Very low transfer dependency","2006","Brandenburg","East Germany","781","0.812310149699644","0.7873489475162","0.837271351883088","0"
"Very low transfer dependency","2006","Mecklenburg-Western Pomerania","West Germany","","","","","0"
"Very low transfer dependency","2006","Saxony","East Germany","1306","0.757885673431266","0.736902821396224","0.778868525466307","0"
"Very low transfer dependency","2006","Mecklenburg-Western Pomerania","East Germany","448","0.749244533705671","0.713504014007744","0.784985053403597","0"
"Very low transfer dependency","2006","Saxony","West Germany","","","","","0"
"Very low transfer dependency","2006","Saxony-Anhalt","West Germany","","","","","0"
